千川ちひろ,それじゃ、たるき亭に予約入れときますね
モバＰ,いいだろ～。これもプロデューサー特権かな？
凛,ふふ。……あれ？仁奈ちゃんちょっと不満そう？
モバＰ,え？
仁奈,む～……美優おねーさん、うつむいちゃダメでごぜーますよ！
美優,ご、ごめんね？
仁奈,もう一度撮るです！Ｐっ！
モバＰ,はいはい。……美優さん、自分が笑おうとするんじゃなくて、仁奈を楽しませる感じでいきましょう。カメラは無視して
美優,えっと……それは……？
モバＰ,こうです。仁奈、カモン！再び抱っこ状態へ移行！
仁奈,がってん！
モバＰ,そして、美優さんの手を取りっ！
仁奈,手を取りっ！
美優,え？え！？
モバＰ,せっせっせーの？
仁奈,……！よいよいよいっ！！
美優,ま、まって……
モバＰ,お寺の……
仁奈,アルプス……
モバＰ・仁奈,……
美優,あ、あの……？
モバＰ,そこはお寺の和尚さんでしょうよ～、ニナちゃ～ん
仁奈,何言ってやがりますか！アルプス一万尺で美優おねーさんと張り手合戦でごぜーますよ！
モバＰ,あれ張り手合戦だったのか……
仁奈,それじゃ気を取り直して……せっせっせーの
美優,よ、よいよいよい
仁奈・美優,アーループースーいちまんじゃーくー♪
モバＰ,っ……仁奈……！
仁奈・美優,こやりのうーえで♪
モバＰ,肘が……！
仁奈・美優,アルペン踊りをさあ踊りましょう♪
モバＰ,おごっ……！仁奈……ちゃん！ストップ！
仁奈,も～、なんで止めやがるですか。ノッてきたとこだったのに～
モバＰ,仁奈ちゃん、思い出そう！そもそも何をするつもりだったのか！
仁奈,……？あっ、写真！！
モバＰ,そう！それです！……ちひろさん！
ちひろ,オッケーでーす。ほら、良い感じに撮れました
モバＰ,流石有能アシスタント！！……おぉ、二人共いい笑顔だ
仁奈,あははっ！Ｐがひょっとこみてーですっ！
モバＰ,よーし！撮り直そうかっ！
仁奈,嫌でごぜーますよ！こんなに楽しい写真……これはもう、仁奈の大切な物でもあります！宿題にバッチリですよ！
モバＰ,ぐぬぅ……そう言われると何も言えねぇ……
美優,ふふふ……良かった……仁奈ちゃん嬉しそう……
ちひろ,ですね。でも、この写真……見ようによっちゃ家族写真に見えますね
美優,……え？
ちひろ,あ、ごめんなさい。美優さんが老けて見えるって訳じゃなくて、三人の仲睦まじさが家族に見えるっていうか
美優,いえ……嬉しい……です。仁奈ちゃんと……Ｐさんと家族……
凛・卯月,！？
ちひろ,おっと……思わぬ煽りを生み出してしまいましたか……
仁奈,……？Ｐ、どういうことですか？
モバＰ,俺がパパで美優さんがママ、仁奈は俺達の娘に見えるってこと
美優,っ！っ！
凛・卯月,！！？
仁奈,……もう一人のパパとママ？
モバＰ,仁奈が嫌じゃなかったら、そう思っても構わんぞ？
仁奈,……嫌じゃない。嫌じゃないでごぜーます！パパ、ママっ！！
モバＰ,おう！……って、すいません美優さん。勝手に……
美優,いえ！本家のパパママに負けないように頑張りましょうね、パパ！！
モバＰ,ノ、ノリノリっすね、美優さん……
美優,……嫌です。ちゃんと夫婦らしくママって呼んでください
仁奈,そうですよ！ちゃんとママって呼びやがれですっ！！
モバＰ,そ、それは……
美優,美優って呼び捨てでも……いいです……けど……
モバＰ,マ、ママっ！この子を立派に育てましょうね！そらっ！高い高～い！！
仁奈,おわー！高ぇー！！あははっ！
美優,もう……。ふふ……
凛・卯月,！？！！？。ちひろさんっ！！
ちひろ,……三人共幸せそうないい笑顔！私グッチョブっ！！
凛,っ……仁奈ちゃんの手前、否定出来ないでしょ！
ちひろ,ほーほっほっほ！さあ、仕事仕事っ！！
楓,……お疲れ様です
卯月,……
楓,……卯月ちゃん？どうしたの？どうにかして自分も上手く事が運べないか思案してる顔になってますよ？
卯月,そんな顔になってました！？私凄いっ！
凛,いや、楓さんが凄いでしょ……
卯月,こほっこほ……おはよう……ございます……こほこほ
モバＰ,おはよう……って、どうした？風邪か？
卯月,えっと……なんかフラフラしちゃって、咳が……こほっ
未央,大丈夫？ていうか、しまむー今日オフでしょ。なんでそんな状態で来ちゃったのさ
卯月,あ、あー。ボーとしちゃって、つい来ちゃった
凛,……
モバＰ,危なっかしいなぁ……。熱はあるのか？
卯月,どうでしょう……測ってもらえますか？体温計がないので、こう……おでことおでこを……
凛,わかった。おいで
卯月,い、いや……プロデューサーさんに……
凛,大丈夫。私が測ってあげるから。おでこを合わせるのがいいんだよね？任せて。優しくしてあげる
卯月,ひっ！プ、プロデューサーさん助けて！凛ちゃんが爆弾パチキをキメようとしてます！
モバＰ,ば、爆弾パチキ？
凛,……元気みたいだね。そんだけ素早く動けるなら熱もないでしょ。咳も止まったみたいだし
卯月,あっ！……えーっほ！えほっ！こほっこほん！
未央,えー……しまむー、マジでー……？それはないよ～
卯月,……。プロデューサーさ～ん……
モバＰ,……しんどそうだな
凛,……プロデューサー、騙されちゃだめだよ。この子仮病を使って良からぬこと考えてる
モバＰ,こらっ。仮病って決めつけちゃダメだろ？目も充血してるんだし
凛,ただ追い込まれてるだけだよ
モバＰ,そう言うなって。ほら、卯月。こっちゃ来い
卯月,……！はいっ！
凛,ちょっと！
モバＰ,熱測るくらいいいだろ……ん～……？平熱っぽいけど……
卯月,あ、手……ですか……
未央,ま、そんなもんだよね
卯月,うぅ……
モバＰ,……やっぱ、しんどそうだな
未央,いやいや、思い描いた展開にならなくて落ち込んでるだけだって。仮病を使った罪悪感もあるんでしょ
モバＰ,……凛にしても、未央にしてもなんで仮病を推してくるかな。こんなにうなだれてるんだから無碍にしちゃダメだろ
卯月,やっぱりプロデューサーさんは私の味方……
未央,野郎っ……！
凛,……また咳止まってるよ？
卯月,……こほっ！えっほ、えっほ！！こほっ……！？……っ！！ごっは！ごふっ！！え゛ぇっほ！！え゛ふっえ゛ふっ！ひゅ～ひゅ～……あぁぁ……ぷろでゅ～しゃ～しゃ～ん……
モバＰ,ほらっ！仮病でこんな酷い事にはならんだろ！？大丈夫か！？
凛,無理矢理咳き込んで、えずいただけでしょ……
モバＰ,何にしてもこんな卯月は放っておけんって。……卯月、歩けるか？送って行くぞ
卯月,……！はい……すいません、お願いします。あの、それでお願いがあるんですが……今日両親が遅くまで帰ってこないので……それまで一緒に居てくれませんか？心細いんです……
モバＰ,ん～……今日は、楓さんと美優さんの現場に付き添う予定だったけど……あの二人なら俺が居なくても大丈夫か。よし、わかった！特製のおかゆも作ってやろう！！
卯月,や、やった！お願いしますっ！
凛・卯月,はぁ！？
モバＰ,それじゃ、行くか。ちひろさんそう言う事なんで
ちひろ,はーい。お大事にー
凛・未央,ちょっ
卯月,お疲れ様でしたっ！！
凛・未央,。
卯月,……
凛・未央,！
卯月,えへっ
凛・未央,あっ！
卯月,それじゃ、プロデューサーさん。帰りましょう！！
凛・未央,っ！！
楓,……お疲れ様です
ちひろ,あ、お疲れさまでーす。そうだ、明日の飲み会、私ちょっと遅れそうなので先に始めちゃってて下さいね
楓,……
ちひろ,……楓さん？
楓,あ、ごめんなさい。プロデューサー達、賑やかだなって気を取られてました
ちひろ,あぁ……。傍から見る分には楽しそうですね。傍から見る分には
楓,………………そうですね。でも、明日は、私も楽しませて頂きます。存分に……うふふ
ちひろ,……飲み過ぎて暴走だけは勘弁して下さいね
楓,ちひろさんには、先に謝っときます。勝手な事してごめんなさい
ちひろ,うそぉ……謝罪の先払いはタチ悪いですよぉ……
楓,ふふ……
凛,……二人に提案があるんだけど
卯月,何？
未央,どしたん？
凛,プロデューサーの事で自分の優位性をアピールするのはもう止めにしない？不毛だし
未央,しぶりんがそれを言うか……
卯月,昨日でその不毛さは身に染みて分かったけど……
凛,うん。煽ったところでろくな事にならないからさ
卯月,邪魔してきた人が言いますか……
凛,……聞いて？問題はそれだけじゃないんだよ。美優さんを見たでしょ？
未央,……確かに私達だけでじゃれ合うのはいいけど、思わぬとこに影響を与えちゃってたね
凛,そう……美優さんですらあんな変なテンションになったんだよ？それが、まゆとか留美さんだったりしたら……
未央,非常に面倒くさい事になるだろうね！よっし！しぶりんの提案を受け入れようじゃないか！
凛,分かってくれて嬉しいよ。けど、プロデューサーへのアピールはしない訳じゃないから
未央,ほう……早い話が、煽り合いをせず、お互いの恋路は邪魔しない様にって事ね
卯月,淑女協定だねっ！
凛,そんな感じ。二人共いい？
未央・卯月,いいですとも！
凛,ふふ、決まり……ん？この気配……
卯月,凛ちゃんが抱き付かれた時に感じたあの気配……
未央,……急に電波受信されると反応に困るんだけど
凛・卯月,今回は誰が……！
モバＰ,未央っ！未央はいるか！？この前受けた舞台のオーディション、受かったぞっ！！
凛・卯月,……
未央,え！？や、やったぁ！！プロデュー……
凛・卯月,……
未央,……
凛・卯月,……
未央,……
凛・卯月,……
未央,手……離してもらえるかな？
凛・卯月,……なんで？
未央,プロデューサーと喜びを分かち合いたいんだけど
凛・卯月,でも、抱き付くでしょ？
未央,……おいこら、恋路は邪魔しない淑女協定は
凛,だって煽り合わないことで成り立ってる協定だし
卯月,未央ちゃん、抱き付いたら絶対ドヤ顔するし
凛・卯月,仕方ないね
未央,……協定破棄じゃあ、ぼけぇ！！
凛,未央ご乱心！！
卯月,殿中でござる！！殿中でござるっ！！
未央,うるせぇー！！
モバＰ,……何してんだ、あいつら
楓,ぷーろでゅーさー
モバＰ,うおっ。居たんですか
楓,はい。プロデューサーの帰りを、今か今かと心躍らせながら待っていました。もう今日はお仕事終わりですよね？
モバＰ,ええ、飲み会の為に早く上がれるよう調整しましたからね。しかし、ホントに楽しみにしてるんですね
楓,それはもう……。そこで一つお知らせがありまして
モバＰ,お知らせ？
楓,ちひろさんからの伝言で……たるき亭の予約が上手く取れてませんでした、と
モバＰ,え！？じゃあ……
楓,ご安心を。今から他のお店でするのも難しそうなので、今回は宅飲みになりました
モバＰ,宅飲みですか……でも、誰の家で？
楓,……ちひろさんが場所を
モバＰ,ちひろさん家か……行ったこと無いな
楓,……ふふ。だからこそ、今か今かと待ってたんですよ？御一緒する為に
モバＰ,そうなんですか？そう言えばちひろさんが居ませんね
楓,……ちょっと急用が入って出ています。先に始めちゃって下さいとの事です
モバＰ,え！？あの人、自分が居ないのに他人を家に上げんの！？
楓,……とにかく、そう言う事なので……早く行きましょう
モバＰ,わ、わかりました。あ、未央！舞台おめでとうなっ！それからお前達、あんまり遅くまで駄弁るなよっ！それじゃ、また明日なぁ！！楓さん、そんな引っ張らんでも―――
未央,……
凛・卯月,……
未央,……ねぇ
凛・卯月,……
未央,逃がすかっ！
卯月,！？
未央,さて、どうしてくれよう……うふっ……うふふふふ……
卯月,り、凛ちゃん！捕まった！私、捕まったよ！！
凛,……
卯月,あぁ！？すっごい綺麗なフォームで走り去っ……わわっ！未央ちゃん！女の子がしちゃダメな顔になってるよっ！！おち、落ち着いて……凛ちゃんっ！ドアを盾に様子を窺ってなくて助け……未央ちゃん！パチキ！？パチキなの！？なんで頭を振りかぶっ……凛ちゃん！なにうっすらと笑ってるの！？全然笑えな……未央ちゃん！ホントに？ホントにするのっ！？凛ちゃん！助けっ！！
ちひろ,……何してるんですか
凛,あ、ちひろさん
卯月,え！？ち、ちひろさん助けてぇ！！未央ちゃんが、鬼のようにっ！悪魔のようにっ……！ほ、ほらっ……鬼！悪魔！ちひろさん！！
ちひろ,……さて、仕事しましょうか
卯月,な、なんで！？ちひろさん！！ちひろさ～ん！！
凛,哀れ卯月。南無
未央,てめぇも逃がさねぇぞ……しぶやぁ……
凛,！
未央,まったく！まったく、もう！！二人共おふざけが酷すぎるぞ！ぷんぷん！！
凛・卯月,ぉぉ……
未央,そんな蹲ることないじゃん。軽くコツンっておでこを当てただけでしょ？も～
凛,今更かわいこぶっても遅いからっ！
卯月,コツンじゃなくて、ゴッ！だからっ！
未央,……しぶりん、しまむー……頭突いた私も痛いんだよ？
凛,でしょうねっ！
卯月,ゴッ！だもんね！ゴッ！私、う゛ん！？って言っちゃったよ！
未央,ごめんごめん。でも、それだけ悲しかったんだからね！ちゃんとお祝いしたかったのに……
凛,うっ……それは……ごめん
卯月,あぅ……ごめんね？
未央,ん！じゃあ、仲直りだ！もう一度、淑女協定を結ぼうじゃないか！
凛・卯月,……え？
未央,……今度二人にラブいことが起きそうだったら、全力で邪魔してやる……
凛・卯月,ご、ごめんごめん！冗談だから！！
未央,こやつら……
ちひろ,ふふ、いつも仲良いですね。……さて、もう一息頑張りましょうか。お楽しみソーダが私を待ってます！ガンバレちひろ！！
未央,大変そうだね。でも、その仕事、家で出来ないものなの？
ちひろ,基本的に資料の持ち帰りは厳禁なの。特に今日なんか飲み会があるから、コソっと持ち帰ってお店に忘れたりしたら……おぉ、怖い怖い
卯月,色んな決まり事があるんですね……ん？お店？
ちひろ,たるき亭なら知らない仲じゃないし、忘れたところで上手く対処してくれそうだけど、何が起きるかわかりませんからね。きちんと責任は持たないと
凛,……たるき亭？
ちひろ,そうですよ～。あそこ765さんのおかげか、この業界に理解があるから具合が良くて。多少ハメを外しても優しく受け流してくれるの。見て見ぬふりとも言いますけどね～
未央,うん、それはいいんだけど……予約取れなかったんじゃないの？
ちひろ,え？ちゃんと取ったけど……どうして？
未央,さっきかえ姉さまが、ちひろさんから伝言頼まれたって。たるき亭の予約が取れてなくて……え？
ちひろ,……そんな伝言、頼んだ覚え無いんですが……
卯月,宅飲みになったって……
ちひろ,聞いてないんですが……
凛,ちひろさん家で……
ちひろ,聞いてないんですが！？
凛,嘘……
未央,マジで……？
卯月,楓さん……
ちひろ,うわぁ……。……プロデューサーさんだ……
凛・未央・卯月,！？
ちひろ,……もしもし。プロデューサーさん……。私……楓さんに伝言なんてしてないし、ましてや場所なんて提供してません……
凛,ちひろさん、スピーカーにしてっ！！プロデューサー聞こえる！？。近くに楓さんは居る！？居ないならそこからすぐ離れてっ！居たとしてもすぐ離れてっ！！。いいから、早く！そういうグズグズと聞き返すやつフラグだから！もの凄いイライラするやつだからっ！！。ほらぁ！！ばかぁ！！
未央,何でもいいから、逃げてっ！！なんかやばそうだよっ！！
卯月,……ちひろさんのお家ってどこですか！？すぐ行きましょう！！
ちひろ,そ、そうですね。そんなに遠くでは……
凛・未央・卯月,は！？
卯月,わー！わー！わぁぁああ！！がおー！がおー！！
未央,ど、どうした、しまむー！！気が触れたかっ！？
卯月,なんとか二人だけの世界をぶち壊せないかなと思って……
凛,楓さん！卯月がおかしくなった！プロデューサーを返して……帰してっ！そしたら治るからっ！！
卯月,え！？
未央,しまむー……かわいそうに……かえ姉さま！お願いっ！！しまむーを助けて！！
卯月,へ、変な立ち位置に……ぅぅ……が、がおー！がおー！！わー！わー……わぁぁん！！
凛,プロデューサー何言ってんの！？
未央,誘惑に負けちゃダメだよ！？自分をしっかり持って！！
卯月,がおー！がおがおー！！あ゛あ゛あ゛っ！！！プロデューサーさぁぁん！！
凛・未央・卯月,
ちひろ,……。着信……拒否です
凛,早業過ぎるでしょ！？
未央,私が……！。ッデム！！
卯月,っ！。ノンっ！！
凛,くっ……。！。る、留守電にもならない……
未央,ワザとくさい……まさか煽られてる？かけても無駄ですよって……
卯月,それとも着信音をムーディーなものにして……
未央,いや、マナーにしてるでしょ……
卯月,マナー……ですか……
ちひろ,……意味深ですね
未央,……しぶりん、切ろう
凛,……
卯月,……
未央,……
凛,……って、いやいや！どうするの、この状況！
未央,どうするって言われても……ちひろさん、かえ姉さまの住所分かる？
ちひろ,分かるけど……鎖で封鎖されてますよ？それに、自分の家なんて分かりやすいとこに行きますかね……
卯月,ですよね……
凛,……
未央,……
卯月,……
ちひろ,……まぁ、あれですよ。未央ちゃんの言う、ちょっとしたおふざけが思わぬところに影響が出るって教訓ですね。駄目、絶対。煽り合い
凛,……
未央,……
卯月,……
ちひろ,……でも、楓さんが病んじゃうとは、なかなかどうして……
凛,……
未央,……
卯月,……
ちひろ,……うん……えっと……つまり……
凛,……
未央,……
卯月,……
ちひろ,ハッピーエンド！！！
凛・未央・卯月,なるものかっ！！！
