モバP(以下P),お、来たか紗南ー、お疲れさん
紗南,Pさんあたしも怒るからね？確かにレベル足りないけど！
P,さて、どーするか。レースか……FPSでもやるか？
紗南,ガチなのはちょっと……そろそろだしね？
P,あー、そろそろかー……ま、さくっとやろうか。Aクリア、W敵1、薬1
紗南,ケー、B敵4、味方BD1、通す？
P,やらせとけ、B向かう
紗南,無理。敵4、味方1ダウン
P,あいあい、Cは…取れてるな
紗南,…………今更だけどなんでこんながっつりやってるんだろ
P,まぁ流れだし？B空けるぞー味方3
紗南,リスタから行くよ。っしゃ！防衛成功！やったねPさん！
P,あそこがキモだったなー、紗南よく持ちこたえた！
紗南,せーの、ハイターッチ！
P,……怒られないよな？
紗南,ま、優しいからセーフでしょ。しかしPさん慣れてるね？
P,まーなぁ。あきらと結構やってるし……紗南もだろ？
紗南,うん、あきらちゃんガチ勢だし、最近は配信にもお邪魔してるんだよねー、杏さんとかと
P,うーわ、あきら兄羨ましいなそりゃ
紗南,Pさんそれブーメランだからね？まぁ、妬みコメが増えたって兄いさんがボヤいてたよ
P,まぁ妹とはいえアイドルとゲーム配信してるんだからその辺はな？
紗南,というか許可出したんだね。あきらちゃんの配信
P,そこはあきらの特徴だし、アイドル始めたからってやめろとは言いづらいだろ？
紗南,あきらちゃんのスキルだからねっ！りあむさんも今度呼ぶけど
P,あー、あいつもなぁ……いや、悪かないんだけどな？
紗南,パッシブ効果が強烈だからね、りあむさん。その分インパクト凄いけど
P,いろんな意味で注目株だからな。紗南も負けてられないぞ？
紗南,選挙で負けてるけどね……次はもっと上にいくから！
P,ま、そうだな……さて次のゲーム……の、前に。だ
紗南,ありがとう。もうそんな時間なんだ
P,もうちょい長引いてたら時間過ぎてたな
紗南,ナイスタイミングだね、おっと、スマホが
P,はえーな。誰だ？
紗南,あきらちゃん、こういうとこ律儀だよねー、美玲に……あ、あいさん！
P,あいさんもマメだなぁ。さて、どうする？ケーキは買ってきてるけど
紗南,え、ケーキあるのっ！？食べたい食べたい！
P,なら食べるか？あんまゲームしてなくないか？
紗南,あー……それなら軽くさっき話してた◯マブラでもやる？
P,ルールは？
紗南,二人だし1vs1しかできないでしょ？
P,あいよ。っだー！その判定ずるいだろ！？
紗南,そっちも飛び道具強いんだよおあいこだよ！
P,となれば復帰を……あっ紗南！復帰阻止ガチ過ぎるだろ！？
紗南,復帰阻止しないなんて初心者じゃないんだからー！
P,それ久々だって話しただろ？ならこれで……！
ちひろ,………えっとPさん、紗南ちゃん？
紗南,は！？チャージいつのまにオンにしてたのさ！？
P,昨日お前が寝た後にルール変えておいたんだよ！喰らえー！
紗南,ずっるい！そいつ切り札チートのやつじゃん！？
ちひろ,あのー……
紗南,あーもー！ならこっちも使うんだから！
P,射程に入らないように…….
紗南,あっ！ずるい！逃げ射撃はふつうにずるい！
P,戦術だ戦術！
ちひろ,……ダメかぁ
紗南,っしゃー！あたしの勝ち！
P,っだー！やっぱ寄られたら勝てねぇよ！俺も剣キャラ使おうかなぁ
紗南,増えたよねぇF◯
P,出しやすいんだろうなぁ、剣キャラ……
紗南,なんか最近頭身高いキャラ増えたからね
P,そう考えるとバン◯ョーってアレなのか？
紗南,キン◯ク◯ールとかもいるけどね？
P,あー忘れてたわ。リ◯リーもだな？
紗南,重いキャラあたし苦手だからなぁ
ちひろ,あのーお二人とも？
P,あれ？ちひろさん、いつからそこに？
紗南,あ、ほんとだ！ちひろさんこんばんわ！
ちひろ,はい、お疲れさまです。……お二人が戦ってる間ずっといたんですけどね？
P,ちひろさんも紗南の誕生日祝いに？
ちひろ,そうですね、誕生日おめでとう紗南ちゃん
紗南,ありがとう！ちひろさん！わざわざ直接言いに来てくれるなんて嬉しいなっ！
P,アイドルのみんなは明日朝一でまた言ってくれるだろ。で、どうかしました？ちひろさん
ちひろ,いえ、なんというか………。ずっとそのままだったんですか？
P,え？えぇ、まぁ……？
紗南,いつものことだよね？
ちひろ,えっと……まぁいいです
紗南,えー、なにそれ。そうだっ！ちひろさんもゲーム一緒にやらない？
P,あーいいなそれ。やりましょコントローラ出しますから
ちひろ,あれ、紗南ちゃんケーキ食べるんじゃなかったんですか？
紗南,あ、そうだケーキ！Pさんケーキ食べたい！
P,はいはいわかった……ならどいてくれ紗南、冷蔵庫を開けないと……
ちひろ,あ、いいですよPさんはそのままで。私が紅茶とかも用意しますから
P,え？いいんですか？ならお言葉に甘えて……
紗南,やった！ねぇPさんどんなケーキ買ってきたの？
P,そりゃ見てからのお楽しみだろ？ま、誕生日も始まったばっかりだし、ケーキ食べたらまたゲームやろうな
紗南,そうだねっ！今度は……恋愛ゲーとかっ！やる？
P,……ギャルゲーか乙女ゲーってことか？またなんで？
紗南,ほ、ほら！ちひろさんと、Pさんと、大人の男女がいるから攻略楽かなって！
P,俺は参考にならんと思うぞ？
紗南,ふふん、ちひろさんがいるからいけるいけるっ！
ちひろ,いや、あたしにそれ以上求めるのはやめてくれると……
紗南,大丈夫だよ、ちひろさんならいけるって！。さ、誕生日はこれからなんだから。このまま楽しもっ！Pさん！
