関裕美,……♪
千鶴,わっ……優さん？
輝子,トモダチ探し……て、手伝ってくれるの……？
優,もちろん☆はいアッキー、輝子ちゃんのニオイかいで♪
アッキー,くぅ～ん……
輝子,…………？
優,覚えた？よぉし、いけっアッキー☆
千鶴,……警察犬でもないのにそんな……
アッキー,わんわん
優,あっ、見つけたみたい♪
千鶴,速っ！？……給湯室？
首藤葵,あれっ、みんなどうしたと？
千鶴,あ、葵さん。葵さんこそ給湯室で何を……あっ
葵,実家から新鮮な魚が届いたき、捌いてみんなに振舞おうかって。丁度付け合せに良さそうなキノコもあって……
輝子,マッ、マッ、マイフレェェェェェンズ！？
葵,うひゃああ！？。ごめんっちゃ！そんな大事なキノコとは知らずに……
輝子,だ、大丈夫……トモダチも無事だったから……フヒ
千鶴,良かったですね。あ、これ美味しい
葵,産地直送！美味くて当たり前っちゃ
千鶴,今度葵さんのご家族にお礼を送らなくちゃいけませんね
輝子,ヒャッハァー！極上のサシミだったぜぇー！！
千鶴,急に立ち上がるとホコリが立ちますよ
輝子,あ、ハイ……スミマセン
優,んー、美味しー☆ホラホラ、アッキーもあーん♪
アッキー,くぅ～ん……
千鶴,……優さん、犬に刺身はちょっと……
岡崎泰葉,……麗奈ちゃん、正座
小関麗奈,…………
泰葉,麗奈ちゃんのイタズラ癖は良く知ってます。でもね……
麗奈,…………
泰葉,これを見て下さい
新田美波,…………
泰葉,美波さんが資格取得のために買ってきたテキストです
美波,あ、あの、泰葉ちゃん。もう、大丈夫だから……
泰葉,いいえ、一回きつく言ってあげないと。このテキスト……
麗奈,…………
泰葉,全ページにアンダーラインを引くなんて、何を考えているんですか？。既に美波さんが大事な所に引いていたのに、それを上書きして……
麗奈,ふ、ふん！テキストに書いてあることなんて、全部大事に決まってるじゃないの！
泰葉,んなっ！？何を開き直っているんですか！いいから美波さんに謝ってください！
麗奈,嫌よ！このレイナサマがそうホイホイと他人に頭を下げるわけがないじゃない！
泰葉,いいから！
美波,や、泰葉ちゃん。本当にもう大丈夫だから、ね……？
麗奈,ほら、美波もそう言ってるじゃない！
泰葉,美波さんは気遣ってくれてるんですよ！
麗奈,とにかく謝らないわよ！
泰葉,いいえ、謝ってください！
美波,あああ、あの二人とも…………
クラリス,おはようございま……あら？お二人ともどうされたのですか？
美波,あ、クラリスさん。それがかくかくしかじかで……
クラリス,まあ、それは……
美波,また違う色のペンでラインを引くので私は大丈夫なんですけど……
クラリス,なるほど…………少々、お待ちくださいね
美波,えっ、あ、はい……
泰葉,むむむ……
麗奈,ぐぬぬ……
クラリス,皆さん、お茶の用意が出来ましたよ
泰葉・麗奈・美波,へっ？
クラリス,本日はクッキーもございます。皆さんでご賞味下さい
泰葉,あ、あの……今、それどころじゃ……
麗奈,そうよ！今は大事な話を……
クラリス,皆様、レモンティーでよろしいですか？
泰葉・麗奈・美波,は、はい……
クラリス,ふふ。では、掛けてお待ち下さい
泰葉,……いただきます？
麗奈,……そう、ね……
美波,あっという間になあなあにしちゃった……。シスターって凄い、改めてそう思った
丹羽仁美,でさでさー、慶次様のスゴイとこってったらねー……
橘ありす,そうですね
仁美,そして兼続との熱い友情……はぁー、もう燃え燃えだよねー！
ありす,確かにそう思います
仁美,んもう、どうしたのありすっち！態度が何か変だよ？
ありす,橘です。変と言われても、あまり興味が無いので
仁美,えー。でも橘っちじゃ変でしょ？それに、ありすっちも慶次様の伝説の数々を知れば……
ありす,というか、そもそも偉人の伝記なんて
仁美,へ？
ありす,後世の人間が手を加え放題ですし、それが事実かなんて分かりませんよね
仁美,にゃにおう！？
ありす,いい例が真田幸村です。……あ、あった
仁美,幸村？
ありす,えー、彼の本名は真田信繁。かの武田信玄の弟と同名です
仁美,え、そなの？
ありす,大阪夏の陣での信繁の奮闘ぶりに、後の将軍徳川家康は大層恐怖しました
仁美,あ、それは知ってるよ
ありす,そして江戸時代に入りその時代の読み物が書かれだす頃、信繁の名を恐れた家康からお触れが出ました
仁美,お触れ？
ありす,要約すると信繁の名はトラウマなので読み物にも出してはならんと言ったところです。分かりますか？偉人の伝説どころか名前さえも、後世の人間の好き放題にいじれてしまうんです
仁美,……そ、そんなぁ……。……うぇ～、乃々っち～。ありすっちがいじめる～
森久保乃々,うう、もりくぼの平穏を乱さないでほしいんですけど……
ありす,……ふう
片桐早苗,あっはっは、今日もヒネクレ極まってるわねーありすちゃん
ありす,わっ……頭を撫でないで下さい、子供じゃあるまいし。それから橘です
早苗,可愛くないわねー。子供の内からそんなんじゃ、ヒネた大人になっちゃうゾ？
ありす,別に、それで構いません。もう子供でもありませんし
早苗,あらら。それじゃーありすちゃんはこれいらないわねー
ありす,！？そ、それは……
早苗,ちょっと寄ったスーパーで特売してたから買ってきちゃった。名前は忘れたけど、何か高級なイチゴ１パック！
仁美,わー、美味しそうですねー
早苗,大人なありすちゃんはいらないみたいだし、三人で食べちゃいましょ
仁美,やったー♪
乃々,え、えと……もりくぼも、いただいていいんですか……？
早苗,もちろんよ♪ありすちゃんの分までいただいちゃいましょ
ありす,あ、あの！
早苗,なーにー？
ありす,い、いらないとは言ってないんですけど！
早苗,……ふっふーん、ありすちゃんはホント素直じゃないわねー
ありす,……余計なお世話ですし、それに橘ですっ
的場梨沙,おはよう！さあプロデューサー、早くアタシをトップアイドルに……ってあれ？
ライラ,あ、おはようございますですよー
有浦柑奈,おっはよーございまーす！
梨沙,えっと、確か……
ライラ,はい、わたくしライラさんですよー
柑奈,有浦柑奈です！こないだの顔合わせ以来ですね、えーっと…………？
梨沙,そっちも忘れてんの！？はぁ……的場梨沙よ。ねえプロデューサーは？
柑奈,そうでした、梨沙ちゃんでしたね！
ライラ,プロデューサー殿は先輩方とお仕事に行ってますでございますよ
梨沙,そーなんだ。じゃあ退屈ね
ライラ,さっきの
梨沙,んー？
ライラ,梨沙殿はトップアイドルになりたいでございますですか？
梨沙,そりゃあね。なんたって大好きなパパのためなんだから！
柑奈,父ちゃんが大好きなんですか
梨沙,もちろん！アタシ、将来はパパのお嫁さんになるんだから！
ライラ,おー、それはすごいでございます。わたくしのパパも結婚の話ばかりしてましたです
梨沙,へー、じゃあアンタもパパと？
ライラ,いえ、パパはわたくしにお相手を次々紹介してきましたです
梨沙,へ、へぇ……いいなずけってやつね……
ライラ,それでわけあってママに応援されて日本に来ましたです
梨沙,あんた、苦労してんのね……
ライラ,頑張ってますです
梨沙,で、柑奈のパパはどーなのよ？
柑奈,んー、私は父ちゃんより爺っちゃんの方が好きですね！
梨沙,じいちゃん？
柑奈,はい！爺っちゃんは歌は世界を救う！って言ってたんですけど……
ライラ,世界をですか。おーきなお話でございますね
柑奈,でも父ちゃんは歌じゃ食えないって
梨沙,はぁ？アンタのパパ、ずいぶんカタい頭してんのね！
柑奈,だから、父ちゃんを見返す……というより、父ちゃんに認めてほしくて頑張ってるかなって！
梨沙,へー。……そのギター、もしかしてじいちゃんの？
柑奈,はい。これは……爺っちゃんの形見で……
ライラ,形見でございますか……
梨沙,あっ……ごめん、ちょっと無神経すぎ……
柑奈,まあ、まだ生きてるんですけどね
ライラ,あらー
梨沙,……ッ！生きてたら形見じゃないじゃない！あー、どっと疲れた……
柑奈,あはははは！じゃあおどかしたお詫びに一曲お届けします！ラブとピース、どっちがいいですか？
ライラ,あー、じゃあピースをお願いしますです
梨沙,何そのよく分かんない選択肢……まあいいわ、じゃラブで
柑奈,了解しました！両方乗っけた一曲、行っちゃいますよー！！
岸辺彩華,ただいま帰りましたぁ～
キャシー・グラハム,あやかさんお疲れ様ーっ！
長富蓮実,お帰りなさい、彩華さん。長崎のお仕事はいかがでしたか？
彩華,楽しかったわよぉ。新しく入った子達も可愛くって。あ、これお土産のカステラよぉ
蓮実,ありがとうございます。お皿持ってきますね
キャシー,三切れだけ取って後は冷蔵庫へゴー♪あやかさん、後でもっと聞かせてー！
彩華,もちろんいいわよ～。他のみんなにもカステラ配ってからね
キャシー,あたしも一緒に行くー♪
彩華,じゃ、お供お願いねぇ。蓮実ちゃん、ちょっと行ってくるわね～
蓮実,はーい。じゃあ飲み物も用意しておきますね
キャシー,うまー！
蓮実,やっぱり本場の物は違うんでしょうかね
彩華,そうかも知れないわねぇ～
キャシー,そ・れ・と！あやかさんあやかさん！お仕事の話♪
彩華,んー、いいけどぉ、彩華も聞きたいなぁ～
キャシー,え、何を？
彩華,キャシーちゃんの愛媛でのお仕事のお話とぉ、蓮実ちゃんの沖縄でのお仕事のお話ぃ
蓮実,そういえば、私が帰ってきてすぐに彩華さんは長崎へ行ってしまったんですよね
彩華,そうなのぉ～。だから蓮実ちゃんのお土産貰い損ねちゃって～
蓮実,大丈夫ですよ。ちゃんと彩華さんの分はとってあります。今持ってきますね
彩華,そうこなくっちゃぁ♪。んんー、これも美味し～♪
蓮実,喜んでもらえて何よりです。そろそろ、お話を始めますか？
キャシー,そんじゃ、最初はあたしの番だぁい♪
彩華,待ってましたぁ～♪
キャシー,CDショップで握手会があったんだけどね。みちるが片時もパンから手を放さなくて……
蓮実,それで、どうしたんですか？
キャシー,結局、みちるとファンがパンの両端を握って擬似握手って
彩華,そ、それは強烈ねぇ……
蓮実,ファンの方も驚いたでしょうね。握手に来たらいきなりパンを突き出されて……
キャシー,意外と好評だったみたいだけどね。さあさ、次はどっち？
蓮実,じゃあ、私が。こずえちゃんなんですけどね……
彩華,うふふっ、みんなお仕事楽しんだみたいねぇ
キャシー,新人のみんなも個性的だしねっ！これはうかうかしてられないよー！
蓮実,古参もまだまだ負けませんよ。なんてったって、アイドルですから♪
彩華,その意気その意気ぃ♪……あ、そういえば
蓮実,どうしました？
彩華,プロデューサーが言ってたんだけどぉ、また再来月くらいに誰か地方でお仕事入ったみたいよぉ
キャシー,ホント！？誰がどこに！？
彩華,そこまでは言ってなかったわぁ
蓮実,じゃあ、その人がお仕事から帰ってきたらまたこうしてお茶会でも開きましょうか
彩華,うふふっ、さんせ～い♪
最初楽に思いついたやつだけで投下したツケが今まわってきたよ！,白目
