柚・忍,私たちっ！ぱっつん同盟！
柚,えっ♪変えてくれるのっ？♪
P,変えていいのか？
柚,…
P,フリルドスクエアを変えても、いいのか？
柚,…ヤダ
P,だろ？
柚,やだーっ。やだやだやだーっ！
P,どっちだよ
柚,むぅ。そーゆう真面目な聞き方ずるいっ
P,だって話が長くなりそうだったんだもの
柚,結論ばかり優先するひとはモテないっ！
P,はっはっは。構わぬ
柚,ドヤ顔がむかつくなー…
P,それより。ほれ。SNSのフリスクグループから連絡きてるぞ
柚,うん？
あずき柚ちゃん。早く戻っておいでよ。みんなでゲームセンター大作戦だよ,＾∇＾
忍穂乃香ちゃんがクレーンで取りたいぴにゃがあるんだってさ,笑
柚,…
P,ほれ。行ってこい
柚,うんっ♪
P,気をつけてお行き
柚,…Pサンは？
ちひろ,…
P,仕事
柚,そ、そっか。行ってきますっ♪
P,ああ
ちひろ,さあ。まだまだたくさん仕事はありますからね♪
P,ひぇぇん
