池袋晶葉,亜季さん大和亜季
凛,そうか。だから今の奈緒は、聞かれなくても……
奈緒,思ったこと、なんでも話しちゃうんだよ
Ｐ,思った事をなんでも？
奈緒,うわわわわわ。ど、どーしよ、Ｐさんがカッコいいって思ってること言っちゃったよあたし！
Ｐ,え？あ、お、おう
奈緒,ま、また言っちゃった！Ｐさんのことカッコいいって、また言っちゃった！！
Ｐ,あ、う、そ、そうか
奈緒,このままだと、好きだってことも言っちゃうかも知れないよ！って、ああっ////
加蓮,凛！
凛,うん。奈緒、とにかくこっちへ
奈緒,え？あ、ああ
加蓮,Ｐさんはここにいてよ
Ｐ,あ、あ、ああ
奈緒,ああああああ！言っちゃった……言っちゃったよ！！あたし！！
凛,知ってはいたけど……
加蓮,あんなに素直にサラッと言っちゃうとはねー
奈緒,ほんとはもっと、少しずつ素直になってちょっとずつ気持ちを伝えていくつもりだったのにいいい！
凛,……
加蓮,……
奈緒,あきれてたよな？Ｐさん、イヤそうな顔してただろ！？
凛,そんなことはないよ
加蓮,ビックリはしてたみたいだけどね
奈緒,あたしみたいな娘が、Ｐさんを好きなんて……おこがましいよな
凛,そんなことない
奈緒,え？
加蓮,そうだよ
奈緒,でもあたし、可愛くないし……
凛,そんなことない
奈緒,ほんとに？
加蓮,奈緒は可愛いってー。だからこそＰさんも、奈緒をスカウトしたんだろうし
奈緒,……うん
凛,ステージでの奈緒は、とっても輝いてるよ。普段だって可愛いと、私も思う
奈緒,……うん
加蓮,Ｐさんも、そう思ってるって
奈緒,本当は、もっと少しずつアピールするつもりだったんだけど……
凛,？たとえば？
奈緒,髪型変えて、どうかな？って聞いたり
加蓮,ふーん。それで？
奈緒,可愛いよ、って言われたら照れて逃げ出して
凛,うん。それで？
奈緒,それをＰさん追いかけてきてくれてさ、あたしが転びそうになったら抱きしめてくれて
加蓮,ほうほう、続けて！
奈緒,あたしが支えてくれてありがとうって言ったら、Ｐさんが俺はいつだって奈緒を支えるさって
凛,うんうん。それからそれから？
奈緒,そのままＰさんは、あたしをお姫様だっこしてくれて
加蓮,そういうこと考えてるんだ！
奈緒,そのまま二人は、教会で結婚式を挙げるんだ
凛,結婚式って、どういうの？
奈緒,やっぱチャペルでドレス着たいけど、お色直しで着物も着てみたい。ほら、京町乙女の時に着てみたけど、あたしも満更じゃないかなってちょっと思ったし……って、あの、その、この……
加蓮,普段あんな恥ずかしそうにしてるのに……
凛,プロデューサーに、あんな言い方してるのにね
奈緒,な、そ、やっぱり……嫌われてるよな。あたし
加蓮,そんなことはないと思うよ
凛,うん。プロデューサー、ちゃんとわかってると思う
奈緒,さっき２人が言ったみたいに、照れて乱暴な口ばっかりきいてるし……
加蓮,だから大丈夫だって！本気じゃないのバレバレだし
凛,奈緒はもっと自信もつべき
奈緒,今は薬の影響でこうやってなんでもしゃべっちゃってるけどさ、本当のあたしって、素直じゃないから……
加蓮,じゃ、さ。薬の効いてるウチにＰさんに、ちゃんとほら！
凛,いい機会だよ
奈緒,なにが？
加蓮,好きって言っちゃったんだからさ、このまま告白しちゃうんだよ
奈緒,ええーーっ！？そ、それは急すぎるというか、無理だって！！
凛,でももう、好きって言ったんだよ？
加蓮,そうそう。後に引けない状況なんだからいっそ、ね
奈緒,えっ！？
凛,うん。いつかは、じゃなくてこのチャンスを活かそうよ
奈緒,でも……あたしやっぱり……無理だって
加蓮,どうして？
奈緒,告白しても、Ｐさんに断られるのが……怖い
加蓮,……
凛,……
奈緒,……
凛,大丈夫
奈緒,え？
凛,プロデューサーもきっと、奈緒が好きだから
奈緒,そんなわけ……ないよ。あたし、何度も言ってるし自分でもわかってるけど、素直じゃないし……
加蓮,でも今は、素直なんでしょ
奈緒,でも……
凛,今までの仕事も、全部奈緒のことわかってて、奈緒が輝けるようにもってきてた。それだけ奈緒のことプロデューサーはわかってる
加蓮,そうだね。いつもの素直じゃない奈緒を、あれだけわかってくれてるんだよ？
奈緒,でも……２人はいいのか？
加蓮,え？
凛,どういうこと？
奈緒,２人も……Ｐさんのこと……好きじゃないのか？
加蓮,うーん
凛,そうだね
奈緒,あ、あたしばっかりＰさんに気持ちを伝えたら……２人に嫌われたくないし、申し訳ないし
加蓮,わかってはいるけど、今の奈緒は本当に素直だね
凛,うん。ちょっと可笑しいぐらい
奈緒,な、なあ。やっぱり２人とも、Ｐさんのこと好きなんだろ？
加蓮,嫌いじゃないかな
奈緒,え？
凛,私も、信頼はしてるし感謝もしてるけど
奈緒,好きなんじゃないのか？
加蓮,夢を諦めかけてたアタシを、ここまで連れてきてくれた事に感謝してるよ？仕事の上で尊敬もしてる
凛,人として、素敵だし楽しいよね
加蓮,うん。でも、異性として好きかって言われるとねー
凛,好感はもってるけどね
奈緒,ほんと……に？
加蓮,だから安心して告っていいよ
凛,うん。奈緒とプロデューサーなら、私も嬉しい
奈緒,あ、ありがとう。そうなのか……そ、そうだよな、もう……言っちゃったんだし……な
加蓮,あ、ちょっと待って。でもさすがに薬が効きすぎだから、晶葉ちゃんに連絡しておく
凛,じゃあ私も、奈緒の為に応援を呼ぶ
奈緒,？
若林智香,ひゃっほーぅ☆応援と聞いて駆けつけたよっ☆
凛,来た来た。これから奈緒ががんばるから、応援して欲しいんだ
智香,いいけど、なにを頑張るのっ？
加蓮,奈緒、これからＰさんに告白する
智香,……えっ！？
奈緒,////
凛,だから応援よろしく
智香,すごいねっ！よーし、じゃあワンパだっ☆
加蓮,ワンパ？
凛,水泳で、志気を高めるあれ？
智香,可愛いのは、誰だーーー！
加蓮・凛,奈ー緒ーーー！！！
奈緒,お、おー……
智香,Ｐさんと結ばれるのは、誰だーーー！！！
加蓮・凛,奈緒だーーー！！！
奈緒,……おーー！！
智香,がばれがんばれ奈ー緒！！！がんばれがんばれ奈ーーー緒！！！
加蓮・凛,がんばれがんばれ奈ー緒！がんばれがんばれ奈ー緒！！！
奈緒,よ、よおし……い、いくぞＰさん！！！。Ｐさん！
Ｐ,帰ってきたか、奈緒
奈緒,あたし……Ｐさんが好きなんだ！
Ｐ,……
奈緒,あたしを見つけてくれて、アイドルとして魅力を引き出してくれて、あたしに自信と夢みたいな世界をくれたＰさんが、あたし大好きなんだ
Ｐ,奈緒……
奈緒,Ｐさんは、あたしをどう思ってるんだ？
Ｐ,奈緒……俺はな……
奈緒,……うん
Ｐ,奈緒を……いや、奈緒だけじゃない。事務所の娘は、みんな大事に思ってる
奈緒,うん
Ｐ,奈緒だけを、特別には思ってないんだ
奈緒,…………うん
Ｐ,もちろん奈緒を嫌いなわけじゃないぞ？だけど、俺は今までも……そしてこれからもみんなのプロデューサーだ
奈緒,……う……
Ｐ,ずっとそばにいる
奈緒,うう……
Ｐ,な、泣かないでくれ。だけどそれは、なんというか……お、俺はな……
加蓮,Ｐさん、声でてないよ？はい、ジュースどうぞ
Ｐ,ああ。ありがとう加蓮。イチゴジュースか。それでな、奈緒。俺は奈緒が好きだ
奈緒,うえぇん……え？
Ｐ,あ！？あ、いやいやそうじゃなくて、俺は奈緒をアイドルとしてじゃなくて、１人の女の子として大好きなんだ
奈緒,え？Ｐさん！？
Ｐ,ちー、違う違う。そうじゃなくて、俺は奈緒を本当に好きなんだ！
奈緒,え？え？？え？？？
加蓮,奈ー緒。これこれ
奈緒,え？あ、あれは晶葉の……
凛,晶葉に持ってきてもらったんだよ
Ｐ,正直スカウトした時からもう胸がドキドキして、こんな可愛い娘がいるのかと……あ、あれ？あれっ！？
奈緒,Ｐさん……本当に……？
Ｐ,もうスカウトじやなくって、このままナンパしようかとも思ったけど、アイドルとして輝いてる姿も見たかったから、やっぱスカウトにしたのはいい思い出……ってうわうわ！
奈緒,ほんとにあたしのこと……？
Ｐ,ちょ、ちょっと待て奈緒！こ、こういうのはいずれちょっとずつ奈緒に教えていくつもり……じゃなくて、いつか告ろうとは思ってたけど……じゃなくてだな！
奈緒,うれしい……
Ｐ,……奈緒
奈緒,それが聞けただけでも、もうあたし……それだけでもいいよ
Ｐ,いや、それじゃダメだ
奈緒,え？
Ｐ,あーもう！こうなったら全部言うけど、俺は奈緒が好きだ！
奈緒,……うん////
Ｐ,誰にも内緒で、こっそりつき合ってくれ！
凛,聞こえてるけど……
智香,まあまあっ☆
加蓮,やっぱりねえ、Ｐさんも奈緒が好きだったんだ
凛,加蓮がさっきプロデューサーに飲ませたのは、やっぱり
加蓮,うん、晶葉ちゃんのツンデレに効く薬です
智香,それでプロデューサーさん、急に素直に
奈緒,うん。あたしもＰさんが、大好きだ////
Ｐ,やった！いつか結婚しような
奈緒,うれしい……
Ｐ,式場はチャペルで、お色直しで着物も着ような！
奈緒,あたしとおんなじ……Ｐさん、やっぱり大好きだーーー////////
加蓮,……
凛,加蓮、こんなとこにいたんだ
加蓮,……うん
凛,寒くない？また身体こわすよ
加蓮,……平気
凛,……
加蓮,……
凛,ねえ
加蓮,……んー？
凛,良かったね。奈緒
加蓮,……うん
凛,それから……
加蓮,？
凛,これ、のどかわいたでしょ
加蓮,？ありがと
凛,加蓮さ
加蓮,ん？
凛,本当は……プロデューサーが好きなんだよね？
加蓮,ちが……そうだよ。あれ？
凛,奈緒とＰさんがくっついて、傷心なんだよね
加蓮,うん。あ、あれ？あ！凛！！
凛,私も
加蓮,今のジュース、晶葉……え？
凛,私もそれ、飲んだ
加蓮,え？
凛,それで、私も
加蓮,？
凛,本当は、傷心なんだ……
加蓮,……そっか。やっぱり
凛,……うん
加蓮,奈緒、嬉しそうだったね
凛,……うん
加蓮,良かったよね
凛,うん……
加蓮,でも……
凛,うん……
加蓮,……う
凛,……う
凛・加蓮,うえええーーーんんん
