峯岸セシリア,３０
高見沢,マスコミは大げさなんですよ。不倫をとやかく騒いで何になるんです？
セシリア,でも、私もそのマスコミにいましたから……
高見沢,だが……。今のあなたはマスコミの人間ではなく、大自然の中にいる人間でしょう？
セシリア,ええ、まあ……
高見沢,峯岸さん、見てください。この雄大な大自然を……
セシリア,はい……
高見沢,月が綺麗ですね
セシリア,ええ……
BAR,魔の巣
喪黒,どうやら、あなたはソロキャンプを満喫できたようですなぁ
セシリア,はい。精神的に落ち込んでいた私も、大自然の中で癒しを得ることができました
喪黒,よかったですなぁ、峯岸さん
セシリア,それに、私は山の中である人物に出会ったんです。実は……
喪黒,ほう……。もしかすると、あなた……。その高見沢という人に惚れているのですか？
セシリア,そ、そんなことはないです……。私は高見沢さんとたった1回、出会っただけですし……
喪黒,それでいいんですよ。だって峯岸さんは、不倫の恋で心に傷を負ったのでしょう？
セシリア,は、はい……
喪黒,私は、峯岸さんに山で過ごすよう勧めました。でも、それはあなたを精神的に立ち直らせるのが目的ですから……
セシリア,ええ……。それは、もちろん承知していますよ
喪黒,峯岸さん、私と約束してくださいよ。新しい恋人と出会うために、山へ行ってはいけません。いいですね！？
セシリア,わ、分かりました……。喪黒さん。もう1度、あの山に行こう！！そうすれば、私は高見沢さんにまた会えるかもしれない……
高見沢,やぁ、峯岸さん
セシリア,おはようございます、高見沢さん！私、あなたにもう1度会いたかったんですよ！。高見沢さん。私、焚き火のための枝を集めてきますね！
喪黒,峯岸セシリアさん……。あなた約束を破りましたね
セシリア,も、喪黒さん……！！
喪黒,私は、峯岸さんに言ったはずですよ。新しい恋人と出会うために、山へ行ってはいけない……と
セシリア,すみません……。でも、私……。高見沢さんに会いたくて、どうしても……
喪黒,弁解は無用です。約束を破った以上、あなたには罰を受けて貰うしかありません！！。ドーーーーーーーーーーーン！！！
セシリア,キャアアアアアアアアアアア！！！。高見沢さん、月が綺麗ですね。ほら、満月……。高見沢さん、どうしたんですか……？気のせいか、顔が毛深くなってますよ……。い、嫌……。誰か助けて……。キャアアアアアアアアアッ！！！
喪黒,日本は海洋国家と見られがちですが……。列島をよく見渡すと、山にも恵まれた山岳国家であることに気づきます
