塩見周子,18
周子,あ、そういやそっか。アイドルってなんか楽しいから、仕事ーってイメージなかったかも
P,まぁ今みたいに逃げること考えながらやられるよりはいいけど
周子,で、今夜いい？いいでしょ？
P,お前がよくないだろ。帰省中に夜遊びとかご両親がいい顔しないだろうし
周子,えー、いいよ、へーきへーき。あ、それならあたしがPさんを京案内するって設定はどう？それなら大丈夫そうでしょ？
P,設定って……。でも案内は魅力的だな。調べてないからどこから見ればいいのやらさっぱりだ
周子,じゃあそれで決定！でも観光は明日、今日は遊びに行こっ♪
P,……いずれにせよご両親にお伺い立ててからな。挨拶もしておきたいし
周子,あ、マジで？じゃ親父呼ぼっか？
P,いや、もうちょいしたらきらり達送りに行くから後でまた来るよ。慌ただしくなると悪いからな
周子,よっしゃ♪ならあたしも今のうちに着替えて用意しとこーっと
P,え、いやお前は店番なんじゃ……
周子,あ、お代はつけとくね！器はそのままでいいから！。前掛けぽーい♪そいじゃまた後で♪
きらり,……………
P,…………行っちゃったな
きらり,…………………にょわ
P,そうだな……
周子,ってことで親父、行ってくるね
P,では、失礼します
周子,…………やったー！自由だーっ♪
P,なんか偉い量のお土産貰っちゃったな
周子,親父、機嫌良かったからねー。普段もああだったらいいのに
P,厳しそうな人だよな……今日は何かあったのか？
周子,んー、聞きたい？聞きたい？
P,……聞きたい
周子,んふふ、さっきPさん達が出てった後、Pさんが挨拶したがってるって言ったのよー。そしたらもうにっこにこでね。ほ、ほんまか周子ぉ！！って、ぷっ、あははっ。それでなんか急いで袴とか引っ張り出して来ちゃって、あたしも着物着せられるとこだったんだから、あはっ
P,え、今のそんなに重要なイベントだったのか！？
周子,ま、あたしが人連れてくること自体があんまないからねー。いつもあちこち遊び回る側だし。それに家出娘を拾ってくれた上に仕事まで面倒見てくれてる恩人が、自ら挨拶に来てくれたんだからー。そりゃもうねー？
P,……なぁ、それって勘違いされてるんじゃ……
周子,ま、させときゃいいじゃん？ほっとけほっとけ♪
P,いやいやいやいや、よくないだろ！めっちゃお前のことよろしくお願いされたの、そういうことかよ！。戻ろう戻ろう、俺もう一回親父さんにちょっと…
周子,あーダメダメ、Pさんはもうあたしの貸し切りー！
P,いや困るから！こういう誤解はマジで！
周子,いーっていーって、あたしが後で話しとくよ
P,いや俺が直接…
周子,そんなことして親父の機嫌が急転直下したら、Pさんもあたしも説教コースかもよ？親父の説教は長いよー？
P,う………
周子,だからほら、シューコにおまかせ！ね？
P,……本当に、ちゃんと誤解解いてくれよ？
周子,んー、今日のPさんのエスコート次第ね！しーっかりあたしの相手してくれたら、考えたげる♪
P,はぁ………
周子,さ、行こ行こ！夜の街はすぐそこっ♪
P,……ホント頼むぞ。にしてもこれ結構量あるな。持って歩き回るのはちょっと厳しいか
周子,親父調子に乗りすぎだよ……どーしよっか
P,んー、出歩く前に一旦ホテル寄ってもいいか？
周子,えー、遊ぶ時間減っちゃうじゃん……コインロッカーかなんかに預ければよくない？どこ泊まんの？
P,市役所前のとこ。チェックインも済ませたいし
周子,え、嘘、あそこ？高級ホテルじゃん！中見てみたい！。それなら話は違うよ、ほらあたしも一個持ったげる！レッツゴー♪
P,おとなしくしてろよ……？
周子,部屋、ここかな？お邪魔しまーす。おー、ひろーい！！
P,はぇー、すごくおっきい……
周子,うわ、ベッドもでっかいね……それっ！。わ、ふっかふか！いいなー♪
P,こら、今晩の俺の寝床なんだからあんまり荒らすなよ
周子,いーじゃんいーじゃん。あたしの残り香があれば二倍はよく寝れるよ♪
P,はいはい、ったくさっきも変なことすんなって言ったのに……
周子,でもフロントのお姉さんいいリアクションしてたっしょ？
P,いや固まってただけだろ……お一人様と現地妻です♪ってなんだよ……
周子,へっへー、演技力には自信がありまして
P,その才能はもっと別のところで使ってくれ。フロントの前通るのが憂鬱だ……
周子,気にしない気にしない♪よっと……ほら、行こっ！
P,わかったわかった、行くから離せ
周子,えー、これくらいはいいでしょー
P,またあの受付の前通るんだぞ……腕組みとか勘弁してくれ
周子,や、エスコートって言ったらコレが基本っしょ？それにうちの親父の噴火が賭かってるんだよー？
P,……
周子,ほーら、見せつけに行きましょーっ♪
P,……ホント手加減してくれよ……？
周子,ありゃ、トリプル？これあたし負けじゃん
P,っし！ふふふ、前にわからされてから練習したからな
周子,えーっ、聞いてなーい…あたしも左手使お
P,おう、いいぞ。前までの俺と同じだと思うなよ？
周子,ほほー、自信満々だね？じゃ賭けよっか
P,……内容次第だな
周子,そんな無茶は言わないって。んー、そーだね……。じゃ、負けた方はゲーム代と飲み物一杯オゴり、でどう？
P,…それくらいなら。お前はソフトドリンクだけな
周子,ま、あたしが飲むもん買うのはPさんだからね？ちゃーんと選んで、あたしが好きそうなの買ってきて♪
P,どうかな？とりあえずさっきの分きっちり仕返ししてやる
周子,あ、根に持っちゃってる？ならPさん負け越したら帰りにもう一回やろーっと
P,……もうあの受付嬢じゃないかもしれないぞ
周子,いーのいーの♪悪戯が目的だし♪
P,……させるか！まずは一本いくぞー
周子,あっれー、おかしーなー……腕鈍っちゃったかなぁ
P,っしゃあ！まずは1つ！
周子,あーん……Pさん相当練習した？
P,まぁ、多少は
周子,むー…とりあえず飲み物買ってくるよ。あ、Pさんはお酒がいい？
P,なんでもいいぞ。変な激辛ドリンクとかじゃなければ
周子,じゃ、お酒ねー♪ちょっと待ってて。おっちゃーん、なんかお酒ちょーだい。あたしじゃなくてあっちのお兄さんの。負けちゃったからお使い。ま、そんな感じ。そうそう、だからなんかあのお兄さんやっつけられるの出してよ。ねっ。じゃあそれ！あたしは水でいーや、ストロー刺しといてね。あとてきとーに食べ物もお願い♪。ありがとー♪
P,……なんかショットグラスが来たんだが
周子,いやー、なんか可愛い名前のお酒だったからつい
P,……可愛い名前？なんだ？
周子,ぱりんことかそんな感じの名前だよ。知ってる？
P,ぱりんこじゃわかんねぇよ……うーん、強そうだな。いやショットなら当然か……
周子,まあまあ、いーのいーの！ほら飲んだら再戦！
P,……よし。っ、けほっ、うわ強っ……水、水っ
周子,あ、それあたしの。やーん、間接キス♪
P,……すまん
周子,別にいーよ、今更だし。で、どう？お味は？
P,んー、強いけど後味がいいな。ブドウかな？果実の香りが口に残って爽やかな感じ
周子,お、それじゃ何点くらい？
P,85点。正直かなり好み
周子,よしっ！あたしのセンスも腐っちゃいないねー。それじゃぱりんこ賭けてもう一戦♪
P,……次は正確な名前聞いてきてくれ
周子,あーれ、また負けかぁ……おっちゃーん、さっきのもう一杯ー！。あーっ、なんで勝てないかなぁ……カウントアップ得意なハズなのに。おっちゃんもういっちょー！。っしゃ♪これなら勝てるっしょ
P,まだまだ、見てろよ……。あれ？
周子,ありゃ、お酒回ってきちゃった？
P,いや大丈夫、よっ……ととと
周子,あー、ダメだねこりゃ。そいじゃこれはあたしの勝ちってことで♪
P,……仕方ないか
周子,Pさんだいじょぶ？
P,ああ、気分は悪くないし。でもちょっと回ってるな
周子,ちょっと休んでこっか
P,もう結構遅いだろ。帰った方がいいんじゃないか？
周子,あ、ホントだ。でもPさん一人で帰れんの？
P,おう、大丈夫……っと
周子,はいダメー。ホテル近いし送るよ
P,……そしたらお前が一人で帰るハメになるだろ
周子,大丈夫大丈夫、タクシーなりなんなり捕まえるから
P,いやダメダメ、俺がお前送ってタクシーで帰る
周子,あーもー……もしフラフラしてんのがあたしだったらPさんはどうする？
P,……強制連行
周子,じゃあ逆なんだから今回はPさんが強制連行ね。ほら、行こ
P,また腕組み…
周子,おっちゃーん、ありがとねー
P,あー悪いな、迷惑かける……ついグイグイいっちまった
周子,いーのいーの、Pさんも楽しかったでしょ？
P,……そうだな
周子,ならいいっこ無し、ね？あたしもPさんが付き合ってくれたお陰で久々に遊べて楽しかったし
P,……わかった
周子,………
P,………
周子,ね、Pさん
P,んー？
周子,……なんでもないや。後で言お。はい、到着……あ、まだフロントのお姉さん同じ人だよ？どうする？
P,何も無しで頼む……
周子,じゃ、また今度だね。部屋の鍵貸して？
P,ん、ああ……ほい
周子,……ん、それじゃレッツゴー♪
P,……なぁ、今ウインクしたろ
周子,んー？たまたまお姉さんと目が合っただけだよー？
P,いや絶対しただろ？
周子,あ、ほらエレベーター来たよ？はいお客さん、乗るなら乗ってね
P,ぐぬぬ……
周子,はい、おつかれー……っと、大丈夫？
P,ああ、多分……気分は悪くないし。ちょっと休めば回復するはず
周子,もしかしてお酒弱かったり？
P,強い方だと思うけどなぁ。今日はちょっと勢いつけすぎた
周子,あ、前言ったっけ。あたしのハタチの楽しみの1つ、Pさんとお酒飲むことなの
P,ああ、そういや……俺も楽しみにしてるよ
周子,そっかそっか♪それじゃ、次の次の誕生日、ちゃんと祝ってね？
P,おう、覚えとく……とと、やっぱ結構回ってるなあ。風呂……は、明日の朝かな。お前も早く帰…
周子,ならあたしシャワー借りるねー
P,…………は？
周子,いやー、広いねー。ついついのんびりしちった。あ、バスローブどう？似合う？着るの初めてだけど、なかなかいいもんだね
P,……なぁ周子、もしかしてお前泊まる気か？
周子,いやー、若い男女が二人でホテルの部屋に入ったらやっぱお泊りじゃない？
P,ダメに決まってるだろ。髪乾いたらタクシー呼んで帰れ
周子,ううう、冷たいね……あたしなんてPさんにとっては所詮都合のいい女だったんだ……
P,いや三文芝居はいいから……。お前ももうアイドルなんだし、俺も立場がある身だし。そういうのはダメ。前にも言っただろ？
周子,……ぶー。家出少女を手篭めにした鬼畜プロデューサーのくせに
P,う……。あ、あの時は合意だったろ
周子,すっごい痛かったの我慢して初めてあげたのに
P,うぅ……
周子,ぶー……
P,……泊まるのは許す
周子,あ、マジで？
P,でも何もしない。これは絶対な
周子,やった！えへへ、やっぱPさんは優しいねー♪
P,本っっっっ当にしないぞ
周子,わかってるって
P,絶対だぞ
周子,わかったわかった、ほらPさんもお疲れでしょ？寝よ寝よ♪
P,ん……お、ふかふかだなぁ。よく寝れそうだ
周子,ん、それじゃあたしもお邪魔しまーす
P,………
周子,………
P,……顔、赤いな
周子,長湯しちゃったからね。元が白いし
P,そっか
周子,そーなの。ね
P,ん？
周子,ベッドの中で会うの、二度目だね
P,……だな
周子,手、貸して？
P,……おう
周子,そっちじゃなくて毛布の中
P,……こうか
周子,ん
P,……冷たいな
周子,心が暖かいからね
P,そうなのか？
周子,さ？知らない
P,なんだそりゃ
周子,Pさんはどう思う？
P,……普通かな
周子,ま、わかんないよね。あのさ、さっきはあんな言い方したけど。……あたしは初めてのこと、後悔してないよ
P,……ならいいんだけどな
周子,うん。それも、アイドルの仕事も。Pさんが相手でよかった
P,……どうしたんだ、藪から棒に
周子,べっつにー。ただ誰かさんに他の子とイチャイチャしながら観光してるの見せつけられちゃったからさ
P,いや、あれはきらりが……
周子,あ、他の子の名前は禁止ね
P,……まぁ、他意はないから
周子,……うん。知ってる
P,…………
周子,なんて言うんだろ。なんかさ、ジェラシー？なのかな。Pさんがあたしがいないのに他の子と楽しそうにやってるの見てさ、ちょっとヤキモチ焼いちゃっただけ
P,……そっか
周子,東京戻ったら、あたしの番だからね
P,おう。任せとけ。………プロデュースの話だよな？
周子,……どーだろね？
P,プロデュースの話な
周子,はーいはい、お固いんだから。そういやさ、ダーツ
P,なかなかだっただろ
周子,うん、ビックリした
P,誕生日に貰ったセットで、毎晩練習してるよ
周子,……そっか。へへ
P,俺に飲ませる為にワザと負けてた、とかじゃないよな？
周子,あ、一本目は手抜き
P,……だよな
周子,でもあとは全部本気で投げてたよ
P,よかった……まだ掌の上だったらどうしようかと
周子,……ね、あれ渡したときに言ったこと、覚えてる？
P,………………
周子,……バーカ。もうちょいそっち寄っていい？
P,……なんもしないならいいぞ
周子,ん、それじゃ。この距離だとだいぶ暖かいね
P,だな
周子,……あのさ
P,ん
周子,あたしはちょっと、運命感じちゃったよ
P,……へ？
周子,ほら、オフなのに会えたこと
P,夕方言ってたアレか
周子,そそ。あたしとPさんって相性いいんじゃん？
P,……たまに人にも言われるな
周子,あ、マジで？やっぱそーかな♪
P,俺も周子と仕事するのは好きだし
周子,両想い。やったね
P,あとはムラがなくなれば完璧なんだけど
周子,そんなんあたしじゃないじゃん
P,だな。ま、これからもよろしくな
周子,ん。よろしくね。……ね、もっと近くいってもいい？
P,寒いのか？
周子,別に？でもくっつきたい気分
P,……何もすんなよ
周子,大丈夫、あたしもPさんには嫌われたくないし
P,そっか
周子,大切な人だからね
P,………
周子,あ、グッときた？
P,……知らん
周子,ま、ホントにそう思ってるから。覚えといてよ。それじゃ近くに失礼して、っと……ほらPさんもこっち向いて
P,…………
周子,で、こーして……Pさんの腕の中に、ただいま
P,………
周子,あれ、おかえりは？
P,……おかえり
周子,ん♪。なんだっけ、ミッドナイトフェアリーだっけ？。あたしあの名前、けっこー気に入ってるよ
P,お前にピッタリだからな
周子,そそ、深夜の妖精、ってね。すっごいあたしっぽい
P,悪戯好きで気まぐれなとこもな
周子,あ、そこら辺も込みなんだ？
P,まあな
周子,よく見てるねー、あたしのこと
P,両想いだからな
周子,あ、認めちゃう？
P,仕事については
周子,よしよし。一歩前進。……今回さ、ちょっと気まぐれで実家帰ったけど。Pさんの元に帰る、ってのも案外しっくりくるかも
P,俺の？
周子,そ。Pさんのお陰で翔べるから、Pさんの元に帰ってくる。どう？
P,……何もしてやれんぞ
周子,Pさんのそば、あたしの居場所にさせて欲しいなーなんて思ってるだけ
P,よくわからん
周子,これからもあたしの相手してね、ってこと
P,……それでしっかり飛べるなら安いもんだ
周子,やりぃ♪あ、生涯プランもあるけど
P,今は絶対いい返事は出ないぞ
周子,ありゃ、そっか。ざーんねん。ま、そのうちね。んー、やっぱ触れ合ってるって幸せだねー
P,そういうもんなのか？
周子,大好きなPさんが相手だからね
P,…………
周子,ね、キスしてもいい？
P,……ダメ
周子,ホントにー？
P,…………
周子,いいでしょ？
P,変なことしないって約束だろ
周子,変なことじゃないし。信愛の証
P,……また適当なことを
周子,あ、狼少年になっちった。これは本当だよ。心込めて口づけ一つ、したいなーって
P,…………
周子,ホントに、ダメ？
P,……知らん
周子,ん、それじゃ。……ぷはっ……ホントだ
P,……何がだ？
周子,ブドウの香り
P,……まだ残ってるのか
周子,名前、パリンカだってさ
P,あー……ぱりんこ、ねぇ
周子,ハタチになったら、それでお祝いね
P,覚えとくよ
周子,ん。Pさん、眠い？
P,飲んだし、それなりに。明日は京都案内よろしくな
周子,任せといて♪あ、でも夕方から仕事なんだよね
P,ああ。だからあんまり疲れないコースで頼む
周子,プロデューサーって大変だ
P,好きでやってるからな
周子,あたしのことが？
P,そうだな
周子,…………今のはずるい
P,大人だからな
周子,ちぇ。…………寝よっか
P,おやすみ
周子,ん。おやすみ
P,ごちそうさま
周子,ごちそーさま！いやー、ルームサービスっていいね
P,初めてだったのか？
周子,機会なかったからね。あ、またいいホテル泊まるときは呼んでよ
P,今回は社長が優待券持ってたからたまたまだ。そうそうないぞ
周子,えー
P,仕事、頑張ればいくらでも泊まれるぞ。周子は能力あるからな。根気よく取り組めば、ホテルくらい好きに選べるようになるさ
周子,ほほー、動機付け、ってやつだね
P,東京戻ったらしっかり頼むぞ。ま、その前に観光観光！
周子,はいはい……っと、そういや部屋出る前に。いい知らせと悪い知らせがあるんだけど
P,え、なんだよ
周子,ほら、どっちから？
P,…………いい方から
周子,Pさんが起きる前に親父から電話かかってきてね、今日発つ前にもう一度会いたいって
P,……話してくれるんだよな？
周子,あー、それは後、後。で、どうする？
P,打ち合わせ終わったらまたお邪魔するか。大丈夫かな
周子,粉臭いと思うけどね。多分大丈夫っしょ
P,……で、悪い方は？
周子,電話かかってきたときにね
P,ときに？
周子,Pさん隣で寝てるって言っちゃった
P,…………
周子,あと実は無断外泊
P,…………
周子,親父カンカンだった
P,……………
周子,てことで、Pさん、ここはひとつよろしくっ♪
P,えっ
周子,……
P,…………なんだあの子？
周子,……
P,ずっと試食コーナー回ってる……
周子,……
P,肌真っ白だな……姿勢もいいしすごい美人さんだな。それにあのカバン……家出か？。………………よし
周子,んー、やっぱ働かないとダメかなー…
P,……あの、君
周子,……げ、あ、あはははは。お店の人？あ、あたし食べ過ぎですかね？あはは
P,いや、別にそういうわけじゃ
周子,……あれ、それじゃナンパ？
P,それも違う……えっと、アイドルって興味ない？
周子,へ？
P,こういう者です。そこにある通り、アイドル事務所でプロデューサーやってます
周子,え、アイドルってアレ、テレビとかに出るやつでしょ？あたし？
P,うん。興味があったら話だけでも
周子,いやー、そんなんガラじゃないってー。ごめんねお兄さん、別の人に……
P,……ご飯くらいなら奢るけど
周子,へ？
P,試食コーナー荒らすよりかは生産的だと思うよ？
周子,むー……
P,あとうちの事務所は女子寮あるから、とりあえず飯と宿は困らないし
周子,……やっぱわかっちゃう？
P,まぁ、わかりやすい行動してるし。どうかな？
周子,……どっか適当に入ろ
P,うーん、寮の部屋は今日は無理かな
周子,あー、やっぱそんな上手くはいかないかー
P,まぁ明日には部屋使えるようにしてもらうから。一通りテストして、合格だったら入る感じかな
周子,お、じゃあ頑張らなきゃね。テストって何すんの？
P,歌とかダンスとか。あとは外見とか性格の判断も
周子,まぁちょーっとくらいならできるかな。後ろの2つは知らないけど
P,そんなに凄いものは要求しないよ。素質が見たいだけ
周子,素質ねぇ。あたしにあんのかなー
P,まぁ、あると思って声かけたんだから。俺の太鼓判付き、ってことで
周子,ね、どこがいいと思ったの？見た目？
P,んー、まあ見た目も勿論だけど。肌は真っ白だし、髪も綺麗で目も引き込まれる感じで。でも何よりも雰囲気かな。なんて言うかな。あーアレだ、立てば芍薬座れば牡丹、歩く姿は百合の花って感じ。花の可憐さとか、儚さとかが見た目以上に雰囲気にあるっていうか。うーん、なんか上手く言い表せないな。すまん
周子,…………
P,……ごめん、変だったか？
周子,……今めっちゃ恥ずかしい。ん、ごちそうさま
P,足りた？
周子,うん、久々にお腹いっぱい。ありがと
P,で、塩見さん。明日のことだけど…
周子,周子でいいよ。あともっと砕けた感じで話してよ
P,……変かな
周子,へーん。不自然
P,……じゃあ周子。明日、この住所に来て貰っていいか？なんなら駅まで迎えに行く
周子,あ、そっちのが自然でいーね。大丈夫だよ
P,そっか。それじゃ、また明日な。何かあったらそこの携帯の番号にかけてくれれば……
周子,お、じゃ早速！
P,何かあるのか？
周子,うん。あたし、今日泊まるとこないんだけど。やー、助かるよ。お金尽きちゃってさー
P,まぁマンガ喫茶代くらいなら……でもどうするつもりだったんだ？
周子,親戚の家とか転がり込もうかなーと
P,適当だな……
周子,あはは、あたしはこんなんだよ。ダメかな
P,いや。そんなアイドルがいてもいいと思うし
周子,そっかな。ふふ、そいじゃ明日はちょっと本気出して頑張っちゃお
P,おう、頼むぞ。じゃ、また明日な
周子,ん、じゃーねー
P,……もうこんな時間か。ちひろさん、そろそろ切り上げましょう
ちひろ,あら、本当。今日はよく売れましたよ～
P,そうですか
ちひろ,ちょっと考えたんですけど、みなさんからどれくらいまでなら絞り出せるのかテストしてみようと思いまして
P,そうですか
ちひろ,それでですね、今度は舞台をアメリカにですね、ツアーをやろうと思うんです！
P,すごいですね、頑張ってください。それじゃ、女子寮の件お願いしますね
ちひろ,はーい♪あ、鍵は私が閉めますよ
P,それじゃお先に失礼します。また明日。ふー……さて、明日はどうなることやら……。あ、自分用の携帯……あれ、不在着信6件？……この番号って
周子,おじゃましまーす
P,おう、上がって。適当にくつろいでくれ
周子,ほーい……やー、びっくりしたよ。まさかあんなもん聞かされるとは
P,……まぁ、仕方ないな。明日は頑張ってもらいたいし
周子,うん、あたしも頑張りたいし。悪いけど一晩だけ転がり込ませてね
P,おう、明日は頼むぞ。なんだったら俺が寝袋で寝るから、ベッド使ってもいいから
周子,いやー、それは流石に悪いよ。あ、風呂借りていい？さっきのお店のシャワー汚くて使えなくてさ
P,ああ、いいぞ。出てるタオル使っていいから
周子,ほーい。それじゃ借りるね
P,電気消すぞー
周子,あはは、なんか修学旅行みたい
P,……だな
周子,久しぶりに横になって寝るかも
P,……本当に無計画で家出したのか
周子,うん、まあ何もしてないあたしが悪いんだけどね。親父とうまくいかなくてさ
P,……焦ってもいいことないぞ
周子,そうかな？
P,お前のペースでやればいいさ。自分の人生だ
周子,…………初めてそんなこと言われた
P,そうか？
周子,うん。もっと頑張れ！みたいなことばっかり言われてたから。ふふ、良い人に拾われちゃったのかな♪。ね、アイドルって楽しいの？
P,うーん、やる人次第だな。でも間違いなく楽しめるとは思うぞ
周子,ふーん……や、実家の和菓子屋って退屈だったからさ。仕事にいいイメージなくて
P,なら精一杯楽しむつもりでやれ。俺が精一杯楽しませてやるから
周子,お、かっこいーね
P,この子ならいいアイドルになる、と思って声かけたんだからな
周子,そっか。…………ん、本気出さないとね
P,ふぁ…………そろそろ寝るぞ
周子,へ？
P,ん？
周子,あたし、食べられちゃうんじゃないの？
P,…………は？
周子,いや、だって家出少女って転がり込んだらそのままパクっとされちゃうもんだと
P,…何言ってんだ、寝ろ
周子,あれ、あたし魅力ない？
P,……そんなこと言ってない
周子,じゃ、召し上がれ♪
P,……アイドルとプロデューサーはそういうのは厳禁。わかるだろ
周子,あたしまだアイドルじゃないよ？
P,だーっ、でも明日にはアイドルになりたいんだろ？
周子,そのつもりだけど。だったら、逆に言えばこれが最後のチャンスじゃん？
P,最初も最後もないの
周子,あたしにとっては最初だけどー？
P,……ならもっと大切にしなさい
周子,いいと思ったから、ここ来たんだよ？
P,ダメ。俺は寝るぞ
周子,……じゃああたしもベッドで寝る。おじゃましまーす
P,っ、おいこらっ…。……離せよ
周子,……6回
P,へ？
周子,Pさんが折り返してくれるまで、電話にかけた回数。その間、ずっと隣で絡み合ってたワケよ
P,………………
周子,女の子の声噛み殺した声聞いてたら、あたしもちょっと、来ちゃって。……なんてんだろ。すっごい、ムラムラしてる
P,……初めてなんだろ
周子,うん。でも、今はすっごいそーゆーキブン
P,……本当に今日だけだぞ
周子,それでいーの。頂いちゃって。ひゃー、剥かれるってこんな気分なんだ…
P,ホントに初めてなんだな
周子,まーね。あんま機会なかったのもあるし。いや、でも東京まで来て素っ裸で組み敷かれるとは
P,…後悔すんなよ？
周子,じゃ、後悔させないようにして？
P,……触るぞ
周子,ん……っ、なんかこそばい
P,ホント肌白いな
周子,でしょ？生憎お日様の子、ってわけにはいかなくてね
P,ちょっと朱が刺してきてる
周子,え、マジで？
P,飄々としてると思ったら、結構恥じらってるのな
周子,うわー、あたしにそんな欠点があるとは……うん、まぁそうなんだけど、さ。ひゃっ！あ、待って待って……その、そっち、する前に
P,ん？
周子,キス、しよ？。ん、ありがと。それじゃ、続き……
