ち●ろ,本当に人気マスコットキャラになりたいという気持ちで……胸がいっぱいなら……！。どこであれ土下座が出来る……！たとえそれが……。肉焦がし……骨焼く………鉄板の上でもっ…………！
忍,穂乃香ちゃんのも……ほら、柚ちゃんもこっち来てアタシの食べて？
柚,りょーかい、それじゃ柚のと確かめあいっこだね♪
Ｐ,……この会話、録音しておけばよかったか……
ちひろ,１５００モバコインになります♪
Ｐ,コイツ、直接脳内に……！？３セットお願いします
ちひろ,ごちそうさまでした、どれも美味しかったですよ♪
Ｐ,そりゃ良かった、結構本気で味を改良した甲斐がありますね
穂乃香,Ｐさんも開発に参加してたんですか？
Ｐ,ああ、それとアドバイザーという名の味見にかな子と愛梨、周子と菜帆を迎えてた
忍,凄い豪華メンバーだ！？
Ｐ,基本は来たのを食べて感想や意見を返すだけだけどな、いや結構いろいろ試したよ……
ちひろ,おかげで、かな子ちゃんのレッスン量がまた増えたみたいですけどね
柚,ふむ……ねぇねぇ、せっかくだからどの味が一番人気か勝負してみないカナ？
忍,勝負か……ふふふ、ホントにやるなら頑張っちゃうよ！
穂乃香,でも、勝敗で何かするんですか？。……！！まさか負けた人のぴにゃこら太をぐさぁーっ……
柚,流石にそこまでヒドくないよ！？……そうだなー、Ｐサンが一つお願い聞いてくれる権で！
ちひろ,いいですね、集計の方はしっかりやりますのでご心配なく♪
Ｐ,俺の都合は無視か！？……まぁいいよ、それはそれで面白そうだしな
柚,さっすがＰサン、話が分かる♪
Ｐ,話もまとまった所で、もうすぐミニライブのレッスンだからお前ら向かえよー
忍,そうだね、ライブも成功させないと！
穂乃香,この３人でのユニットは初めてなので……楽しみですね
柚,うん、燃えてきたよー！ぼんばー♪
ちひろ,煽った私が言うのもなんですが、案外すんなり了承しましたね？
Ｐ,まぁ言った通り、俺もそういう勝負事は面白いから好きですし……それに
ちひろ,それに？
Ｐ,あいつらならぶっ飛んだ要求も出ないでしょうし、安心ですよ、うん
ちひろ,確かに、相手次第ではヤバいですね……あの人とかあの人とか
穂乃香,すいません皆さん、お待たせしてしまって……
忍,大丈夫だよ、アタシたちも今来たところだし
柚,そうそう、それにチャンピオンは最後に来るものだからね！
忍,相当接戦だったけど……やっぱり勝負の決め手はぴにゃこら太愛かな？
柚,さすが穂乃香さん、我々ではかないませんなぁ～♪
穂乃香,もうっ、からかわないでください……///
Ｐ,……しかし穂乃香、お願いは３人のオフを調整して一緒にカラオケってだけでいいのか？
柚,そうだよ穂乃香さん、今ならＰサンで好き放題遊べるチャンスなんだよ！
Ｐ,そこの柚はあとでワシャるとして……確かにもう少し希望していいんだぞ？
穂乃香,いえ……私はみんなと初めてのカラオケに来ることが出来て、十分幸せですから
全員,ええ子や……
Ｐ,それじゃ行くか、ちひろさんお墨付きの店だから色々安心だと思うぞ
柚,ちひろ印は偉大だねっ♪
穂乃香,えっと、Ｐさんも参加できるんでしょうか？
Ｐ,ああ、今日は午後から休みをもらってるから大丈夫だ……夕方にはちひろさんも来れるかもってさ
柚,Ｐサンのカラオケ、見るのは初めてかも！
忍,これは今度自慢できちゃうかな？
Ｐ,おいおい、ハードル上げるのは勘弁してほしいんだが……
穂乃香,………………
Ｐ,……ん、穂乃香どうした？
穂乃香,ふふっ、いえ……。とっても楽しいな、って♪
ちひろ,……なんて事があってね♪
卯月,わぁ、それは楽しそうですね！
智絵里,だから次の日、ちょっと声が変だったんでしょうか？
凛,プロデューサーのカラオケは私も見たことない……少し羨ましい、かな
美嘉,この打ち合わせが終わったら誘ってみよっか★
卯月,ところで、今日の内容について誰か聞いてる？
智絵里,いえ、私は特に……皆さんも知らないんですか？
凛,まぁ、来れば分かるからいいんじゃない……あ、プロデューサー
Ｐ,おはよう、全員揃ってるなー
美嘉,おはよー★ってその荷物はいったい……？
ちひろ,あ、このパターンは
Ｐ,ああ、今度はうづパカ焼きだ！
全員,！！？
