みく,じゃあ、Pチャン、ちひろさんお疲れさまにゃ
？？,あらー？そんな生意気な口きくとー。逮捕しちゃうゾ☆
幸子,……
？？,な、なによ！
幸子,いえ……お仕事頑張ってください
？？,ありがと……
心,あ、やべ☆
幸子,どうしました？
心,早く移動しないと遅刻だぞ☆
幸子,え？。ふぎゃー！お、怒られるぅー！
？？,いやー、若い子は元気ねぇ
心,おまわりさんも若いじゃない☆
？？,んー、お姉さんこれでも28なのよ？
心,え！？
？？,見えないかしら？
心,無理無理☆てか、はぁとより年上なんて……
？？,まぁ、こんな身長だし童顔だから仕方ないわ
心,菜々先輩と良い勝負できそう☆。てか、マジでアイドルどうですか？。菜々先輩とユニット組ませたいです☆
？？,あはは。そうねぇ、警察続けられなくなったら考えても良いかな
早苗,でも、今は片桐巡査なのであります！。というわけで、お仕事戻るわね。また機械があったら会いましょ
心,あ、じゃあ名刺だけでも☆
早苗,ん。もらっとくわ。じゃあね～
心,にしてもすげぇなぁ……。まさか菜々先輩みたいな人が他にも居るとは……
ちひろ,公開録音すごかったみたいですね
心,765の熱狂的なファンが暴走して暴動起きちゃったもんなー
ちひろ,念のため警察に応援依頼しといて良かったですね
心,まぁね☆。でも、婦警さんがまじすごかった☆。暴徒と化したファンを次々のしていく様はさながらアクション映画☆
ちひろ,え、女性だったんですか！？
心,顔は見てないけどね☆小柄だったしたぶん女の人
ちひろ,はー、すごい人も居たもんですねぇ
心,まったくだ☆
楓,おはようございます
心,おはよー☆
ちひろ,おはようございます
楓,あのー……
心,どした？
楓,うちの事務所って、余裕あるんですよね？
ちひろ,楓さんたちのお陰で潤ってますよ
楓,お願いがあるんですけど……
心,なになに？まさか犬でも拾ってきた？ダメだぞ☆うちにはみくが居るんだから☆
楓,いえ、犬じゃないんですけど……
ちひろ,どっちにせよ生き物は無理ですよ。夜は無人になっちゃいますし
心,飼い主探すくらいなら協力出来るけど、飼うとなるとちょっとね
楓,えーっと、生き物は生き物なんですけど、住む場所とかは決まってて
心,？楓ちゃんが仕事の時に事務所で面倒見とけばいいの？
ちひろ,それくらいなら大丈夫ですよ♪
楓,本当ですか？よかった。じゃあ、入ってきてください
早苗,ど、どーもぉ……
心,
ちひろ,え！？
心,無理です！元居た場所に返してきなさい！
楓,良いって言いました！手のひら返しなんてひどいです！
心,警察官拾ってくる人がどこにいるんだ☆
楓,ここに居ます！
ちひろ,胸張って言うことじゃないです！
心,てか、おまわりさん忙しいんだから連れ回すんじゃありません！
早苗,あー……ごめんね？あたしもう警官じゃないのよ
心,は？
ちひろ,はい？
早苗,辞めちった☆えへ☆
心,
楓,早苗さんは昨日の公録で警備に当たってくれていたんですけど
早苗,調子乗ってフルボッコにしたら停職にされてさー。ムカついたから署長ぶん殴ってやった。そしたら懲戒免職よ。あー、腹立つわー。イライラしながら居酒屋に行ったらちょーど楓ちゃんに声掛けられてね
楓,一緒に飲みながら事情を聞いたんです。そうしたら、警察辞めて無職になったって言われたので、うちの事務所に声かけたんです
ちひろ,そんな勝手に……
楓,はぁとちゃんの名刺持ってましたし、てっきりその辺の話がついてるものだと……
ちひろ,心さん……？
心,あー……確かにスカウトがてら声はかけたけど……
楓,じゃあ大丈夫ですね
ちひろ,はぁ……せめて相談くらいしてくださいよ
早苗,えーっと結局あたしはどうすればいいの？
ちひろ,えーっと、早苗さん？でいいんですか？
早苗,あ、ごめんね。片桐早苗よ。よろしく
ちひろ,千川ちひろです、よろしくお願いします。早苗さんを雇うことは金銭的には可能です。警察だった時ほどの待遇は無理ですけど、最低限は保証します。あとは個人の仕事次第です
早苗,あら、じゃあお姉さん頑張っちゃうわよ
ちひろ,問題は
楓,問題は？
ちひろ,心さんの負担が大きくなることです。実際、今の人数でさえスタッフはいっぱいいっぱいです。というか、私と心さんしか居ませんし……
心,頑張ればプロデュースは出来ると思うけど、今以上に放任になりかねない☆
楓,うーん……。早苗さんにしばらく専念してもらうことはできないんですか？
心,出来るけど、どうしてもはぁとが居ないとまずい仕事もあるしなぁ
早苗,え、ちょっと待って、なんの話？
ちひろ,何って
楓,早苗さんを
心,アイドルにする話☆
早苗,え！？
心、ちひろ、楓,え？
早苗,事務員とかじゃなくて！？
心,え？アイドルじゃなくて？
ちひろ,そうなんですか？
楓,いえ、私はアイドルのつもりで誘いましたけど……
早苗,ちょっと待って。落ち着きましょう？。私は、ここでスタッフとして雇ってもらうつもりだったんだけど
心,はぁとはアイドルのつもりで勧誘してた☆
楓,私もです
ちひろ,アイドル以外の選択肢を思い付きませんでした！
早苗,私、こんな見た目だけど良い歳よ？アイドルなんて無理じゃない？
心,はぁと達もさほど変わらないからいける☆
楓,ですね。慣れるまでは辛いかもしれませんが
ちひろ,元警察官なら体力面は大丈夫だと思いますよ
早苗,えー……
心,アイドル楽しいぞっ☆ね？
楓,はい。とっても楽しいですよ
早苗,うーん、この歳でそんな不安定な職業でいいのかしら……
楓,何事も挑戦ですよ。自分から変わらないと
心,早苗さんのプロデュースプランならすぐ作れるぞ☆
早苗,じゃあ、やってみようかしら。元々警官みたいなお堅い仕事は性に会わなかったし
ちひろ,レッスン手配しますね。曲もしときますか？
心,だね☆ショッピングモールでデビューイベントやろう♪
ちひろ,今から手配すれば再来週には間に合いますかね？
心,いざとなれば金の力でなんとかできるっしょ☆
ちひろ,いやぁ、お金があるって素晴らしい！
心、ちひろ,あっはっはっは！！
早苗,なんだか楽しそうなところねぇ
楓,実際楽しいですから
早苗,うあー……緊張するわー……
菜々,大丈夫ですよ！早苗ちゃんなら余裕です！
早苗,菜々先輩にそう言って頂けると非常に心強いです
菜々,なんで敬語なんですか！ナナはJKですよ！17歳！
早苗,あはは～
心,楽しそうだな☆チーム逆サバ☆
菜々,ちょ！？なんですか、その名前！
心,なにってユニット名ですよ☆
菜々,い・や・で・す！それに菜々はサバなんて読んでません！
早苗,若いって言われるなら嬉しいけど、その名前はちょっとねぇ
心,はいはい、冗談ですよ、冗談☆
菜々,まったくもう！
心,冗談はともかく、そろそろ出番なんで頑張って☆頑張れ☆
菜々,はいっ！
早苗,あー、緊張するわねー
菜々,大丈夫ですよ！みんな最初はガチガチですから！
早苗,そうね！じゃあ行くわよ！
早苗はいはい。じゃあ片桐早苗で,Can'tStop!!
楓,皆さん、グラスは持ちましたね？。では、かんぱ～い
心、ちひろ、菜々、早苗,かんぱーい！
早苗,ぷはぁー！うまい！
心,仕事終わりのビールは格別だな☆
菜々,ほどほどにしてくださいよ？明日もお仕事あるんですから
楓,店員さーん。いも焼酎をロックでお願いします
ちひろ,楓さんもほどほどに……
心,せっかくの打ち上げなのに堅いことは言いっこなし☆
早苗,そうだぞぉ、菜々君！
心、早苗,あっはっはっは
菜々,もう！
心,それよりたまには菜々先輩も飲みましょうよ☆
菜々,ナナはJKなので……
早苗,大丈夫大丈夫。泡の出る麦茶だから！
菜々,元警察官が自称JKに酒すすめるんですか！？
楓,ふふっ。エイヒレに酔いひれす
ちひろ,いまいちです
早苗,まぁいいじゃないの。イベントもうまくいったし、なによりあたしの気分がいいんだから！
心,そうだぞぉー☆それにこの先、素面じゃきついぞ☆
菜々,え？
心,あははー
早苗,うふふー
楓,ふふっ、ふふふっ
ちひろ,うわぁ……札束のお風呂だぁ……
菜々,なんてこったい……
早苗,あれぇー？もうないのぉー？店員さーん！ビール！ピッチャーで！
菜々,ああああ！ダメです！ごめんなさい！嘘！嘘ですから！
早苗,なによぉー菜々先輩のけちー
心,じゃあはぁとはカシオレピッチャーでー☆
菜々,なに言ってるんですか！？ダメですよ！
心,菜々先輩のけちー☆
心、早苗,ど・け・ち♪ど・け・ち♪
菜々,二人ともうるさいです！
ちひろ,呼びましたか！？
菜々,呼んでないです！というか、ちひろちゃんまで酔わないで！ナナだけじゃ無理！
ちひろ,でも、今けちって……
菜々,ちひろちゃんはそれでいいんですか！？
楓,菜々ちゃん。菜々ちゃん
菜々,楓ちゃん……！ナナ、楓ちゃんなら大丈夫って信じてました……！
楓,私、ワインよわいんです。ふふっ
菜々,楓ちゃんを信じたナナに謝ってください！
心、早苗,きもちわるい……
ちひろ,レシート見たら吐きそう……
菜々,はぁとちゃんと早苗ちゃんは自業自得です！。あとちひろちゃんの吐きそうは何かが違う！
楓,菜々ちゃん、さっきからツッコミしっぱなしね
菜々,そう思うなら助けて！
早苗,あぁー、菜々くーんお水もらえんかねー
心,なんだそのキャラ☆
早苗,元上司がセクハラがてらこうやって介抱させてたのよー
ちひろ,警察の恥……これはお金の匂い……
菜々,もう！だから飲みすぎって言ったんですよ。はい、お水です
早苗,ありがとねー。あー、うまいわ
心,はぁとにもちょーだい☆
早苗,はい。飲みかけだけど
心,間接キスだ☆あー、うめぇ☆
楓,ふふっ。じゃあそろそろ二軒目、行きましょう？
菜々,いーきーまーせーんー！今日はお開きです！
心、楓、早苗,えー
菜々,えー、じゃないです！はい！もう解散！
ちひろ,タクシー呼びますねー
早苗,あー、あたしは家近いし酔い冷まし兼ねて歩いて帰るわ
心,夜道は危ないからダメ☆タクシーで帰ってね☆帰れよ☆
早苗,変質者が出たら逮捕、というかシメるから大丈夫☆
楓,ふふっ。心強いですね
心,今の早苗さんは警察官じゃなくてアイドルなんだから、危ないことはダメ☆
早苗,心配性ねぇ。でも、プロデューサー君に言われたら従うしかないわね。では、片桐早苗、プロデューサー君の指示に従ってタクシーで帰りまーす☆
心,おう☆
菜々,あ、タクシー来たみたいですね
心,じゃあ明日からもアイドル頑張りましょう☆
早苗,うん。それじゃあ、明日からもよろしくね！プロデューサー君！
