続編みたいなものですが、読まなくても大丈夫です。,でも読んでくれたら嬉しいかな～って
P,李衣菜も苦しそうだし………ん？
李衣菜,あっ………ああっ……///
P,俺の体に密着させて………悶えてるだと！？
李衣菜,ああぅ………あっ、あっ、ああっ………///
P,感じてやがる！！どんだけ敏感なのこの娘！？
李衣菜,ハァ………だ、ダメ………うぅ………はぁ……///
P,おお、必死に我慢してる。でも、そんな態度とられると、無性にイタズラしたくなるのが男のサガ。フゥ～
李衣菜,ひゃあああ！！！！！
P,！？
冬馬,おい、そこの物置きから声がしたぞ！！
翔太,女の子の声だ！！
P,や、やべぇ！！
李衣菜,ぷろでゅーさぁ～～～～～～！！！
P,す、すまん………李衣菜があまりにも可愛かったもんでつい………
冬馬,中に誰か入ってるのか？
翔太,かくれんぼでもしてたりして
北斗,いや、俺のカンではチャオ☆的な展開があると見た！
P,ひぃぃぃぃ！？。ま、まずいぞ！他事務所のユニット相手に口封じは難しい！！。このままだと俺と李衣菜はフライデー速報、他人の不幸はメシウマ状態に晒される！！。何かこれを切り抜ける方法は………！？
翔太,じゃあ、ボクが開けるねぇ～
P,だ、ダメだ何の策もない！！
李衣菜,あうっ………
P,李衣菜が不安そうに俺に抱きついてきた。そうだ！担当Pとして、彼氏として、俺はなんとかせねばならないんだッ！！。うおぉぉぉぉぉぉぉぉぉッッッッ！！！！
翔太,は～い、御開帳～♪
北斗,こ、これは一体どうなっているんだッッ！！？？
冬馬,お、俺たちは翔太が物置の扉を開けるところ見ていた！！なのに！！
北斗,物置の中にいたのは……………
冬馬,翔太だと……！？
翔太,。な…………中にいたのは…………ボクだったァ―――――――――！！。今扉を開けていたのにィ～～～～～～～～～！！！！！！
冬馬,な、何が起きてやがるんだ！？なんで翔太がボコボコにされて中にいるんだよ！！
北斗,お、俺たちは翔太が扉を開けているところを確かに見た。瞬き一つしていない！！
冬馬,じゃあ、なんでこうなってんだよ！！
北斗,け、ケツの穴にツララを突っ込まれた気分だ………
冬馬,わからねぇぇ！！今何が起きてんだかサッパリわからねぇぇぇぇ！！！。こんな所にいられるか！！俺は逃げるぜェ！！
北斗,ちょ、おま！なに窓ガラスをブチ破って逃げてんだ―――ってバカッ！！ここはビルの四階だぞ！！
冬馬,うわぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁ！！！！！！！！
北斗,冬馬ああああああぁぁぁぁぁぁぁぁぁぁぁぁ！！！！！
李衣菜,あ、あれ？なんで………私物置の中にいたはずなのに………
P,フッ………俺の新たな力のおかげだな
李衣菜,プロデューサー！！何をしたんですか！？
P,今さっき目覚めたこの力を使ったのさ………そうこの全生物の頂点に立つ力を！！。ザ・ワールド！！！！
李衣菜,ぷ、プロデューサーの後ろに何かが……！？
P,ほう………李衣菜には見えるのか………なら李衣菜もスタンド使いの素質があるようだな……。というわけだぁ！！
李衣菜,ウッヒョ―――！！。すごいですよプロデューサー！！スタンド使いなんてロックですよロック！！
P,またお前はなんでもかんでもロックロック言いやがって………。まぁ、スタンド名の多くはロックバンドから取ったりしてるらしいがな
李衣菜,とにかくロックですね！！それに時を止められるなんてすごいですよ！！
P,そうだな………この能力さえあれば………
李衣菜,えっ？
P,俺たちはいつでもイチャイチャできるってことさ
李衣菜,あっ♪///
P,李衣菜………李衣菜………
李衣菜,んっ……あっ！また首ィ……あっ、あっ！
P,弱点を責める。これぞロックってやつだぁ
李衣菜,そ、それは絶対違―――ああっ！ああああっ！！
P,フ～ッ！
李衣菜,んぅぅ～～～～～～～！！！！！！/////
P,本当に感じやすいなぁ～李衣菜は……んちゅ
李衣菜,ああ、口に……んあっ！
夏樹,チーッス………ってだりーとプロデューサー！？な、なにして―――
李衣菜,な、なつきち！？ど、どうしよう！ば、バレ―――
P,ザ・ワールド！！時よ止まれッ！！！。俺が時を止められるのは9秒が限界。その間に、李衣菜を別室に動かしてっと。よしこれで完璧。後は何食わぬ顔をするだけだな。そして時は動き出す
夏樹,―――してやがるんだっ！？
P,おう、夏樹。おはよう
夏樹,あ、あれ？………プロデューサー………一人ッ！？
P,俺一人だぞ？見ての通り
夏樹,だ、だりーは！？
P,李衣菜？いや、まだ来ていないが………
夏樹,えっ、いやでもさっき―――
Ｐ,さっき？何かあったか？
夏樹,い、いやなんでもない………ちょっと疲れてるみたいだ………悪ィが仮眠室で休ませてくれ……
P,ああ、わかったよ。お休み。くっくっくっｗｗｗｗｗｗｗｗｗはちひゃー……なんてなｗｗｗｗｗｗ
李衣菜,突然別室にいたのでビックリしましたよ～
P,悪い悪い。流石に説明するヒマがなくてな
李衣菜,でも凄いですね！この能力があれば私たちの関係がバレることはありませんね！
P,ああ。俺は一瞬でこの世のどんな超人をも超える力を手に入れたのだッ！！
李衣菜,じゃあ、心置きなくできますね！！続き………しちゃいます？///
Ｐ,あ～………今はダメかな
李衣菜,ええぇ～～～～！？なんでですか！？
P,ちょっと調子に乗って連続で使い過ぎた。しばらくの間は時を止められないんだ
Ｐ,まだこの力に慣れていないからかな。しばらく待ってくれ
李衣菜,ええぇ！？そんなの嫌です！！お預けなんてロックじゃありません！！
Ｐ,ええい、ロックって言葉を免罪符みたいに使うな。とにかくダメなものはダメ！！今ここでまた人が来たら確実に隠せる自信がない
李衣菜,うぅぅ…………。そんな………酷いですよ………。その気にさせておいたくせに………。口でしておいて……すぐに終わっちゃったし……
Ｐ,うっ………
李衣菜,ロックじゃないですよ………
Ｐ,……………
P,そうだな………中途半端だったよな。だったら今度は舌も入れてあげよう
李衣菜,ああっ！！///。ああっ！！あっ！ああああっっっ！！////。ぷ、プロデューサーの舌が………私のにからんで―――ひゃあっ！！///
P,
李衣菜,ああっ―――ッ！！！んっ、んっ！あっあっ……んぅぅぅぅぅ～～～～～！！
P,感じているねぇ～李衣菜。まだ始まったばっかだけど、もう限界かな………？
李衣菜,そ、そんなこと………ないです………私……ロック……だから……！
P,本当かな～～ならば確かめてみるとしよう
李衣菜,ひゃあ！！
P,この味は！………嘘をついてる味だぜ……多田李衣菜！！
李衣菜,あっ……ああ……////。ごめん……なさい…プロデューサー……。私……もう限界……なんです……///
P,………わかっていたさ。俺は李衣菜のことならなんでもわかるからな。安心しな、最後は盛大に終わらせてあげるよ
李衣菜,んっ！あっあっ……ああっ！！ああああっっっっ！！！！
P,李衣菜の初めての相手はジョジョではない。このPだッッッッ！！！！！！
李衣菜,あああああああっっっっっ！！！/////
P,ん？何やら視線を―――
ちひろ,(*^m^*)ムフッ
P,！？。ち、ちひろさん………
李衣菜,えっ
ちひろ,ムフフフ、プロデューサーさぁん………ずいぶんとカッコつけてますねぇ～ｗｗｗ
P,な、なんてことだもっとも知られたくない人に～～～！！
李衣菜,そ、そんな………お願いですちひろさん！！このことは―――
ちひろ,大丈夫よ李衣菜ちゃん。バラしはしないわよ
李衣菜,ほ、本当ですか！？
ちひろ,もちろんよ。仲間を売るような真似、私がするはずないじゃない
李衣菜,よ、よかったぁ～～～
ちひろ,今度から人通りの少ない所でキスするのよ？
P,おおっと、李衣菜。信じるなよ、そいつの言葉を！！
李衣菜,えっ
ちひろ,…………
P,甘ちゃんのお前が好きだから一つ教えてやるぜ。俺は生まれてから暗黒街で生き、色んな悪党を見てきた。だから悪い人間といい人間の区別は匂いでわかる！
ちひろ,………
P,こいつはくせぇ―――ッ！！ゲロ以下の匂いがプンプンするぜッ―――ッ！！
Ｐ,こいつは生まれついての悪だ！！
ちひろ,嫌だなぁプロデューサーさん………私は秘密を守りますよ？。MCがあればねぇ～
P&李衣菜,！？
P,ついに現したな！奴のこの世の悪よりもドス黒い性格がッ！！。今までの淑女ぶりは全て仮面！！そのどん欲なまでのMCへの欲望！！それこそ奴の本性だッッ！！
ちひろ,そんな口聞いていんですかねぇ～？。あなたの未来は私の中にあるんですよ～～ｗｗｗｗｗｗ
P,………ナメるなよ？俺にはこれがある！！。ザ・ワールド！！
ちひろ,ダニィ！？す、スタンドだとぉ！？
P,まだ時は止められるまで回復していないが、このザ・ワールドのパワー。スピードは全スタンドの中でも最強クラス！！。あんた一人ぐらいどうってことはないんだぜッ！！。証拠品はそのカメラのみ！！破壊させてもらうッ！！
ちひろ,…………
P,氏ねやぁぁぁぁぁ運営の犬ぅぅぅぅぅぅッ！！！！
ちひろ,くっくっくっくっ
P,ば、バカな！？ザ・ワールドの攻撃を受け止めただと！？。だ、ダニィ！？こ、これは……！？うわあああああああああああああああああああああああ！？
李衣菜,プロデュサーの体が凍っていく！？
ちひろ,貧弱、貧弱ゥ！！！！！スタンドを得たからってちょいとでもこの私に適うとでも思ったんですかマヌケがぁぁぁ！！
P,こ、これは気化冷凍法だと！？。なんてことだ………まさかちひろさんは―――吸血鬼！？。くっ………まさか俺のスタンドまで凍りつかせるとは………
ちひろ,フッフッフッ。安心してください、殺しやしませんよ。ただし貴方は私の夜の僕となるのだぁ～～！
李衣菜,プロデューサー！！
ちひろ,李衣菜ちゃん、諦めなさい。あなたのプロデューサーは今日から私にスタドリを貢がせるだけの存在……ゾンビと化すのだぁ！
Ｐ,…………。そいつは聞けない相談だ！
ちひろ,ダニィ！？
Ｐ,このＰには夢がある！！。李衣菜と一生イチャイチャするという夢がな！！
李衣菜,ぷ、プロデューサー………///
ちひろ,ハッ！そんな何も考えなくなったカーズ一歩手前のあなたに何ができるって言うんですかぁ！？
Ｐ,俺がジョジョの中で一番好きな名言！。覚悟とは！！暗闇の荒野に！！進むべき道を切り開くことだッ！。俺の口の中を見ろッ！！
ちひろ,！！まさか隠し武器か！？いや、違う……あれは！！
Ｐ,スタンザム！！！！！。はぁぁぁぁぁぁぁ！！！！
ちひろ,ば、バカな！？スタンザムの熱で氷が解けてるだと！？
Ｐ,これが俺の覚悟だぁぁぁぁ！！！
ちひろ,ハッ！カッコつけても無駄ですよ！！また凍りつかせてやるッ！！
Ｐ,ザ・ワールド！時よ止まれ！！！。フッ、あなたが売ってるスタドリの効果を忘れたようですね。ちひろさん。スタドリの効果は文字通りスタミナ回復。そう、これを飲んだことにより俺のスタンドの体力も回復。再び時を止めれるまで回復できたのだ！。貴方の敗因はただ一つ………。自分の売っている商品をただの金儲けの道具としか見なかったことだ。無駄無駄無駄無駄無駄無駄無駄無駄無駄無駄無駄無駄無駄無駄無駄無駄無駄無駄無駄無駄無駄無駄無駄無駄無駄無駄ァ！！！！！！！。そして時は動き出す
ちひろ,あべべべべべべべべべべなななななさんんんんんじゅううううううううなななさいっ！！！！
Ｐ,ふぅ………なかなか激しいバトルだった……
李衣菜,ウッヒョー！プロデューサーが勝った！！
Ｐ,カメラを壊したし、これでもう脅されることはなくなったな
李衣菜,これでもう大丈夫ですね！！。さぁ、続きをしましょう！！
Ｐ,それはいいが、ちょっと待ってくれ
李衣菜,えっ？
Ｐ,さっき氷を溶かしたせいでスーツがビシャビシャだ。着替えるついでにシャワー浴びてくるから、その間待っててくれ
李衣菜,は、はい………
Ｐ,ちひろさんの始末は―――あとでいいか。さてシャワーシャワーと………
李衣菜,…………
Ｐ,ふぅ………熱いシャワーはいつの時間に浴びてもいいものだな。ん？
李衣菜,し、失礼します………
Ｐ,ちょ！。あ…ありのまま今起こった事を話すぜ！。俺はシャワーを浴びていたと思ったら、そこにバスタオル一枚のだりーなが乱入して来た。な…何を言ってるのかわからねーと思うが、俺も何が起きてんだかさっぱりわからねぇ！！。って思わずポルナレフ状態になっちまったよ！なんでそんな恰好でここに来たの！？
李衣菜,い、いやぁ～～こうやってシャワー室に乱入するのもロックかな～って……
Ｐ,いや意味がわからない
李衣菜,だから、その～～～～！！
Ｐ,…………もしかして我慢できなかった？
李衣菜,…………
Ｐ,………李衣菜はエッチだな～
李衣菜,プロデューサーのせいです！！プロデューサーが………してくるから………///
Ｐ,そうだな、俺が悪かったよ
李衣菜,あっ………
Ｐ,だけど、その姿でここに来たことを後悔するなよ？
李衣菜,はぅ………ふわぁ……あうあっ////
Ｐ,ん………んちゅ……
李衣菜,うひゃ！！そ、そんなところ触らないでください………///
Ｐ,タオル一枚でここに来た李衣菜が悪い
李衣菜,ああぁぁ………プロデューサーの………えっちぃ………///
Ｐ,お前の一番の弱点もわかった………ここだろ？
李衣菜,！！み、耳に………キス―――
Ｐ,
李衣菜,ひゃああ！！いやぁぁぁ！！ああぁぁぁぁぁぁっっっ！！！！！！！！
Ｐ,おお、想像以上にすごい反応！！
李衣菜,あっ、あっ、み、耳は………ダメなんでふ………
Ｐ,でも好きなんだろう？
李衣菜,ひゃあぁぁぁぁぁぁっっっ！！！。あ………ああ………
Ｐ,おお、腰が抜けたかのように俺によりかかってる
李衣菜,ぷ、ぷろりゅーさ～…………
Ｐ,ん、どうした？
李衣菜,私………もう………///
Ｐ,……………。ここでしちゃう？
李衣菜,！！。…………。////
Ｐ,最高にハイ！ってやつだアアアアアアハハハハハハハハハハーッ！！！！！
李衣菜,ひっ………また誰か来た！？
Ｐ,チクショウ！！なんでいつもいい時に邪魔が入るんだよ！！。この声は………早苗さんか！？
李衣菜,ぷ、プロデューサー！まずいですよ！！早苗さんに見つかったら逮捕されちゃいます！！
Ｐ,落ち着けぇ李衣菜！俺にはザ・ワールドがある！早苗さんなどどうってことないわ！！
李衣菜,ほ、本当に大丈夫なんですか……？
Ｐ,大丈夫だ、安心して待ってな
李衣菜,ふわぁ……///
早苗,なんだか非合法な匂いがプンプンするぜぇ―――！
Ｐ,来る！！。今だ！！ザ・ワールド！！時よ止まれ！！！
早苗,
Ｐ,フハハハハハハッッ！！やはりこの能力は最強だ！！。いつもあんなに恐ろしい早苗さんが、このザ・ワールドの前では赤子当然！！。やーい、ロリ巨乳～！ボディコンないわ～！！シメれるもんならシメてみろぉ～ｗｗｗｗ。ハーハッハハハハハハハｗｗｗｗｗｗｗｗｗｗｗｗｗ！！！
早苗,言いたいことはそれだけかな？
Ｐ,！？。ば、バカな！！時は止まってるはず！！貴様ッなぜ動けるのだ！？
早苗,いや～お姉さんも驚いちまったよ。Ｐくんがスタンド使いだなんてね。しかも私と同じタイプだなんて………
Ｐ,同じタイプ………？。ま、まさか………
早苗,スタープラチナ・ザ・ワールド！！！！！
Ｐ,！？
早苗,覚悟はいいかな？Ｐくぅん～～～～～？
Ｐ,
早苗,オラオラオラオラオラオラオラオラオラオラオラオラオラオラオラオラオラァ！！！！！！！。そして時は動き出す。てめーは俺を怒らせた
李衣菜,ごめんなさい………
Ｐ,
夏樹,つまり、二人は付き合ってるってことか？
李衣菜,うん………
夏樹,まったく………なんで秘密にしてたんだよ
李衣菜,だって……バレたらスキャンダルになっちゃうかもしれないじゃん……。社長とかにも知られたら、カンカンになってクビにされちゃうかもしれないし………。私………プロデューサーと別れたくなかったんだもん……
夏樹,だりー………
Ｐ,李衣菜………
夏樹,ったく、だりーは本当にバカだな。それはパパラッチに見つかった場合だろ？。あたしや事務所のみんながそれを言いふらしたり、社長にチクったりするわけなだろうが。アレは別として……
ちひろ,
夏樹,ちゃんと教えてくれたら祝ってあげたのによ
李衣菜,なつきち………
夏樹,よかったなだりー。お前、ずっとプロデューサーのこと好きだったもんな
李衣菜,なつきちぃぃぃぃぃ！うわぁ～～ん！
Ｐ,うんうん、ええ話やなぁ～！
早苗,スタープラチナ！
星白金,オラァ！！
Ｐ,ギャアアアアアアアアア！！！ゆ、指がぁぁぁぁぁ！！！！！
早苗,誰が動いていいって言ったかな？あ～ん？
Ｐ,あァァァんまりだァァアァ！！！！。まぁ、あれから奇妙な出来事が多々あったけど……俺と李衣菜は事務所公認のカップルになったど～！。これで心置きなくイチャイチャできるということだぁ！！
李衣菜,また誰にむかって話しているんですか？
Ｐ,まぁ、ちょっとな
李衣菜,にしてもやっぱりみんなに認められてよかったですね！。やっぱり隠れてコソコソするのはロックじゃありませんからねぇ～
Ｐ,お前、秘密の関係こそがロックだとか言ってなかったか？
李衣菜,い、言ってませんよ！！
Ｐ,本当かな～～？
李衣菜,本当です！！
Ｐ,まぁそれは置いておいてだ。今チラッと見たら、仮眠室空いていたぞ
李衣菜,えっ、本当ですか？
Ｐ,ああ
李衣菜,……………
Ｐ,……………
李衣菜,……………
Ｐ,……………
李衣菜,……………
Ｐ,……………。する？
李衣菜,/////
光,マジか！マジで！マジだ！ショータイム～～～♪。今日もスーパーお仕事タイムだぜ！！
ちひろ,くそぉ～、プロデューサーさんめ……私が吸血鬼じゃなかったら死んでたっつーの！
光,ちひろさん、プロデューサーを見なかったか？
ちひろ,ああ、それなら仮眠室に―――
光,仮眠室か。よし、早速呼びに行くぜ！！
ちひろ,………。あっ、やべ
光,プロデューサー……どこだ～？。！！こ、これは………！？。ちひろさん！大変だ！！プロデューサーと李衣菜がマージマジマジーロをしているぞ！！
ちひろ,Ｏh………
光,おお、李衣菜がプロデューサーの上にライドロンしてる！！！
ちひろ,あわわわわ
光,プロデューサーが執拗に攻めてる！！違う、そんなところを触ってもコアメダルはない！もっと下の方だ！。だが効いている！李衣菜は早くもメモリブレイク寸前だ！。おおっ、あの構えはッ！プロデューサーの必殺技！！。音撃斬雷電激震ッッ！！！！！！！。早くも李衣菜は浄化されたか！？
ちひろ,
光,おおっ………プロデューサーがズボンを脱いだ………あ、あれは！？。ガブティラだ！プロデューサーのガブティラが姿を現したぞ！！。でかい！！なんてでかさだ！！流石は十大獣電竜の一体だッッ！！！
ちひろ,た、確かにでかい………///
光,すごい！しかも下の方には、巨大なキンタロスが二つもあるぞ！！
ちひろ,き、きんた……///
光,こいつは荒れるぜぇ！止めてみなぁ！！。ダニィ！？ぷ、プロデューサーのガブティラが……り、李衣菜に……。李衣菜にガブリンチョされた！？
ちひろ,ちょ！？
光,なんということだ！普段ガブリンチョするガブティラが逆にガブリンチョされるなんて！！
ちひろ,あ、あれって……ふぇ、ふぇふぇふぇふぇふぇ―――///
光,李衣菜が攻めてる！！これじゃあプロデューサーのガブテイラは獣奏剣に成り下がっちまうぞ！！。ただし、その獣奏剣を吹いて、出てくるのはドラゴンシーザーではない！！。ゲル状と化したバイオライダーだッッッ！！！
ちひろ,
光,いけない！！プロデューサーの顔がジェネラルシャドウみたいになってる！！。ダメだシャドウ―――ッ！！！まだ護星界にイクには速すぎる！！！。速いぞ速いぞ！！蒸着プロセスよりも速いぞッッ！！男なんだろう！？早漏れするなよッ！？。だからあれほど、する前にちゃんとイクササイズをしろと言ったのにぃぃ！！！
ちひろ,ひ………光ちゃん………
光,ああっ！？早くもバイオライダーが李衣菜にかかってしまった！！。しかもあのバイオライダー………色が青ではない！白だッッ！！
ちひろ,早苗さ―――ん！！！速く来て――――ッッ！！！！
光,くっ……プロデューサーはこのまま果ててしまうのか……。この雄叫びは！？まだだ！！まだプロデューサーのガブティラは戦える！！。おおっ！！今度こそ李衣菜をガブリンチョする気だッッ！！
ちひろ,アカン！光ちゃん見ちゃ駄目ェェェェ！！！！
光,いや、これはガブリンチョというよりは………。リボルクラッシュだな
ちひろ,
光,す、すげぇ………！！アバレンジャーも真っ青なアバレ具合だぜプロデューサー！！。そのままときめけぇ！！！
ちひろ,ああ……なんでこんな時に限って早苗さんがいないの～！！
光,しかも何が一番すごいって………体位が……。体位がサンバルカンのポーズみたいだってことだ！！
ちひろ,意味がわからねぇぇぇぇ！！！
光,あっ、プロデューサーの飛羽返しが決まった！！。動きが激しくなった！！ついに獣電ブレイブフニッシュの時か！？。それともマキシマムドライヴ！？あるいはギャバンダイナミックか！？。いずれにしても李衣菜はすでにファイナルウェーヴを迎えている！！決めるなら今だぞプロデューサー！！
ちひろ,！？
光,おお、スキャニングチャージだったか………明日のパンツはちゃんと用意しておけよプロデューサー？
ちひろ,
Ｐ,李衣菜……よく頑張ったな………
李衣菜,あ……ああっ………ろっく……れふ……
光,フッ………相変わらず、ブレイヴなプロデューサーだぜ………
ちひろ,。嘘つけぇ！！！！
