道明寺歌鈴,おはようございましゅっ！
歌鈴,うう……言えなかった……。と、とにかく、このカメラが本当に壊れてるのかを調べなきゃ……。でも、カメラのことなんてよくわからないし……。誰か、詳しそうな……あっ、椿さんとか！。うん、椿さんならわかるかも……！えっと、カメラとレンズを写真に撮って……。えっと……お疲れさまです！このカメラって、レンズが取れちゃっても大丈夫なやつですよね？。あ、怪しい……！。急にこれを送られた椿さん、びっくりしちゃうんじゃ……。で、でも、今はこれしか方法が……！。……。えいっ！。あとは返事を待つだけ……！。それまでこのカメラとレンズは……。！。お菓子の戸棚のところに……。ごめんなさいカメラさん……ちょっとだけ待っててね……
藍子,戻りました～
歌鈴,わひょあうぉうぇあああ！？！？！？
藍子,！？！？！？
歌鈴,わらしはどうみょーじかりんでしゅ！！！
藍子,とうとう先手を打って自己紹介を……！？
歌鈴,は、早かったでしゅね！？
藍子,うーん、用事というより、世間話を軽くしたくらいだったので……
歌鈴,そうなんですか！
藍子,はい。未央ちゃん、最初は用事を忘れてたみたいで、歌鈴ちゃんが言ってたって伝えたら急に思い出したみたいだったんですけど、結局は軽いお話でした
歌鈴,未央ちゃん……！合わせてくれたんですね……今度お礼を伝えなきゃ……。とにかく、椿さんからお返事があるまでは耐えなきゃ……
藍子,あ、私のカメラ、見つかりましたか？
歌鈴,藍子ちゃんは好きな動物とかいますか！！！！！
藍子,き、急に……！？。えっと……？どうしてですか……？
歌鈴,な、なんとなく気になったもので！！！
藍子,そうですね……お散歩中によく会うので、ネコちゃんは好きです。つい、お話したくなっちゃいます
歌鈴,へぇ～
藍子,あとは……私みたいにゆっくりとしたペースで歩いている、カメさんとかも好きですよ
歌鈴,そうなんですね！
藍子,はい、カメさん、いつか飼ってみたいな……カメさん……カメ……あっ、そういえば私のカメラは
歌鈴,藍子ちゃんはどんなお仕事が好きですか！！！！！
藍子,わ、話題の移り変わりが早すぎませんか……！？
歌鈴,き、気になったもので！！！
藍子,そうですか……？えっと……一番はやっぱり、握手会ですね。ファンのみなさんと、たくさんお話できるのが楽しくて♪
歌鈴,藍子ちゃんらしいですね……！
藍子,でも、たまにおしゃべりしすぎて私の方が怒られちゃって……
歌鈴,ふふっ、そういうところも藍子ちゃんの魅力ですよっ
藍子,あとは、写真の撮影も好きです。スタジオ全体がひとつになって、素敵な雰囲気で撮影が進むのがとっても楽しいんです♪あ、撮影といえば、私のカメラは
歌鈴,藍子ちゃんはどこの国に行ってみたいですか！！！！！
藍子,歌鈴ちゃん、大丈夫ですか……！？
歌鈴,あ、藍子ちゃんのことが気になって気になって！！！！
藍子,そ、それは……嬉しいですけど……
歌鈴,ど、どうぞ！！！！！
藍子,えっと、カメルーンに……あ、カメといえば
歌鈴,それはちょっといきなりしゅぎると思います！！！！！
藍子,？
歌鈴,うう……もう誤魔化すのも限界です……
藍子,歌鈴ちゃん？
歌鈴,ひゃい！
藍子,ちょっと私、お手洗いに行ってきますね？
歌鈴,あ、お、お気をつけて！！！。……。絶対怪しまれてます……。ど、どうしよう……。わひゃあぁぁぁ！？！？！？。って、つ、椿さんから返事だぁ……！。お願い！これはレンズとカメラが別々のものなので大丈夫ですよとかそういう機種ですよとか、何ならはいだけでも大丈夫ですから……！！！。うう……。えいっ……！。……。……。”あっ”！？！？！？！？！？！？。あっ！？！？！？！？！？。あ……。あっ！？！？！？！？！？！？。……。あっ！？！？！？！？！？！？！？！？。……。……詰みました。……うぅ
藍子,戻りました……
歌鈴,……
藍子,か、歌鈴ちゃん？大丈夫ですか……？なんだか外まで声が聞こえてきた気が……
歌鈴,藍子ちゃん……カメラって……
藍子,あ、やっぱり見つからないですか……？
歌鈴,……
藍子,あのカメラ、せっかく初めての一眼だからって、プロデューサーさんとカメラ屋さんに行って、選んでもらった大切なカメラなんです……
歌鈴,……！！！！！
藍子,どこに行っちゃったんだろう……？
歌鈴,……
藍子,歌鈴ちゃん、どこかで見つけたら、教えてくれると嬉し……
歌鈴,うう……ﾋｯｸﾞ……ｸﾞｽｯ……
藍子,歌鈴ちゃん！？！？！？。ど、どうしたんですか？どこか痛みますか？よ、横になっててください！今、清良さんを呼んで……
歌鈴,……ｴｸﾞｯ
藍子,え……？
歌鈴,……
藍子,歌鈴ちゃんがおぼつかない足取りで……
歌鈴,……
藍子,お菓子の棚のところに……？
歌鈴,……
藍子,中から……カメラ！？
歌鈴,……
藍子,えっと……
歌鈴,……
藍子,机の上に……カメラと……レンズを……置いて……
歌鈴,……
藍子,ええと…
歌鈴,この度は本当に申し訳御座いませんでした土下座
藍子,か、歌鈴ちゃん！？！？
歌鈴,不肖、道明寺歌鈴、如何なる罰も受ける所存にて御座います土下座
藍子,か、歌鈴ちゃんが神事モードに入ってます……
歌鈴,ごめんなさい……ごめんなさい……
藍子,あ、あの……歌鈴ちゃん？
歌鈴,はい
藍子,よ、よくわからないんですけど、見つけてくれてありがとうございます。誰かがしまっておいてくれたのかな？
歌鈴,い、いいえ、そうではなくって……！
藍子,これ、カメラに合わないレンズを買っちゃったみたいで、すぐ取れちゃうんです……
歌鈴,……。……。……え？
藍子,せっかく一眼を買ったので、いろんなレンズと組み合わせようって思ったんですけど……だから、椿さんに詳しく聞こうと思ってて
歌鈴,で、でででも、椿さんは！。あ
藍子,？
歌鈴,申し訳ありません。このように反省の意を示している最中に不躾とは重々承知ではありますが、すまーとふぉんを確認しても構わないでしょうか……
藍子,あ、あの……そろそろその堅苦しいモードを解除してもらえると嬉しいですけど……
歌鈴,椿さんからだ……。えっと……。……
藍子,歌鈴ちゃん……？
歌鈴,ふえぇぇぇぇ……
藍子,か、歌鈴ちゃん！そんな床にへたり込んだら汚いですよっ！？
歌鈴,いいんれす……うそつきかりんちゃんにはこの冷たい床がお似合いなんですぅ……
藍子,？？？
歌鈴,――というわけなんです！ごめんなさい！
藍子,ふふっ、そうだったんですね♪
歌鈴,大事なカメラだって知らずに……
藍子,いえいえ。置きっぱなしにしてた私も私ですから
歌鈴,うう……ありがとうございます……藍子ちゃんは優しいです……
藍子,でも、隠してたのはよくないですよ？
歌鈴,ひっ！そ、その通りです……
藍子,あっ、じゃあ、歌鈴ちゃんには、その罰として……
歌鈴,ば、罰として……？
藍子,このカメラの、最初のモデルさんになってもらいます♪
歌鈴,ふぇ？
藍子,そうと決まったら、衣装室へいきましょうっ
歌鈴,ま、待ってくだしゃい～
藍子,どの衣装にしましょうか？
歌鈴,あ、これ、私がデビューした時の衣装です！あっちには桜の頃の……あっ、この前の義勇任侠花吹雪のも……！
藍子,うーん……
歌鈴,どれがいいですかね！サイズが近いのだと、智絵里ちゃんのとか、夕美さんのとか……
藍子,これにしましょう♪
歌鈴,どれですか？……って、え？
藍子,はい、どうぞ♪
歌鈴,あの……これ……美波さんの……ちょっと私にはせくしーすぎるかなって……
藍子,あっ、こっちもいいですね♪
歌鈴,こ、こっちは美嘉ちゃんの……これも攻めすぎなんじゃ……
藍子,どっちにしますか～？
歌鈴,ひうっ！？
藍子,歌鈴ちゃんならきっと似合いますよ♪
歌鈴,あ、あの……もしかして藍子ちゃん、お、怒ってます……？
藍子,そんなことないですよ？ほらほら～
歌鈴,ひぃ！？た、たすけてくだひゃい～！！！
藍子,ふふっ、歌鈴ちゃん、かわいいなあ……
