おっちゃんから渡された伝票の名前を見て、誰に言うでもなく,なるほど
鳰,で、学園祭の劇の本番中に、桐ヶ谷さんこそが自分の追い求めているアサシンだと知った生田目さんは、断腸の思いで桐ヶ谷さんを手にかけたんスよ
春紀,生田目……つらかったろうな
鳰,って言っても、最後の一押しは桐ヶ谷さん自身でやったんスけどね
春紀,……
鳰,で、生田目さんは桐ヶ谷さんの武器である毒を飲んだ。これにてロミジュリ閉幕っス
春紀,………
鳰,みんな本当に死んじゃったのかと思ったーって喜んでたっスけど、まー演技じゃないっスからね。ヒヤッとしたっスよー
春紀,……。代金は振込だろ？
鳰,へ？
春紀,荷物の運搬代だよ
鳰,あ、あぁ。そうっスよ
春紀,んじゃ、これ請求書
鳰,はい。えっと？
春紀,あたし、行くから
鳰,伊介さんのとこっスか？
春紀,あんたにゃ関係ねーだろ
鳰,……素直じゃないっスね。あの人も
春紀,……。………。……。………
伊介,何よー、さっきからしつこいわね！伊介は今そういう気分じゃ………え
春紀,よっ。覚えてる？あたしのこと
伊介,………ギリギリね
春紀,ははっ、そうかい。ま、覚えててくれてよかったよ
伊介,そうね、感謝した方がいいわよ。アンタ
春紀,あぁ、そうするよ。……入っていい？
伊介,…………好きにすれば
春紀,よいしょっと
伊介,ちょっとー、そこあたしの場所なんだけど？
春紀,そうなのか？
伊介,そうよ
春紀,……ベッド、位置替えたのか
伊介,………別に、そっちの方が何となく落ち着くから、そうしてるだけ
春紀,そっか。あぁ、あたしな、昼の仕事でたまたまここに来てさ。引っ越し屋やってるんだけど
伊介,別に、聞いてないー♥っていうか見たら大体わかるし
春紀,…そっか、そうだよな
伊介,……家族は？元気なの？
春紀,……！
伊介,何よー
春紀,いや、ただ、伊介様がそういうこと聞いてくると思わなくて
伊介,ちょっとそれどういう意味？ムカつくー♥
春紀,家族は元気だよ。伊介様は？
伊介,は？伊介は問題ないに決まってるでしょー♥マジ舐めんな♥
春紀,はは、そうか。悪かったね、変なこと聞いて
伊介,………んで……のよ……
春紀,え？
伊介,なんでアンタが謝んのよ……
春紀,え？だって……
伊介,……はぁ。とりあえず、元気ならいいわ
春紀,あぁ。……あたし、ここに来るの迷ったんだけどさ
伊介,へ、へぇ。何よ……じゃあ来なきゃ良かったのに……
春紀,来てよかった。あたし、多分……ずっと、伊介様に会いたかったんだな
伊介,……！
春紀,それじゃ、あまり長居しても良くないし。あたし、行くから
伊介,……ふぅん
春紀,なんだ、見送ってくれないのか
伊介,窓の外眺めてたい気分なの。行くなら早く行って
春紀,……わかったよ。それじゃ
伊介,……伊介が、言いたかったこと、全部言っちゃうんだもの……。……伊介もアンタにずっと会いたかったって言ったら、アンタはどんな顔するのかしらね。…………
春紀,ただいま
乙哉,おかえ
春紀,おい、おかえボーンってなんだよ
乙哉,……香子ちゃんが台所にいたから、もしかしたらそれかも
春紀,ふざけんな。おい！大丈夫か！？
しえな,みそ汁を爆発させるってすごいな
神長,すまない……
春紀,
しえな,全く、何やってるんだよ。もう
春紀,………何やってるんだよ、もうはアンタだよ！！！
しえな,？あぁ、春紀、帰ってきたのか
春紀,帰って、きたとか、じゃ、ないだろ！！ちょ、ちょっと待て……
乙哉,え！？なんで！？なんでいま春紀さんのこと呼び捨てにしたの！？
しえな,これからしばらく一緒に暮らすんだし、家主とは打ち解けようと思って
春紀,一緒に暮らす！？
乙哉,元々一緒に暮らしてたのはあたしだよー！本妻はあたし！
しえな,別にそういう仲になろうとは思ってないって
神長,というか本妻は学園にいるだろ
乙哉,だよねー。あの人には勝てないかなー、おっぱいとか！
冬香,……………ねぇ、お姉ちゃんってソッチなの？
春紀,そんなワケないだろ。いいか、ここは姉ちゃんが片付けておくから冬香はちょーっとあっち行ってような
乙哉,～～～～～！！！
神長,………
しえな,いっだぁい……………！
春紀,反省したか？
乙哉,なんで香子ちゃんだけデコピンなの！？ズルくない！？
春紀,うるさい。主に騒いだのはアンタら二人だろ
しえな,っていうかボクも別に騒いだりしたわけじゃ
春紀,アンタの場合はそれ以前の問題だ。病院はどうした
しえな,……抜け出してきた
春紀,戻れ
神長,私もそれについてはかなりしつこく聞いたんだが…答えてくれなかったよ
春紀,そうか……
しえな,すまない、ボクにもボクの事情があるんだ
春紀,まぁいい、抜け出したことについては何も言わない。アンタの勝手だかんな
しえな,……！
春紀,ただし、なんであたしの家に来た？行くところだったら
しえな,……紹介されたんだ
春紀,…………………また鳰の奴か
しえな,え？いや、武智だけど
乙哉,いやぁ～ついねー
春紀,歯ぁ食いしばれ。はぁ……まぁ、もういいや……今日アンタの荷物、運んだぞ
しえな,え？
春紀,バイトでミョウジョウ学園に行ったんだよ、アンタの部屋の荷物を運びにな
しえな,そうだったのか………え！？
春紀,なんだ？
乙哉,あー、もしかして、何か見られたらマズいものでもあった？
しえな,いや、それは……
春紀,あぁ、もしかしてあの漫画か？確かにいっぱいレズもがっ
しえな,あーーーー！！！あーーーーーーー！！！！！！！！！
春紀,痛い痛い！言わないから離せ！
神長,ところで剣持
しえな,なんだ？
神長,お前、病院を抜け出して平気なのか？
しえな,……まぁ、もう峠は越えたし
春紀,普通はヤマ越えたからってそんなケロっとしてないんだけどな
しえな,病院から薬を結構くすねてきたし。あとはここでのんびり治療するさ
春紀,誰がそれを許可した？
神長,じゃあ聞くけど、追い出すのか？
春紀,それは
神長,私にはわかる。お前はそれをしない人間だ
春紀,……………
神長,というか、そうじゃないと困る
春紀,どういうことだ？
神長,さすがに４人であの布団に入るのはキツいだろうと思ってな、さっきもう１組布団を買って来たんだ
春紀,ねぇホントお前らはどうしてそんな自由なの？。はぁ……アンタ、本当に病院戻らなくて平気なんだな？
しえな,あぁ。薬さえちゃんと飲めば平気だ
春紀,………わかったよ。もう好きにしろ
しえな,おぉそうか！助かる
乙哉,それ、飲み忘れたらどうなるの？
しえな,次第に呼吸が荒くなり痙攣が起こり吐血が起こり臓器の機能が著しく
春紀,やっぱアンタ病院戻れよ！！！！！
冬香,はーちゃん、ご飯できたよ
春紀,お、もうそんな時間か
乙哉,冬香ちゃんのご飯ちょー美味しいよねー♪
神長,あぁ、こんなに料理が出来るなんて羨ましいくらいだ
冬香,そ、そんなに褒めても何もないですよ？
しえな,ボク、まだ普通のご飯食べちゃ駄目ってお医者さんに言われてた
春紀,酔っぱらいのゲロでも食っとけよ
冬香,あ、大丈夫ですよ。しえなさんの分は別に作ってあるんで。お口に合うかわかりませんけど
しえな,女神だ……ここに女神がいる……！
乙哉,ねぇ、春紀さん。あたしに妹ちゃんくれない？
春紀,殺すぞ
神長,私も欲しい……
春紀,物じゃないっつの
しえな,ボクも欲しいな……なんでも出来そうだ、すごい
春紀,冬香はドラえもんじゃないんだぞ
冬香,でも、それならはーちゃんがいい……
春紀,冬香、しっかりしろ。それ色んな意味でヤバいぞ。なんていうか、あたしの部屋がどんどん狭くなってくな
しえな,大変だな
春紀,とりあえず昨日より狭い原因はアンタなんだけどな
しえな,まぁそう言うなよ、しばらくの間仲良くやろう、春紀
春紀,なぁアンタ、前にイジメ嫌いって言ってたよな？
神長,剣持が寒河江のことを下の名前で呼んでるの、いまだに違和感あるんだけど……
乙哉,あたしはいいとは思うけど、正直面白くないかなー
しえな,お前は黙ってろ
乙哉,ねーねー、しえなちゃん
しえな,……なんだよ
乙哉,……ごめん、やっぱなんでもない
しえな,は？
春紀,武智、どうしたんだ？
乙哉,ううん。それよりもあたし春紀さんと寝ていい？
春紀,え、何その話の逸らし方。内容がエグ過ぎるんだけど
しえな,あ、ちょっと待ってくれ
春紀,なんだよー電気消すぞー？
しえな,あぁ、もう平気だ
春紀,はいはい。なぁ。走りから電話とか、ないのか？
乙哉,ないよー、なんで？鳰ちゃん不足？
春紀,そんなわけないだろ。昨日会って来たばっかだっての。っていうかあいつのことが不足するとか有り得ない
神長,あぁ。もしかして、仕事か？
春紀,そうだ。よく考えたら、どうせこれから三日間休みだしな
しえな,そんなんで稼げるのか？
春紀,アンタにそんな心配されたくないっつの
乙哉,でも実際深刻な問題でしょ？
春紀,あぁ。入ったばかりでシフトの調整にある程度、時間かかるみたいなんだ
乙哉,そういうもの？
神長,……さぁ？
しえな,ボクもよくわからない
春紀,羨ましいわ。？誰だ？
乙哉,あたしー。あ、鳰ちゃんだ！
神長,噂をすれば、だな
しえな,どこかから見てるのか？ってくらいのタイミングだな
乙哉,もしもーし。うん、鳰ちゃんから掛かってきてるからそんなのいちいち言わなくてわかってるよ
春紀,スピーカーにしてくれ
乙哉,はいはい
春紀,よぉ、鳰
神長,あぁ
しえな,ボクもいるよ。なんでって、そんなのボクの勝手だろ？。なんだ？ボクが？
乙哉,それは間違ってるよ、しえなちゃんは頼りにならないよ
しえな,わざわざマイナス方向に訂正することないだろ
春紀,なんだ？また誰か家に引き取れとかそういう話だったらお断りだぞ
乙哉,ただし、伊介様なら大歓迎だぜ
春紀,武智あとでゲンコツな
神長,っていうか伊介様は早くあたしの家に来いってんだ
春紀,神長お前今日の晩飯抜きな
しえな,むしろ嫁に来いってんだ
春紀,……
しえな,いったぁ！！？！なんでボクだけ即ツッコミ！？
春紀,アンタ次会ったとき酷いかんな
乙哉,じゃあ鳰ちゃんはどういう用事があるの？
しえな,なんだよ、歯切れが悪いな
神長,あぁわかる。心霊スポットで有名らしいな
春紀,言われてみれば聞いたことあるな
乙哉,えー、知らないのあたしだけー？
しえな,お前は退場が早過ぎたんだよ
春紀,別に普通だろ、墓地に人がいるなんて
しえな,つまり？
春紀,ふぅん、追っ払えよ
神長,………まさか、私達に？
春紀,おい、そんなの警備員にでも任せとけよ。あたし達は。深夜に墓地の見回りしただけでバイト代１万だと……？最高だろ！！。金の為ならなんと言われようと構わねーよーだ
乙哉,レズ
神長,ドジ
しえな,不憫
春紀,お前らそれあたしに言うんじゃなくて鏡に向かって言えよ。よし、それじゃ
神長,ちょちょちょちょちょっと待て！！！！私は行くとは言ってないぞ！？
春紀,うん、でも行くぞ
神長,！？
乙哉,あたしも行かないと駄目？結構そういうの苦手なんだけど……
春紀,変態シリアルキラーにも苦手なものってあったんだな
しえな,ボクは別に構わないけど……ほら、安静にしてないと
春紀,いいからついてこい
しえな,えー
神長,なんでそんな強引に参加させたがるんだ
春紀,バイト代の半分はこの家に入れろ。いいな
乙哉,春紀さんのそういうナチュラルにジャイアンなとこ、あたし結構好きだよ
春紀,あぁ。明日の晩だろ？任せとけ
神長,………………
乙哉,ホントに行くのー？
しえな,薬持ってくの忘れないようにしないとな
春紀,了解。あの墓地って広いのか？
乙哉,へー？じゃあ手分けした方がいい感じかな？
しえな,あぁ、手分けするのが一番妥当だろう
春紀,どういう割り振りにする？。あー、そうだ。その墓地の地図とか無いのか？
しえな,使えないな。お前、そうやって本当のこと言うのイジメだからな。あ、おい！
乙哉,うーん、切れちゃったね
神長,まぁいいさ。で？どういう風に振り分ける？
しえな,え？
春紀,いや、え？じゃなくて。手分けして行くんだろ？
しえな,？？？みんなバラバラじゃ駄目なのか？
乙哉,しえなちゃん頭大丈夫！！？！？そんなの無理に決まってんじゃん！！！
神長,わわわ私は無理だぞ、一人でなんて、そんな
しえな,お前ら……春紀は？
春紀,あたしはー……まぁ手分けした方が早く済むとは思うけど、迷子が出ると面倒くさそうなんだよなぁ
神長,迷子…？さすがにそれは無くないか？
しえな,神長は春紀の視線に気付くべきだと思う。はぁ……じゃあここは二組に
乙哉,しえなちゃん一人で大丈夫みたいだから３人で行こう？
しえな,え
神長,あぁ、それがいいな
春紀,ま、剣持なら一人でも平気だよな
しえな,ちょま
乙哉,あったり前じゃん！しえなちゃん霊感とかないしって言ってこういうの全然ビビんないんだよ！？すっごいんだから！
神長,それは心強いな
春紀,なるほどなー
乙哉＆神長＆春紀,じゃっ！♪
しえな,待て待て待て待て！！！！
春紀,なんだよー。怖くないんじゃなかったのか？
しえな,そうだな！お前らの残酷さの方がよっぽど怖いよ！
神長,なんの話だ？
しえな,神長は爆弾作りながら雑談に参加しない！
乙哉,しえなちゃんも怖いならやっぱり皆で行く？
しえな,だーからおかしいだろ！なんで二人ずつに分かれようとしないんだよ！
春紀,剣持をぼっちにしたくて
しえな,素直だな！？
春紀,ま、冗談は置いといて。明日は二手に分かれような。というわけで神長。よろしく
しえな,やだやだやだやだ
神長,小学生みたいなダダのこね方するなよ……
乙哉,いや、大人のダダのこね方ってのもちょっと意味不明だけどね……
神長,最近、お前……私に対しても手厳しくないか？
乙哉,んー、可愛く見えてきてるってことじゃないかな？
神長,………
乙哉,でもー、あたしの一番はしえなちゃんだから。ねー？♥
しえな,なにそれこわい
春紀,ちょうどいいじゃんか。二人で墓地デートでもしてこいよ
しえな,いい、い、嫌だよ！
乙哉,やったー♪しえなちゃんとデート♥
しえな,お前なぁ………
神長,私達もでーとなのか？
春紀,なんでだよ。あとその爆弾しまえ
乙哉,なんで爆弾なんか作ってるの？
神長,え……？お化けにあったら爆破するためだけど………？
春紀,そんなお前そんなこともわからないのか？って目で見るなよ、さすがに武智が可哀想だろ
しえな,理不尽過ぎる
乙哉,っていうか爆破するのは構わないけど、墓地だよ？吹っ飛ばしちゃいけないもの吹っ飛ばしそう
春紀,むしろこいつなら器用に吹っ飛ばしちゃいけないものだけを吹っ飛ばしそう
しえな,あぁ、それ今ボクも言おうとした
神長,おいお前らさっきから言い過ぎだろ
春紀,で、これでいいな？
神長,あぁ。私と寒河江が敷地左側
乙哉,で、あたしとしえなちゃんが敷地右側、だね
しえな,先に帰ったりしないで、入り口で待ってるんだよな？
春紀,あぁ、そうだ。置いて帰ったらさすがに可哀想だしな
乙哉,明日の準備しよー♥
しえな,待て武智。なんでハサミの手入れをする必要がある
神長,明日に備えてもう寝よう
乙哉,ちょっと待って。それはおかしい
神長,はぁ？
乙哉,その理屈はおかしい
春紀,はぁ……？
乙哉,ううん、今のは言ってみたかっただけ
しえな,おい
乙哉,でもさー、明日の深夜０時からなんでしょ？見回り。明日に備えるなら逆に今日は夜更かしすべきだと思う！
しえな,………お前でもまともなこと言うんだな
乙哉,なんで！？よりによってしえなちゃんがそんな反応とか酷くない！？
春紀,レアだよな、まともな武智
しえな,あぁ、ものすごく
乙哉,香子ちゃんはそんなこと言わないよねー？？？？？？
神長,あ、えと、その……
春紀,やめてやれよ
しえな,じゃあ今日はもうちょっと起きてて、明日の深夜に眠くならないようにするってことでいいか？
春紀,それは構わないけど、静かにしろよ？
乙哉,あぁ、弟君達？
春紀,そうだ、あいつらはまだ幼いんだ。夜更かしに巻き込む訳にはいかないからな
神長,じゃあ何する？
春紀,いや何って……神長が爆弾さえ作らなければそれぞれで時間潰しててくれて構わないよ
しえな,そういえば、ボクの荷物を運ぶのに学園に行って来たって言ってたな
春紀,あ？あぁ。そうだな
乙哉,そのときの話聞きたい！
春紀,はぁ！？
神長,まぁいいじゃないか。私も久々だし、どうなってるか気になるな
春紀,って言っても、鳰とい……にしか会ってないけど
乙哉,におといって誰？
しえな,さぁ、転校生か？
神長,誰だろうなぁ？
春紀,……別に、この話はあんたらにする必要はないからいいんだよ。えっと
乙哉,待って待って！そんな風に言われたら気になるって！
しえな,ヤバいな……犬飼とのことは聞かない方がいいんじゃないか……？
神長,私もそう思った……もしかしたら、破廉恥な話かも
春紀,神長、ゲンコツな
乙哉,で？何があったの？
春紀,いやホントに何もないさ。剣持の部屋の荷物をトラックに運んだだけだ
神長,でも走りに会ったって…
春紀,あいつはただの立ち会いだ。生田目と桐ヶ谷のことは聞いたか？
しえな,ひっ
春紀,どうした？
しえな,いや、なんでもない…
春紀,桐ヶ谷
しえな,や、やめろよ！！
乙哉,どうしたの？
神長,さぁ…
春紀,こいつ
しえな,わぁー！！！っわぁーーー！！！！
春紀,……二人共、剣持から入院の事情、なんて聞いてるんだ？
乙哉,え？えっと、いいところまでいったんだけど毒でやられちゃったって
しえな,……
神長,東が毒を使ったんだろ？
春紀,……
しえな,……
春紀,えーと…
しえな,すまない、あれは嘘だ
乙哉,へ？
神長,というと…？
しえな,ボクは桐ヶ谷に毒でやられたんだ
乙哉,え！？
神長,桐ヶ谷こわっ…
春紀,しかも予告票を出す直前に
しえな,それは言わなくてもいいだろ！！！
乙哉,だっさ
神長,そんなの有りか…
しえな,死にたい
春紀,で、生田目と桐ヶ谷は心中だってさ
乙哉,はい？
しえな,あの二人、死んだのか！？
神長,訳がわからない…
春紀,剣持はなんでやられたんだ？
しえな,ボクは、予告票出すタイミングが桐ヶ谷と被って…それで…
春紀,なるほどな。それで学園祭の劇でなんやかんやあって二人は死んだ訳か
乙哉,なんやかんや！？
神長,話が飛びすぎだ！
春紀,………………………………ってことがあったらしい
乙哉,そんな……もったいない…
しえな,そう、だな。ボクも桐ヶ谷にやられた身だけど、何もそんな死に方……
乙哉,せっかく殺させてくれるのに…ナイフで一刺しなんて…あたしだったら…
神長,この人こわい
春紀,残念がるポイントが異質過ぎる
しえな,ボクこいつと同室だったからな
神長,武智は置いといて…なんか残念だな
春紀,だな。この業界にいるとそういう話はゴロゴロ転がってるけど、二人のことを知ってる分、ショックだよな
乙哉,でもさー、それってつまり二人は愛し合っていたってこと？
しえな,野暮な事言うな。わざわざ心中したんだ、そういうことだろ
春紀,まぁ、そうだろうな
乙哉,つまりあたしとしえなちゃんも……？
しえな,なんでそこでボクの名前が出てくるんだ、やめろ
神長,で？
春紀,で？って？
神長,犬飼に会ったんだろ？
春紀,……別に
しえな,あーあ、こりゃチョメったな
春紀,その言い方やめろ
乙哉,やらしー
春紀,クレイジーサイコレズに言われたくない。何にもないっての。普通に会って、ちょっと話して、それでおしまいだ
乙哉,ヘタレ
春紀,死ね
神長,期待はずれだ
春紀,くたばれ
しえな,お前それでもちんこついてるのか
春紀,ついてねーよ殺すぞ
しえな,でもその様子だと本当にそれだけなんだな
春紀,他になんかあってたまるかっての
乙哉,無いことはないんじゃない？ほら、あたしとしえなちゃんみたいに♥
しえな,何もないだろ暴れるぞ
神長,なんか首藤に会いたくなってきた
春紀,アンタら楽しそうでいいな
乙哉,しえなちゃんはどうやって晴っちを殺すつもりだったの？
神長,あぁ、気になるな
しえな,それは
春紀,っていうかアンタ、武器とか持ってないのか
しえな,特には、ないけど
乙哉,そうなの？
しえな,ぼ、ボクは分析が得意で…！
神長,桐ヶ谷の毒でやられたのに？
しえな,…少し泣く
春紀,待て、部屋の隅に移動しようとするな
神長,いい加減眠いな…
乙哉,もう３時だよー
春紀,そろそろ寝るか
しえな,……
乙哉,んもー♥
神長,剣持はこういうところ抜けてると思う
春紀,アンタに言われるって、相当終わってんな。んじゃ、ぱぱっと見回って帰るか
乙哉,これで１万って言うんだから破格だよねー
神長,みんな、準備はいいか
しえな,神長、その…それは？
神長,あぁ、念の為にな
春紀,こないだ施設を爆破したときより重装備じゃねーか
神長,いざとなったらこれでお化けと刺し違える…！！
乙哉,それ、一緒に行動する春紀さんも死ぬよね
春紀,頼むから、テンパッてその爆弾使わないようにな
神長,大丈夫だ、すぐに起爆出来るように作ってきた
春紀,話を聞け
神長,だって…
春紀,にしても、足場悪いな
神長,そうだな、転ばないように気をつけろ
春紀,なんで言いながら転んでるんだよ斬新過ぎるだろ。鳰の奴、全然広くないって言っておいてこれか…
神長,かなり広いな……懐中電灯の予備の電池持ってくればよかった…
春紀,そういう普通の備えはしてきてないのか
神長,爆弾作るので精一杯だった
春紀,精一杯の発揮の仕方がおかしい
神長,…っわぁああああ！！！！！！！！！
春紀,！！？！？ど、どうした？！
神長,懐中電灯が切れたぁ……！！！
春紀,落ち着け！あたしの分があるから！
神長,ああああああ！！！
春紀,どうした！
神長,そこに誰かいる！！！
春紀,あれは木の枝だ！安心しろ！
神長,っひいいいいいい！！！
春紀,今度はなんだよ！
神長,月が光ってるぅうぅぅ！！！
春紀,当たり前だろ！光ってない方が怖いわ！！！！
神長,ふぇ……えぐっ……
春紀,はぁー…もう、歩きにくいったら
神長,だって…
春紀,全く……転ぶなよ？
神長,あっ
春紀,！？。いった……気をつけろって言ったｒ
神長,ああああああ！！！！
春紀,っるっさいな！今度はなんだよ！
神長,お墓がある！！！！！
春紀,おうおうそりゃ墓地だからな！！。ったくもう…
神長,すまない……でも、よかった…
春紀,何がだ？
神長,転んで爆弾が爆発したらどうしようかと
春紀,怖すぎる
神長,二回も転んだのに爆発しない、普段の行いがいいからかな
春紀,あたしだってそれなりな筈なのになんで知らず知らずの内に二回もそんな危機に直面してんだよ……
神長,あああああああ！！！！
春紀,っるっさい！
神長,だ、だ、誰だ！！！！
春紀,！！？！？。アンタらは…！
神長,出たぁあああ！！
春紀,待て待て落ち着け！！。勝手にうんこ漏らしたことにするなよ、可哀想だろ！
神長,生田目！桐ヶ谷！お前ら、無事だったのか…！？
千足,あぁ。なんだ？死んだことになってたのか？
柩,失礼ですね…
春紀,心臓刺されたって聞いてたから…
柩,えぇ、大変でしたよ。峠はもう越えましたけど
春紀,剣持と同じようなこと言ってる…
神長,お前は平気なのか？生田目
千足,あぁ、峠は超えた
春紀,アンタら峠越えすぎだろ
千足,？じゃあ死んでいた方が良かったか？
春紀,別にそういう訳じゃないけど…
神長,にしても、何故こんなところに？
千足,ここには私の師匠の娘さんの墓があるんだ
春紀,あぁ…！そうだったのか
柩,はい。それで、一緒に謝りに行こうって話になって
神長,なるほど。私はてっきりお化けかと…
春紀,神長、その手に持ってる爆弾を今すぐしまえ。今すぐだ。じゃあアンタらは今日初めてここに来たんだな？
神長,昼間に来ればいいのに…
千足,いや、私達は３日くらいここにいる
春紀,なんでだよ
柩,迷っちゃって…
春紀,限度があるだろ
神長,も、もう、二人共ドジだなぁ！？
春紀,随分と嬉しそうだな。じゃああたしらと一緒に行くか
千足,いいのか？
神長,まぁ人数は多いほうがいいし、な
柩,お二人はどうしてここに？
春紀,あたし達は墓地を彷徨いてる奴がいるってんで、依頼されて見回りに来たんだよ
千足,すまない…
春紀,まさかアンタ達だったとはな…
神長,でも入る時はちゃんと受付を通ったんだろ？出ていてないってわかりそうなものだけどな
柩,さぁ？管理が杜撰なんじゃないですか…？
春紀,まぁ、確かに。ちゃんと管理されてるようには見えないな
神長,ちゃんと管理しないと…！お化けが出るから…！
春紀,落ち着けって。……
神長,……
春紀,なぁ
千足,なんだ？
春紀,アンタら、こんなところでも手を繋ぐのか
千足,桐ヶ谷が迷子になったら困る
神長,それで二人して迷子になってるんだから呆れるよ
千足,返す言葉もない…
柩,やっときます？
春紀,なんだよその引き金を引くジェスチャー、やめろ
神長,こわい
千足,いいか、桐ヶ谷。この人達を攻撃しちゃダメだ
神長,原始人に言い聞かせる理解者みたいになってるんだけど
柩,でも
春紀,反論頂きました
千足,もう殺しはしない。そうだろ？
柩,…はい
春紀,あぁ、足洗ったのか
柩,そうじゃないと墓前で謝れませんよ
神長,確かにな。ということは生田目も
千足,？私は足を洗ってない。これからも殺す
春紀,ゴーマニズムを垣間見た
千足,…！この道！
柩,どうしたんですか？
千足,見覚えがある……！
春紀,どうする？
千足,すまない、私達は
神長,あぁ、行ってくるといい
柩,す、すみません
春紀,いんや、気をつけろよー
しえな,……
乙哉,……
しえな,なぁ、武智
乙哉,な、何…？
しえな,本当にこういうの苦手なのか？
乙哉,苦手だよー！
しえな,人のこと仏にしてるくせにお化けには弱いのか…
乙哉,それとこれとは別だよ！
しえな,祟られそうなこと散々しておいて……
乙哉,……
しえな,……あ、ここ右だから
乙哉,う、うん……
しえな,……武智
乙哉,……
しえな,武智ってば
乙哉,な、なに？
しえな,そのハサミを今すぐしまえ
乙哉,……
しえな,いやﾁｮｷﾝﾁｮｷﾝじゃないから
乙哉,ねぇしえなちゃん
しえな,なんだ？
乙哉,生きてて良かったね
しえな,なんだよ、急に
乙哉,ううん。しえなちゃんから連絡をもらったとき、あたし本当に嬉しかったんだよー？
しえな,心配かけた、のか？
乙哉,いや別に心配はしてなかったけど
しえな,不条理だ
乙哉,だってまさか毒でやられちゃうなんて想像してなかったし
しえな,それはボクも想像してなかったぞ
乙哉,……あのさ
しえな,？
乙哉,春紀さんのこと、名前で呼んでるでしょ？
しえな,うん。その話はこの間もしただろ？
乙哉,あたしのことも…
しえな,……
乙哉,ダメかな？
しえな,……そんな風に真面目に聞かれると、困る
乙哉,ねぇちょっと呼んでみてよー
しえな,……いやだ
乙哉,なんで！？
しえな,今更だろ
乙哉,春紀さんのは変えたくせに
しえな,春紀は、ほら、あまり関わってこなかったから。呼び名が定着してなかったっていうか
乙哉,あまり関わってこなかった人の家に転がりこむってよく考えたらすごいよね
しえな,そうだな、ウケる
乙哉,……
しえな,はぁ………乙哉
乙哉,！
しえな,これでいいだろ！はい、おしまい！
乙哉,えー！これからもそうやって呼んでよー！
しえな,わかったからくっつくなって！
乙しえ,！？
千足,さぁ、ここを抜ければすぐd
乙哉,きゃあぁぁぁぁぁぁぁ！！！！
しえな,危ない危ない！ハサミを振り回すな！
千足,！？！？！
柩,きゃあ！
千足,桐ヶ谷！大丈夫か！
柩,ぼ、ぼくは大丈夫です
しえな,！？
乙哉,え……？…………？？？何？どういうこと………？
千足,お前らもいたのか…！
乙哉,ぎゃああぁぁぁお化けじゃん！！！
