五十嵐響子,ふう……
智絵里,今日作るのは、"インド生まれイギリス育ちのフレンチシェフの気まぐれアメリカンタコス煮込みパスタ～日本海の薫りを添えて～"ですっ
響子,！？！？！？
美穂,美味しいですよねっ！
響子,食べたことあるんですか！？
卯月,お料理界の第二次世界大戦と呼ばれるレシピですね！
響子,そんな物騒な二つ名がお料理に！？
卯月,では早速、調理を……え？
響子,あれ？スタッフさんが耳打ちしてる……
卯月,え！？ケラスス菜とミェラレ油とボウェナブラの肝が手に入らなかったんですか！？
響子,さっきから知らない言葉しか出てこない！！！
智絵里,そんな……
美穂,それじゃあ作れないよ……
卯月,どうしましょう……？
智絵里,ケラスス菜とミェラレ油とボウェナブラの肝がないインド生まれイギリス育ちのフレンチシェフの気まぐれアメリカンタコス煮込みパスタ～日本海の薫りを添えて～なんて、ただのゴミです……
響子,もう何がなんだか
美穂,智絵里ちゃん！ゴミなんて言っちゃダメ！産業廃棄物でしょ！
響子,よっぽど酷くなってますよ！？
卯月,はぁ……適当にカレーでも作りましょうか……
美穂,うん……
智絵里,はい……
響子,開始5分でテンションが放送事故になってる……
卯月,では今日は、予定を変更して……。チキンカレーを作ります！
智絵里,シーフードカレーを作ります！
美穂,キーマカレーを作ります！
卯月,は？
智絵里,は？
美穂,え？
響子,見てられない！！！
卯月,まあ、カレーはアレンジの幅がありますから、意見がバラけちゃうのも仕方ないですよね！
智絵里,ご、ごめんなさいっ。チキンカレーだけは作るなって、おばあちゃんからの遺言で……
響子,もっと他に後世に伝えるべきことなかったんですかおばあちゃん
美穂,わ、私も、熊本には海がないのでシーフードカレーはちょっと……
響子,海あるでしょ！！！
卯月,キーマカレーはカレーとは認めません！
響子,なんで息を合わせて仲間割れするんですか！？
卯月,わかりました！じゃあ、アレンジの幅が比較的少ないハンバーグにしましょうか！
美穂,そうだね！
卯月,では今日は……。デミグラスハンバーグを作ります！
智絵里,煮込みハンバーグを作ります！
美穂,豆腐ハンバーグを作ります！
卯月,は？
智絵里,は？
美穂,え？
響子,もう！！！！！
卯月,では、早速調理をはじめましょう！食材をお願いします！
響子,ここまでに何分使うんですか……
智絵里,はいっ。人参、タマネギ、ジャガイモを持ってきましたっ
響子,カレーへの未練
美穂,ち、智絵里ちゃん！カレールーも忘れちゃダメだよっ
響子,カレーへの執着
卯月,ナンを持ってきました！
響子,完全にカレーの方に舵が切られてる！！！
卯月,完成したグラタンがこちらです！
響子,ええええええ！？
美穂,わー！
智絵里,ぱちぱちぱちぱち
響子,なんでグラタンできてるんですか！？なんでこのタイミングで出しちゃうんですか！？そもそもカレーどこ行ったんですか！！！
卯月,じゃあ食べましょうか！
智絵里,美味しそうですっ
美穂,いただきます！
3人,……
響子,なぜ無言
卯月,おいしいです
智絵里,いい感じです
美穂,いいです
響子,食レポのレベルが低い……
美穂,って、2人とも！これじゃあ料理してるシーンがなんにもないよ！
響子,よく言ってくれました！！！
智絵里,た、確かに……
卯月,このままじゃ打ち切りです……！どうすればいいんでしょう……？
響子,料理をすればいいと思います……
卯月,1曲歌いましょうか？
美穂,料理番組なのに歌で視聴率取ってもダメだよ！まるで法律の話を何もしないのに法律番組を名乗ってるみたいになっちゃうでしょ！
響子,ツッコミにどこかへの皮肉が
卯月,さて、始まりました！島村卯月相談事務所！
響子,すぐに冠番組を作る！！！
智絵里,卯月ちゃん、相談があるんです……
卯月,はい！どうしましたか？
智絵里,料理番組って、何をすればいいんでしょうか……
響子,料理！
卯月,難しいですね……
響子,料理！！！
美穂,どうしよう……
響子,料理！！！！！
智絵里,そもそも、この番組を見てるのってどんな人なんでしょうか？
卯月,なるほど！視聴者層を予想して、そこにターゲットを絞った振る舞いをすれば、とりあえず一定の満足度は得られるという作戦ですね！
美穂,やっぱり、お昼のお料理番組だから、主婦の方とかが見てるんじゃないのかな？
智絵里,わたしたちはお仕事ですが、今日はお休みの日なので、意外と学生さんとかも見てるかもしれませんよねっ。わたしたちはお仕事ですが
響子,2回言った
卯月,そうですね！あとは、お部屋の掃除が終わったらちょうどお昼時で、何か面白いレシピでもやらないかなと思ってなんとなくテレビをつけたサイドテールの美的センスが独特なアイドルさんもいるかもしれません！
響子,私これ見られてたりします！？あ、あと美的センスは余計なお世話です！！！
卯月,というわけで、完成したハンバーグがこちらです！
響子,いつ作ってました！？！？！？
美穂,わー！
智絵里,ぱちぱちぱちぱち
響子,グラタンの時と同じリアクション……
卯月,じゃあ食べましょうか！
智絵里,美味しそうですっ
美穂,いただきます！
3人,……
響子,食事中は喋っちゃいけない決まりでもあるんですか？？？
卯月,わりとおいしいです
智絵里,けっこういい感じです
美穂,なかなかいいです
響子,相変わらず食レポに向いてない……
卯月,……でも、やっぱりハンバーグはダメですね
響子,え？美味しそうでしたけど……
美穂,うん……、これも美味しいんだけどね……
響子,？？？
智絵里,はい、やっぱり、ハンバーグとなると……
卯月,そうですよね……、やっぱり
美穂,そうだね……
3人,響子ちゃんのが一番です！！！
響子,！！！！！
卯月,みなさん、響子ちゃんはもちろん、ご存じですよね？本当にお料理が上手なんです！
智絵里,この前ハンバーグを作ってもらってびっくりしちゃいました
美穂,すっごくすっごく美味しいんですよ！
響子,さ、3人とも……
卯月,あれを食べたらもう普段の生活には戻れません！
響子,言い回しもうちょっとありませんでしたか！？
美穂,そんなこと話してたら、響子ちゃんのハンバーグ、食べたくなってきちゃったね
智絵里,そうですねっ！今度、土下座して作ってもらいましょうかっ
響子,しなくていいですから！変なキャラついちゃう！！！
卯月,確かに、食べたいですね……
響子,で、でも、嬉しいな……。あ、そうだ！今日はハンバーグを作ろっと！。3人に、前よりももっと美味しいハンバーグを振る舞う練習をしなきゃ♪
卯月,よし！
響子,？
卯月,呼んじゃいましょう！響子ちゃん！
響子,……。……。……え？
スタッフ,お迎えにあがりましたー
響子,えええ！？
スタッフ,こちらのリムジンでお送りしまーす
響子,ええええ！？
スタッフ,赤信号を無視する権限があるんですよー
響子,えええええ！？
スタッフ,テレビ局につきましたー
響子,ええええええ！？
スタッフ,スタジオまで顔パスになってまーす
響子,えええええええ！？
スタッフ,こちらの生放送中のスタジオでーす
響子,ええええええええ！？
卯月,響子ちゃん！こんにちは！
響子,えええええええええええええ！？！？！？。え！？な、なんですかこの移動のテンポは！？
卯月,五十嵐響子ちゃんでーす！
智絵里,ようこそ！
美穂,こんにちは～
響子,こんな雑に出演者を増やしていいんですか！？
智絵里,な、何回土下座すればハンバーグを作ってくれますかっ？
響子,ハンバーグくらいならいつでも作りますから！！！そのいつも土下座させてるみたいな流れやめてください！！！
美穂,い、今ちょっと持ち合わせがなくて……
響子,お金も取りません！！！
卯月,さて、では、響子ちゃんにはこれから……。和風おろしハンバーグを作ってもらいましょう！
智絵里,チーズインハンバーグを作ってもらいましょう！
美穂,照り焼きハンバーグを作ってもらいましょう！
卯月,は？
智絵里,は？
美穂,え？
響子,結局1回も意見が合わなかったじゃないですか！！！
