以前に書いた,水曜日のアイドルマスター
あずさ,ライブ前ってほら、緊張するから///
P,あずささん
あずさ,はい
P,しばらく禁酒です
あずさ,はい……
春香,この企画もしかして、モノマネされてる人の方がキツイんじゃ…？
真,まさかそっちが火傷するとはね…
真美,いやぁ…危なかったね～
亜美,流石りっちゃん。手強いぜ！
伊織,亜美がとっさに小鳥を真似したのが決め手だったわね
P,凄いコンビネーションだったな
春香,あーいうのやられちゃうと信じちゃうよね
律子,まさか2人がかりだとは思いませんでした…
千早,じゃあ律子、引いてもらえるかしら？
律子,ええ～……
真美,んふふ～。もちろん企画に沿った罰ゲームも入ってるよん
千早,2人の後だと嫌ね…
雪歩,しかも3回だし…
P,事務所の奴らなら出来るんじゃないか？
律子,うーん……とりあえずやってみますけど……
亜美,じゃありっちゃん！お願いします！
律子,えー、知らない人がいるのを知らずに事務所にいつも通り入ってきた響
響,えっ
律子,はいさーい！ねぇ！律子聞いてよ！今朝ちょっーといぬ美のご飯つまみ食いしたら、いぬ美が怒っちゃてさぁ。ハム蔵もいぬ美の味方するしさ！酷いと思わない？ほんのちょーっとだよ！ちょーっ……………ぁ。……こ、こんにちは………
春香,ふふっwww
P,細かいwwww
真,分かるなぁwwww
雪歩,響ちゃんも結構人見知りだもんね…ふふw
響,うがぁー！やめろぉ////
千早,これ本当に一度あったのよねwww
P,あの時の空気凄かったわwwww
美希,くふwwwみ、見たかったのそれwww
亜美,いいじゃんいいじゃん！続いて２つ目どーぞ！
律子,うーん。じゃあ。機嫌が良くて、誰もいないと思いスキップをしてたら転んで膝を打った時の伊織
伊織,わ、わたし！？
貴音,細かいシリーズですね
律子,…………いったぁ…
伊織,み、見てたなら言ってよ！！////
やよい,伊織ちゃん…ふふ…
響,うまいなぁww
P,ああ。中々のクオリティだwww
律子,この時どうするのが本当の優しさか分からなかったです…
真美,りっちゃんいい調子だよ！じゃあラスト！
律子,アイドル達のグラビア写真をチェックしている時のプロデューサー
P,おい！
律子,お、春香だ……こいつ肌きっれーだな……無加工でコレ？……えぇ…。雪歩コレ……うっわぁ………抱きしめてぇ…。響も…コイツ……意外と………なんだよなぁ…。美希だ……なんだコイツ……本当に中3か？…………とんでもねぇな…。あ。あずささんだ……。うわっ…ええぇ……えっこれ…でっかぁ………えぇ…。コレちょ……ヤッベーな………。お、音無さん！これ見てくださいよ！。コレコレ！……………ヤバくないっすかぁ……？
P,お前ホント止めろ！！！
美希,こ、これは流石に……キモいの……
あずさ,……///
真,プロデューサー…サイテー
千早,そんな目で見られてるなんて……
P,えっ？。お前達は、その…
真・千早,はい？
P,なんでもないっす…
亜美,にいちゃん……ヤッベーな……
P,おいやめろw
真美,にいちゃんにいちゃん！コレ！………………ヤバくないっすかぁ
P,やめてくれww
伊織,自分も笑ってるじゃない。サイテー…
律子,これは声かけれなかったわ……
P,律子の罰ゲームのはずなのに………
やよい,げ、元気出して下さい！
P,え…なんでちょっと離れた…？
やよい,い、いえ……
春香,さ、さあ！VTRの続き見ましょうか！次は誰ですかねー！。いや、無理でしょ
P,チャレンジし過ぎだろ
やよい,……
響,おお～。やよいが真顔だ…
真美,今ならできるもんね！
亜美,お、音無さん！コレ……ヤバくないっすかぁ？
伊織,ふふふwwww
P,勘弁してくれってww
伊織,そりゃ無理よね
美希,流石にこれは気づくの…
やよい,2人とも！私の事何だと思ってるのっ！
亜美,いやぁ。ゴメンゴメン
真美,にいちゃんは難しかったか～
P,罰ゲームは無しだな
千早,高槻さんが罰ゲームしなくて良かった…
やよい,でもちょっと引いてみたかったですー…
亜美,じゃあ試しに引いてみる？
やよい,いいの？
真美,真美達は中身知ってるから、みんなには見せないでまた箱に戻してくれればいいよー
貴音,な、何でしょうか？…
あずさ,私達とカメラに見えないようにね
やよい,えーっと…コレって………え？。コレってアレだよね、あの～……
亜美,うん？どれどれ～？………うわぁコレ引いちゃったかぁwwww
真美,コレやよいっちが当たらなくて良かったネww
やよい,えっ？コレ本当にやるの……？
真美,やります！
やよい,ええ……
春香,なになになになに！？
真,怖い怖い怖いwww
あずさ,やよいちゃんがあんな反応するなんて……
伊織,やよいちょっと引いてるじゃないwww
響,先に引いてて良かったぁ…
千早,そうね…
P,じゃあ怖いけど次行くか！
真,次は雪歩か
雪歩,……
千早,私が真似されるのね
P,珍しい組み合わせかもな
春香,おおーっと全く疑っていません！
真,あ。雪歩が汗かき始めた…
春香,なんだろ？凄く真面目な話なのに
美希,結局、真美は歌わないから意味ないの…
雪歩,うう～ひどいよぉ…
真美,も、もしかしたら今度は真美が歌うかもだしっ！
律子,ここまでは取り止めもない会話ね
千早,え？私ってこんな感じなの？
春香,いや凄い似てるよ
P,うん。まんまだな
雪歩,うぅ…
千早,え！いやその前に！何勝手に約束してるの！？
春香,えーと、この電話の事は千早ちゃんはもちろん知らないわけだから
美希,電話は？
千早,……してないわよ
雪歩,私ずっと待ってたのに～
響,誰が悪いんだ？
律子,完全に真美でしょ
真美,いやぁ～。でもでもコレを気に…ね！
千早,……萩原さん。今晩……電話していいかしら？///
雪歩,え？…………う、うん////
P,尊い…
伊織,イチャついてないで、罰ゲーム引きなさいよ
雪歩,ううう～……やよいちゃんが引いたのが怖い…
亜美,大丈夫大丈夫！結構紙入ってるから、確率的にはそんなに当たんないって！
雪歩,ええ！？///
響,うわぁ…コレじゃなくて良かった…
春香,千早ちゃんのと同じ感じだね
千早,でもハードルはかなり高いわ
真,雪歩がっていうのが……
P,雪歩には辛い所だな…
あずさ,雪歩ちゃん頑張って！
やよい,これは私が引いたやつじゃないです
伊織,コレとさっき引いたのなら、どっちが嫌なの？
やよい,ぜーったい、さっき引いたの！
律子,本当に何引いたの……？
亜美,さあさあ、ゆきぴょん言ってみようか！
雪歩,えっ、もう？え、えーっと………///
真美,ゆきぴょんのちょっとHな台詞まで、3、2、1！
雪歩,やんっ、くすぐったいよぉ……もうっ。いじわる……////
全員,……
雪歩,あ、あの…せめて何か///。な、なんで拍手するんですかぁ！////
春香,いやこれ///
千早,え、ええ。その///
美希,雪歩って意外とおませさん？
雪歩,美希ちゃんより年上なんだけど…
真,雪歩……さん
雪歩,なんでさん付けなの！？
律子,これ大丈夫かしら///
あずさ,あらあら///
貴音,一体どういうシチュエーションなのでしょうか？
雪歩,ほ、掘り下げないで下さいぃぃ///
亜美,ゆきぴょんこれ……うっわぁ………抱きしめてぇ…
真美,プロデューサー！コレコレ！……ヤバくないっすかぁ…？
P,……ヤバイっす…
雪歩,うぅー…穴掘って埋まってますぅー！！////
春香,まあまあ雪歩落ち着いて
千早,つ、次行ってみましょうか？
響,プロデューサーか……
P,……
伊織,無言で変な顔してんじゃないわよ
P,してねーよ！
真,ぶふwww
律子,しゅ、瞬殺……
貴音,さすがです
春香,すご……
真,なんの疑いも持ってなかったね
雪歩,しかも真美ちゃんじゃなくて、亜美ちゃんていうのも見抜かれてます…
伊織,いやいやいやいや！！
春香,なんで分かるんですか！
P,いやだって真美だったし
春香,カッコよ！！
あずさ,さ、さすがプロデューサーさんね…
律子,流石にも限度がありますよ！
美希,どうやって見抜いたの？
P,どうも何も、普通に声で…
響,イケメンだ…
雪歩,とりあえずプロデューサーは罰ゲームはやらなくていいんですね
P,そういうことだな
伊織,なんかムカつく！
千早,じゃあ次の人に行ってみましょうか
貴音,やよいが引いた罰げーむも気になりますね…
P,春香で最後なんだな
春香,……
美希,真似されるのは美希なの？
律子,さーて、気づくかしら…
P,声真似は似てるけど、理由が雑だなぁ
千早,最後だからかしら？結構攻めるのね…
美希,有り得ないの！美希をなんだと思ってるの！
響,亜美…適当すぎじゃないか？
P,全く見抜けてないな
伊織,ほぼネタばらししてるのにね
P,おいwwww
真,言い訳が酷いね…
美希,ふざけんなの！！美希そんなのしない！！。ほんとやめて！！物真似で変な事言わないで！
P,声真似が上手いから美希の好感度がちょっと下がりそうだなwww
美希,ここ絶対カットしてよー！。そこの双子！後でウラに来いなの！！！
千早,ま、まあまあ。美希落ち着いて…
春香,やめてーーーー！過去の私！！答えないでーーー！！！！。うわあーーーーーー！！！
千早,な、なんていうか…
真,うん。見てるこっちも辛いよ…
雪歩,だ、大丈夫だよ春香ちゃん！ふ、普通の事だと思うし……
春香,そ、そうだよね……雪歩だってあるもんね？
雪歩,いや私はした事ないかな
春香,雪歩の裏切り者ぉ！
P,生理現象だもん、仕方ないって春香、気にするな
春香,プロデューサーさん……
P,俺はしないからよく分からんが
伊織,いやあんたは別にどうでもいいのよww
響,なんで体裁守ってるんだwww
P,テレビで放送されるけどなwww
春香,ホントやめて！！マジで！！
亜美,はるるん。まじごめん
真美,まさかこんなことになるなんて……
春香,2人が誘導したんでしょ！！。こ、これは気を使って言っただけだから！本当はそんな事してないから！！
P,ああ……そうだな………
伊織,何の話してるの？これ
真,地味に美希にもダメージ入ってるよね
千早,この番組ってもしかして誰も幸せにならないんじゃ…
響,今回何度も言ってるけど、もう罰ゲーム受けてるよねコレ？
春香,………………………はぁ
伊織,溜め息重いわねww
真美,さあ！はるるん！罰ゲームを引いて下さい！
亜美,いえーい！
春香,……………
P,顔が怖いぞ、春香…
千早,高槻さんが引いたのが怖い所ね
真,普通に引かない可能性の方が高いよね？たぶん
春香,………分かった。引くよ……。えーっと………。……………は？
やよい,そ、それです…
春香,え？いや！え！待って待って！！
美希,嘘でしょ……アイドルが…？
春香,なんで！？ねえ！なんで！！？
響,春香……引きが強すぎるぞ…
P,マジかwww
千早,タイキックってあれよね………ふふwww
真,お尻蹴られるっていうやつだよねwww
律子,なんでそんなの入ってるのよwww
春香,やだやだやだやだ！！おかしくないっ！？。何で私だけ物理攻撃なの！？
伊織,ぶふっっwww……物理攻撃……ww
春香,わっ！何かそれっぽい人が入ってきたし！！
貴音,春香……ご武運を……
真美,それではいってみましょう！
春香,嫌だーーー！！！助けて千早ちゃん！
亜美,タイキックまで……3,2,1！
春香,んがっはっ！！
全員,wwwwwwww
美希,あれは痛いのwww
P,春香崩れ落ちたぞwwwww
真,春香のあんな声…始めて聞いたwwww
伊織,すんごい音したわよwww
春香,……んあっ！……ハア…ハア…
やよい,春香さん…痛そうです……
千早,しばらく立てそうにないわね…ww
春香,……ハ……これ…
響,ん？何だ春香？………うん、うん……
あずさ,春香ちゃん何て？
響,これ後から来るやつだって
全員,wwwwwwww
春香,痛たた……
千早,春香…まだ痛む？
春香,う、うん……かなり……
美希,今週はここまでなの♪
雪歩,説は一応立証なのかな…
真,プロデューサーにはバレたけどね
響,マシな罰ゲームで良かったゾ…
貴音,2人とも素晴らしいモノマネでした
亜美,ありがと、お姫ちん！
真美,やっぱり仕掛け人の方が楽しいね！
伊織,あんた達はやり過ぎなのよ
やよい,今回も楽しかったですー！
あずさ,次は私も仕掛け人やってみたいわ～
律子,なんとか無事終わりましたね…
P,春香以外はなww。おっともう終わりの時間かな
春香,はい！みなさん！いかがでしたでしょうか！。正直私はもう出たくありません！
P,そりゃそうだろうなww
千早,ではまた次回にお会いしましょう
全員,バイバーイ！
