※このSSは,世にも奇妙な物語
店主,ええ、よく新聞や求人誌を公園に置かれていたようですけれども。
ブンビー,うう…あまり記憶にないんですが…
店主,まあそういう方は多いですよ。
ブンビー,因みにこれは…一般的には多い方でしょうか…？
店主,どうですかねー…これは人によりけりですからね。ただ、マイナスポイントにはなりますね。
ブンビー,そういう細かいところまでマイナスになるんですね…。あ、あと、この279という数字は…？
店主,これはざっくり言うと、お客様が生前色々と悪事を働いた回数ですね。
ブンビー,うっ…！
店主,これはお客様が自主開業する前までの間に集中していますね…これに関してはパルミエ王国妖精の入居者などから、かなり苦情が来てたみたいですね。
ブンビー,ということは、これも…！
店主,ええ、マイナスになります。
ブンビー,やっぱり…
店主,まあ他にも色々とマイナスになってる行いはありますけど…
ブンビー,えぇ…。いやー…それにしても私、怪人だったからというのもありますが、たくさん悪い行いをしていたんですね…
店主,まあ今お見せしたのは悪い行いですが、もちろんいい行いもたくさんしていますよ。
ブンビー,えっ…？
店主,例えばこの１という数字…これはお客様が石化していた人を助けた回数です。
ブンビー,石化していた人を助けた回数…ああ、そういえばエターナル辞めた辺りぐらいにそんなことも…！
店主,これ、なかなか珍しいケースですね…もちろん、これもいい行いとしてプラスになります。
ブンビー,それにしても、良い行いは覚えているのに、悪い行いって中々覚えていないものなんですね…
店主,まあ、気が付かないうちに、迷惑をかけたり人を気付つけたりすることは、人間の入居者の方でも、そう珍しいことではありませんよ。人間という物件自体、建物に例えると高層マンションのようなものですから、どうしても近隣の建物から苦情が来ることは避けられないようなものですね。
ブンビー,なるほど…
店主,それでですね、お客様のトータルポイントなんですが…
ブンビー,はい……！
店主,…82,000ポイントですね。
ブンビー,それは…多い方なんですか…？
店主,…結構少ないですね。
ブンビー,そうですか…。それで、私にはどのような物件が…？
店主,そうですね…まあ普通の人間もなくはないんですが、あまり条件のいい物件は残ってないみたいですね。あと人間は審査が厳しいですから、それだったら条件のいい他の物件にした方が良いかもしれません。例えば…犬とか如何でしょうか？
ブンビー,…犬？
店主,犬でしたら、それなりに条件のいい物件を選べますよ…例えば土佐犬とか。
ブンビー,土佐犬ですか…
店主,ええ、闘犬でも有名ですね、横綱になれますよ。
ブンビー,うーん…私、生前結構醜い争いを繰り返してきたので、ちょっと…。出来れば、もっとのんびりした動物とかがいいですね…あとは寿命が長かったりとか…
店主,なるほど…でしたらこちらは如何でしょうか？
ブンビー,…ミル貝！？
店主,ええ、最低でも160年ぐらいは生きるみたいですよ。のんびりとしていますし。
ブンビー,でも、ミル貝ですよね…具体的な生活とかは…？
店主,どうでしょうねー…まあ基本的には砂の中でじっとしているんじゃないでしょうかねー
ブンビー,うーん…ただじっと160年ですか…もう少し他にないでしょうか…？
店主,ミル貝駄目ですか？
ブンビー,ええ、そこまで長生きじゃなくてもいいので…あっ、例えばあの張り紙にあったパンダとか…！
店主,いやー、お客様のポイントだと全然足りないですね…一応絶滅危惧種指定物件ではあるんですけど。でしたら…こちらはどうでしょうか？北海道の乳牛です。
ブンビー,…乳牛？
店主,ええ、のんびりとした生活を送りたい方にはお勧めできますよ。
ブンビー,…でも、牛ですよね？
店主,まあ環境は整っていますし、前世みたいに人間関係で悩まされることも、仕事に追われることもありません。強いて挙げるなら、定期的に乳を絞られるくらいですね。
ブンビー,………なるほど。
店主,もしよろしければ、内見していかれますか？
ブンビー,…内見なんてできるんですか？
店主,もちろん、不動産屋ですから。
乳牛,……。
店主,いかがですか、牛？
ブンビー,いや…いかがですかって言われても…これだけでは何とも…
店主,…お気に召さないですか？
ブンビー,というより…内見っていうから、少しだけ牛を体験するのかと思っていたんですが…。これただ牛を見に来ただけでは…
店主,でもこうやって環境は見ることは出来ますし、このように好きな時間に好きなだけ牧草を食べることが出来ますよ。
ブンビー,うーん…でも今は牛じゃないから、草を食べることについての魅力がよく分からないですねえ…
店主,そうですか…
ブンビー,……。
店主,…いかがですか？搾りたての牛乳。
ブンビー,ええ、美味しいです。でもこれ、牛になったら飲めませんよね…？
店主,…まあ、出す側ですね。
ブンビー,でもこれ、判断基準にはならないのでは…？
店主,うーん、要するに牛になったらこれだけおいしい牛乳が毎日出せるということですね。
ブンビー,うーん、そう言われても…
店主,お気に召しませんか…。…あっ、そうだ。この近くにもう1件お勧めの物件があるんですけど、もし良かったら行ってみませんか？
ブンビー,………。
店主,…いかがですか？
ブンビー,えっ…まあ…美味しいですね…前世でもこんなにおいしいもの食べなかったので…
店主,ですよね、太平洋の伊勢海老、身がぷりぷりで絶品なんです。
ブンビー,いや、これ伊勢海老の内見ですよね？物件食べたらまずいのでは…。というよりこれ、ただのグルメ旅行ですよね？
店主,…まあ、これくらい美味しくなれるってことです。
ブンビー,………。
店主,…お気に召しませんでしたか。
ブンビー,ええ…前世のこともありましたし、一生他人に飼われるのはちょっと…。…あと、伊勢海老は論外ですね。
店主,ということは、もっと自由な物件が良いということですね…。…あっ、そうだ。セミなんか如何ですか？
ブンビー,…セミですか？
店主,ええ、今意外と人気があるんです。
ブンビー,セミがですか？
店主,ええ、例えばセミは地中で７年間過ごして、地上で１週間生きると言われていますよね。
ブンビー,ええ。
店主,…実はこの１週間が、もう天国なんですよ。
ブンビー,…天国？
店主,ええ、とにかくこの１週間がとてつもなく気持ちいいんです。例えるとすると、その快楽は人間が夜の営みで感じる気持ち良さの、およそ100倍です。
ブンビー,…100倍！？。…もう少し、詳しく聞かせてくれますか…！？
店主,はい、人間における快楽と、セミのそれとは、もう比べ物になりません。しかもそれが１週間続くんです。
ブンビー,凄いですね…！
店主,ほら、セミの鳴き声って凄いと思うんですが、あれって実は鳴き声というよりも、どちらかというと、快楽からくる絶叫みたいなものなんです。
ブンビー,そうだったんですね…！
店主,如何でしょうか？セミは是非ともお勧めですよ。ここで無理して人間に入居するよりも、とりあえずセミに入居しておいて、契約期限を終えたらまた気に入りそうな人間の条件を探すのも手かもしれませんね。それに、セミは人間と違って悪いことをする機会がないので、ポイントが貯まりやすいんです。
ブンビー,なるほど…！
店主,だから、そこでしっかりとポイントを貯めておいて、来世へと託すのも有りだと思います。
ブンビー,………！。あの…色々とありがとうございました…！
店主,とんでも御座いません…どうぞ、お気をつけて。
ブンビー,はい…！
店主,行ってらっしゃいませ。
ブンビー,はい、行ってきます…！。人間、いや、怪人としての人生を終えたのち、私はあるアブラゼミの長男として生まれた。明けても暮れても真っ暗な土の中で７年間過ごしてきたが、セミなので特にストレスは感じなかった。暇とか退屈という概念が無いので、苦にならないのだ…！。そして今日、遂に私は地上に出た…！。今世において、生まれて初めて浴びる日の光、初めて浴びる風、始めてみる景色―――。私は、初めて生きることの素晴らしさを実感した…！。うおおおおおおおおおおおお！！！ひゃっほー！！！こりゃ気持ちいい！！！。セミ最高！！！！セミに生まれてよかった！！！！！！。……ん、あの２人は…！？
小々田,のぞみ…キスしようか…！
のぞみ,うん…///
ブンビー,おーい！次に生まれ変わるならセミが良いですよー！！！。絶対セミが良いですよー！！！おーい！聞こえますかー！！！。セミ最高！！！セミ最高！！！セミ最高！！！セミ最高！！！
のぞみ,…なんかうるさいわねー
ブンビー,あ
