悪徳記者,おいおい、人聞きの悪いこと言うなよ…あくまでも、そうするかもしれないってだけの話だ。どうするかはそっちの誠意しだいだよ…クックックッ…
伊織,…証拠はあるの？写真は千早のマンションに春香が一緒に入っていくところだけど…これだけじゃ薬物使用の証拠には…
悪徳,あぁ、そうだな…今回はこれだけじゃねぇ！音声も撮ってあるんだよ！
伊織,な、なんですって！？
悪徳,この2人はどうやら如月千早の部屋で薬物をキメているらしい…入って早々、こんな声が聞こえてきやがった…
ボイスレコーダー,…ﾄﾌﾞｯ!ﾄﾌﾞｯ!ﾄﾌﾞｯ!
伊織,こ、これは…
悪徳,あはははは！よっぽど良かったんだろうなぁ！？飛ぶ！飛ぶ！だってよ！これはただクスリキメてるだけか？そう言えばこの2人は異常に仲がいい…へっへっへっ…変な勘繰りしちまうなぁ！
伊織,蒼い鳥じゃないの！？
悪徳,へ？
伊織,ちょっと貸しなさい！ほら！音を大きくしたら…。ほら、千早の家で春香が蒼い鳥を練習しているだけよ
悪徳,なんじゃそりゃぁぁぁあ！？
伊織,あら？もうこんな時間ね…もしもし、新堂？ええ、車回しておいて、多分残りのメンバー的にも、もうそろそろ終わるから
悪徳,ちくしょう…舐めやがって…それならこれはどうだ！
伊織,はぁ…響は確かに幼く見えるかもしれないけど…
悪徳,いいや、俺は証拠になる写真を掴んだ…これだ！
伊織,これは…身体測定？
悪徳,あぁ、プロフィール用の数字を調べるための測定の様子を撮影した
伊織,これもうあんたの不法侵入の証拠になってるじゃない…
悪徳,いいから！我那覇の足下を見てみろ！
伊織,足？一体何が…。…
悪徳,ほら見ろ！こんな手段で誤魔化そうなんて高校生なら考えない！
伊織,いや、仮に小学生でも考えないわよ！コイツがアホなだけじゃない！？
悪徳,因みにこのあと怒られて涙目になっている写真もある
伊織,バカじゃないの！？あんたも響も！？
悪徳,くそっ…これもダメなのか…
伊織,もう全部見せなさいよ！まどろっこしい！
悪徳,あっ！？ちょっ！？
伊織,何々…え？やよいのもあるの！？。デタラメこくんじゃないわよ！うちは律子と小鳥が税金関係もしっかり管理してるわ！脱税なんて…
悪徳,そ、それはボツにしたやつで…
伊織,ボツ？…そういえば、この写真、スーパーでやよいが買い物してるだけ…
悪徳,その時の会話がこれだ…
伊織,なんか適当なこと言い出したわよ！？。そんな軽減税率があるか！？。…
悪徳,…
伊織,…で、あんたはこれを
悪徳,…しょ、消費税の脱税かなーって
伊織,なるかぁ！？ただおまけしてもらってるだけの話じゃないのこれ！
悪徳,わかってるよ…流石にこれで金は取れないってわかってるからボツにしたんだろうが…
伊織,あっ…でも…
悪徳,あ？
伊織,いや、そ、その…あんたが良ければだけど…
悪徳,なんだよ？はっきり言えよ
伊織,や、やよいの写真なら買い取ってあげてもいいわよ？
悪徳,は？なんで？
伊織,い、いや…その…だって…可愛いし…
悪徳,…毎度
伊織,…いくらよ？
悪徳,…千円でどうだ？
伊織,安いわね…いいわよ
悪徳,毎度あり…
伊織,ほ、他にはないの？
悪徳,他と言ったら…もうこれくらいしか…
伊織,こ、これは…。いや、亜美と真美の悪ふざけよ、これ。というか写真じゃなくてプリクラじゃない。キスプリじゃない
悪徳,わかってるよ…
伊織,…因みにこれはどうやって？
悪徳,本人たちからもらった
伊織,バカじゃないの！？
悪徳,たまたま四条の写真撮ってる時に、おっちゃん、これあげるー甘々のラブラブな感じで書いてねーって…
伊織,危機管理能力ゼロか！？
悪徳,ボイスレコーダーも勝手に奪われて録音された…
伊織,おっさんか！
悪徳,ちなみにこっちは事務員さんに1万円で売れた
伊織,小鳥ぃ！？何してんのよあのバカ！
悪徳,雪歩ちゃんにも教えてあげましょ！って言ってたぞ…
伊織,…そっちに口止め料払いたいくらいよ
悪徳,ちくしょう！こんだけやって、結局千円ぽっちかよ！
伊織,あんた、向いてないわよこの仕事
悪徳,いいや、俺は諦めねぇ…そうだ、まだ三浦あずさがいる…バッチリ尾行してスキャンダルを掴んでやるぜ！
伊織,それを私に言ったら…って言っちゃった…あずさに電話…いらないか、あずさだもんね
あずさ,それでは失礼します～
悪徳,いた！三浦あずさだ！
あずさ,ふう、ここから事務所は近いし…久しぶりに歩いて帰りましょうか
悪徳,好都合だぜ！早速尾行してやる！
あずさ,ふんふふんふふ～ん♪
悪徳,へへへ、今度こそ…あれ？
あずさ,ふんふふんふふ～ん♪
悪徳,どこだ…ここ？
あずさ,ふんふふんふふ～ん♪
悪徳,心なしか…外国人だらけのような…
あずさ,ふんふふんふふ～ん♪
悪徳,いや、っていうか外国だ！？どうしてヨーロッパの街並みが…
あずさ,今日はこの辺りを曲がってみましょうか
悪徳,なんだその道の決め方！？エキセントリック過ぎるだろ！
あずさ,ふんふふんふふ～ん♪
悪徳,あ、いけね！追わないと…って、え！？。ど、どうしてエジプトに…っというか三浦あずさは！？
あずさ,ただいま戻りました～
伊織,おかえり、あずさ。今日はどこ通ってきたの？
あずさ,えぇ、多分イタリアからエジプトを通って中国を経由して戻ってきたわ～
伊織,相変わらず意味不明だけど…変な男に後をつけられたりしなかった？
あずさ,そういえば…エジプトあたりまで誰かいたような…
伊織,そう…まぁ、エジプトなら場所もわかりやすいし大丈夫でしょ…
あずさ,？
悪徳,誰かぁぁぁあ！？千円やるから助けてくれぇぇえ！？
