モバＰ,以降Ｐ表記。もう慣れましたぁ
幸子,自業自得ですっ。カワイイカワイイボクと２人っきりで構ってもらえてはしゃぎたくなる気持ちはわからなくは無いですけど
Ｐ,え、何だって？
幸子,絶対聞こえてるでしょ！。まったくもう…！年頃の女の子にとって髪はデリケートな部分なんですからね？
Ｐ,スンマセン
幸子,はい、じゃあさっさと元に戻してください
Ｐ,デリケートな部分なのに触らせるのは平気なのか。髪綺麗だな
幸子,フフーン、当然でしょう？
Ｐ,レノア？
幸子,植物物語ですよ！
Ｐ,ほれ、元通り
幸子,手際良いですね。プロデューサーをクビになっても路頭に迷わないんじゃあないですか？
Ｐ,おっと今からうっかり手が滑るぞぉ
幸子,あやややややややややややっ！！。後は相棒の再放送ですか…この時間帯の番組はどうもピンと来ませんねえ
Ｐ,膝から降りてくれね？
幸子,プロデューサーさん、何か１つ捧腹絶倒モノのギャグをお願いします
Ｐ,フフーン！ボクはカワイイですからねえ！
幸子,それはギャグじゃありません！！
Ｐ,お腹すいたな
幸子,え、今のお腹の音なんですか？
Ｐ,冷蔵庫に何か入ってたっけ…ちょい幸子膝から降りてくれない？動けない
幸子,引き出しの中にオヤツぐらい入ってるんじゃないですか？うわ、ガンプラばっかりじゃないですか
Ｐ,人のデスクの引き出しを勝手にだねチミィ！。仕方ない。外に食べに行くか
幸子,お寿司がいいです！
Ｐ,コンビニでいなり寿司買ってきてやるよ
幸子,前々から思ってましたけどプロデューサーさんはボクの扱いがなってませんね！なっちゃいませんね！
Ｐ,あ、外行ってくるから電話番お願いしてていい？
あの子,ほいきた
幸子,えっ？だ、誰と喋ってるんです！？
Ｐ,そしてついてくる幸子さんであった
幸子,カワイイボクと一緒にお昼ご飯なんですよ？ここは狂喜乱舞すべきところじゃありませんか？
Ｐ,うわぁいカワイイカワイイ
幸子,何て感情の感じられない台詞。目も澱んでハイライト薄くて…ってそれは普段からでしたね
Ｐ,お前の今度のロケはスカイウォールでネビュラガス採取に決定です
幸子,ボクを一体何だと思ってるんですか！
Ｐ,めんどいからあそこのファミレスでいいか
幸子,カワイイボクとのランチにファミレス！？
Ｐ,パフェ奢るぞー
幸子,パフェはカワイイですね。まぁ良しとしましょう
Ｐ,ちょろいぜ。さて、何を頼もうか。そういうお前さんはまたドリアだろ？
幸子,フフンッ。甘い、甘いですよプロデューサーさん。カワイイボクは日々進化しているんです。いつまでも自分が知っている輿水幸子だと思わない方がいいですよ？
Ｐ,すいませーん注文お願いしまーす
幸子,こっちを見てすらいない！
店員,お待たせしましてー
Ｐ,温玉ハンバーグ。ライスのセットで。あ、ポテトもください
店員,はいー
幸子,ミラノドリアとシーザーサラダください
店員,かしこまりましてー
Ｐ,あ、ドリンクバー２つ
店員,あちらからご自由にお取りくださいませー
Ｐ,どうも
店員,それでは、ごゆるりとー
幸子,…
Ｐ,…
幸子,やっぱりいつものハンバーグじゃないですか
Ｐ,お前だっていつも通りじゃねえか。進化どこ行ったよ
幸子,ドリンクバーいってきますね。ボクは菩薩の如く慈悲深いのでプロデューサーさんの分も持ってきてあげますよ
Ｐ,え？龍が如く実写臭い？
幸子,しこたまペプシ入れて来てあげます
Ｐ,貴様ァ！俺をコカ信者と知っててその暴挙かァ！
店員,お待たせしましてー。ドリアのお客様はー
Ｐ,そこの１４２ｃｍです
店員,ハンバーグのお客様はー
幸子,そこの濁った目つきの人です
店員,それではごゆっくりー
Ｐ,ありがとう親の顔より見覚えのある店員さん
幸子,ボクとしたことが！
Ｐ,どした？突然杉下警部みたいな事を
幸子,パフェ頼むの忘れてました！
Ｐ,後で追加注文すりゃいいだろ。温かいうちに食べよう
幸子,それもそうですね。プロデューサーさんの奢りですし
Ｐ,ハハッ、パフェ以外も奢るとは一言も言ってないぞ？
幸子,フフーン、そう来ると思って財布は置いて来ました
Ｐ,何てこすっからい
幸子,ではでは、いただきまーす
Ｐ,今度のチャレンジ企画覚えとけよ…頂きます。溢れ出す肉汁が壮絶に熱い！
幸子,自分が猫舌なの自覚してくださいよ。ハンバーグ美味しそうですね
Ｐ,うん、いつも通り美味い
幸子,一口貰えませんか？
Ｐ,どうぞ？
幸子,んあ
Ｐ,…お前さんホント誰もいないと甘えるのな
幸子,はふふっ、ほふっ……うん、中々ですね
Ｐ,そっちも一口くれない？
幸子,はいブロッコリー
Ｐ,等価交換って知ってるか輿水さんや
幸子,ハンバーグに乗っかってる温泉卵貰えます？
Ｐ,シーザーサラダにも卵入ってるだろが
幸子,分かっていませんねぇ。これからの人生枯れて行くだけのプロデューサーさんと違ってピチピチのボクはこれから成長期なんですよ？
Ｐ,枯れてねぇよまだ若ぇよキャッ党忍伝世代だぞコンニャロ
幸子,キャット？何ですかそれ
Ｐ,けものフレンズみたいなものだよ
幸子,ふぅん…
Ｐ,って俺の温玉を持っていくなァ！
幸子,それにしてもアイドルを連れてランチにファミレスというチョイスが何ともプロデューサーさんらしいと言いますかねえ
Ｐ,温玉返せ
幸子,まったく乙女の扱い方がなっていませんねぇ、このダメダメプロデューサーさんは。可哀想なのでボクがレクチャーしてあげましょうか？
Ｐ,温玉返せ
幸子,あ、すみませーん。このオレンジパインイチゴカチドキパフェをください
店員,かしこまりましてー
Ｐ,俺の温玉…
幸子,女々しいですよ？…パフェ分けてあげますから
Ｐ,俺の驕りなんだけどね？。そもそもファミレスが不服ならもっとハッキリ嫌だと言いなさいな。そうすればこっちも松屋にしたのに
幸子,吉野家派のボクに対する宣戦布告ですか？
Ｐ,お、やるか？
幸子,敗者に相応しいエンディングを見せてあげますよ
店員,お待たせしましてー
Ｐ幸子,デカッ！！
店員,制限時間は１０分になっておりましてー
幸子,チャレンジメニュー！？。ハンバーグに乗っかってる温泉卵貰えます？
Ｐ,シーザーサラダにも卵入ってるだろが
幸子,分かっていませんねぇ。これからの人生枯れて行くだけのプロデューサーさんと違ってピチピチのボクはこれから成長期なんですよ？
Ｐ,枯れてねぇよまだ若ぇよキャッ党忍伝世代だぞコンニャロ
幸子,キャット？何ですかそれ
Ｐ,けものフレンズみたいなものだよ
幸子,ふぅん…
Ｐ,って俺の温玉を持っていくなァ！
幸子,それにしてもアイドルを連れてランチにファミレスというチョイスが何ともプロデューサーさんらしいと言いますかねえ
Ｐ,温玉返せ
幸子,まったく乙女の扱い方がなっていませんねぇ、このダメダメプロデューサーさんは。可哀想なのでボクがレクチャーしてあげましょうか？
Ｐ,温玉返せ
幸子,あ、すみませーん。このオレンジパインイチゴカチドキパフェをください
店員,かしこまりましてー
Ｐ,俺の温玉…
幸子,女々しいですよ？…パフェ分けてあげますから
Ｐ,俺の奢りなんだけどね？。そもそもファミレスが不服ならもっとハッキリ嫌だと言いなさいな。そうすればこっちも松屋にしたのに
幸子,吉野家派のボクに対する宣戦布告ですか？
Ｐ,お、やるか？
幸子,敗者に相応しいエンディングを見せてあげますよ
店員,お待たせしましてー
Ｐ幸子,デカッ！！
店員,制限時間は１０分になっておりましてー
幸子,チャレンジメニュー！？。あ゛～～……
Ｐ,そのちっこいお腹によく入ったな。質量保存の法則とかどうなってんの？。大丈夫か？おかわりする？
幸子,……出しますよ？
Ｐ,やめてください
幸子,…ふふっ
Ｐ,どうした？
幸子,いえ、ちょっと思い出しまして
Ｐ,この前の熱湯風呂バンジー？
幸子,違います！いやアレも忘れませんけど覚えててくださいよ！？
Ｐ,だから本当に嫌なら断りなさいって…
幸子,プロデューサーさんが取ってきてくれたお仕事を無下に出来る訳無いじゃないですか
Ｐ,その結果スタッフからの要求がエスカレートし続けて今や立派なイモト系アイドルだもんなぁ。ハハッ、俺のせいか
幸子,本当の本当にアレなお仕事は事前に弾いてくれてるのは知ってますけど
Ｐ,グラスの氷って何でこう噛み砕きたくなるんだろうな？
幸子,誤魔化すの下手すぎません？
Ｐ,幸子は変なところで意固地になるからなぁ
幸子,誇り高いと言ってもらえますか？カワイイボクはカワイイだけでなくプロ意識も高いんです！
Ｐ,そうだな。ライブバトルでボロ負けして隅っこでひっそり号泣するぐらいだもんな
幸子,あ、アレは忘れてくださいって言ったでしょ！
Ｐ,懐かしいなぁ…あれは忘れもしない新人アイドル同士のガチンコライブバトル企画…
幸子,何を勝手に回想シーンに持っていこうとしてるんですか！あ、何かモヤモヤしたものが出てきた！。…ぐすっ。……何ですか？お話とは
Ｐ,いや、泣き止んでからでいいんだけど
幸子,泣いてません！
Ｐ,ダバダバ涙流してるのに
幸子,これは汗です！熱い戦いでしたので汗をかいただけです！
Ｐ,えー…
幸子,それでどういったご用件でしょうか。と言うか貴方はどちら様なんですか？
Ｐ,ああ、これは申し訳ない。こういうものです
幸子,…あ、なんだ同じ事務所の人なんですね
Ｐ,ついさっき君が負けた対戦相手の担当プロデューサーです
幸子,敵じゃないですか！
Ｐ,部署は違うけど同じ事務所なのに
幸子,…それで、ボクに何の用なんですか？
Ｐ,ウチに来ない？
幸子,軽い！
Ｐ,…実はうちのアシスタントが不治の病に侵されていてね…輿水幸子を今週中にスカウト出来ないと全身の毛穴という毛穴から紫色の液体を噴射して絶命してしまうんだ
幸子,今度は重い！
Ｐ,というのは冗談だと良いんだけど
幸子,事実！？
Ｐ,輿水幸子さん。君には光るものがある。是非うちの部署に来て頂けませんか？
幸子,この流れでいきなり真面目にスカウトしてくるとかどういうメンタルしてるんですか！。この部署聞いてますよ。つい最近新設されたところですよね
Ｐ,まだ所属アイドル１０人もいないけどね
幸子,…ついでに言えば貴方の名前も聞き覚えがありますよ
Ｐ,ハハッ、有名人
幸子,ハァ…要するにアレですか？イロモノ部署にイロモノアイドルとしてスカウトしに来たと？
Ｐ,人を珍獣コレクターみたいに言わないでくれない？
幸子,違うんですか？
Ｐ,……………………違うよ
幸子,説得力と言う言葉をご存知でしょうか
Ｐ,自分がイロモノアイドルって思ってるんだ？
幸子,そんな事思っている訳無いじゃないですか！ボクを誰だと思っているんですか？こんなカワイイボクに向かって！
Ｐ,そのカワイイボクも今し方イロモノ部署のアイドルに負けたけどね
幸子,ぐっ…！
Ｐ,…君のブロデューサーさんは？
幸子,もう先に帰りましたよ
Ｐ,なるほどね…。んで話は戻るけど
幸子,スカウト…いえ、引き抜きの話ですか
Ｐ,こういうものです
幸子,話が戻りすぎです！
Ｐ,見た感じ、悪いけど君の部署は君というアイドルをあまり生かせていないみたいだね
幸子,そんな事、初対面の貴方に言われる謂れはありません
Ｐ,担当プロデューサーはアイドルのフォローもせずに放置してるし
幸子,それは…
Ｐ,さっきのライブバトルも。今日は負けるだろうな、と思ってたからさ。アイドルとしての場数と地力は君の方が上な訳だし
幸子,それじゃあ、貴方は今日わざわざ担当のアイドルを負けさせるつもりで来たんですか？
Ｐ,ウチは勝つことに拘るスタンスじゃないからね。負けたとしても得るものは必ずあるもんだし
幸子,…変なブロデューサーさんですね
Ｐ,よく言われるよ
幸子,…。…キャラ作りはやめて路線変更しろ、と言われているんです。今のようなナルシストキャラは万人受けしない。もっと分かり易く受け入れられるキャラクターで売っていこう、って
Ｐ,え、それキャラ作りしてるん？
幸子,地ですよ！
Ｐ,それはそれで凄いな
幸子,ナルシストキャラって何ですか！ボクがカワイイのは事実でしょう！？カワイイボクこそ世界の真理！カワイイは正義じゃないですか！
Ｐ,お、おう
幸子,なのにあの人たちは！あの人たちは！！
Ｐ,お、落ち着いて落ち着いて。草加せんべい食べる？
幸子,あの人たちはっ！
Ｐ,なるほどね…そりゃライブも本調子じゃなかった訳だ
幸子,当然です！本来のボクの力を持ってすれば負ける筈なんてありませんから
Ｐ,だったら猶更、うちの部署に来ないか？ご存知の通りうちの所属アイドルはみんな個性爆発してるから君ぐらいのキャラなんてむしろ埋もれちまうレベルだぞ
幸子,それはそれでどうなんですか…。…確かに今の部署とそりが合わないのは事実ですけど
Ｐ,もちろん無理強いはしないよ。ただ俺は、輿水幸子というアイドルならトップアイドルになれるかもしれないと思ったからさ
幸子,それ、誰にでも言ってません？
Ｐ,言ってる
幸子,説得力という言葉をどこに置いてきたんですか
Ｐ,実際トップになれるかどうかは本人の努力次第だからなぁ。君を必ずトップアイドルにしてみせる
幸子,いや、そこは普通言うべきじゃないですか？
Ｐ,俺たちみたいな裏方が出来るのは魔法の靴と馬車を用意するところまでだからね。その靴をどう履いて、どこまで行くかどうかはシンデレラ次第だと思うよ
幸子,…夢のない御伽噺ですね。それにややクサいですし
Ｐ,自分で言っとしてクサいと思ってるから指摘しないで正直布団に潜りたい
幸子,何だかイメージと違いますね。やり手のプロデューサーという噂でしたけど
Ｐ,めっちゃキャラ作ってました
幸子,ぶっちゃけすぎてません！？
Ｐ,俺は別にキャラ作るのが駄目だとは言ってないぞ？実際ウチのアイドルにも思い切りキャラ作ってる娘いるし。ちょっと耳貸して？
幸子,すぐ返してくださいね？……えぇぇっ！？う、ウソですよねあの人キャラ作りなんですか！？
Ｐ,芸能界って怖いよなぁ
幸子,怖いですねぇ…
Ｐ,誤解のないように言っとくけどアレは本人の希望だからな？別に事務所側が強制している訳ではないので誤解のないように
幸子,真実って何なんでしょうね…
Ｐ,むしろ真実なんてどこかにあるのかな。さっきのライブバトルでうちのアイドルの事、どう思った？
幸子,…たいそう個性的な方だなぁ、と
Ｐ,あれが我が部署のアイドルだよ
幸子,個性を尊重する方針、という訳ですか？
Ｐ,と言うより、やりたいようにやらせてあげられるようにする部署かな
幸子,無農薬栽培みたいなものですか
Ｐ,中々上手い例えだな
幸子,ではさしずめ今のボクはクスリまみれのアイドルという訳ですね
Ｐ,ハハッ、絶対他所でそれ言うなよ？
幸子,……。…お話はわかりました。流石に今この場でお返事する事は出来ませんので一旦プロデューサーさんと相談してから、という事で良いですか？
Ｐ,それはもちろん。良い返事が貰える事を期待してるよ
幸子,…。…あのっ
Ｐ,ん？
幸子,ボクは…トップアイドルになれるんでしょうか？
Ｐ,誰かがトップアイドルになれるなら、誰もがトップアイドルになれる筈。って名言があるぞ
幸子,それ、ゲームの話じゃないですよね。それと、もう１つ
Ｐ,うん？
幸子,…イロモノと言って、すみませんでした
Ｐ,……やっぱり路線変更したほうがよくない？
幸子,どういう意味ですかっ！。思い返してみると、ほんと酷いスカウトですね
Ｐ,よく覚えてるよな。俺ほとんど忘れてるわ
幸子,あの後当時担当してたプロデューサーさんに相談しに言ったら話は聞いてる。あとは君の意思次第だ
Ｐ,覚えてないなあ
幸子,…ボクに声をかける前に既に引き抜きの話を通していましたよね
Ｐ,記憶にございません
幸子,あの時のげんこつせんべいしょっぱかったです
Ｐ,草加せんべいだよ
幸子,バッチリ覚えてるじゃないですか！
Ｐ,ドリンクバーおかわり行ってくる
幸子,口車に乗せられて移籍してきちゃいましたけども
Ｐ,人聞きの悪い
幸子,まさかバラエティアイドルにされるとは思いませんでしたよ。まったくもう
Ｐ,そこはお前さんの意外な才能と言うか能力の適正というかお茶の間の需要というか
幸子,いくら適正や才能があったとしてもうら若い乙女をギアナ高地だの活火山だの人類未到達の深海だのに行かせますか！？
Ｐ,だから本当に嫌ならちゃんと断るって言ってるのに！
幸子,カワイイボクに不可能は無いんですから仕方ないじゃないですか！
Ｐ,実は結構ノリノリだろお前文句言いたいだけで本気で嫌がってないだろ痛い痛いスプーンで叩くな痛い
幸子,確かにどんな秘境でもボクのカワイさを妨げる事は出来ませんけど！もう少しレディの扱いというものをですねぇ！
Ｐ,たまにこうして奢ってるじゃないか
幸子,お陰様で常連客ですよ！そろそろいつもの
Ｐ,前にお高い店連れてったらテンパりまくってたクセに
幸子,極端なんです！まさかあんなゴチレースの舞台になりそうなお店に連れていかれるとは思いませんでしたよっ！
Ｐ,いやあ、あの時の幸子はとても面白かった
幸子,何でこんな人の口車に乗ってしまったんでしょう
Ｐ,スカウトなんてそういうもんだよ
幸子,まさか他の人もあんな調子で集めてきたんじゃないですよね…
Ｐ,タラは身の色が薄い方が美味いけどサワラは逆に身の色が濃い方が美味しいんだぞ
幸子,誤魔化すの下手すぎやしませんか。ご馳走様でした
Ｐ,ご馳走しました
幸子,随分長居しちゃいましたね
Ｐ,お前さんのロケでのエピソードが無駄に面白すぎるんだよ…本でも出してみる？
幸子,多分フィクションだと思われますよ？
Ｐ,うげ、寒いと思ったら雪だぞ雪
幸子,わっ、本当ですね
Ｐ,幸子知ってるか？これ雪って言うんだぞ
幸子,沖縄県民だって雪ぐらい知ってますよ
Ｐ,積もったら仕事休めねぇかなぁ…無理か、チッヒの事だから首と胴体繋がってるなら働いてください
幸子,ボクの職場ってそこまでブラックなんですか！？
Ｐ,取り合えず寒いから早く事務所に戻るぞ
幸子,あ、こんな足元で急いだりしたら…
Ｐ,え。エンッ！
幸子,きれいな弧を描いて後頭部から着地しました！
Ｐ,お゛お゛お゛お゛お゛お゛お゛お゛お゛お゛お゛お゛…！
加蓮,あれ、どうしたのプロデューサー。サボり？
Ｐ,ハッ！
幸子,あ、目ぇ覚めましたか？
Ｐ,…あれ、事務所？お花畑は？
幸子,何を寝惚けてるんですか…そんな事より重たいオッサンをここまで運んできたカワイイカワイイ大天使に何か言う事はありませんか？
Ｐ,愛してる
幸子,ファッ！？
Ｐ,良かった、夢か…。うぉぉ…！事務所の中も寒っ！エアコン、エアコンつけねば…。幸子ー俺のデスクの下に森久保が持ち込んでるヒーターあるから出してくれね？
幸子,
Ｐ,幸子ー？おーい幸子ー？サッチー？
幸子,ハッ！
Ｐ,おはよう。寒すぎて気絶してたか
幸子,ど、どうやらそうみたいですね…とんでもないセリフを聞いたような夢を見ましたよ
Ｐ,おおぅ…外見てみ大雪だよコレ。交通機関大丈夫か
幸子,本当ですね…お仕事で外に出ている皆さんは大丈夫なんでしょうか
Ｐ,ちょいＬＩＮＥで確認してみるわ。んー…、今のところみんなちゃんと避難してるみたいだな。え？かな子がシロップ片手に外に？止めろ止めろ！
幸子,凄い吹雪いていますね…まぁでもシベリアやアラスカほどではありませんけど
Ｐ,歴戦の勇者のような言葉の重み。突然部屋の中が真っ暗に！
幸子,あ、きっと雪の重みで電線の一部が切れてしまったんでしょうね。しばらくすれば復旧しますよ
Ｐ,この程度の事では全く動じない幸子さんかっけぇ。石油ヒーターで助かったな…この寒さで暖房器具使えなくなったらどうしようかと思ったよ
幸子,プロデューサーさんのデスクの下に毛布ぐらい入っていませんでしたっけ？
こずえ,あるよぉー…
幸子,あ、これはどうも
Ｐ,ＰＣも無理かぁ…あ、俺にも毛布くれない？
幸子,今誰かいませんでしたか？
Ｐ,…やべ、スマホのバッテリー切れた
幸子,グラブルやりすぎですよ。こういう時はいざという場合に備えて電源を落としておくものですよ？
Ｐ,サバイバル技能高すぎる幸子かっけぇ
幸子,もうちょっとそっち寄ってもらえませんか？カワイイボクを寒がらせるなんて末代までの罪ですよ？
Ｐ,末代どころか次の代を作れるかどうかすら怪しいのに
幸子,何を言ってるんですかこのスケコマシさんは
Ｐ,人聞きの悪いことを言いながら人の懐に潜り込まないでくれたまえチミィ
幸子,やや不本意ではありますけどこれなら２人とも効率よく暖を取れますからね。ボクの心は海より広いので我慢してあげますよ
Ｐ,よしヒーターもっと近づけっか
幸子,ちょっ近い近すぎます熱い熱いあづづづづづづ焼ける焼けますこんがり焼けちゃうじゃないですかぁ！
Ｐ,喉笛はアカン！
幸子,まったくもう！ボクを何だと！ほんとにボクを何だと！
Ｐ,スマホも切れたし暇だから幸子で遊ぼうかと
幸子,ボクカワッ！
Ｐ,だから首は！！
アッキー,終わりだ
優,アッキー？アッキーどこー？雪に紛れて全然わかんないよー！
