透華,このSSは松実姉妹の平凡な日常を淡々と描くものですわ。過度な期待はしないでくださいまし！
玄,なんでこうなったかというと・・・、まぁ色々ありまして・・・。現在咲ちゃんは小学生姿じゃないと、おねーちゃんと接せないってなことになってます。というか、おねーちゃんが咲ちゃんの事を小学生と信じて疑わないからです。♪～
咲,・・・。ねえ玄さん・・・
玄,どうしたの咲ちゃん？
咲,私・・・もういいと思うんですよ
玄,何が？
咲,私が小学生っていう設定です
玄,・・・
咲,そりゃぁ今まで嘘をついてたっていう、うしろめたさありますけど・・・。こんなのずっと続ける方がおかしいですよね！？
玄,んー・・・
咲,玄さん！
玄,そうだねー
咲,大体元はといえば、こうなったのも玄さんのせいじゃないですか！
玄,そうだっけ？
咲,そうですよ！最初に玄さんが私を宥さんに紹介する時に。私のこと小学生とかって、わけわかんない紹介するから・・・
玄,あそこでちゃんと否定していればねー
咲,そしたら宥さんが阿知賀麻雀クラブの子だねーって納得しちゃって・・・
玄,あの時咲ちゃん私服だったもんね
咲,そしたらなんだか後にも退けなくなり・・・
玄,そこがおかしいよね？
咲,現在に至ると・・・
玄,・・・私が悪いのかなそれ？
咲,発端は玄さんでしょ！
玄,そうだけどー・・・。冗談だったんだけどなー
咲,このままじゃ私、一生宥さんに嘘をつくことに・・・
玄,そんなオーバーな
咲,私は真剣なんです！
玄,・・・でもさあ咲ちゃん、その姿だからできたこといっぱいあるよね？
咲,うっ
玄,ちょーっとお手伝いしたら褒められて、いっぱいかわいいって言ってもらって。あったかいからって抱きしめられて、ずーっと頭撫でられたりして・・・
咲,・・・
玄,これ全部、咲ちゃんが小学生だと思ってるからだよ？。きっと高校生ってわかったら、もうやってくれないよ？
咲,そんなこと・・・
玄,だってよその子だよ？高校生にもなったら気を使っちゃうよ。小学生って思ってるから、そんなこと出来るんだよおねーちゃんも
咲,・・・
玄,だって咲ちゃんはさー、おねーちゃんに憧れてるみたいなこと言ってたけど。実際のところ、おねーちゃんに甘えたいだけでしょ？
咲,！
玄,咲ちゃんは、おねーちゃんにナデナデしてもらうのが目的なんだし。今のままでもいいんじゃないの？
咲,でも・・・やっぱり今のままじゃ駄目かなって・・・思って・・・
宥,ただいまー
咲,！？
玄,あっ、おねーちゃん帰ってきた
宥,あれ？咲ちゃんいらっしゃい
咲,おっ、お邪魔してます！宥さん！
宥,ふふっ、ちゃんと挨拶してえらいねー咲ちゃん
咲,えへへー
玄,・・・ほらね
SSSS,シャープシューター菫ストーカー
菫,・・・
照,ねえ菫、もうやめようこんなの
菫,何がだ？
照,何がって・・・、こんなストーカーみたいなこと
菫,ストーカー？誰のことを言ってるんだ？
照,誰って・・・、菫のことだよ
菫,私がストーカーだと？バカなことをいうな照。私はただ遠くから想い人を見つめているだけだ
照,それをストーカーって言うんだよ菫
菫,違う、私は断じてストーカーなんかじゃない
照,どこからどう見てもストー・・・
菫,もう黙れ、ひねくれシスコン
照,なっ！？
菫,私はお前みたいにひねくれてないからな、純粋な愛で行動している
照,私はひねくれてなんてない！
菫,シスコンは否定しないんだな
照,・・・
菫,大体お前もバカだよな、好きなくせに突き放すって。好きな子いじめる小学生男子か、って話だ
照,・・・仕方ないだろ、咲を見てると私あがっちゃうから
菫,だからってお前、私に妹なんていないって言い過ぎだろ
照,あれは・・・、反省してます
菫,きっと妹さん、落ち込んでるぞ
照,うぅっ・・・ごめんね咲、大好きだよ・・・
菫,やめろ照、なんだか気持ち悪いぞお前
照,菫に言われたくない
菫,なっ、私のどこが気持ち悪いって言うんだ？
照,今の姿みたら大抵の人は気持ち悪いって言うと思う
菫,・・・全く、これだから恋愛のひとつもしたことないお子ちゃまは
照,そっちもだろ
菫,私は現在進行形で恋愛している
照,・・・歪みすぎてねじきれそうな恋愛だけどね。というか、これを恋愛って認めていいの？
菫,！？きた！！
宥,じゃあねー、バイバーイ
菫,あぁ宥・・・今日も可憐だ
照,・・・ねえ菫
菫,なんだ照、私は今忙しいんだが
照,今日も声かけないの？
菫,ふっ・・・、愚問だな照
照,えっ？
菫,語り合うだけが恋愛じゃない、言葉を交わさずとも愛は表現できるんだ
照,・・・、もう私菫がなに言ってるかわかんない
菫,私と宥はもう心のなかで中で充分語り合った。これ以上言葉はいらないんだよ
照,本気で気持ち悪い・・・
菫,宥・・・、私はずっとお前を見てるぞ
チョウテンマデアト～ヒトイキ～～♪,ED
玄,どうも松実玄です、あっ次回予告らしいです。といっても様式美なんで期待しないでください。気が向いたら次またあるそうです。えっとねー、次回はねー・・・。九州からお客さんが来るらしいです、誰だろ？新道寺の人？。まっ、私的にはおもちがあればなんでもいいけどね～。・・・ってあれ？新道寺におもちの人いたっけ？。てなわけで次回！まつみけおか・・・わり？。えっ違う？おかえり？。どっちどっち？まつみけおかわりなの？まつみけおかえりなの？。ねーどっち・・・
宥,また次回ー
玄,・・・作画変わってなきゃいいなぁ
九州からのおもちなお客様といえば永水だな,一部除く
