新庄アキオ,５５
新庄,そういう側面もありますね。それに、私は小さいころから、幽霊や妖怪とかの怪奇現象に興味がありました
喪黒,ところで……。先生が連載で扱っている全国各地での心霊現象のエピソードは、実話なのですか？
新庄,言うまでもありませんよ
喪黒,いえいえ、私にはそう思えません。おそらく……
新庄,そ、そんなことはありませんよ！！
喪黒,いやぁ……。先生はアウラの奇跡の放送作家……。ヤラセ疑惑で有名なあの番組の……
新庄,し、失礼なことを言わないでください！！
喪黒,先生はオカルトが大好物だし、その分野での知識は誰よりも豊富です
新庄,ううっ……
喪黒,知識は体験に基づいてこそ説得力を持ちます。従って……。まずはいっぺん、生で見る必要があるのです
新庄,一体どこなんですか、それは！？
喪黒,明日のお楽しみですよ……
新庄の前に喪黒が姿を見せる。喪黒,やぁ、新庄先生
新庄,なるほど……。私たちがどこへ行こうとしているのか大体分かりましたよ
喪黒,さすが、オカルトの専門家だけあって察しがいいですなぁ……。鬼怒川温泉は、オカルトマニアの間では有名な土地ですよねぇ
新庄,ええ、私も十分承知していますよ。なぜなら、ここは心霊スポットの宝庫ですから……
喪黒,そんな鬼怒川温泉も、昔は多くの観光客で賑わっていました
新庄,そうですよ。かつて、あれほど栄えた鬼怒川温泉街の宿泊施設は、多くが廃墟と化し……
運転手,……なるほど。廃墟巡りですか……
鬼怒川秘宝殿、鬼怒川第一ホテル、きぬ川館本店,かっぱ風呂
喪黒,運転手さん。ある目的地へ行きたいので、私が案内しますよ
運転手,は、はい
喪黒,ここを右に曲がってください。それから……。この坂道を登ってください。ここが例の目的地です
運転手,お、お客様……。本当にここでいいのですか！？
喪黒,はい
廃墟の前に立つ2人。玄関には,観光ホテルさきわい館
新庄,ここが……。特別な心霊スポットなのか……
喪黒,そうです、入りましょう
新庄,あれ、ここは廃墟のはずじゃ……
喪黒,よーく、見てください
新庄,！！！
喪黒,どうです、新庄先生
新庄,さすがに、ここには人が……。いる……！！
女性,いらっしゃいませ……
喪黒,彼女はここの若女将です。バブル崩壊でホテルの経営に苦労した彼女は……、ここから投身自殺をしました。ねぇ、新庄先生。幽霊は本当にいたでしょう！？
新庄,え……、ええ……！！つい先ほど……、この目で確かに見ましたから……！！。喪黒さん、あなたには本当に感謝しますよ！！この貴重な体験は一生忘れません！！
喪黒,どういたしまして……。ですがね、先生……。あなたは私と約束をしていただきたいのですよ
新庄,約束！？
喪黒,はい。さきわい館を訪れるのは今回の1度きりにしてください
新庄,は、はい……
喪黒,いいですね！？約束ですよ！！
新庄,わ、分かりました……。喪黒さん。何だろう……、この気持ちは……。どうやら俺は……！！あの人に恋をしてしまったようだ……！！。運転手さん……、行きたい場所があるんです！！私が案内します！！
運転手,は、はい……
新庄,これで俺は……、あの人に会える……
喪黒,待ちなさい……！。新庄先生……。あなた約束を破りましたね
新庄,も、喪黒さん……！！
喪黒,私は言ったはずです。さきわい館を訪れるのは1度きりにしておけ……と
新庄,す、すみません！！ですが……、私は……！！あの人に……、どうしても……！！あ、会いたくて……
喪黒,ほう……。あなた、さきわい館の若女将に恋をしてしまったのですか……
新庄,そ、そうですよ！！東京に帰って以来、私は毎日毎日、あの人のことで頭がいっぱい……。夢の中にまで出てきて……
喪黒,分かりました……。彼女に会わせてあげましょう！！ですが……、どんなことになっても私は知りませんよ！！。ドーーーーーーーーーーーン！！！
新庄,ギャアアアアアアアアア！！！
若女将,あなたのことを……。お待ちしていました……
新庄,わ、私も君に会いたかったんだ！！。ぐっ……！！！
若女将,さあ、私と一緒に……。行きましょう……
新庄,何だか身体が……、鉛のように重い……！！。た……、助けてくれーーーーっ！！！
喪黒,現代人は科学が発達した時代を生きていますが……、それでもなお、理性では説明のできないことが多くあります
