時刻は夜11時を過ぎている。一般的には遅い時間だ。何が送られてきたのかはわからないが、送ってくる相手も,もしかしたらもう寝てるかもしれない
向日葵,その……普通の日常会話くらいは、してくれてもいいと思いますわよ
櫻子,ちょっ、だからそういう話は……！。あっ！
向日葵,きゃっ！？
櫻子,ぁ…………
向日葵,あ、危ないですわね……気を付けなさいよ
櫻子,ごめん……っていうか、今のは向日葵が変な話するから……！
向日葵,変な話なんかしてませんわ。そうやってなんでもかんでもそっちの方向に持って行こうとしないでほしい、って言ってるんですの
櫻子,えっ……
自分から,予告
私には,いつもどおり
向日葵,……周りの人たちからも、変に思われてますわよ。ケンカでもしてるのかって
櫻子,わ、わかったから、離して……///
向日葵,だめ。そうやって逃げないで
櫻子,に、逃げてないよ！
向日葵,逃げてるじゃないの。なんで私の話を聞いてくれないんですの？。明日話すことを、今話せって言ってるわけじゃありませんわ。ただ何も話さなくなるのはおかしいですわよ。私にとっては、今のあなたにはいつも以上に喋ってほしいところなのに
櫻子,え……？
向日葵,せっかくあんなメッセージをくれたんですもの。恥ずかしがってほしくない。正面から向き合ってほしい。私、今まさにあなたのことが知りたくて仕方ないんですわ
櫻子,…………
向日葵,今こそいつも通りのさりげない会話がしたいのよ。今こそ。だって私は、あなたがここ最近どんな想いで過ごしていたか、まったく気づいてあげられなかったんですから。そういうところも、フェアに行きましょ？
櫻子はわざわざ事前に,予告
向日葵,私は逃げませんわ。たとえどんな用事が舞い込んだとしても、明日の夕方6時に、必ずあなたを待ちます
櫻子,…………
向日葵,だから……どこにも行きませんから、その……いつもどおりで、いてくださいな
櫻子,……う、うん。……わ、かった
向日葵,…………
櫻子,私も……決めたの。もう、逃げないって
向日葵,そう……
櫻子,だから……さ、向日葵……っ。あの……その……///
向日葵,っ……！
千歳,帰ったで～
櫻子,お、おかえりなさい！！早かったすね！？
綾乃,そうかしら？べつに普通だけど
櫻子,そうですか！？
綾乃,……大室さん、まだその窓拭いてたの？こっちの方はやった？
櫻子,ま……まだです
綾乃,もう、早くしないと帰れないわよ。私と千歳もこっちやるから、ちゃちゃっと済ませちゃいましょ
櫻子,あ、ありがとうございますっ！
そうしてふと我に返れば、自分の部屋の掃除をはじめないわけにはいかなかった。明日はここが,舞台
向日葵,…………
こうやってぬくぬくと毛布を抱きしめて、幸せなことだけを考えて、櫻子が私の元へ来てくれるのをただ待っているのが,対等
私は今、櫻子を心の底から尊敬している。,なるようになる
向日葵,っ……
櫻子,なにー？
向日葵,あっ
櫻子,うわあえっ！？な、なんで！？
向日葵,あの……来ちゃいました
櫻子,いやいやいやいや！えぇ！？なんで！！
向日葵,しーっ！花子ちゃん寝てるんですから……！
櫻子,わかってるけど……！
向日葵,よかった、まだ起きてて
櫻子,いや、もう寝るところだったよ……眠れなかったから、適当に雑誌読んでたけど
向日葵,そう
櫻子,それより、なんで来たのさ……！言っとくけど、私は明日って決めたんだから、明日にならなきゃ……
向日葵,いや、それはわかってますわよ。私だって……今すぐに言ってほしいわけじゃありませんし
櫻子,だったらなんで……
向日葵,私も……その、私からも、あなたに言いたいことがあったんですわ
櫻子,えっ？
向日葵,いきなりあんなLINE送りつけてきて……失礼ですわよ。私だってあなたに送り返したいメッセージのひとつもありますわ。でも返信するなって言うし……だから直接伝えに来たんですの
櫻子,なんで直接……
向日葵,黙って聞いて。それから……これを聞いても、なにも質問しないで。心の中に留めておいて
櫻子,……うん
向日葵,明日、21日の……夕方6時。私の部屋に絶対に来ること。私からもあなたに、話さなきゃいけないことがありますから
櫻子,！
向日葵,ちゃんとその時間は、誰にも邪魔されないように準備を整えましたわ。部屋も綺麗に掃除したし、楓は花子ちゃんと撫子さんが見てくれるそうです。だから……心置きなく、話しましょ。待ってますから……絶対に待ってますから。ちゃんと、来てちょうだいね
櫻子,うん……絶対、いくよ
向日葵,…………
櫻子,……おわり？
向日葵,おわりです
櫻子,じゃあ、帰……
向日葵,ああっ、それとあとひとつ。今日はここに泊まりますから
櫻子,は、はぁ！？なんで急に！
向日葵,急でもなんでもいいでしょう、せっかくこんな夜遅くに来たのに、のこのこ帰れますか！
櫻子,だって、今のやつ伝えるのが目的で来たんじゃ……
向日葵,それだけなわけがないじゃない。布団敷かせてもらいますからね
櫻子,もー勘弁してよ……
向日葵,私と一緒にいるの、嫌なんですの？
櫻子,そうじゃないけど……
向日葵,こんなこと言うの恥ずかしいですけど……私は、あなたに会いたくて、仕方なかったんですのよ
櫻子,……え？///
向日葵,あなたの方から色々としてきてくれたのに、私からなにもしないのは……その、もどかしいんですわ。だから今日は泊まりに来ました
櫻子,……なんか言ってることとやってることが噛みあってない気がするんだよなぁ……
向日葵,なんとでもおっしゃい。はぁ……眠い
櫻子,……そういえば今日、理科の時間に寝てたね
向日葵,誰かさんのせいで、昨日の夜は全然眠れなかったんですわ
櫻子,…………
向日葵,確か……昨日のこのくらいの時間でしたわね。あなたが送ってきたの
櫻子,……うん
向日葵,私、本当に寝ちゃう寸前だったんですのよ。よかったですわね、ギリギリ間に合って
櫻子,……べつに、いつ見てもらっても構わなかったけどね
向日葵,でも私……あれを読んで急に眠れなくなったんですの。櫻子が何を言おうとしているのか、本当にわからなくて
櫻子,…………
向日葵,……もしかしたら、急に引っ越すとか言われるんじゃないかと思って……久しぶりに泣いてしまいましたわ。怖くて……悲しくて
櫻子,ええっ……！？
向日葵,ごめんなさい……これだけは、改めて聞かせて？あなた……どこか遠くに行ったりなんてしませんわよね？
櫻子,しっ、しないよ！そんなの絶対にしない！
向日葵,そう……よかった
櫻子,ごめん……そんなこと思わせてたなんて、知らなくて……
向日葵,いいんですのよ。それがあったから私、あなたのことを……もう一度真剣に考えることができたんですの
櫻子,向日葵……
向日葵,どこにも行かないで、いなくなったりしないでって、神様にお願いしながら眠りましたわ。だからこそ気づけたんですの。私、やっぱりあなたのこと、本当に……
櫻子,え……
向日葵,……あ
櫻子,だ、だめだよ！？それだけは言っちゃだめだからね！？明日にしてよ？
向日葵,……そ、そうですわね、この言葉は今言っちゃだめですわね
櫻子,……でも、向日葵がそんなことまで考えてくれてたなんて……嬉しい、かも
向日葵,そう？
櫻子,うん
向日葵,……で、私はそんな感じだったから、今朝のあなたを見たときは、本当になんというか……ホッとしたんですわ
櫻子,あー……今朝ね
向日葵,あなたってば、あんな意味深なメッセージ送ってきたくせに、全然隠せてないんですもの。もう全部の内容が顔からダダ漏れって感じで
櫻子,うるさいなぁ……私だってずっと恥ずかしかったんだよ。送っちゃったからもうどうにもならないけど、まだまだ心の準備できてなかったし
向日葵,……そういえば、撫子さんはなんで知ってたんですの？
櫻子,毎晩私がうんうん唸りながら送ろうか送るまいか悩んでたから、うるさいって怒られて、成り行きで話すことになっちゃって
向日葵,……私も今、撫子さんにこの家の鍵を開けてもらって来たんですけど、はいはいそういうことねって感じの顔をされましたわ
櫻子,も～……今も聞き耳立ててんじゃないの実は？あー見えて結構汚いとこあるよねーちゃんは
向日葵,さすがにそこまではしないと、信じたいですけど。……櫻子
櫻子,……なに？
向日葵,…………あ、また言っちゃいけないことを言いそうになりましたわ
櫻子,……ばかなの？
向日葵,仕方ないじゃない……本当に、今の私の中にある気持ちが、そういうことなんですから
櫻子,……そっか
向日葵,……明日、ですわね
櫻子,うん、明日
向日葵,どうして明日にしようと思ったんですの？たまたま？
櫻子,半分は、踏ん切りがつかなくてずるずる引き延ばされちゃったって感じだけど……もう半分は、やっぱり夏休み目前だからだよ。今年の夏こそは……もう、小学生の頃とは違ったものにしたいなって思ったの。中学生になったんだから、一歩大人の夏にしなきゃって
向日葵,……あら。じゃあ宿題もきちんと計画的にやりますのね？
櫻子,うん……まあそういうところも含めて、明日いろいろ精算しておけば、夏休み序盤から宿題教えてって言いやすくなるじゃん？
向日葵,……ある程度は協力しますけど、自分でやらなきゃ意味ないんですからね
櫻子,わかってますわかってます
向日葵,まったく……
櫻子,あはは……
向日葵,…………
櫻子,……向日葵
向日葵,なあに？
櫻子,この夏は……いっぱい、遊ぼうね
向日葵,……ええ
櫻子,私ね……明日を“その日”にできて、すごくよかったと思うの
向日葵,…………
櫻子,学校が無くなっちゃったらさ……私たちって、一緒にいる理由があんまりなくなっちゃうじゃん。学校があるから朝は一緒に登校するし、一緒に帰ってもくるけど……それがないと、なんだか一緒に居づらいっていうか
向日葵,私たちが毎日理由もなく遊んでたら、ちょっと変ですものね
櫻子,夏休みはもちろん大好きなんだけど……そういう意味では、毎年毎年ちょっとつまんないなって思ってたの
向日葵,……私も、そう思うときもありましたわ
櫻子,私たちが……そういう関係になっちゃえばさ、一緒にいてもいいんだもんね？夏休み初日から最後の日まで、毎日ずっと一緒でも、おかしくないんだもんね？
向日葵,ええ。夏休みが終わっても、ずっとね
櫻子,それってどんなに楽しいことだろうって、最近ずっと考えてたの。朝から向日葵がいて、向日葵と遊んで、ちょっと勉強もして、一緒にご飯食べて、一緒に友達とも遊んで、プール行ったり、買い物行ったり、お祭りに行ったり、花火見たり……
向日葵,…………
櫻子,自分でもびっくりするくらい、そんなことばっかり思い浮かんできちゃってさ。ああやっぱり私って……向日葵のこと……本当に……///
向日葵,……え？
櫻子,……ああ、これ言っちゃだめなんだった
向日葵,……ばかなんですの？
櫻子,……ばかだよ。……もうそろそろ寝よ。向日葵
向日葵,…………
櫻子,……疲れてたんでしょ？明日も一応学校あるんだから……また授業中に寝て怒られちゃうよ
向日葵,…………
櫻子,……向日葵
向日葵,ぇっ……？。ちょ、ちょっとぉ……
櫻子,いいじゃん……誰も見てないんだから
向日葵,うぅ……
櫻子,ひまわり
向日葵,……なんですの
櫻子,明日……あした、だよ……っ
向日葵,！！
櫻子,もう……あしたは、我慢しなくていいんだよ……
向日葵,っ……///
櫻子,あしたはわたしも……全部言うからね……っ
向日葵,……さく……らこ……
櫻子,ひまわり……ありがと……ありがとね……。急がなきゃ！
向日葵,ええ
あかり,ねえ向日葵ちゃん、櫻子ちゃん寝てるのかなぁ
向日葵,いえ、起きてると思いますけど
ちなつ,どうしたんだろ……体調悪いのかな
向日葵,……そういうわけでもないかと。たぶん
ちなつ,向日葵ちゃんはなにか知ってるの？なんで櫻子ちゃんがあんな風になってるのか
向日葵,ええまあ……でも、みなさんが気になさるようなことじゃありませんわ。きっと明日になったらいつも通りのあの子に戻ってますから
あかり,そう？
向日葵,ええ。ステップアップ……なのかしら？
私たちがたどり着く,そこ
きっと、私たちが歩いてきたのは最初から,友達
櫻子,あ、向日葵っ
向日葵,あら、どうしたんですの？
櫻子,あの……その、私先帰ってるね
向日葵,ああ……わかりましたわ
櫻子,うん……それじゃ
向日葵,はい……
櫻子,ま、またね
向日葵,ええ。また
一緒に掃除をしていたクラスメイトから,櫻子どうしちゃったの
向日葵,…………
ああもう少しだ。もう少しで来てしまう。私と櫻子が,友達
向日葵,……あ
櫻子,…………あっ
向日葵,い、いらっしゃい
櫻子,うん……っ
向日葵,どうぞどうぞ、中へ
櫻子,お、おじゃまします
ぎこちない挨拶をすませて、櫻子を中へと招き入れる。私の家に訪れた櫻子が,お邪魔します
向日葵,…………
櫻子,…………
向日葵,……6時、になりましたわ
櫻子,……うんっ
向日葵,……あなたから、どうぞ？
櫻子,うん……
向日葵,…………
櫻子,…………。……ひ、ひまわり！
向日葵,は、はいっ
櫻子,……え、えっと、そのっ
向日葵,…………
櫻子,あの……まずは、急にこんなことになって、ごめん
向日葵,えっ、そんな。全然急じゃなかったと思いますけど
櫻子,いやいや、最初のLINEは急だったっしょ……びっくりしたよね？
向日葵,まあ……そうですわね
櫻子,最初からはっきり言えればよかったんだけどさ……何回かチャレンジしたけど、緊張しすぎちゃって全然だめで。いつも向日葵の隣で言おう言おうとして失敗して……結局こんな形にでもしないと、伝えられなくなっちゃって
向日葵,…………
櫻子,あのね……もうぶっちゃけ、きっかけは覚えてないの。気づいたら私、こうなってた
向日葵,……気づいたら？
櫻子,向日葵はずっと昔から隣にいたけど……なんとなくいつからか、向日葵と話すの楽しいなってなったり、向日葵を見てたいなと思うようになったり、向日葵に会いたいなって思うようになったことが増えたりして……
向日葵,うっ……
櫻子,こ、こんな気持ちになったのは、はじめてだったの……///
向日葵,か……かっわいい……
櫻子,それで、昨日も言ったけど……もうすぐ夏休みだったから、今年の夏こそは向日葵と一緒の時間をいっぱい作りたいなって思って、夏休みになる前に、きちんと告白しようって思って……
向日葵,こ、告白って言った……///
櫻子,えっと……あのね……
向日葵,うん……
櫻子,…………
向日葵,…………
櫻子,……あーだめだ！なんて言おうとしてたか忘れた！///
向日葵,ええ！？
櫻子,違うの！ちゃんと考えてたんだよ！なんて言おうか！今日も授業中にノートにちっちゃく書いて覚えてたのに……！
向日葵,ま、まあいいですわよ。用意した原稿を読んでほしいわけじゃありませんわ。今のあなたの心の中にある本心を言ってくれれば。それが正解なんですから
櫻子,本心……
向日葵,ええ
櫻子,……そ、そうだよね。よし！じゃあもう、言う！！
向日葵,！！
櫻子,ひ、向日葵……っ！
向日葵,は、はいっ！
櫻子,わ、私……ずっと……
向日葵,…………っ
櫻子,ずっとずっと……ひまわりのことっ
向日葵,あぁぁ……っ
櫻子,だいすき……大好き、なの……っ！
向日葵,さ、さくらこ……っ///
櫻子,ずっと、ずっと、大好きだったよ……っ、さいしょから、ずっと！！
向日葵,うぅ……っ……
櫻子,もう、向日葵がいないと、だめなの……！ずっと一緒にっ、いてほしいの！これからも、ずっと、ずっと……っ！！
向日葵,好きよ……櫻子
櫻子,好きだよ……向日葵
向日葵,一生、あなたを離しませんわ……何度生まれ変わったって、必ずあなたを探し出して、あなたの隣にいますからね……っ
櫻子,わたしだって……絶対にどこにもいかせない。絶対に向日葵を飽きさせない！何度だって振り向かせてやる……何度だって、私を好きにさせてやるっ……！
飽きるほどの,好き
櫻子,……いや、あの、起きて
向日葵,……えっ
櫻子,ごめん、めっちゃおなか減ったの……昨日のお昼から何も食べてないから……
向日葵,…………
撫子,……うわ
向日葵,……お、おはようございます……
撫子,……朝帰り？
櫻子,ちゃうわ！！///
撫子,あーあー、すっかりお熱いことで……もしかしてこれから毎日こんな感じを見せつけられるの？勘弁してよ
向日葵,も、申し訳ありません……
櫻子,いやいや、謝ることじゃないでしょ！
撫子,…………よかったね。二人とも
櫻子,！
撫子,ひま子、櫻子をよろしくね。もうこれからはひま子の方が、私よりも櫻子といる時間が長いだろうから
向日葵,は、はいっ！
撫子,櫻子も。頑張って前に踏み出したのは偉いけど、ここからがスタートなんだからね。ひま子泣かせたらただじゃおかないよ？
櫻子,……うん。わかってる
撫子,よし。おかえり。夏休み、今年はなにしよっか
櫻子,あーそうだ！もう今日から実質夏休みじゃん！
花子,え、気づいてなかったの？
撫子,櫻子はちょっと昨日大変なことがあってね、色々忘れちゃったんだよ
櫻子,ちげーわ！///
楓,みんなでどこか行きたいの♪
向日葵,いいですわね。久しぶりに
撫子,私も忙しいけど、なるべく予定開けるようにするよ。でも計画立案は櫻子とひま子に一任するからね
櫻子,なんで？
撫子,もう大人になったから
櫻子,いやだから！ちょいちょい変なこと言わなくていーの！///
花子,さっきから何真っ赤になってるんだし
櫻子,なってない！。まだー？おそーい
向日葵,ごめんなさい、もうちょっと……ねえこの服で大丈夫かしら。こっちの方がいい？
櫻子,いいよどっちでも～
向日葵,いいわけないでしょう。私はあなたの彼女なんですから。妥協したらあなたに失礼ですわ
櫻子,か、彼女……///
向日葵,……そういうことになるんですのよ。今日から
櫻子,彼女……彼女かぁ……♪
向日葵,きゃっ、ちょっと！変なところ触らないで！
櫻子,だめだ私、選べない……どの向日葵も全部可愛い。ぜんぶ
向日葵,もう……///
そんな私たちにとって、,告白
向日葵,さて、そろそろ行きましょうか
櫻子,うん！
この桜は、,好き
