森久保乃々,あぶないあぶない！小さな灯火どころかお家が吹っ飛ぶんですけどっ！？
柑奈,さて、程々にオチもついたところで最後のコーナー！
光,柑奈さんの生歌でお別れでーす
乃々,こ、ここで歌うんですか……？
光,また来週～！
乃々,……ま、また～。…………。いえ、色んな意味で、ぽくないんですけど……。……いえ
一同,お疲れー！
乃々,…………
光,あー、外もう真っ暗だね
柑奈,ほんとだ。光ちゃん、寮まで送ってくよ
光,ん。ありがと柑奈さん。けど……
柑奈,うん？
光,明日は日曜だし、また柑奈さんの家にお邪魔したいな！
柑奈,あー。うん。ちょっと散らかってるかもしれないけど……
光,気にしない気にしない！また朝一緒にテレビ観よっ！
柑奈,ああそっか、ニチアサってヤツがある日か！
光,そうそう！
柑奈,おっと。忘れるところだった。乃々ちゃん？
乃々,は、はい？
柑奈,これをどぞ！
乃々,え？この紙は……地図……建物の……見取り図……？ですか？
柑奈,この番組、普段はそこで収録してるからさ、また、ちょくちょく来てくれないかな？
乃々,えっ？。で、でも……もりくぼは……。…………。…………。…………。……か、考えて……おき……ます
柑奈,よし！今はその返事でじゅうぶんっ！。最近レンタル屋さんで一番端っこから借りて来て一緒に見てるからね。そのせいかも
乃々,…………。急にまともな……。まるで大人のお姉さんみたいです。…………。……えっ！？
柑奈,……いくつ位だと思ってたの！？
光,また来週～
乃々,またらい……来週っていうのは番組のことじゃないですよね！？
柑奈,あはははは
乃々,誤魔化した！？
光,……柑奈さん、一人暮らし、寂しくない？
柑奈,うん？
光,なんならこれから毎週……ずっと一緒にニチアサを…
乃々,…………。…………。…………。もりくぼひとり……もりくぼはひとり……。…………。…………。……嵐のようなひとときでした……。…………。けど……楽しかった……かも……。また……柑奈さんのお歌も聴きたいですし……。……？。誰かが戻って来たのでしょうか……。…………。…………。…………。！？！？！？
P(ﾇﾙﾇﾙ),…………
乃々,役に立たないんですけどっ！！
