白菊ほたる,ぐすっ……ごめんなさい……ごめんなさい……！！
Ｐ,ありがとう――しかし、解るのか芳乃。そういえば芳乃にも髪は見向きもしないが
芳乃,当然でございましょー。ほたるさんの髪は、人を選んでおりましてー
ほたる,選んでいる……？
愛海,バストサイズとかで？
藍子,つねりますよ？
愛海,ごめんなさい
芳乃,ぶっちゃけ、ほたるさんによこしまな思いを向けるものを選んで攻撃しているのですー
ほたる,……確かに、藍子さんはいつも私に優しくしてくださいます。いろんな事を教えてくださいます。私に、よこしまな事なんて考えてないって信じられます
藍子,ほたるちゃんはかわいい後輩で、私の大事なお友達ですから
ほたる,えへへ
Ｐ,合間合間に照れるんじゃない
ほたる,はっ、すみません――でも、それならＰさんや愛海ちゃんだって同じことです。二人ともステキな人で私に、その、よこしまなことなんて――
愛海,すみません考えてました！
ほたる,まさかの自白！？
愛海,今日事務所に来たほたるちゃんを一目見た時からああ、あの長い髪に顔を埋めながら背後からお山を攻略したいなあとか思っていました痛い痛い痛い
ほたる,髪の毛の締め付けがよりいっそう厳しく！？
Ｐ,気持ちは解る
愛海,レッスンの時間にお願いしようと思ってました
Ｐ,お願いしたらよけい警戒されるだろう普通
愛海,それでもあたしはその思いを隠さない！だってそれがあたしだから！
藍子,むしろここまで堂々としていると、ちょっと立派かも知れないって思っちゃいますね
芳乃,まさにー。ほたるさんの髪の毛はそう思わぬようですがー
愛海,まあだけどそういうの嫌がられるのは解るし、そこはゴメン。事務所に来たばっかりのときは、思い切り不意打ちしちゃったしなあ
ほたる,ううん、いいんです
愛海,あれっ、いいの？涙目だったじゃない
ほたる,あの時はびっくりしたけど、解ったんです。私がすぐ謝っちゃうのを、周りに壁を作ろうとするのを、止めてくれたんだって、解ったから
愛海,そ、そんな事考えてたっけ////
Ｐ,珍しい、愛海が照れてる
芳乃,正面突派に弱いタイプなのでしょーかー
ほたる,その後だって、いつも私の心を軽くしようと気遣ってくれていて……愛海ちゃんは、私の大事なお友達です
愛海,へへへ、うん。もう不意打ちとかはしないから――あれっ、髪の毛が緩んだ
藍子,ちゃんと白状して和解すれば解放してくれる感じなんでしょうか
ほたる,よかった……でも、ということは、いまだ締め上げられているＰさんも何かよこしまな事を……？
Ｐ,まさか。俺は今まで、誠実にほたるをプロデュースしてきたつもりだ
ほたる,はい。Ｐさんがいなかったら、私今頃どうなっていたか
Ｐ,そうだろうそうだろう。俺がほたるに悪意なんて持ってるわけがないじゃないか
芳乃,果たしてそうでしょうかー
Ｐ,ぎくっ。なんだ芳乃その疑いの目は
藍子,時々ほたるちゃんの衣装、露出度が凄いですよね
Ｐ,そうだったかな？
愛海,エレガンクリザンテームは背中がガバッと開いててセクシーだったなあ
藍子,聖騎士の衣装、かわいかったけど肩も背中も胸元もきわどくて
芳乃,ガーリーホープなんてもうあれただの水着でしてー
ほたる,皆とおそろいの衣装で嬉しかったけど、やっぱり露出度の高い衣装は恥ずかしかったですね
Ｐ,目をそらして口笛
芳乃,認めないといつまでもそのままですよー？
ほたる,じっとＰを見る
愛海,じっとＰを見る
藍子,じっとＰを見る
芳乃,じっとＰを見る
Ｐ,――仕方ないじゃないか、ほたるエ●いんだもん！！
愛海,エ●いて
ほたる,
Ｐ,肌綺麗でセクシーなのにさー！！水着とかＮＧでさー！絶対数字取れるのに勿体無いんだもん！
芳乃,ひどい本音が出ましたー
Ｐ,今の成長途上の体のラインとか、今しか出せない魅力が一杯あるのに全部隠したままなんて勿体無い！それは損失なんだよう！
ほたる,Ｐさんが、そんな事を――
藍子,たしかにほたるちゃんの体って綺麗ですもんねえ
ほたる,藍子さんまで！？
愛海,お山がステキなのは言うまでもないし
ほたる,ああっ愛海さんがまた髪の毛に締め上げられた！？
Ｐ,それで悩んでたんだけどある日オッそうだ衣装なら水着じゃないんだからオッケーだなと気付いて痛い痛い痛い！！
芳乃,おー。間接がなんだか見たことのない方向を向いておりますー
藍子,Ｐさんがギャグ方面の出身じゃなかったら、命が危ないころでしたね
ほたる,Ｐさんが、そんな事を考えていらしたなんて……
Ｐ,ほたるの魅力を全部出し切るのが俺の仕事だからな痛い。だまし討ちみたいなのは悪かったし謝るけどやったことは後悔していない痛い
ほたる,それは解りますし、今までのことには感謝しています――でも、衣装のことは少し前の話なのに、髪の毛さんはどうしてＰさんを
Ｐ,白状したんだから解放してほしい
藍子,あれっ、Ｐさんのデスクにあるこの紙は？ペラッ
Ｐ,あっ、それは今度のほたるのコスチューム企画書！
ほたる,えっそうなんですか――うわあ
愛海,これはもう完全に水着だね
芳乃,それもえげつない水着でしてー
ほたる,Ｐさん……！！。エ●いエ●い言わないでください……！！！
