平手大地,３９
テロップ,J2長野山雄SC―東京コラジョーゾ
東京サポーターたち,アレアレー平手♪アレアレー大地♪
BAR,魔の巣
平手,喪黒さん、ホイシュレッケRの効果は本物でしたよ……！！
喪黒,よかったですなぁ、平手さん
平手,しかも、東京コラジョーゾの試合も最近は連戦連勝が続いています！！
喪黒,平手さんの活躍のおかげです。あなたの復活はホイシュレッケRのたまものでしょう
平手,間違いなくそうですよ！それに俺は、年下の選手たちから最近、若くなったと言われるようになりました……！！
喪黒,まさに、ホイシュレッケRはいいことづくめですから。服用の際、約束を守ってさえいればの話ですが……ね
平手,ああ、もっと早いうちにこのサプリの存在を知っていれば……
喪黒,お役に立てて何よりです。ですが……ね
平手,言われるまでもなく分かっていますよ
喪黒,だといいのですがねぇ……。まぁ……。今のところ、あなたは約束を守っていますから大丈夫でしょうけど……
平手,ハァーッ！！今日の酒は本当にうまいな！！
選手A,今日の平手さん、よく飲むなぁ
選手B,無理もないよ。平手さんは大のお酒好きなのに、ここのところ禁酒が続いていたんだからな
平手,もう一軒行くぞーっ！！もう一軒！！。多少不健康な生活をしても……、俺にはこれがある……！喪黒さんから貰ったホイシュレッケRがな……！！。よぉし、今日も絶好調だ……！。なぁ……。良かったら、今晩は俺と一緒に……どうだい！？
キャバ嬢,まぁ……、平手さんったら……
平手,ここのところ、俺は身体の調子がすこぶるいいんだよ……。だから……、な……！。さあ……！！どんなボールでも俺は取ってみせるぞ……！！
ある日。福岡市内のクラブハウス。テロップ,J2サッカーチームルイセニョール福岡
福岡の監督,これが最近の東京の試合だ。中でも、キーパーの平手の活躍が目立っている。俺たちは次の試合で東京コラジョーゾと戦うんだ。相手は手ごわいが、心してかかれよ！
平手,ほう……、ずいぶん懐かしいゲームだな。俺も混ぜてくれよ……。寝不足で調子が出ないな……。カフェインに頼るか……。そうだ、これもあったな……
喪黒,平手大地さん……。あなた約束を破りましたね
平手,も、喪黒さん……！！
喪黒,錠剤の服用は1日3粒、1食に1回。それと、カフェインと一緒にこの粒を服用しないこと……。これらが私の忠告でした
平手,お、俺は……！！
喪黒,あなたは、若手の選手と一緒に徹夜でテレビゲームをして寝不足でした……
平手,うわあ！！！
喪黒,図星のようですね……、平手さん。もうあなたは手遅れですよ
平手,そ、そんな……！！副作用でもあるのか……！？一体どんな……
喪黒,これから味わうのですよ……！！このサプリの副作用を……ね！！。ドーーーーーーーーーーーン！！！
平手,ギャアアアアアアアアア！！！。ウウッ……！！！。グ……グ……！！！
倒れた平手を見つめながら、思わず驚愕する福岡・東京の選手たち,おおおっ……！！！
喪黒,人間という生き物は、年を取るとともに身体のあちこちに衰えが目立つようになりがちです
