色々アレなモバＰ,以降Ｐ表記
Ｐ,それは嫌というほどストックしてるだろ。いい加減少しは消費してくれ。ほれ、４位と５位はリビングでテレビでも見てなさい。坂本ですが
芳乃,いえー、何かそなたのお手伝いをー
Ｐ,今日はお前らのお祝いなんだから別にいいっつの
芳乃,構ってほしいのですー
Ｐ,そっちが本音かい
乃々,もりくぼも何かお手伝いを…
Ｐ,そこの棚からカップを３つ取って軽く水洗いしてくれ。水気を布巾で拭いたらポットのお湯を入れてカップを温めてくれるか
乃々,もりくぼには怒涛の指示が来るんですけど！？
Ｐ,えっ？だって森久保って基本的に構ってちゃんだし
乃々,言葉に被せるオブラード！。そりゃあ正直ちょっと嬉しいですけど
芳乃,仲が良いのでー
Ｐ,ウチの事務所はみんな仲良しがモットーだからな。今という～風は～何を伝えるため～♪
芳乃,おーまーえーのもとーにふくーつよくーつよくー
乃々,Ｂｌｏｗｗｉｎ'ｕｐ
Ｐ,芳乃、お皿
芳乃,はいな
Ｐ,森久保、ボウル
乃々,は、はいっ
Ｐ,明日が～夢が～また見－えーなーくてぇもー♪
芳乃,そこげんかいーせーいっぱいーいきてーいるとーいえるならー
乃々,今更ですけど何で鎧武ノ風…？
Ｐ,よーし、生地はこれぐらいあれば十分だろ
芳乃,山盛りですー
乃々,に、匂いと生地からパンケーキかと思ってましたけど…
Ｐ,手羽先じゃなくてすまんな
乃々,そ、そこまで手羽先キチなもりくぼではないんですけど！
Ｐ,まあ手羽先は手羽先でオーブンで焼いてるんだけどな
乃々,なんということでしょう
芳乃,そなたー、これはもうテーブルに持っていってもー？
Ｐ,おー、熱々だから気をつけるんだぞー
芳乃,はふはふっ。ふぁひふおふぁりふぁひふぇー
Ｐ,食うな食うな。さてと、後はクリームにフルーツにあんこにジャムにシフトカーにチョコに…
乃々,も、もりくぼも何かお手伝いを…
Ｐ,じゃあそこで前川のモノマネを
乃々,に、にゃあ…？
Ｐ,よーし準備できたから運ぶぞ退け森久保ー
乃々,おいちょっと待てなんですけど
Ｐ,さてと、こんなオッサンの家でのお祝いで何だが、改めて２人ともおめでとう。意外、って言っちゃあアレだけど芳乃も森久保も凄い結果だったな。俺も聞かされた時は明晰夢かと思って千川の頬っぺた引っ張っちゃったよ
芳乃,いえいえー、これも単にそなたのお陰ですー
乃々,も、もりくぼも特に何もしてないですけど…毎日毎日、机の下で静かに平穏にトラブルとは無縁の生活を送っているだけですけど…
Ｐ,吉良吉影みたいなライフスタイルだな。俺はただお前たちに仕事を取ってくるだけしかしてないだろ。その与えられた仕事の成果が今回の結果なんだ、２人とももう少し自信を持っていいんだぞ？
乃々,そ、そう言われても…もりくぼとしては未だに実感が無いぐらいですし…あ、もしかしてコレってドッキリですか？
Ｐ,大掛かりすぎるわ
芳乃,わたくしもー、そなたが汗水流して持ってきて下さった仕事にーそなたの期待を裏切ぬようにと務めているだけですのでー
Ｐ,感謝の言葉しか無いわ。けどあれだけ個性的な面々が跋扈する３４６の中でも４位５位だぞ？謙虚なのは悪いことじゃあないが少しぐらい自信持ってもいいと思うけどなぁ
乃々,じゃ、じゃあ…明日からもりくぼにはさん付けでお願いします……この業界って芸歴と人気、どちらが優先されるんでしょう…？
Ｐ,少しぐらいっつったろーが
芳乃,わたくしはー、乃々さんのお靴でも磨いて差し上げれば良いのでしょうかー
Ｐ,おーい、それパシリとか通り越して下僕。そしてあなたは５位だから。４位と５位の間にどれだけの力関係あるんだよ。まぁいいや。冷めるといかんしそろそろ食うか
芳乃,はいー
乃々,色取り取りの果物にソースにチョコにクリーム…ああ、野菜やツナまであるんですけど…こ、これはやっぱり、どう見ても…
Ｐ,ご覧のとおりです
芳乃,タコスでしてー？
Ｐ,クレープだよ。２人とも打ち上げ会場ではもみくちゃにされまくっててあんまり食べて無かったろ。こういうのなら沢山食えるかなと思って
乃々,お、お気遣いが身に染みるんですけど…そしてカロリーもこれから身に染み込みそうですけど…
芳乃,もちもちになってしまいますー
乃々,ふ、太らせてどうするつもりですか…？た、食べられてしまうんですねそうなんですね酷いですあんまりです…
Ｐ,って言いながら何となく嬉しそうな顔すんのやめて。最近森久保の将来が本気で不安なんだからさ
芳乃,ではではー、いただきますー
乃々,い、いただきます…
P,たんと食べて太れー
芳乃,年頃の娘になんてことをー
Ｐ,まぁまぁチョコバナナどうぞ
芳乃,あむあむ
Ｐ,クックックッ…その調子でもちのんと化してしまうがいい…
乃々,アイドル太らせようとするプロデューサーとか斬新すぎますけど…
Ｐ,まぁまぁ小倉カスタードどうぞ
乃々,あむあむ
Ｐ,クックックッ…その調子でもちくぼと化してしまうがよいわ…
芳乃,もきゅもきゅ……はっ、いつの間にー
Ｐ,ささ、次はブルーベリーでどうぞ
芳乃,あむあむ
乃々,クレープってそんなわんこそば感覚で頂くものでしたっけ…
Ｐ,若いうちは沢山食べて沢山遊ぶもんなんだよ。今のうちだぞ？歳取ったら思ったより食えなくなったり遊ぶ時間だって限られるようになるんだから
芳乃,それでもー、そなたは十分健啖家でー、よく遊んでおりますー
Ｐ,俺は遊びたいからこそ仕事を極力早く終わらせようとするだけだよ
乃々,それで人知を超えた仕事量と速度に達してるんですね…ラディカルグッドスピードですか
Ｐ,ただのクロックアップだよ。ほれハチミツリンゴ
乃々,あむあむ
芳乃,そなたーそなたー、わたくし次は餡子でお願いしますー
Ｐ,ハハッ、俺が食べる暇がねぇや。おっ、手羽先が焼けたぞ森久保
乃々,あむあむ……うぅ、本当に太らされそうなんですけど…もりくぼをもちもちぽんぽんにして一体どうするつもりですか…
Ｐ,今持ってくるからなー。だから芳乃さん、手ぇ離して？
芳乃,あむあむ
Ｐ,うん芳乃さん。それ俺の手。悪い、テーブルの真ん中ちょっと空けてくれぃ
芳乃,はいなー
乃々,あ…、ご、ゴミはこのビニールにまとめますね…
Ｐ,甘いものだけじゃあアレだろうしな。ほれ、焼きたて熱々の手羽先でごぜーますよ
乃々,うわぁ、うわぁ…甘い脂が香ばしく…太りますね、これは確実に太ります…コーラを飲んだらゲップが出るぐらい確実なんですけど
芳乃,肉汁がー、にくじるがー、ツヤッツヤですー
Ｐ,味付けの漬け汁にマーマレードを入れたのさね。ハチミツって手もあるけど柑橘系って肉と相性よくてな
芳乃,飯テロですー
乃々,甘いのと甘辛しょっぱいのが並んだら…止まらなくなりそうなんですけど…。な、なんなんですか…？総選挙入賞のお祝いがカロリーなんですか…？
Ｐ,あ、骨はこの小皿に入れてくれな。一応持ち手にアルミ巻いてるけど手が汚れたらここの布巾で拭くんだぞ
芳乃,女子力高いのでー
乃々,ぷ、プロデューサーさんは、いつお嫁にいっても平気ですね…
Ｐ,嫁さんは俺が欲しいわい
乃々,はふはふ
芳乃,あふあふっ
Ｐ,誰も取ったりしないからゆっくりお食べ。今のうちに俺もクレープを…
乃々,んまー！。お肉がほろほろに柔らかいんですけど！オレンジの甘みと香りのせいでコッテリ味なのでグイグイいけるんですけど！
Ｐ,マーマレードの力ですな
芳乃,皮がぱりぱりでー、中のお肉はふかふかですー
Ｐ,はいはい、ゆっくり食えっての。ほれ口から垂れてるがな
芳乃,んぶぶ
乃々,…。も、もりくぼもお口が汚れてるんですけど……？
芳乃,ほー
乃々,んぶぶ。…ありがとうございます
芳乃,ふふー
Ｐ,あー、レモンシュガー最高…。あ、お茶のおかわりいるか？
芳乃,はいー
乃々,ほ、欲しいです…
Ｐ,あいよ、何がいい？
芳乃,濃いめのーほうじ茶をー
乃々,も、もりくぼはファンタで…
Ｐ,了解。めんどいから２人ともミルクティーにしてやる
乃々,どうして質問したんですけど！？
芳乃,けふっ
乃々,お腹がパンパンになったんですけど…
Ｐ,沢山食べたなあ。これはさぞかし太りますな
乃々,うぅ…鬼、悪魔、ディケイドぉ…
Ｐ,手羽先完食しといて何を言うか
芳乃,動けませんー
乃々,同じくです…い、今なら何をされても逃げられないのでされるがままかもしれませんけど…
Ｐ,なんでこっちをチラチラ見んの？埼玉県には紳士しか住んでいないから何しないぞ
乃々,ちぃっ
Ｐ,ちょっと待って今何で舌打ちした？
芳乃,あーうー…食べ過ぎましたー
Ｐ,食べてすぐ寝転がると牛になるぞー雫になっちまうぞー。…うんそのまま寝てていいぞ
芳乃,そいやっ
Ｐ,ちぃっ
芳乃,何故ー、今舌打ちをー？
Ｐ,２人ともゆっくり腹ごなししてなさいな。俺はちゃっちゃと片付けしてくるから
芳乃,あー、お手伝いしますー
Ｐ,動けないだろ５位さんや
乃々,も、もりくぼもおなかぽんぽんなので休んでます…
Ｐ,皿とかフォークとかまとめて台所持ってきてくれ森久保ー。あとテーブル拭いて
乃々,どうして４位は積極的にお手伝いさせるんです！？。構ってもらえれば何でもいいと言うほどチョロくはないんですけど。ないんですけど！
芳乃,では何故ー、そのような嬉しそうなお顔をしてるのでしょうー
乃々,洗い物持ってきたんですけど！
Ｐ,はいはい、ありがとな
乃々,へにゃ
Ｐ,何か最近の森久保って本能覚醒野生開放してない？
芳乃,そなたーそなたー
Ｐ,どうしたお腹一杯なんだろ？向こうで森久保と遊んでればいいのに
芳乃,お手伝いをー
Ｐ,いや、洗い物もうすぐ終わるし
芳乃,構ってくださいましー
Ｐ,もうちょい待てってば
芳乃,待ちますー。まだですかー
Ｐ,２秒しか待たないの？
乃々,もりくぼもいるんですけど…イチャつかないでほしいんですけど…
Ｐ,だからどうして２人ともこっちに来るんだよ
芳乃,構ってくださいー
乃々,あ、遊んでください…
芳乃,そなたがおりませんとー
乃々,そ、総選挙上位者様をちゃんと接待してほしいんですけど…
Ｐ,はいはい、遊ぶからもうちょっとだけ待ちなさい。良い子だから
芳乃,はいー
乃々,あんまり待たされるのも……も、もりくぼとしては嫌いでは無いかもしれませんけど…
Ｐ,よし、今回の選挙結果が落ち着いたら森久保は休ませよう。ほら片付け終わったぞー。何して遊びたいんだよ
芳乃,ほー？
Ｐ,何にも考えてなかったんかい
乃々,やっぱりここは定番の…つ、ツイスターゲームとかでしょうか…
Ｐ,ウチにそんなモノねぇよ
乃々,じ、じゃあポッキーゲーム…？
Ｐ,合コンか
芳乃,ぽっきーげーむ、とはー？
Ｐ,ポッキー早食い競争だ
乃々,んな訳あるかなんですけど
Ｐ,冗談だよ。本当はこうやって、お互いポッキーをもってぶつけあい折れた方が負けという
乃々,それ両者折れると思うんですけど！？
Ｐ,…無難にトランプでもする？
芳乃,麻雀でもー
Ｐ,絶対やだ。芳乃と囲むと御無礼
乃々,じ、じゃあ…トランプで
Ｐ,そうだな。それが一番健全だな
乃々,か、掛けるのはお金ですか？衣服ですか…？
Ｐ,健全な！ＫＥＮＺＥＮな！？
芳乃,脱ぐのでしてー？
Ｐ,お前らそのパジャマ脱いだら即下着じゃねーか
乃々,き、狂気の沙汰ほど面白い、と…ある人のお言葉です
Ｐ,鼻と顎の尖った人達の言うことを鵜呑みにしたらいけません
乃々,い、いえ…佐々木さんですけど
Ｐ,まさかの！？。森久保ー、ババはこれな。んで、これを右に。さぁ引け
乃々,ぷ、プロデューサーさんのねじくれ極まった性格を考慮して…
Ｐ,何て言われようだ
乃々,ここはっ、あえて右を選ぶんですけどっ！
Ｐ,残念でした
乃々,い、いつの間にすり替えたんですか…
Ｐ,ババは森久保が座ってるクッションの下な
乃々,ホントにいつの間になんですけど！
芳乃,できましたー、フルハウスですー
Ｐ,芳乃、ルールどころかゲームが違う
芳乃,ほー？
Ｐ,うーん…トランプも飽きてきたなあ
乃々,も、もう一勝負…
Ｐ,今のところ全部最下位やん
乃々,あ、ある人が言いました…。何度倒れてもいい、何度挫けてもいい。立ち上がる限り真の敗北では無いと…
Ｐ,勇ましすぎる名言が森久保に全く合わないんだが
乃々,ちなみにこずえちゃんのお言葉です
Ｐ,イメージ！！
芳乃,脳内再生ー余裕ですー
Ｐ,チャンネルどれだけ変えてもよく知る顔が映ってるなぁ
芳乃,みなさまー、人気者ですー
Ｐ,総選挙の結果も出たしお前らも明日から大忙しになるだろうな
乃々,極力…もりくぼは机の下でもできるお仕事を希望します…
Ｐ,その条件で仕事取ってこれたら世界レベルのプロデューサーですわ。しばらくはテレビにラジオにライブに撮影にロケにと引っ張りだこだろうな、覚悟しとけ森久保
乃々,む、むぅーりぃー…絶望がもりくぼのゴールです…
Ｐ,あっコラ。テーブルの下に潜るな
乃々,あぅっ、あ、足で押し出すなんて酷いです…あんまりです……ドメスティックです…
Ｐ,お願いだから息を荒げないで…将来が不安になるから
芳乃,ほーっ
Ｐ,グエップ！
芳乃,乃々殿とばかりー、寂しいのですー
Ｐ,だ、だからって飛び乗ってくること無いだろ…鳩尾に芳乃尻が…
乃々,あぁ…そこはもりくぼが狙っていた場所だったんですけど…
芳乃,むふー
乃々,うぅ…半分分けてほしいんですけど…シェアを提案しますけど…
芳乃,ここからはー、わたくしのステージでしてー
乃々,独占禁止法なんですけどー！
Ｐ,お前ら俺の意思って少しでも考慮してくれてる？
乃々,あぅぅ…こ、これは…これはちょっとヤバいんですけどぉ…？
Ｐ,ヤバいなら降りてくれぃ
乃々,５分交代なんですけどあと２分１２秒あるんですけど頭なでなではオプションつくんですか
Ｐ,あ、はい
乃々,ふぁぁ……理想郷はこんなところにあったんですか…
Ｐ,当たり前だけど髪綺麗だよなぁ……。ていっ、このロール梳かしてストレートにしてやる
乃々,ふわわっ…て、抵抗出来ないんですけど…くやしい…でも心地いい…
芳乃,乃々殿ー乃々殿ーそろそろお時間ですー、お時間でーすー
乃々,むぅーりぃー…あと５分ー…
Ｐ,お前人のことベッドにしてない？
芳乃,むむむぅー。順逆自在の術ーっ
乃々,あうっ！？
芳乃,そいやっ
Ｐ,グフォッ！
乃々,ひ、酷いです…折角もりくぼが楽園を堪能していたのに…
芳乃,また５分したらー、交代いたしますー
Ｐ,俺に人権は無いの？。ええい、芳乃の髪も梳かしてくれるわ
芳乃,ほわわわわわわっ？
Ｐ,芳乃はいつも髪纏めてるからイメージ薄いけどめっちゃ髪長いんだよなぁ…アッキーぐらいなら２週ぐらい巻けそうだな
芳乃,ふにゃぁ
乃々,あわわ…見る見るうちに芳乃さんが堕ちていくんですけど…こ、このアイドルたらしぃ…
Ｐ,プロデューサーとしては褒め言葉なんじゃね？それ。いやぁ…でも本当に嬉しい…嬉しいよオッチャンは…。他にも担当してる娘は多々いるけどその中でも芳乃と森久保は昔からいろいろな意味で問題児だったからなぁ…その分感慨深い
乃々,も、問題児って失礼な…
Ｐ,レッスン嫌がって逃げるわ収録にビビッて隠れるわ、何度ウサミンロボを発進させたことか
乃々,むぐぐ…
Ｐ,芳乃も芳乃でなぁ…デビュー当初は新人の筈なのに教団立ち上げられたり内戦が終結したりネットから荒らしが消えたりスパロボの発売日が延期しなくなったり色々大変だったよ…
芳乃,すみませんー、あの頃はーまだ力を制御する加減がわからなかったのでー
Ｐ,でも、２人とも成長したよな。森久保は隠れはするけど逃げたりしなくなったし、芳乃パワーも今ではしっかり制御できるようになったし
乃々,か、隠れるのも本気じゃないんですけど…一応、見つかりやすいようにちょっぴりはみ出してますし…
芳乃,乃々殿ー、本音まではみ出しておりますー
Ｐ,２人ともこんな立派になってなぁ…何だろなこの感情は……。娘の入学式に来た父親ってこんな気持ちなのかな…
芳乃,泣かないでくださいましー
乃々,こ、コーラで酔ってるんですか…？プロデューサーさんは、どっちかといえば泣かせる側だと思うんですけど…
Ｐ,それだけ感慨深いんだよ…
乃々,５位と４位のお祝いでコレじゃあ…３位以降の人達相手ではどうなっちゃうんでしょう…
Ｐ,美優さんと楓さんとは後日サシ飲みする約束してる。卯月は……卯月もウチに来たいって言うから、明日ここにくる
乃々,…プロデューサーさんとこのお家、大丈夫なんでしょうか
Ｐ,なので６位と８位も同席してもらうことにしたわ
芳乃,事務所きってのー、ツッコミのお二人方ですー
乃々,ストッパーというより身代わり要員な気がするんですけど…？
Ｐ,お前は卯月を何だと思ってるんだ
乃々,バーサーカーですけど
Ｐ,否定はしない
乃々,そっちこそアイドルを何だと思ってるんですか…
Ｐ,…俺としては２位さん３位さんとのサシ飲みも色々不安なんだけどね…。んで、２人とも本当に何もいらないのか？こんなめでたい日ぐらいワガママ言えばいいのに
芳乃,わたくしはー、今のままで十分満たされてりますのでー。しいて願うのならばー、そなたにはもう少し御自愛して頂ければー
Ｐ,何お前、ただの女神か
芳乃,あややー
乃々,も、森久保はもう少しお仕事を…
Ｐ,十分手加減してるっての。…それで今回の結果なんだからある意味お前が一番凄いよ
乃々,そ、そんなそんな…もりくぼなんて何の個性も取り柄もない、机の下で細々と暮らしているだけです…
Ｐ,お前に個性がなかったらヘレンすら普通レベルになるわい
乃々,へ、へーい…
芳乃,へーい
Ｐ,ヘイヘヘーイ
乃々,…。……あ
Ｐ,どした森久保
乃々,…。こ、今回のご褒美を貰えるというのでしたら…一つだけ、お、お願いがあるんですけど…
Ｐ,おお、森久保のお願いなんて珍しいな
乃々,日頃散々もりくぼの懇願を無視しているくせにぃ…
Ｐ,だって本気で嫌がってないやん…
乃々,そ、それはそうですけど…
芳乃,構われたいだけなのですー
Ｐ,で、お願いって何？担当変えてほしいとか本人の前で言わないでくれな。俺それトラウマだから
乃々,ぜ、絶対言わないですけどぉ！！。…すけど
Ｐ,え？
乃々,…で……しいんですけど…
Ｐ,なに？聞こえない
乃々,ううぅ……。で、ですから…。な、名前で…呼んでほしい……ですけど
Ｐ,え、何だって？
乃々,絶対聞こえてますよねいぢめですか！いぢめですか！？
Ｐ,ハハッ、ごめんごめん
乃々,うぅーーっ！
Ｐ,ごめんってば痛い痛い。烈海王ばりのグルグルパンチやめぃ
芳乃,今のはー、そなたが全面的に悪いのですー
Ｐ,悪かった、すまんかったって森久保。謝るから許してくれ菩薩の拳はやめてくれ
乃々,ううーっ、うううーっ！
Ｐ,痛ててっ、ちょ、森久保痛い痛い。ﾀﾞﾒｰｼﾞが蓄積されてきたって
乃々,…。……
Ｐ,な、何…？その物言いたげな目は
芳乃,そなたー？
乃々,…
Ｐ,分かった分かった。ほら
乃々,な、何ですか…？
Ｐ,そいやっ
乃々,あわわっ。つ、捕まったんですけど！捕まえられたんですけど！
Ｐ,はいはい落ち着け
乃々,はひゃっ
芳乃,あー、溶けましたー
Ｐ,本当によく頑張ったな乃々
乃々,っ！
Ｐ,最初はあんなに嫌がってたのに、ここまでよく頑張ってくれたな
乃々,あ、あぅ…
Ｐ,本当にありがとうな乃々。お前の担当で本当に良かった。これからもよろしくな、乃々
乃々,あ、あっ…あぅっ…。…うぐ、…ヒクッ、ぐすっ……う、うぅ……。うう…、うわあああああああああっ
Ｐ,よしよし
乃々,ひぐっ…ぐすっ…うぅ…ぐすんっ…。ぐすん……もう一回、名前呼んでください…
Ｐ,乃々
乃々,も、もう一回…
Ｐ,乃々
乃々,…も、もうちょっと…
Ｐ,乃々
乃々,も、もう少し、だけ…
芳乃,ほー……？
Ｐ,乃々
乃々,も、もう一声…
Ｐ,乃々
乃々,り、りぴーとあふたみー
Ｐ,それを言うならワンスアゲインな。英語の成績大丈夫か乃々
乃々,え、延長でお願いします…
芳乃,むむむぅぅーー…。順逆自在の術でしてー
乃々,あひゃんっ！
芳乃,むふーっ
Ｐ,当たり前のようにその瞬間入れ替わり術使うのやめて。結構ビックリするんだけど
芳乃,そなたーそなたー、わたくしもー。わたくしにもー
Ｐ,ん？
芳乃,ぎゅっとしてー、なでなでしてー、名前で呼びましてー
Ｐ,はいはい。一応お前のほうが年上なんだから自重なさいな…
芳乃,はひゃん
乃々,あぅ…も、もりくぼの楽園が奪われたんですけど……
Ｐ,んで、こうか？
芳乃,はにゃぁ…
乃々,うぅ…取られたんですけど…芳乃さんに目の前で寝取られたんですけど…
Ｐ,これでいいのか？芳乃
芳乃,はいー。…。わたくしー、元から名前で呼ばれてましたー
Ｐ,せやね
乃々,芳乃さん芳乃さん、まだもりくぼのターンなんですけどっターンエンドは宣言してないんですけどっ
Ｐ,おっと、じゃれてるうちにもうこんな時間だ。ほれ森久保、寮までトライドロンで送ってってやるから用意しな
乃々,えぅ…か、帰らないと駄目ですか…？あ、あと呼び方元に戻ってますし…
Ｐ,本来アイドルを自宅に上げるだけでも結構問題なんだぞ？
乃々,うぅー…
Ｐ,どうせ車だし、ぴにゃこら太パジャマのままでも構わないけど自分の着替えぐらいちゃんと持って帰れよ？
乃々,うぅぅぅぅ…
Ｐ,ってコラ。テーブルの下に潜るな
乃々,むぅーりぃー
Ｐ,ここ最近仕事やレッスンに行く時ですら聞かなくなってたセリフが今ここで！？
芳乃,そなたーそなたー
Ｐ,ん、どうした芳乃。ちょっと待ってな、今テーブルの下からぼのぼの引きずり出すから
芳乃,お外をー、ご覧くださいー
Ｐ,外？。…何、この超豪雨
芳乃,大雨ですー
Ｐ,しかも雷めっちゃ鳴ってるんですけど…風もすっげぇし
芳乃,これではー、お外に出るのは危険ですー
Ｐ,芳乃さん？
乃々,よ、芳乃さん…
芳乃,これではー、仕方ありませんー
乃々,し、仕方ないですね…こ、この天気じゃ仕方ないですよね…
Ｐ,芳乃さん？ちょっと芳乃さんや？
芳乃,お風呂の準備をしてまいりますー
Ｐ,あ、逃げた！
乃々,お、お風呂上がりました…
芳乃,そなたもー、お入りになればよろしかったのでー
Ｐ,３人も入れる風呂じゃないわい。いや入れたとしても入らないけどね
芳乃,むー
Ｐ,ほら、布団如いていたぞ。…明日までには天気戻しといてな、芳乃さんや
芳乃,おやー、お布団２枚ですがー
乃々,プロデューサーさんはどこで寝るんですか…？お風呂場？
Ｐ,どこの幻想殺しだよ。自分の部屋で適当に寝るさね
芳乃,うあー、力がー、わたくしの力が突然暴走しましてー。偶然ー、そなたのお部屋に入れなくなる結界がー
Ｐ,何てピンポイントかつタイミングのいい暴走なんだ！。じゃ、じゃあリビングのソファで…
芳乃,うあうあー、またしても力がー。明日の朝までー、この寝室から出られなくなる結界が発動してしまいましたー
Ｐ,ここまでくると逆に清々しいな！おお、本当だ戸がビクともしねぇ
乃々,こ、ここで寝るんですか…プロデューサーさんも…？
Ｐ,流石にそれはマズいだろ。ほら芳乃、悪ふざけはやめなさいな。森久保も困ってるじゃないか
乃々,い、いえ…もりくぼが気にしているのは芳乃さんともりくぼ、どっちが右か左かという事なので…
Ｐ,俺が真ん中って決まってるの？
芳乃,まあまあ、これも総選挙のご褒美ということでー
Ｐ,お前らご褒美がオッサンの添い寝でいいの？
乃々,も、もりくぼ…寝る時左に寝返りうつ癖があるので右側頂ますね…
芳乃,では左はわたくしがー
Ｐ,今気づいたけど、途中でトイレにいきたくなったりしたらアウトじゃね？これ。すぴぃ…
乃々,…と、年頃の女の子に挟まれてここまで爆睡出来るんですね…
芳乃,埼玉県民はー、ちひろ殿のお財布の碑もり硬い理性の持ち主ですからー
乃々,い、いつももりくぼ達の為に一生懸命お仕事持ってきてくれてる訳ですし…お疲れなんですね…
芳乃,日々感謝しておりますー
Ｐ,むにゃ…
乃々,…もりくぼも、感謝してます。もりくぼはこれからももりくぼのままでしょうけど…ち、ちょっとだけ頑張りますから…これからも、よろしくお願いします…
Ｐ,んぐっ…
芳乃,わたくしもー、また明日から励みますー。そなたのご期待に添えられるようにー
Ｐ,んむぅ…
乃々,……どうしましょう…全然眠れる気がしないんですけど…
芳乃,ではー、百物語でも致しましょうかー
乃々,逆効果なんですけどぉー…。すやぁ…
芳乃,ふにゃぁ…
