-居酒屋,夜
Ｐ,ふぅ。結局、ちひろさんたちのネタばらしもなく、卯月のレッスンを見てしまった……。歌やダンスは良くなったが、やっぱり最後まで、自然な笑顔は見れなかったなぁ。ちひろさんは……帰ったのか？とりあえず、みんなのスケジュールの確認を……ん？。何だ、パスワードは同じだったのにフォルダや入ってる資料が、全部違う！？。まるで俺のパソコンじゃないみたいだ……。スケジュール……島村卯月……輿水幸子……佐久間まゆ……？なんだこれ、俺の担当アイドルのデータがすり替わってる！？。しかも、うわ、スケジュール、ほとんど埋まってないじゃないか。それにしたって、どっきりでここまでするなんておかしいぞ……
？,……ぐす……すん
Ｐ,あれ、まだ誰か残っていたのか？女子トイレから出てきたみたいだが……
？,あ……
Ｐ,あー、おかえり？いや、俺があとから来たから、ただいま？
幸子,……戻って、いたんですね
Ｐ,この子は確か……輿水幸子って子だな。さっきみたデータでは、あまり評価が高くなかったなぁ。えっと、どうしたんだ、何かあったのか
幸子,…………ご、ゴメンナサイ、ボ、じゃなくて、ワタシ……
Ｐ,身体を震わせている彼女の瞳は赤く腫れている、それに、気の毒なくらい顔を青くして………。……まぁ、座って。そうだ、ココアでも飲むか？
幸子,……
Ｐ,すまん、ココアはなかった。アイスティーしかなかったけど、いいかな。おかしいなぁ、いつも常備してたはずなのに
幸子,……あ、ありがとう、ございます
Ｐ,それで、どうしたんだ。今日は何かあったのか？
幸子,…………
Ｐ,……
幸子,きょ、今日、プロデューサーから受けろと言われていた、お、オーディション、落ちて、しまいました……。もしも、あの、受からなければ、ボ……ワタシは、もう……
Ｐ,あぁ、なんだ、そんなことか
幸子,え？
Ｐ,落ちたら、次頑張ればいい。今日いっぱい泣いた分は、きっとキミの力になる。……次は頑張ろう
幸子,……！？。い、良いんですか？事務所を、や、辞めなくても
Ｐ,事務所を辞める？
幸子,……お、オーディションを一緒に？
Ｐ,あぁ、可愛い、え～幸子、ちゃんの姿を見損なったよ
幸子,カワイイって……か、からかっているんですか？
Ｐ,え？いや、そんなことないぞ。本当に、申し訳なかったと思ってる
幸子,……。ボクが、カワイイ、ですか？
Ｐ,ん？まぁ、そうだな、睫毛も長いし、たれ目もキュートだし、所作から礼儀正しさもうかがえるし……
幸子,そうですか……そうですよね。そうなんですよ！ボクは、カワイイんですよ！
Ｐ,お！
幸子,いつも、オーディションはあとちょっととのところで落ちてしまいますが、それはこの超新星のボクの放つ輝きに審査員の皆さんが眩しすぎてくらんでしまうからなんですよ！
Ｐ,そうだな、審査員も見る目がない
幸子,え……えぇそうなんですよ！……あの
Ｐ,ん？
幸子,その、いつもみたいに、怒らないのでしょうか？ボクって言ったり、あの、自分でカワイイって言ったり……
Ｐ,……。怒らないよ。そういう自信を持って自分を出せる姿が、俺はすごく良いなって思ったから
幸子,そ、そうなん、ですか！？
Ｐ,うん
幸子,ふ、ふふふ、そうですか！！
Ｐ,ぴんと、自分の髪の跳ねたところをいじってにやつく幸子。彼女もまた、卯月と同じで、俺
-車,夜
幸子,それで、ボクが黒板に完璧な計算式を書ききると～、先生が言うんですよ！ここはまだ習っていない難しい問題なのに良くとけましたね～って！！
Ｐ,へー
幸子,それくらい、ボクは頭もよくて、スポーツもできて、完璧なんですよ！
Ｐ,そうなのかぁ
幸子,そうなんです！それでですね！ボクが何故、頭が良くてカワイイと、言われるかについてなのですが！
Ｐ,もう遅いからと、自宅へと幸子を送っている途中、彼女はまるで今まで抑圧されていた自分を吐き出すかのように喋りだした。どれもこれも、微笑ましいエピソードばかりだが、聞く人によっては、あまりの自画自賛っぷりに嫌気がさしてしまうかもしれない
幸子,つまり、地球の温暖化も、少子化問題も、、全部ボクがカワイイせいなんですよね！
Ｐ,そうか、まぁ、確かに幸子は可愛いしな
幸子,ふぇ！？そ、そうなん、です
Ｐ,だが、自分で言うのならともかく、人に言われるのはまだ慣れていないのか、顔を赤くすると、膝の上に拳を押さえつけて黙ってしまった
-自宅,夜
Ｐ,ふぅ。島村卯月に、輿水幸子……俺の担当アイドル、か。それに残っていたスケジュールには明日、佐久間まゆというアイドル候補生が事務所に来ると書かれていた。ここまでの経過を見るに……もう、これはドッキリだとか、言ってられないレベルだよなぁ。俺の部屋には、クールなあいつらの写真集やらＣＤやらでいっぱいだと思ったのだが……。生活に必要なものが最低限そろえられているだけで、えらく殺風景な部屋になっていた。昨日の夜に、何があったのか？これじゃ、まるで別世界に来てしまったかのような……。別の世界？。……まさかな
まゆ,……ここが新しい事務所……。読者モデルをしていた事務所がつぶれて、紹介されたけれど……。別に、まゆはアイドルになんて……興味ないのに……
Ｐ,うわっと
まゆ,キャ！
Ｐ,とと、危ない危ない。大丈夫？
まゆ,。誰かに愛されることには慣れていました。父も母も、同じ学校の子たちからも、可愛いと言われ、前の事務所でも大切に扱われていたことがわかってましたから。けれど、まゆは一度もその人たちを愛したことはなかった……。きっと、その人たちが死んでも、まゆは、何とも思わないほどに、どこか冷めていた。なのに
Ｐ,おーい、大丈夫か？
まゆ,はぅ！！。こ、この稲妻が走ったかのような衝撃！心臓が飛び出しそうなほどに脈を打ち、体中が熱く火照り燃え上がる。まゆは、きっとこの人に会うために生まれてきたのです！！。ふ、ふふふふ
Ｐ,！？
まゆ,あなたが、まゆのプロデューサーさんになる方ですね？
Ｐ,え、ああ、そうだけど。もしかして、君は……
まゆ,はい、佐久間まゆです。まゆはこれからプロデューサーさんと二人でトップアイドルになるんですよね、だって、二人の出会いは運命だから！
Ｐ,え？ま、まぁトップアイドルを目指すのは間違いないが……まだ、そうだと決まったわけじゃ
まゆ,うふふ、まゆのことたっぷり可愛がってくださいね？
Ｐ,何か、押し切られてしまった……それにしても、これまた、キュートオーラ全開の子だなぁ
まゆ,あぁ、きっと今、まさに、まゆは生まれたのです。誰かを愛するために、人として！
幸子,ふふーん！ボクの方が先輩ですから、敬愛の念を込めて、カワイイ幸子ちゃんと呼んでもいいですよ！
まゆ,はぁい、よろしくお願いしますねぇ、幸子ちゃん。まゆのことは、まゆって、読んでください
幸子,カワイイが抜けていますが……まぁ良いでしょう！何か困ったらカワイイボクになんでも頼ってください、まゆさん！
まゆ,はぁい
卯月,……あの、よろしくお願いします。まゆちゃん
まゆ,こちらこそ～
Ｐ,あっという間に溶け込んでしまった。ていうか、彼女の持ってきた書類をよく見たら、彼女はうちのアイドル事務所じゃなくて、うちを通して３４６プロの読者モデル部門に行く予定なんじゃ……
まゆ,まゆは、絶対にトップアイドルになるんですよ、絶対に……ふふふ
Ｐ,よくわからんが、本人がやる気みたいだし良いか
ちひろ,……
Ｐ,ほら、１、２、１、２……よし、休憩
まゆ,あう……
幸子,はぁはぁ、ど、どうでしたか、まゆさん！あ、アイドルというのも楽なものではないでしょう！
まゆ,そ、そうですねぇ、結構、しんどいんですね……。こんなのじゃ、駄目。もっと、レッスンをつまなきゃ、もっと、もっと、もっと……
Ｐ,まゆは初めてのレッスンなのに、ここまでついてきてすごいと思うぞ
まゆ,本当ですかぁ！？
幸子,！？……ぼ、ボクはどうでしょうか！
Ｐ,幸子は、そうだなぁ、自分の顔を気にしすぎてステップと歌がおざなりだな
幸子,なぁ！？そ、そういわれてみれば……カワイイボクに、そんな弱点が……！
卯月,……
Ｐ,卯月
卯月,！は、はい
Ｐ,今日は、昨日よりもダンスにキレがあって良かったぞ。歌も、よく間違えてたところが意識して直せてた。家でも、練習したんだな
卯月,え、あ、わかるん、ですか？
Ｐ,当たり前だろ。プロデューサーなんだから。でも、あんまり無理をすると身体を壊すから、無理だけはするなよ
卯月,……はい！
Ｐ,……お！。じゃあ、後少し休憩したら再開するぞ。しっかり水分補給をするんだぞ
３人,はーい
Ｐ,……プロデューサーなんだから、か
幸子,ぷ、プロデューサーさん！初めてのお仕事が、どうして商店街のマスコットなんですか！これでは、顔は出ているとは言え、ボクのカワイイボディが見えないじゃないですか～！
Ｐ,仕方がないだろう。まだ無名なんだから、仕事はなんだって引き受けるぞー。それに、歌も歌えるし良い方じゃないか
卯月,歌は、商店街の応援ソング、ですよね
まゆ,しかも、普通の通行人相手に……その、まゆたちに興味がない人に歌を聞いてもらうのは少しまゆにも抵抗が……
Ｐ,まぁまぁ、はじめての仕事なんてそんなもんだ。それに、アイドルになったらもっと大勢の前で歌うことになるんだぞ。興味のない人が興味を持ってくれるような、そんな歌を披露してやってくれ
卯月,……頑張ります！
幸子,歌の事より、ボクが一番気にしているのは、どうして卯月さんはウサギ、まゆさんはたぬきで、ボクだけマンボウなんですか～！一人だけ魚類ですよ！！！
Ｐ,それは、ほら、幸子のカワイイオーラを隠すためだろ
幸子,ぼ、ボクのカワイイオーラ、ですか？
Ｐ,そうだ、今日は３人の仕事なのに、幸子一人だけ目立ってしまうと困るから、あえて、二人より不細工な着ぐるみに扮することで、カワイイオーラを均等にしてるんだ
幸子,そ、そうだったんですね。ふふん、ならしょうがないです！オーラなら仕方がないですね！
Ｐ,ふぅ、最近幸子の扱い方がよくわかってきたぞ
-お仕事終了,夕方
幸子,つ、疲れました……
卯月,あんまり、歌は聞いてもらえなかったですね……みんなこちらを見向きもしないで……
まゆ,……子供には大人気でしたけどねぇ
幸子,二人はまだ良い方ですよ。ボクなんて、なぜかお爺さんやお婆さんばかり集まってきて……
Ｐ,みんなお疲れ様。ほら、飲み物買ってきたぞ
卯月,あ！ありがとうございます！
まゆ,プロデューサーさんもお疲れ様です、今日はずっとつきっきりで……
Ｐ,まぁ、俺はほとんど見てただけだけどな
まゆ,でも、居てくださっただけで、まゆはやる気が出ましたよぉ？それに、安心できました
Ｐ,はは、そうか。じゃあ、みんな今日は頑張ったから、初仕事の記念に、どっか食べに行くか。もちろん奢るぞ
幸子,本当ですか！ではカワイイボクに奢れるなんて、プロデューサーもラッキーですね♪
Ｐ,あんまり、高いところは、その、勘弁してくれよ
まゆ,まゆは、プロデューサーと一緒にご飯を食べられるなら何だっていいですよぉ
卯月,……えへへ……楽しいなぁ
-事務所,次の日
卯月,おはようございます！
Ｐ,おう、おはよう、卯月
ちひろ,おはようございます、卯月ちゃん
卯月,おはようございます！プロデューサーさん！ちひろさん！
幸子,おはようございます！卯月さん！見てくださいよこれ！
卯月,え？何ですか、これ、手紙？
幸子,ファンレターですよ！ファンレター！カワイイボクあてにファンレターが届いたんですよ
卯月,えぇ！？す、すごいね！幸子ちゃん！
幸子,フフーン！まぁ、カワイイボクなら当然ですけど！実は卯月さんにも届いてるんですよ！
卯月,本当ですか！？わぁ！
ちひろ,最近、事務所の雰囲気変わりましたね
Ｐ,え？えーっと、そうですか？
ちひろ,はい、とても、明るくなった気がします
Ｐ,そ、そうですね。卯月も笑顔を見せるようになってくれたし、幸子もまぁ、幸子ですし
ちひろ,……私からすれば、一番変わったのは、プロデューサーさんなんですけどね
Ｐ,え！？
ちひろ,……あの、プロデューサーさん。実は、前から思っていたんですが……
Ｐ,……
ちひろ,もしかして、プロデューサーさんって、双子……何ですか？
Ｐ,……へ？
ちひろ,い、いえ！あの、こういってはなんですが、以前のプロデューサーさんは、もっとこう、冷たいというか、カミソリみたいな人で……
Ｐ,は、はぁ
ちひろ,最近、その！お仕事も頑張られてて、私の事も気にかけてくださってて……あ、あはは、そのすみません！変な事聞いてしまって
Ｐ,いえ、別に大丈夫ですよ、ただ、残念ながら双子ではないですね
ちひろ,そ、そうですよね！でもそれだけ変わったと思ったので……もしかしたらと……
Ｐ,はは、そうですか。変わった、か
まゆ,おはようございまぁす
幸子,あ、おはようございます！見てくださいまゆさん！ほら！ファンレターですよ！ファンレター！
卯月,まゆちゃんにも届いてるんです！はい！これ！
まゆ,？これって……うふふ、そうですか……これは最高のファンレターですね。うふふふふ
Ｐ,……まゆには気づかれてしまっているのかもしれないが……まぁみんな喜んでくれてよかった
-数週間後,公園前
Ｐ,さぁて……今日の営業も終わったか……後は事務所に帰って企画をまとめて……と。みんな想像以上に頑張ってくれているからな。俺もがんばって彼女たちに良い仕事を……って。俺、このままでいいのか！？。忙しさのあまり、忘れていたが、こんなのって明らかにおかしいじゃないか！。ここは多分、俺がいた元の世界とは、別の世界なんだ。早く元の世界に戻らないと……？
？,ぐす……すん
Ｐ,なんだ、女の子が……泣いてる
桃華,……ぐす。な、泣いてはいけませんわ、櫻井桃華。でも、こんなのって、あんまり……どうすれば
Ｐ,君、どうかしたのか
桃華,！？
Ｐ,あぁ、そんなに驚かなくても……俺は、こういうもんで、決して、怪しいもんじゃないよ
桃華,……ぐす、あ、アイドルのプロデューサー……ですの？……わたくしに何か御用かしら
Ｐ,う、めちゃくちゃ、怪しまれている……そりゃ突然スーツ姿の男が話しかけてきたりしたら、怪しいわな。い、いや……それより、そっちの方こそ、何かあったんじゃないか。随分お困りのようだけど……
桃華,……
Ｐ,もし俺でよければ、力になるよ
桃華,わ、わたくし、こう見えても一人前のレディですの、ですから、誰かの助けなど……
Ｐ,じゃあ、レディの悩みを聞いてあげるのも、男の甲斐性というやつだな。ここは俺の男を立ててほしいんだけど
桃華,……そういうことでしたら……
Ｐ,……じゃあ靴ひもが切れて家まで帰れなくなって途方に暮れていたと？
桃華,そうなんですの……今日は連絡用の携帯電話ももっておらず、迎えを呼ぶこともできず……
Ｐ,そうかぁ……家まで近いのか？
桃華,そうですわねぇ、車で１０分はかかってしまいますわ
Ｐ,ちっか！俺が子供のころだったら片足くらい使わなくたって、ケンケンして帰るか、靴を脱いで裸足で帰ったもんだけどなぁ……でも
桃華,わたくし、もう、どうすればよいのか……
Ｐ,この育ちの良さそうな子に、そんなこというのもなぁ……よし。そうか……じゃあ、ほれ
桃華,？な、なんですの、背中を向けて……まさか
Ｐ,あぁ、それくらいの距離だったらおぶって送っていくよ
桃華,い、いけませんわ。無関係のあなたにそのようなこと……
Ｐ,まぁ、ちょうど俺も仕事が一区切りついて暇だったんだよ。散歩ついでだ、よいしょっと
桃華,きゃっ！！？
Ｐ,よし出発だ
桃華,……確か、Ｐちゃま、でしたわね
Ｐ,そうだよ、えっと
桃華,わたくし、櫻井桃華ですわ……Ｐちゃまは、アイドルのプロデューサーをしていらっしゃるのですよね。どのようなアイドルを……
Ｐ,そうだな、トライア……いや、島村卯月や、輿水幸子とかって名前、最近聞いたことないか？
桃華,残念ながらわたくしは聞いたことがありませんわ
Ｐ,そ、そうか。まぁ、まだまだローカルアイドルの域を出ていないからな。最近、ライブなんかの仕事も増えてきたんだが……
桃華,いえ、わたくしがアイドルに疎いだけかもしれませんわ。そう落ち込むこともないですわよ？
Ｐ,は、はは、ありがとう。まさかこんな小さな子に慰められることになるとは……それにしても、受け答えもしっかりしていて、大人っぽい子だなぁ。なぁ、道はこっちの方であってるのか
桃華,多分、あっていますわ
Ｐ,た、多分？
桃華,えぇ、こちらの方角に歩いて行けば、どこかでわたくしの家に突き当たるでしょうから
Ｐ,へ、へぇ。突き当たるって、どんだけ家の敷地が広い想定なんだよ。この子、もしかして、とんでもないお金持ちなんじゃ……？
桃華,あら……あれは、なんですの？
Ｐ,ん？
浅黒い店主,ヤスイヨー、オイシイヨー
Ｐ,あぁ、あれはトルコ風アイスの屋台だな
桃華,トルコ風アイス？何やら……白いお餅のようなものを棒で伸ばしているようですけれど、あれがアイスなんですの？
Ｐ,なんだ、食べたことないのか。まぁ、話すより実際に食べた方が早いんじゃないか。すみません、これ、２つください
浅黒い店主,マイドー
桃華,まぁ！か、買い食いなんて、はしたないですわよ、Ｐちゃま
Ｐ,え、そうか？でももう買ってしまったしな
桃華,……仕方がありませんわね……今日だけですのよ？
Ｐ,そ、それはどうも。……大人っぽいというよりオカンみたいだな
浅黒い店主,ハイヨー、オマチドサマ
桃華,まぁ、棒の先のアイスにコーンがくっついていますわ！どうもありが……
浅黒い店主,オットットー
桃華,まぁ！？
浅黒い店主,ハイヨーオニイサン
Ｐ,あ、あぁどうも
浅黒い店主,ハーイ、オジョウチャン！
桃華,…びっくりしましたわ！わたくし、てっきりイジワルされてしまったのかと……。まぁ！！？今度はコーンだけしかありませんわ！アイスはまだ棒に……
浅黒い店主,ホッホー、ホイト
桃華,ウフフ！やっと、頂けましたわ！Ｐちゃま。この方はまるで手品師のようですわね！
Ｐ,はは、そうだな。でもやっぱり、歳相応なところもあるんだな。アイス、中々美味しかったな。桃華も、初めは文句を言っていたが、伸びるアイスに感激していたし。しかし、途中で口についてたアイスを桃華に拭ってもらった時は、何だか大人として情けなくなったなぁ、彼女は本当、しっかりしている。さて、桃華、そろそろ家につくころだと思うんだが……
桃華,……
Ｐ,桃華？
桃華,すぅ……すぅ……
Ｐ,ね、寝てるー！！？いや、それは困るぞ……どこが桃華の家なのかわからなく……ん？
サングラスの黒服達,
Ｐ,ひえ！？
サングラスの黒服達,……
Ｐ,な、なんだぁこのざわ……ざわ……してそうな黒服の方々は！？あ！まさか！。あ、あの！俺は決して怪しいものではなくてですね！く、靴ひもが切れてしまって困っていたこの子を、家まで送っていくためであって……
リーダー格の黒服,……。……
Ｐ,え、あ、あぁ、はい、起こさないように気をつけて……
サングラスの黒服達,……ﾍﾟｺﾘ
Ｐ,無線で何かを報告した後、黒服の集団は桃華引き取って、どこかへと行ってしまった……。はぁ、公園で暮らすような女の子がいる一方で、世の中にはすごいセレブもいるもんだなぁ……ん？。うお！サイレントモードにしてた携帯にまゆから３桁ほど着信が！！？しまった、もうレッスンの時間じゃないか！。へ、下手をしたら、また恥ずかしいセリフを言いながら、小指を繋いで指切りげんまんをさせられてしまう……！！うおおおお、まにあええええ
-レッスン場,10分後
まゆ,指切りげんまん♪Ｐさんはぁ、もう二度とぉ♪まゆを寂しがらせません♪うふふ、はいＰさん
Ｐ,え～、Ｐさんは、まゆを、２度と寂しがらせません、はい指きった！
まゆ,そんなんじゃだめですよぉ。もっと気持ちを込めてください、はい、もう一度♪
Ｐ,うぅ、え～Ｐさんは、まゆを……
幸子,やれやれ、まゆさんは本当に時間に厳しいですねぇ。カワイイボクくらい寛容なら少しくらい、許してあげるものですが。まぁ、それはそれとして、ボクも何か後でお願いを聞いてもらいますけど！
卯月,あはは、でもあれって、別にまゆちゃんは遅れたことをずっと怒ってるわけじゃないような……
まゆ,はい、もう一度♪ウフフ。プロデューサーから何やら別の女の匂いがしますねぇ……背中のあたりに強いバラの香り……さしづめ、困っていた女の子をおぶって運んであげたといったところでしょうか？うふふ。……あんまりたくさん浮気しちゃだめですよぉ？
幸子,じゃーん！見てください！
卯月,わぁ！私たちが表紙の雑誌です！！
幸子,超新星あらわる！話題急上昇中のアイドル候補～！！カワイイカワイイボクを筆頭に、カワイイボク達についての特集がくまれています！！
まゆ,確かに、こうして形になると、感慨深いですねぇ
幸子,本当ですよ!カワイイボクが汚いライブホールでコンサートをしたり、売れないCDを必死で店頭販売した甲斐がありましたよ～！
卯月,はい！頑張ってきて、良かったです！えへへ
ちひろ,最近すごいですね、アイドルたちの人気！オファーもたくさんいただいてますよ
Ｐ,ははは、なぁに、まだまだこれからですよ、みんなポテンシャルが高いですから、そのうち、武道館やドームでライブをしたり！
ちひろ,ど、ドームでライブですか！？それはまた、大きな夢ですね
Ｐ,いやいや、ドーム何て、序の口ですよ！日本一のアイドルグループになって、ゆくゆくは世界デビューです！
ちひろ,せ、世界デビューですか！！？
幸子,フフーン！そうですよプロデューサー！このカンペキなボクのプロデューサーを務めるからには、それくらいやっていただかないと困りますよ！
卯月,が、外国語……が、頑張ります！じゃなくて、I'lldomybest!
Ｐ,お、えらく流暢だな、卯月
卯月,えへへ、ファンの外国人にも、これだけは伝えたくて……I'lldomybest!
Ｐ,なぜ、ピースじゃなくて、親指をたてたポーズになんだ……？可愛いけども！
まゆ,……
Ｐ,あれ、まゆはあんまり乗り気じゃなさそうだな
まゆ,いいえ、夢を大きく持っているプロデューサーは素敵ですし、まゆも同じ夢を持てるなんてとぉっても幸せですよぉ？
Ｐ,そ、そうか、まぁでも、俺たちは現状まだまだだ。これから、もっと上を目指して頑張るぞ！！
３人,おー！
ちひろ,ふふ、本当、変わりましたね、Ｐさん。みんな、あなたのおかげで……
Ｐ,ん、内線か？はい、Ｐです。……え！！？。そんな馬鹿な！？そんなこと、あるはずが……
ちひろ,え。あ、ちょっとＰさん！？
-事務所,玄関前
？,……Ｐさん！！
Ｐ,か、楓さん！！？どうして、ここに……うわ！！？
楓,あぁ、Ｐさん、Ｐさん、Ｐさん……！
まゆ,……ちょっと、あなた、ふざけたことやってんじゃ……
卯月,や、やめて、まゆっちゃん！どうやら、何か事情があるようですよ！？
幸子,ま、まゆさんのあまりの気迫にちょっと、流石のボクもほんのちょっぴり、漏らしそうです！！
楓,……Ｐさん、そのままどうか聞いてください。あまり、時間がありませんから
Ｐ,え？……はい
楓,……今、あなたは……所謂パラレルワールドに居ます
Ｐ,そ、そうなんですか……！？何となく、おかしいなぁと思ってたんですが……やっぱり
楓,……ふふ、そう思っていても、プロデューサーのお仕事を続けるなんて、Ｐさんらしいですね。こほん……Ｐさん、この世界に来る前の日の事、覚えてますか？
Ｐ,前の日？確か、俺は楓さんや服部さんに無理やり飲まされてへべれけに……
楓,私はそこまで飲ませていませんが……そうです、その日です。あの日貴方は、死にました
Ｐ,え？
楓,あの日、あなたは、暴走した車から私と美優さんをかばって……それで……
Ｐ,ちょ、ちょちょちょ、ちょっと待ってください、まさか俺がいるのって冥府とか、黄泉の国とか、そういう……
楓,……いえ、正確には死んではいないのです。貴方は奇跡的に目立った外傷もなく、身体的には健康なんです……ただ
Ｐ,ただ？
楓,魂が抜けたような、そんな状態になっているんです
Ｐ,た、魂ですか……何だか、オカルト的な話になってきましたね
楓,話を続けます、そうして魂だけの存在になったあなたは、何があったのか別世界であるこの世界で、魂だけ移り、今、こうしてこの世界のＰさんに憑依しているような状態なのです。心当たりは、ありますよね？
Ｐ,……それは、はい。そうか、それで、卯月たちは……
楓,……Ｐさん、あなたがこの世界に来てから、どれくらいの月日が経っていますか？
Ｐ,え？えーっと、ちょうど一か月と少しくらいでしょうか
楓,あぁ、そんな……！
Ｐ,え？あの、何かまずいんですか？
