・春香さん…家事を完璧にこなせる、千早ちゃんの通い妻(介護要員)。料理の腕は、美食家いおりんが,やよいと一緒に、うちに専属で来なさい！
春香,…美希ー、冷蔵庫のおにぎり、チンしよっか～？
美希,超ありがとうございますなの
春香,感謝のレベルが高過ぎるよ
千早,というか、いつおにぎりを入れたのかしら
美希,え？昨日だよ？炊飯器のご飯が余ったって、千早さんが言うから…作って冷蔵庫入れておくよーって…
千早,すっかり忘れていたわ
美希,というか、千早さんは自分の部屋の冷蔵庫の中身を把握してないの？
千早,というより、日付が今日になってからは開けてないわ。中身は知らない内に春香が追加して、レシートだけ置いてあるの
美希,もう完全に春香の冷蔵庫なの…
春香,というか、冷蔵庫の中身を追加するのも、その中身を使って千早ちゃんに料理作るのも私だよ
美希,完全に千早さんのお嫁さんなの
春香,というよりは介護…
千早,誰が要介護者よ…まだ大丈夫だわ
春香,まだって…あ、美希、もうちょっと待っててね
美希,分かったのー………はっ！？このお醤油の焦げたようなかほりは…まさか！？
春香,うん、ただ暖めたら美味しくないし、お醤油塗ったのとお味噌塗ったのを用意して、トースターで焼おにぎりを錬成してます
美希,お…おぉ…お米の錬金術師様なの…
千早,…ぶふっ…お、お米の錬金術師…
春香,別に両手をパーンってしたらおにぎり出来る訳じゃ…
美希,パーンってしてから握り始めたら問題ないの
春香,それ、普通に作ってるだけでしょ
千早,…ふ、く…２人…とも…やめて…
美希,千早さんがプルプルしてるの
春香,着信中なのかしら？っと、いけないいけない…焼おにぎり見ないと…
千早,はー…はー…
美希,あ、止まったみたいなの
春香,意外に短かったね、メールだったのかな…あちち
千早,あ、あなた達…なんで追い討ちかけるの…
美希,お米の錬金術師様待ちの間、暇だったからなの
春香,美希は私じゃなくて、焼おにぎり待ちでしょ？…いや、私はお米の錬金術師じゃないからね？
千早,や、やめて…お米の錬金術師やめて…
美希,千早さんの今年一番のツボかもしれないの
春香,あと十数時間で今年は終わるけどね
美希,まさかの滑り込みセーフだったの
春香,くふっ…
美希,どしたの？
春香,いや、髪型含めて頭が米粒の形したイケメンが、あの錬金術師の格好して、上からどんどん閉まってくる年末
美希,あははは！そ、想像力が豊か過ぎるのっ！
春香,何かねー、１つ浮かんだら連鎖しちゃってさー…よし、そろそろいいかなー？
美希,はぁ…ふぅ…どーでもいい事で腹筋を破壊されかけたの…
千早,
美希,千早さんがやられたの…！
春香,千早ちゃんは、この戦いには着いてこれないわ…！置いていく…っ！
美希,く…千早さん…ミキと春香が無事に帰ったら、一緒におにぎり屋さんをやるの…！
春香,やらないわよ、はい焼おにぎりどーぞ
美希,わーい
千早,くふ…はぁはぁ…わ、私にも焼おにぎり、貰えるかしら…
春香,ん、お醤油とお味噌、どっち？
千早,お醤油
春香,はーい…はぁっ！。…
千早,
美希,
春香,っしょっと、あちち…はいどうぞ
千早,特に何も無し！？
美希,いきなり何事かと思ったの！
春香,お、お米の錬金術師を…
千早,ぶふぅ！？
美希,まだ引っ張ってたの！？もう千早さんが呼吸困難になっちゃうの！
春香,いやー、まさか年末に千早ちゃんがこんなにツボに入るキャラクターが生まれるとは
美希,来年から春香はそれで売り出せばいいと思うの
春香,Ｓランク錬金術師、天海・オコメツブ・春香で～す♪…ヴァイ！
千早,もう…勘弁して…。はぁ…もう、あなた達２人はノリ出すと止まらないんだから…
春香,…髪型をお米の形に変えようとしたのは、流石にやり過ぎでした…あははは…
美希,春香は走り出す前に止まり方を覚えるべきなの
春香,そういえば今日はフェアリーはお仕事無いの？
美希,響も貴音も里帰りしてるの。カウントダウンライブは竜宮がやるーって、律子が張り切ってたの
千早,さん付けしないとまた怒るわよ、律子
美希,本人いないから別に大丈夫なのー
春香,去年はカウントダウンライブを４ユニットでやったからね～
美希,竜宮小町とフェアリーと…限定ユニットだっけ
春香,そ。竜宮小町、フェアリー、私と千早ちゃんと真、やよいと真美と雪歩のユニットだったね
美希,…Ｓランクの春香と、最強の歌姫の千早さんと、イケメンでダンスの天才の真クンのユニットとか…パワーバランスが崩れ過ぎなの
千早,そ、そんな事無いわよ
春香,そうだよ、フェアリーだって凄かったじゃない！
美希,まあ…他のユニットと違って、カッコ良い曲とかでいったから良かったけど…
春香,けど？
美希,乙女よ→自転車→約束のメドレーは、反則にも程があると思うの
千早,だ、だって持ち歌をしようって話だったし…
美希,竜宮小町…というか、デコちゃんすっごい悔しかったみたいで、今年は私達が～！ってなったみたい
春香,伊織…
千早,負けず嫌いだからね、水瀬さんは
春香,千早ちゃんがそれを言う？
美希,ミキもそう思うの…
千早,
春香,あずささんの隣に…を聞いた瞬間、突然空気変わったんだよ、舞台袖で…
美希,あー…分かる気がするの
春香,発声練習とかし出して、私達の時に歌う歌の順番まで変えて、最初にメドレーするとか言い出して…
美希,うわあ
春香,しかも、最後にソロで眠り姫やるし…
美希,７６５プロでつぶし合いなの…
千早,て、テンションがね？こう、上がっちゃって…つい…
春香,あのすぐ後で歌えたやよいは凄いとしか言えないわ
美希,やよい以外には無理なの。響なんか、自分達の番が終わってて良かった…
春香,隣にいた私と真は、既に満身創痍だったよ…
千早,皆に謝らないといけないわね…
春香,いや、もう過ぎた事だけど
美希,デコちゃんは悔しかったみたいなの。自分に惹き付けたお客さんが、全員持っていかれちゃったって思ったみたいなの
千早,…悔い改めるわ…
春香,まあ、一年間悔しがり続ける伊織も凄いけどね
美希,負けず嫌いにも程があるの。…うにゅ～
春香,美希が変な鳴き声上げてる…
千早,寝てるのよ…ね？
春香,多分ね
美希,にへへ…
春香,笑った…
千早,幸せそうね
美希,オニギリン…またねなの
春香,オニギリン…って言った？いま
千早,な、何なのかしら、オニギリン…
春香,またねなの…って事は、対象は意思の疎通が出来る訳で…
千早,オニギリンって名前からして…おにぎりに関係した何かよね…
春香,お米の錬金術師はアマミン・オコメツブ・ハルカッカだし
千早,何で名前がパワーアップしてるのよ
春香,そりゃ、修行とかで…
千早,少年漫画のノリになってきたわね
春香,早にぎりとか
千早,…強くはならなそうね…
春香,こう…ヴぁい！(ﾆｷﾞﾆｷﾞ)
千早,む、無駄に過酷なのね…
オコメツブ(春香),だが…だが私は…戦争で苦しむ子供達におにぎりを…大量の、大量のおにぎりを届けなくてはいけないんだ…！
千早,何だか、ちょっと応援したくなってきたわ…
オコメツブ(春香),うぉぉぉぉお！(ﾆｷﾞﾆｷﾞﾆｷﾞﾆｷﾞ)ぅぁいたーっ！
千早,なっ、ど、どうしました！？お米の錬金術師様！
オコメツブ(春香),強く握り過ぎて…塩と米粒が飛んで、目に…！
千早,お米の錬金術師様ぁぁ！
オコメツブ(春香),く…わ、私はもう…握れない…せめて私が握った１６億個のおにぎりを…届けてくれ
千早,ぶふっ…１６億…多すぎる…コホン、わ、分かりましたわ、必ず届けます…
オコメツブ(春香),最後に…
千早,はい
オコメツブ(春香),ご飯を炊いてくれた近所の主婦の皆様…ありがとう…がくっ
千早,凄いバラエティー番組の企画っぽい！じゃなくて、お米の錬金術師様ぁぁぁ！
美希,うるっさいのぉぉぉぉぉぉ！
はるちは,
美希,寸劇に全力投球し過ぎなの！なんなのなの！？千早さんまでノリノリで！しかも声量あるのに叫んだりして！なんなのなの！もう全く一体全体なんなのなの！
はるちは,ご、ごめんなさい…
美希,ミキの夢が途中から安っぽいコントになって、お米が沢山取れる地域での夕方のバラエティー番組の企画になって、最後にまたコントになったの！年末に悪夢を見たの！。…あふぅ…お蜜柑様、お蜜柑様
はるちは,？
美希,いちごババロア味になって下さいなのぉ～
千早,うぶっ
春香,ぶはっ
美希,ひぃ！？２人共、蜜柑吹き出さないで欲しいの！
春香,げっほげっほ！ふ、吹き出すに決まってるでしょ！？
千早,げほっ！かはっ！いちごババロア味って！既に蜜柑じゃ無くなってるじゃない！
春香,というか、ババロアに加工までされてるし！蜜柑だって、そんな無茶苦茶なお願いは叶えられないよ！
千早,しかも、その蜜柑は普通の蜜柑よ！？いわば一般人、エリート蜜柑でも、神様蜜柑でも無いのよ！
春香,千早ちゃんも意味が分からなくなってきてるよ！神様蜜柑って何！？エリート蜜柑ってどんなの！？
蜜柑(美希),ボクはそんじょそこらの蜜柑とは一味も二味も違うんだミカン
千早,語尾がミカン！？
春香,すっごい投げやりなキャラ付けでアフレコしないであげて！
千早,一味も二味も…どれだけ違うのかしら
蜜柑(美希),いちごババロア味がするんだミカン
春香,だから蜜柑なのにいちごになってる！しかもババロアに加工までされてる！
千早,エリート蜜柑…恐るべしね！
美希,。しゅっぱいのっ！
はるちは,(…か、可愛い)
美希,やっぱりいちごババロアが食べたいの
春香,おお、コタツの主こと美希が、ついにコタツの外に出た…
千早,奇跡の瞬間ね
美希,ん～…
千早,…また戻ってきたわ
美希,寒いの～…。はわぁ…
春香,…千早ちゃん、鼻血
千早,春香こそ
美希,むにゅ～ん…
春香,…はぁ…千早ちゃん、何か食べたいものある？
千早,え？
春香,いちごババロア買ってくるから、何かついでにあれば言って
千早,えーっと…トイレットペーパーと、お茶と…あ、ブーツ用の乾燥剤がそろそろ切れ
春香,もう付いて来てよ…
千早,分かったわ。う…寒い…
春香,早く！
千早,はい…
春香,うひー…寒いなぁ…
千早,コタツが恋しくなるわね
春香,だねぇ…あ、メール…美希からだ
千早,？。…可愛いわね、いちいち
春香,はぁ…。よし…
千早,春香…美希のお母さんみたいよ
春香,生活能力が足りない千早ちゃんの妻でもあります
千早,つ、妻…
春香,はいはい、冗談だから顔真っ赤にしないのー
美希,～♪
千早,すっごい幸せそうに食べてるわね、いちごババロア
春香,寒い中買いに行った甲斐があるってもんです
美希,ミキ、春香の子供になるの
春香,こんな歳の近いワガママ娘、いりません
千早,焼おにぎりの時もだけど、駄目な子を甘やかす母親みたいね
美希,駄目な子なんて酷いの！
春香,私が駄目な母親みたいじゃない！
千早,ごめんなさい
春香,駄目な夫め
千早,なっ！？
美希,駄目なパパなのー
千早,んなっ！？
春香,…
千早,…
美希,…
春香,まった～り、してるねー…
千早,何もする気にならないわ…
春香,…うちの事務所で年末仕事してるのは…竜宮小町だけ？
千早,えーっと…あ、夕方の番組に高槻さんと真美が出るわね
春香,雪歩はお休みだって話だし…
千早,年少組が働いてるのに、私達は…
春香,スケジュール調整したプロデューサーさんに言って下さいな
千早,真は？
春香,お父さんと初日の出を見るって富士山に行ったみたい
千早,
春香,しかも山頂まで登るらしいよ、半日で
千早,…出来そうだから怖いわ
春香,全く立ち止まらずにサクッと登り切りそうだよね
千早,そうね…そういえば、萩原さんもお休みなのね
春香,舞台終わったし、休養中なんだってさ
千早,ふーん
美希,雪歩、来るってさー
はるちは,はい？
美希,いま、メールしたら私も実は暇してたのって。だから、呼んでみたの
千早,ああ、そう…
春香,今更だけど、ここは千早ちゃんのお家で、７６５プロ集会所じゃ無いんだけど…
千早,最多宿泊数を誇る春香が言ってもね…
春香,私は千早ちゃんの介護を…
千早,だから、まだ介護は必要無いわよ！
美希,２位は多分ミキなの♪
千早,はぁ…
春香,はぁい
美希,来客に千早さんじゃなくて春香が出る辺り、もう春香は同居人レベルなの
千早,普段からそうな辺り、私もどうかと思うわ
美希,家主に何の許可もなく来客を上げたの
千早,もういいわ、気にしないし
春香,雪歩、到着でーす
雪歩,こんばんはぁ♪千早ちゃん、お邪魔します
千早,
雪歩,…千早ちゃん？どうしたの？
千早,この２人は最近、ただいまって来るから…そんな丁寧にうちに来た人があまりに久しぶりで…
雪歩,
春香,第２の我が家ですから
美希,なの
千早,少しは萩原さんを見習って、２人とも
雪歩,あ、そうそう…お土産買ってきたよ
はるみき,！
雪歩,ひぃ
春香,和菓子、お茶菓子の知識は日本でもトップ１０に入る、萩原雪歩さんのお土産…
美希,これは…相当に美味しい和菓子が期待されるの…
千早,あなた達…本当酷いわね、色々と
雪歩,えっと…ミスドでごめんなさい…
千早,ぶふっ
はるみき,
雪歩,ち、千早ちゃん？
千早,よ、予想外だったわ…
雪歩,はふぅ…暖かいなぁ、おこた
春香,雪歩は何でいちいち可愛いの
雪歩,えぇっ！？
美希,おこた…って、その言い方がもう可愛いの、ずるいの
雪歩,ず、ずるいって言われてもぉ…
千早,気にしないで、萩原さん。この子達はあまりに暇過ぎて変なの
雪歩,あ、あはは
春香,ところで千早ちゃん
千早,何？
春香,私ね、気になってたんだけど…
千早,だから、何？
春香,何で千早ちゃんは雪歩を未だに萩原さん
千早,えっ
春香,他人行儀だよ！だから千早ちゃんは、もっと雪歩に近付くべきだよ！親しい呼び方で呼ぶべきだよ！
千早,え～っと…
雪歩,こ、困ったねぇ、千早ちゃん
千早,ええ…
美希,千早さんは雪歩の事を何て呼んだらいいか…今決めるの！
春香,お～！
雪歩,あわわ
千早,２人共、暇なだけでしょ！？
はるみき,うん
千早,この…っ
雪歩,ち、千早ちゃん落ち着いて…でも、確かに萩原さんって、ちょっと他人行儀なのかも？
千早,は、萩原さん？この２人に感化され始めてない？
はるみき,
雪歩,ん～…そんな事は無いよ？多分
千早,多分って…
春香,エンゼルクリームうまうま♪
美希,ポンデちゃんうまうまなの♪
雪歩,(２人共可愛いなぁ)
千早,(可愛いわ)。…いけないいけない。兎に角、私は萩原さんを嫌ってるとか、そういう感情は無いわ
雪歩,そうなんだぁ…でも、何で名字で？
千早,うーん…今まであまり接点が無かったから…かしら
雪歩,なるほどぉ…確かに、私と千早ちゃんって、そんなにお仕事とか一緒にした事無かったよね
千早,今じゃお互いの家の場所も知ってるし、何度か行き来した事もあるし…
美希,千早さん！
ゆきちは,
美希,ずるいの！ミキ、まだ雪歩のお家に行った事無いの！
春香,私は何度かあるかなぁ
美希,春香は色んなアイドルのお家に泊まり過ぎなの！
春香,だって、実家が遠いんだもん！終電の時間に収録が中盤とか、最近は当たり前なんだもん！
美希,１人暮らしすればいいの！
春香,だったら部屋代とか折半して千早ちゃんの部屋に住むよ！
美希,そんなの、もうしてるようなもんなの
春香,…確かに
千早,ちょっと…
雪歩,春香ちゃん、そんなに千早ちゃんのお家にいるの？
春香,大体週１位でいます
千早,泊まりにきて３日はいるわね
美希,やっぱりもう住んでるの
千早,部屋代請求しようかしら
春香,私物持ち込むよ？
千早,服だけで既にキャリーバッグ１つ分あるのに？
春香,そんなもんじゃ済まないよ
雪歩,もう、２人で住める部屋に引っ越したらどうかな？
春香,新居か…２人の愛の巣…
千早,ど、どうしてそうなるのよ！
美希,愛の巣…素敵なの…
千早,美希！？
雪歩,愛の巣かぁ…羨ましいなぁ
千早,萩原さんまでっ！？
春香,大丈夫、介護もちゃんとしてあげる
千早,だから要介護者じゃない！ちゃんと自分でご飯作ったり掃除洗濯したり出来ます！
春香,今日の朝ご飯は誰が作りましたか？
千早,…春香
春香,泊まりにきてなかった間に溜まった洗濯物を洗濯して、そこに畳んだのは？
千早,…春香
春香,美希が来るまでにお部屋の掃除したのは？
千早,…春香
春香,まだ何かあるかしらー？
千早,参りました…
美希,雪歩、これがダメな夫と鬼嫁の姿なの
千早,誰がダメな夫よ！
春香,誰が鬼嫁か！
雪歩,ツッコミまで息がピッタリだぁ…
美希,因みにミキは、２人に甘やかされてる娘なの！
はるちは,律子(さん)に報告ね
美希,ごめんなさいなのそれだけはやめて欲しいの
雪歩,…律子さんに何をされたら、そこまでトラウマに…頭を叩かれたとか？
美希,ブレーンバスターされたの、事務所で、下は床なのに
はるちはゆき,
美希,音に気付いたハニーが飛んできて律子を止めてくれたけど…あのままだったら更なる追撃が…
千早,…律子…
春香,最近、律子さんはバイオレンス過ぎると思う
雪歩,この前、悪戯した亜美ちゃんがアイアンクローされてたけど、足が浮いてて…
春香,…律子さんが同じ性別どころか、同じ人かどうかも疑問になってきたよ…
千早,アイドルのプロデューサーとか新しい事務所とかを夢見るより、プロレスラーとかの方が現実的なんじゃ…
美希,…鬼畜眼鏡、恐ろしや…なの…
千早,まぁ…やり過ぎないように、私達も止められたら止めましょう
春香,…止められたら…ね
雪歩,うう…頑張ります…
美希,年越し蕎麦なの！
春香,蕎麦かぁ…今から打つとなると…
雪歩,春香ちゃん、何でそこから自作しようとしてるの？
千早,春香なら、蕎麦粉から蕎麦を打って、麺つゆを出汁から作りかねないわ
春香,自作が一番美味しいのです！
雪歩,あずささんとかやよいちゃんと料理番組した時は、凄かったもんねぇ…
美希,ああ、生っすかの企画のだよねー
千早,まさか放送時間の８割使って、あそこまで豪勢な料理を作るとは思わなかったわ
春香,いやー…最初は簡単に混ぜご飯(あずささん)、もやし炒め(やよい)、和のアイスクリーム(私)の予定だったんだけど…
美希,だけど？
春香,何か、皆のテンションが振り切れちゃって…あんな事に
雪歩,全部で２３品目を３人前分だっけ…
千早,ファミレスの全メニューかってレベルの品目の多さね
春香,序盤からもう訳分からなくなっちゃって…同時に３品とか作りだしたり、コンロ足りなくて足りませーん！
千早,…あれ、ゲロゲロキッチンのセットとか借りてたから、コンロだけで８ヶ所あったわよね？確か
美希,あの作り終えた後の３人の物凄く良い笑顔と、試食役の貴音の今までで最高クラスの笑顔は、何だか斜め上にキラキラしてた気がするの
雪歩,あの料理の数々、放送終わった後でスタッフさんも含めて、皆で食べたんだよね
千早,どれも美味しかったわ
美希,あの美食家のデコちゃんが、ツンデレ忘れて美味しいわ
春香,まぁ、その影で私達３人はプロデューサーさんと律子さんに怒られてたけど
雪歩,えぇ！？そうだったの！？
春香,うん。ほら、よく料理番組って、凄い沢山の素材を山積みしてて、そこから選んだりするじゃない？
美希,うん
春香,あれを以前見たらしいやよいが、ずっと疑問だった事をスタッフさんに聞いたの
千早,疑問？
春香,こほん…残ったお野菜とかお魚とかお肉は、どうなっちゃうんですかぁ？…って
美希,何で物真似したの？
千早,しかも微妙に似てる、中途半端なクオリティで…
雪歩,あ、でもやよいちゃんの疑問は分かる気がしますぅ
春香,でしょ？私もあずささんもそういえば…
千早,確かに…気になるわね
美希,良くある、※スタッフが美味しく頂きました
春香,でもほら、あまりに大量だったりするじゃない？
美希,確かに…言われてみたら、スタッフさんだけじゃ無理があるの
千早,スタッフに四条さんがいれば、疑問はなくなるんだけどね
雪歩,…否定出来ません…
春香,スタッフさんの解答としては、料理人さんがいれば、たまに調理して観覧のお客さんに振る舞われたりするらしいよ。だけど、そうじゃないパターンで、しかも調理に時間かかりまくったりする場合…物によっては鮮度が落ちたり、悪くなったりしちゃうじゃない？
雪歩,お魚とか？
春香,うん。だって、材料選んだ後も、追加だなんだって素材を選ぶ場合があるから、結局常温で放置しちゃうでしょ？野菜の一部だけは平気だけど、殆どの素材は悪くなっちゃうんだって
千早,そうなの…
春香,で、それでもスタッフさん達で調理したりして食べたりするんだけど…無理な場合は捨てちゃう事もあるんだって、そのスタッフさんは言ってたなぁ
雪歩,何だかもったいないですぅ
春香,そう、それが実は私達３人のエンジンがかかるポイントだったんだよね…
美希,どういう事なの？
春香,その話を聞いたやよいがね、そんな…あれだけあれば…無駄遣いしなかったら、私の家だったら何十日もお腹いっぱい食べられるのに…もったいないです～…
千早,高槻さん…
美希,やよい…
雪歩,や、やよいちゃん…
春香,それを見た私とあずささんがエンジンかかって…即フルスロットルに…
千早,仕方ないわ
美希,え？でも確か…あそこにはかなり食材あったよね？確か…ミキ達の司会のテーブル位の所に山盛り…
春香,やよいのお持ち帰り分(スーパーの袋満タンに２つ分)除いて、全て無駄なく使い切りました！
ちはみき,
雪歩,…す、凄いねぇ、春香ちゃん…
春香,アシスタントで来てくれた料理学校の生徒さん達にも手伝ってもらったけどねー
千早,それにしたって…
美希,で、何で怒られたの？
春香,…やり過ぎだって。あの食材の一部は、別のスタジオで次にすぐ使う予定だったらしいのと、アシスタントの方々が疲れ切って動けなくなっちゃって…
美希,あはは…
春香,あと、次の日に３人とも凄まじい筋肉痛に襲われまして…
美希,ああ…何かやよいと春香とあずさがポンコツロボットみたいだったのは、筋肉痛が理由だったんだ…漸く分かったの
雪歩,ぽ、ポンコツロボット…
春香,いや、でも実際…本当にポンコツなロボットみたいになってたよ…私はラジオだから助かったけど…
美希,やよいはオフだったの
千早,あずささんは…確かダッスレッスン…
雪歩,あのあずささんが絶望的な雰囲気だったのは、それが原因だったんだ…
春香,あ
千早,どうしたの？
春香,ちょっと思い出した事が…
美希,ああやって何の躊躇いもなくコタツから出る勇気…やっぱり春香がナンバーワンなの…間違いないの…
雪歩,それ、何のナンバーワンなの？
千早,言いたいだけよ、多分
春香,ふふふー、やっぱり残ってた！
ちはみきゆき,？
春香,今年の夏頃、千早ちゃんと美希が素麺に飽きた
ちはみきゆき,おおー！
雪歩,…って、随分余ってるね
春香,２人が大丈夫って言うから沢山買ったのに、食べた初日に素麺と大差無い
雪歩,うわぁ…
ちはみき,…
春香,なので、これを茹でてみようかなと
雪歩,あ、私も手伝うよ
春香,ありがと♪じゃあ、そこの棚から鰹節出してくれる？
雪歩,まさか…削る所から？
春香,流石に今日はそこまでしないよー
雪歩,今日は…？そして業務用サイズの削り節が出てきた…
美希,千早さん
千早,何？自分の家なのに云々なら、聞かないわ
美希,…
千早,そうだったのね…因みに、業務用サイズの削り節があったのは、今知ったわ
美希,美希はその前の、今日はそこまでやらないよー
千早,以前はやったって事よね、鰹節を削る所から
美希,…春香、凄まじいの
春香,はい、出来たよー。お蕎麦と…これが蕎麦つゆに、蕎麦湯～
雪歩,こっちは私が伊○園さんと協力して出来たお茶の元になった、雪歩スペシャルですぅ
千早,雪歩スペシャル…？
美希,あ…聞いた事あるの。確か、白雪玉露って名前の、雪歩がブレンドした特製茶葉があるって
春香,１００ｇで３５００円という、超高級茶葉にございます…
千早,さ、さ、さんぜんごひゃくえん！？
雪歩,あ、あの、もっとお手頃な価格のも発売されてて…
美希,３５００円…１００ｇで…
春香,私も最初聞いた時はビックリしたけどね。やっぱり味が違うんだよねー、普通のと
千早,飲んだの！？
美希,いつ！？
春香,え？朝から飲んでたじゃない？
千早,はぁあ！？
美希,これ！？ミキが飲んでたこれ！？３５００円！？
春香,うん
千早,緑茶色した、何か違う飲み物かと思ってたわ
春香,お茶っていったじゃ～ん…
美希,だってこれ、渋みも無ければ苦みも無いの！寧ろ、抹茶の香りな上にほんのり甘いの！
千早,信じられないわ…これが緑茶…
雪歩,玉露ベースに、抹茶とか、複数のお茶を細かくブレンドしたんだぁ♪
春香,凄いよね～♪もうなんか、普通のお茶が飲めないよー
雪歩,え～？これも普通のお茶だよ？お茶はお茶、どんな物でもね♪
春香,そっかぁ♪
千早,…
美希,千早さん
千早,何かあの２人は楽しそうだけど…
美希,１００ｇ３５００円もする高いお茶を、何にも味あわずにカパカパ飲んでたの…
千早,凄くもったいない事をした気分だわ…
美希,なの…
春香,
美希,
千早,
雪歩,
美希,何で皆して無言？
千早,この蕎麦汁が…あまりに美味しくて
春香,お腹空いてて…てへへ
雪歩,わ、私は…皆が静かだから何となく…
千早,美希、何か気になる事でも？
美希,んとね、皆は紅白観ないのかなって。去年はイベントで見れなかったし…
雪歩,うちはお父さん達が最近は演歌が少ない
千早,私は絶対に観ないわ
春香,という事で、この家では紅白は観れません
雪歩,千早ちゃん、歌好きなのに観ないの？
千早,。
みきゆき,ひぃ
千早,…語るわよ？
みきゆき,ど、どうぞ…
千早,忘れもしないわ。カウントダウンライブ前に、私だけ紅白呼ばれたでしょう？
雪歩,あ、そうだったねー
美希,千早さんによる恐怖の７６５プロ潰しが決行される前？
千早,…そうだけど、別に潰したかった訳じゃないわ。話を続けるわね。そこの控え室にいた時に紅白のスタッフ達(愚か者共)の立ち話を聞いたのよ
雪歩,スタッフの読み方が…
千早,アイドルの歌を馬鹿にするような発言の数々…私の楽屋近くで、故意か偶然かは分からないけどね。散々馬鹿にしていた上に、枕営業だとか何だとか
美希,ＮＨＫだっけ？滅ぼしに行くの
春香,恐怖に心を押し潰されるよう、出来うる限りじっくりといたぶりながら命を消してやろう…
雪歩,待って！２人とも待って！美希ちゃん！蜜柑持って何する気！？春香ちゃんも！お玉を置いて！
千早,２人とも、大丈夫よ。それでね、私も我慢出来なくて楽屋飛び出したの。で、文句言おうと思ったけど、悔しくて言葉が逆に出て来なかったの…ただ涙目で睨み付けるしか出来なかった
春香,千早ちゃんを泣かせた、と…
美希,ミキ、今の春香なら律子すら瞬殺しそうな気がするの
雪歩,基準が律子さんなのが良く分からないけど、２人とも座って！美希ちゃんは小脇に抱えた蜜柑の入ったカゴを置いて！春香ちゃんも…さっきまで持ってたのはお玉だったよね？なんでいつの間にか中華鍋に変わってるの？何する気？雪道を疾走するの？
千早,そんな時、予想外の人が現れたのよ
雪歩,誰？
千早,日高舞さん。実は、８７６プロの愛ちゃんが私と一緒に出るからって楽屋も一緒だったのよ
雪歩,へ～、愛ちゃんかぁ…あの元気な子だよね？
千早,ええ…だけど、愛ちゃんも当然さっきの話を聞いてて泣きそうになってたから、私は飛び出しちゃったんだけどね…
春香,愛ちゃんまで…そう…ＯＫ、更地にしてくる
雪歩,ひぃ！？
美希,は、春香…さ、さ、流石に閣下モードで殺意全開は、ミキでも引くの…やめてほしいの…世界が滅ぶの…
雪歩,こ、これがＳランクの本気…っ！
美希,い、今の春香なら、きっとパンチで人が血煙に変わるの…
千早,春香、座りなさいってば
春香,ヴぁい
雪歩,あぁ…一瞬で春香ちゃんが優しい春香ちゃんに戻った
美希,流石は春香の旦那なの
千早,で、日高舞さんの登場。涙目の私と、もうぐすぐすし出してる愛ちゃんを見て…そこからが恐怖の始まりよ
美希,伝説のオーガ…あの、復活後に春香との伝説のライブバトルをした…
