・一部オリジナル要素,妄想による補完
未央,きっとあれだよ。普段クールな子が涙目になって絶叫する姿が嗜虐心をそそるからだよ
ありす,えぇ・・・。シンデレラプロジェクトはやばい人の集まりなんですか？
未央,いやいや、クローネほどじゃないよ？
ありす,どういう意味ですか！？
きらり,思い返してみるにぃ。クローネのみんなのことを
ありす,な、何を・・・はっ！。ふ、文香さんは・・・文香さんはまともです・・・。
まゆ,文香さん？文香さんも何となくロリコンなのでは？
ありす,ち、違います！文香さんは決してそのような目でわたしのことを見たりなど！
未央,あー、でもただのロリコンじゃないよね。母性求めちゃってるもん。ありすちゃんに
ありす,そ、それは！いえ！仮にそうだったとしても、文香さんなら・・・
きらり,じゃあ、今度文香ちゃんに桃華ちゃんを紹介してみるにぃ
ありす,だめです！絶対！文香さんがわたし以外の人を頼りにしちゃったらどうしてくれるんですか！
幸子,もう文香さんがロリコンって認めちゃってるじゃないですか！あと、ありすさんもその発想やばいですからね！？
ありす,ぐぬぬ！
未央,じゃあ、クローネが全員やばいって分かったところで、別の話していい？
幸子,全員やばいクローネのうち、２人はシンデレラプロジェクトも兼任してますけどね・・・
まゆ,シンデレラプロジェクトも全員やばいから大丈夫よぉ
きらり,否定はしないにぃ
幸子,いや、してくださいよ
未央,まゆちゃんさぁ、またうちのプロデューサーにコンタクトとろうとしてるらしいじゃん
まゆ,あら、ばれちゃいましたぁ？うふふ
ありす,また？またとは？
幸子,結構すぐ復活しましたね
ありす,クールタチバナですので！
幸子,それ、そこまで万能な言葉じゃないですからね？
未央,いやね、うちのプロデューサとまゆちゃんのプロデューサーって同期なんだよ
幸子,へぇ。乙女心ですね
まゆ,いやだわ。お恥ずかしい
ありす,なるほど。それで今度は何をお聞きしたいんですか？
まゆ,プロデューサーさんの交友関係
ありす,こわっ！
幸子,怖いですよ。何でしゃべり方もちょっと変わるんですか
未央,あれ？でも逆に知ってそうなもんだけどね。ストーキングとかして
ありす,こわっ！
幸子,怖いですよ。何で普通のトーンでその返しができるんですか
まゆ,最近お仕事が忙しくて。学校のお勉強もおろそかにしたらプロデューサさんに嫌われちゃうから
きらり,そっかぁ。それであんまりストーキングできてないんだね
まゆ,えぇ。わたしが知らない間に変な女がプロデューサーさんにちょっかいかけてたりでもと考えると、心配で心配で
幸子,悩み事の内容自体は恋する乙女なのですが・・・
ありす,ストーキングできてないってなんですかそれ・・・。やばすぎですよ・・・
未央,でも、うちのプロデューサーって同期といえどそのあたりのこと知ってるのかなぁ
きらり,そうだにぃ。Pちゃんってあんまりプライベートではお友達と会ったりしなさそうだにぃ
幸子,ひどい言いようですね
未央,そうそう。仕事も忙しいだろうし、プライベートでも道端で可愛い女の子を見つけては声かけてそうだし
きらり,で、任意同行
未央,それな
幸子,そうまでして集めた子達にこんなこと言われるって悲しいですね
まゆ,でも一応聞いてみようと思います。他に聞ける人もいませんし
未央,まぁそうだね。もしかして同期と話すときはウェーイとか言ってるかもだし
きらり,で、同期と一緒に合コンとかして、女の子をお持ち帰り
未央,それな
まゆ,あ？
未央・きらり,すんません。調子乗りすぎました
ありす,よわい
幸子,謝るくらいなら最初から言わなければいいですのに・・・
未央,でも真面目な話、うちのプロデューサーに話聞きたいなら時間とるように言っとくよ？
まゆ,うーん、でもお仕事お忙しいでしょうし。なのでお時間ありそうな時にお声掛けさせていただけたらと思ってるので
幸子,通常時はこんなに良識人なのに
きらり,でも、手遅れになっちゃうかもだにぃ
まゆ,早速今日この後お時間空けて頂かないと、お前のシンデレラプロジェクトから２人姿が消えるぞと伝えろください
ありす,プロデューサーさんが絡むと何でこんなことに
未央,あ、はい。早速電話いたします
きらり,すぐご案内しますので、少々お待ちを
ありす,よわい
幸子,謝るくらいなら最初から煽らなければいいですのに・・・
未央,・・・じゃぁ今から行くね！佐久間さん！今から大丈夫だそうです！
まゆ,では、行きましょうか。お二人は人質ですので一緒についてきてくださいねぇ
きらり,あ、はい
ありす,では心配ですのでわたしたちも行きましょうか
幸子,そうですね。ふっふーん！カワイイボクがついていってあげるだなんて、みなさんラッキーですね！
まゆ,そうね笑
幸子,それ、明日も同じ感じだとほんとに泣きますからね？
まゆ・きらり・未央・ありす,え///
幸子,なんでみんなでときめいてるんですか！！
カフェ店員のウサミン星人,結局全員やべぇ奴じゃねぇか
