本田未央,……あっ、もう4月なんだ……
奈緒,いやいや。凛も、真面目で、周りを見ないところがあるからなあ……あーあ、あたしが早く卯月に言ってあげられたら良かったんだけどなー。誰かさんが途中で余計な口挟むから
加蓮,いやー、ごめんごめん。私も、凛がそこまで本気にしているとは思わなくて、つい……
卯月,ど、どうしましょう……凛ちゃん、さっきも走ってどっかいっちゃいましたし……
美優,卯月ちゃん。嘘はあまり良くないけど、エイプリルフールだから、仕方ないですよ……
楓,でも、凛ちゃんも意外と純情なんですね。1億だから、じゅうのじゅんじょう10の10乗
幸子,楓さんもだいぶ動揺してますね……10の10乗は100億ですよ……ひゃ、100億円……！？
未央,いやいや、さっちーも落ち着いて
乃々,お手洗いからの、もーどーりぃー……
卯月,乃々ちゃん、凛ちゃん見なかった？
乃々,凛さんなら、もりくぼがお手洗いに行く途中に、屋上へ上がっていくのを見ましたけど……
卯月,乃々ちゃん、ありがとう！
乃々,えっ？
未央,あっ、しまむー！
卯月,凛ちゃん……
凛,……
卯月,凛ちゃん、さっきは……
凛,うづきのばかっ
卯月,……
凛,卯月が冗談を言うなんて思わなかった……私、ほんとに心配してたのに……。卯月の方が年上だし、意外としっかりしてると思ったけど……おっちょこちょいで、すぐ人を信じちゃうから、悪い人に騙されたらどうしようかって……。エイプリルフールだって気付かなくて、本当に心配した私、本当に馬鹿……
卯月,そんなこと、ないよ……
凛,……え
卯月,私、知ってますから。凛ちゃんは優しい、真面目な人だから。凛ちゃんは、ばかじゃないです
凛,……
卯月,私のために、そこまで心配してくれたのは、本当にうれしかったです。本当の馬鹿は私です。嘘をついて、本当にごめんなさい
凛,……
卯月,……
凛,もう、卯月……。……じゃあ、こんど
卯月,……？
凛,……今度、うちに遊びに来て。お互い、最近忙しくて、外であんま遊んでなかったじゃん。お母さんも、お父さんも、卯月に会いたがっていたし……ハナコも、卯月に、会いたいって、感じ、だった、し……だから……
卯月,うん！
凛,……卯月
卯月,今度、凛ちゃん家に遊びに行くね。ハナコちゃんと凛ちゃんで、またお散歩したいな！
凛,うん！
卯月,でも……。みんなや、凛ちゃんには迷惑をかけちゃって悪いけど……。みんなから、楽しい話もきけたし……。それに凛ちゃんの色んな顔まで見れた上に、近いうちに凛ちゃんの家に遊びに行けることができるなんて……。また来年、私、嘘、ついちゃそう……
林原さんが新人の頃、エイプリルフールの日にアニメの収録スタジオで,宝くじで凄い金額が当たった！
あとで林原さんがネタばらしをして、他の共演者の方は笑っていたそうですが、山寺さん一人,そう言う嘘つくって信じられねえ！
林原さんも,山寺さんって本当に良い人だな
