二宮飛鳥,ほう
梨沙,え？
飛鳥,ちゃんと居場所も伝えてあるんだ。キミが行っているのは秩序に基づいた抵抗……5日くらい家を空けたって、問題はないだろう
梨沙,……そうかしら
飛鳥,多分ね
梨沙,そこははっきり言い切ってほしかったなあ
飛鳥,この世に絶対なんてないからね。断定はできないさ
梨沙,……ぷっ
飛鳥,？
梨沙,アンタって本当に、いつでもどこでもその調子なのね。改めて実感したわ
飛鳥,自分がマイノリティに属することは自覚しているよ
梨沙,そうね。……でも、アタシはそれ、いいと思う。それだけ。おやすみっ
飛鳥,……あぁ、おやすみ
目覚まし時計,ピピピピピ
梨沙,ふわぁ……朝？。……なによ、まだ6時じゃない。飛鳥、6時半に起きるって言ってたのに……時間のセット間違えたのかしら。目覚ましは飛鳥の枕元かー。止めに行くのめんどくさいなあ
飛鳥,………
梨沙,あ、布団から手が生えてきて目覚まし止めた。というか、飛鳥って布団を頭までかぶって寝るタイプなんだ
飛鳥,……う
梨沙,顔が出てきたけど目が死んでる
飛鳥,う、う
梨沙,電池が切れかけのロボットみたいな動作で布団から這い出てきた
飛鳥,うう……あ、さ……？
梨沙,普段とのギャップがすさまじいわね……
飛鳥,おはよう梨沙。朝だよ
梨沙,アンタ朝弱すぎでしょ
飛鳥,見ていたのかい？少し恥ずかしいね
梨沙,6時半に起きるって、まともに動けるようになるまでの30分も入れての話だったわけね
飛鳥,そういうことだ。醜態を晒してすまなかった
梨沙,別に？ゾンビ芸見てるみたいでなんか面白かったし
飛鳥,ふむ、ゾンビときたか。小梅にでも披露したら喜ぶだろうか
梨沙,はしゃぐんじゃない？多分ね
晴,へえ、じゃあ今は飛鳥の部屋に泊まってんのか
梨沙,これもシャカイベンキョーの一環ってやつ？あえて親元を離れることで学ぶこともあるっていうか？
ありす,……一理あるかもしれませんね
仁奈,梨沙おねーさんは大人でいやがりますね！
梨沙,ふふ、それほどでも……あるわよ！
飛鳥,都合のいいように事情を改変しているね。同年代や年下の子達に素直に説明するのは気が引けたのだろうか
P,飛鳥、ちょっといいか？梨沙のことで話があるんだが
飛鳥,Pか。昨日はいきなりサプライズを押しつけてくれたね
P,すまん……俺も忙しくて、他に適任が思いつかなかったんだ。結局電話1本よこすことしかできなかったのは反省している
飛鳥,まあ、過ぎたことだ。これ以上は何も言うつもりはないよ。今は過去よりも未来を語るべき。そうだろう
P,……そうだな。隣の部屋に来てくれるか。梨沙のお父さんとはじっくり話したよ。もともと仲良くさせてもらっていたから、いろいろ聞かせてもらえた
飛鳥,それで、あちらの反応は？
P,お父さんとしても、いつもより対応を控えめにしたという自覚はあるらしい。梨沙ももうすぐ中学生なんだから、お互いに少しずつ親離れと娘離れをしていかなければいけないって
飛鳥,なるほど。確かに、中学生になっても父親にべったりの女の子はそうそう見ないね。かといって、別に世間一般の風潮に合わせる必要もないとボクは思うけど
P,でも、いつかは独り立ちしなくちゃいけない日が来るのも事実だろう？
飛鳥,……あぁ
P,お父さんの方は、できればそちらで預かってくれないかと言っている。その間に、これからのことを落ち着いて考えておきたいとのことだ。梨沙にとっても、一度父親と距離を置くのはいい機会になると思う。だから、飛鳥さえよければ
飛鳥,いいよ。あと4日間、期限まで彼女を預かる
P,ありがとう。お礼は必ずするから
飛鳥,そうだね。何をしてもらうか考えておこう
P,……あんまり無茶なお願いはやめてくれよ？
飛鳥,安心しなよ。ちゃんとできる範囲にするから
P,えらくウキウキだな
飛鳥,寮に戻る前にコンビニに寄ろう
梨沙,何買うの？
飛鳥,目についたものを適当に
梨沙,なにそれ
飛鳥,マイブームなんだ。コンビニ巡りが
梨沙,ふーん。そういえば前にもそんなこと言ってたわね
飛鳥,キミもいることだし、お菓子やジュースを買っておこうか
梨沙,おごってくれるの？
飛鳥,このくらいのことでわざわざ割り勘を要求したりしないさ
梨沙,前から思ってたけど、飛鳥って結構面倒見いいわよね。一匹狼っぽいキャラなのに
飛鳥,どうだろうね。最近は、キミ達のような小さい子の相手をするのも楽しいと思い始めている
梨沙,む、アタシはみんなよりオトナよ、オ・ト・ナ！
飛鳥,これは失礼した
梨沙,なーんか引っかかる言い方ね……あ、ねえねえ。このスナック初めて見たけどおいしそうじゃない？
飛鳥,ん？あぁ、それか。結構人を選ぶ味だから、食べるならそこを踏まえておいた方がいい
梨沙,へえ、じゃああっちのジュースは？
飛鳥,少々甘みがしつこい以外は概ね良好だ。甘党なら気に入るんじゃないかな
梨沙,じゃああのクッキー
飛鳥,苦い。以上
梨沙,雑っ！？……でも詳しいわね。さすがコンビニめぐりが趣味の女
飛鳥,今やコンビニはボク達の生活に深く深く根ざした存在だ。すなわち、コンビニを笑う者は
梨沙,コンビニに泣くって言うつもり？
飛鳥,息絶える
梨沙,物騒すぎるでしょ。うん。ここの食堂、晩ご飯も結構イケるわね
飛鳥,口に合ったようでよかった
梨沙,もぐもぐ……うっかり食べ過ぎないようにしないとね。太ったりしたら大変だわ
飛鳥,しっかりしているね。いい子だ。ボクのハンバーグ、一口どうだい
梨沙,くれるの？じゃあこっちもお魚あげる。本棚に難しそうな本しかないんだけど
飛鳥,読んでみると意外と面白いものも多いよ。これなんかどうだい？200ページでさらりと読める小説だ
梨沙,やだ、漫画がいい
飛鳥,それは残念だな。漫画は本棚の奥の方に置いてあるから、自由に読んでかまわないけど
梨沙,どれどれ……あ、ほんとだ。ハガレンがある。アタシ途中までしか読んでないのよねー
飛鳥,へえ、どこまで？
梨沙,大佐と部下が離れ離れにされるところまで。……ネタバレしないでよ、絶対
飛鳥,そんな意地の悪い真似はしないさ
梨沙,ならいいけど♪。うーん……わかんない
飛鳥,社会の宿題か
梨沙,戦国時代ならこの前のイベントで勉強したからわかるのになあ。室町時代の文化なんて知らないわよ
飛鳥,どれどれ……あぁ、義満の時代に栄えたのは北山文化だね。金閣は知っているだろう？
梨沙,全身金ぴかのお寺でしょ？あれを建てたのが義満？
飛鳥,その通り。3代将軍足利義満。当時の中国だった明との貿易を盛んに行い始めた人物でもある
梨沙,へえ……あ、今の話、次の問題の答えになってる。飛鳥って勉強できるのね
飛鳥,中学生ならこのくらいは普通さ。それなりに真面目に授業を受けているのは否定しないけど
梨沙,そうなんだ。アタシの中のイメージだと、飛鳥って窓際の席でぼーっと外を眺めてる感じなのに。ふっ、学校で習う授業なんてくだらない……みたいな
飛鳥,くだらないかどうかは、まずちゃんと授業を受けてみないとわからないだろう？早い段階で判断できるほど、ボクは成熟していないしね
梨沙,おお、真面目だ。じゃあじゃあ、次はここ教えてよ
飛鳥,なんでも人に聞くのは感心しないよ
梨沙,社会だけでいいから、ね？
飛鳥,仕方がないな……。それからも、ボクと梨沙の同居生活は特に大きな問題もなく進行した。梨沙は朝に強いらしく、だいたいボクより先に目を覚ましてテキパキと動いていた。一緒に朝食をとり寮を出て、別々の学校へ向かう。授業が終われば各々事務所へ向かい、顔を合わせる。夜に帰寮し、夕食と入浴。残った時間で宿題をしたり、ゲームをしたり、他愛のない会話に興じたり。独りでいることが多かった夜の時間が騒がしくなって、悪い気分ではなかった。そして、迎えた5日目の夜。今日でキミと過ごす夜も一区切りか
梨沙,そうね……5日もいたら、なんかここに帰るのが当たり前になっちゃった気がする
飛鳥,でも、キミの本当の家はここじゃない
梨沙,……ねえ飛鳥。聞きたいことがあるんだけど、いい？
飛鳥,なんだい
梨沙,……12歳にもなってパパにべったり甘えるのって、変なの？
飛鳥,……どうしてそう思った？
梨沙,だって、周りの子はそんなことないし。パパの態度がちょっと変わったのも、そういうことなんじゃないかって。本当は、なんとなくわかってるのよ。だっこやおんぶをしてくれなくても、頭を撫でてくれるだけで十分愛されてるって。でも、アタシは寂しい。だから……よく、わかんなくなってきちゃった
飛鳥,そうか。Pならともかく、ボクにここまで赤裸々に語ってくれるとはね。ある程度信頼してくれているということかな……だとしたら、応えてあげたいと思うのは当然だ。言えるだけのことは言ってあげよう。いいじゃないか。寂しいなら寂しいと父親に直接言えばいい
梨沙,でも……
飛鳥,怒られたり嫌われたりするのが怖い？
梨沙,………
飛鳥,……あまり無責任なことは言えないけど、ボクは心配いらないと思うよ
梨沙,どうして？
飛鳥,キミが父親に愛されているからさ。普段からキミ自身やPからさんざん聞かされているんでね。子どもというのは、多少のわがままが許される存在だ。だったら、その特権を存分に利用してやればいい。だから、納得できるまでじっくり話し合えばいいんだ。少しは喧嘩になったりするかもしれないけど、きっと最後にはうまくいく。ボクも、アイドルになることを決めて上京する時にはそうだったから
梨沙,そうだったの？
飛鳥,娘が突然スカウトされたから東京に行きたいと言い出したら、大抵の親は反対するさ。ボクが親だったとしても正直悩む。新しい何かを求めてアイドルの道に進みたいと願ったボクは、当然父と対立した。それでも口論を繰り返した後、最後にはボクのわがままを聞いてくれた。毎週近況報告を必ず行うことを条件でね
梨沙,………
飛鳥,だから、梨沙もそうすればいい。多少の抵抗は、人生に必要なスパイスみたいなものさ
梨沙,……ありがと。なんとなく、元気出てきた
飛鳥,それはなにより
梨沙,明日帰ったら、ちゃんとパパと話し合ってみる
飛鳥,……うん、いい笑顔だ。それから後の話を少しだけ。実家に戻った梨沙は無事父親と仲直り。今日もパパがどうだと騒がしい。今まで通り甘えさせてもらいながらも、少しずつ親離れができるように心の準備をしているようだ。Pと梨沙の父からは感謝の言葉をもらった。当初の約束通り、Pにはお礼として一日デートに付き合ってもらった。あとは――
梨沙,飛鳥ー。ハガレンの20巻どこー？
飛鳥,本棚の左奥
梨沙,あ、あった！
飛鳥,たまに梨沙がボクの部屋に泊まりに来るようになった。本人いわく、ハガレンをタダで読めるから、だそうだ。ただ……わざわざ来なくても貸してあげようと提案しても、却下されるのはなぜだろうか。なんとなく想像はつくけど、本人が素直に言うまでは黙っておこうと思う
