※このすば2期にあった,アルカンレティア
カズマ,だったら、ここで待っててくれ。アクア達を見つけてここに戻ったら、一緒にアクセルの街に帰ろう
ウィズ,………分かりました。カズマさんもお気を付けて
カズマ,あぁ。ありがとう、ウィズ。さてと、外に出てる奴らで話し込んでるのを見つけて聞き耳ｗ信者たち。おっ、さっそくいたな。そっと近付いて陰から…
信者1,おい、聞いたか？例の…捕まえたらしいぜ
信者2,ほんとか！？
信者1,あぁ
カズマ,捕まえた…？
信者3,宿屋に居たところを見つけ、駆け付けた集団で外から猛抗議して、それから逃げ出したところを取り囲んで捕まえたって話だ
カズマ,宿屋！？ウィズによれば、外が騒がしく、アクア達は慌てて出て行った……つまり、アクア達が居なくなったのはここの信者たちから逃げる為だったのか！。んで、捕まったって事は、アクア達は信者たちによってどこかに監禁でもされてるのか…？
信者2,そうか…。俺も行けばよかったな
信者1,まっ、そう落ち込むな。
信者3,そうそう…あの女神アクア様を名乗る不届き者に憎きエリス教信者、ついでに紅い眼をした奴…あいつら、早朝に処刑されるらしいぜ
カズマ,な、なんだとぉっ！！？
信者2,そうか…。処刑かぁ…
信者1,まっ、元々不届き者に魔女狩りは当たり前だな
信者2,他は？
信者3,分かってるけど、あのおぞましいエリス教信者だからこそ殺るつもりだと。んで、紅い眼の奴はついでらしい
カズマ,紅い眼……めぐみんってついでなのかよ…。
信者2,ついで、で処刑なんて可哀想だね
信者1,まぁ、決まった事はしょうがない
カズマ,やっぱ胸騒ぎは当たってた！。早朝になる前に、早くアクア達を救出しないとな
信者2,で、今捕まった奴らはどこにいるんだよ？
信者3,話だと、アクシズ教会の地下室に入れられたみたいだ
信者2,じゃあ、今は教会の地下室に居るって事ね
信者1,いやぁ～、これで一安心一安心だな
カズマ,チッ、安心じゃねぇよ。まっ、ひとまずアクア達の監禁場所は分かったし、急いで教会に向かうか
アクア,うぅ……なんで私がこんな目に……
めぐみん,アクアだけじゃありませんよ。私やダクネスだっｔ
ダクネス,こ、これが地下牢に入れられる者の感覚か…///うん、イイ?
めぐみん,って、ダクネスはなぜ、こんなにも楽しそうなんですか！？
ダクネス,あぁ…めぐみん。すまない。私としたことが、こういう事は初めてと同時に憧れてもいたから嬉しくてついな…
めぐみん,憧れたくもありませんし、嬉しくもありませんよ、私は！！。おまけに頑丈な手錠までされて、身動きが取れないなんて最悪です！？
アクア,私の可愛い信者達だから話し合えば分かると思ったのに、無視された上に偽者扱いってのも最悪よぉーー！！
ダクネス,いや、アクアのは自称だろ？ただ、偶然にもアクシズ教のご神体と名前が同じってだけだろ？
アクア,いやいや、私はれっきとしたアクシズ教の女神アクアなんですけど！？
めぐみん,まったく、その大嘘のせいで私やダクネスも巻き込まれるように一緒に捕まった挙句こんなところに入れられてこうして手錠で繋がれたんですよ！！
アクア,だから、大嘘じゃないわよ！？
めぐみん,まだ言いますか！！？。大体、アクアｈ
ダクネス,おい、今は言い争いをしている場合じゃないだろ！！
アクア・めぐみん,……そうね……そうでした
アクア,言い争う暇があるならさっさとここから脱出する術を考えないとね
めぐみん,私の爆裂魔法があれば……と、言っても肝心の杖を奪われてはどうにもなりません
アクア,私だって杖を奪われてるから、どうにもならないわよ
ダクネス,私だってそうだ。剣を奪われてる……だが
アクア,だが？
めぐみん,なんですか、ダクネス？もしや、ここから脱出する術を思い付いたのですか？！
ダクネス,術というか、ここから出られる見込みはある
アクア,どういうこと？
ダクネス,あいつだ。私たちにはまだあいつという頼りが残ってるだろ
めぐみん,あっ、それってもしや！？
アクア,あぁ！もしかしてカズマ？！
ダクネス,そうだ！！。カズマならきっと私たちに何かあった事を察して、探しに来るだろう。いずれ、ここを嗅ぎつけてやってくるに違いない
めぐみん,おぉぉーーー、カズマが来てくれる！！ならば、カズマの助けを信じて、今しばらくジッと堪えましょう
アクア,えぇ～、でもあのヘタレで、ヒキニート…本当に私たちを助けにきてくれるのかしらね？
ダクネス,おい、アクア！仲間を信じないのは良くないことだぞ。どんな時でも仲間の可能性を信じる……じゃなきゃカズマが可哀想だ！
アクア,はぁ～、分かったわよ。信じる、カズマさんの事、信じるわよ！
ダクネス,よし、それでいい
カズマ,あれがアクシズ教会だな…。だけど…。信者の奴らが教会の周りをウロウロしてるな。もしや、見張りか？だったら、アクア達が地下室に居るのは間違いないな！。さて、どうやって行こうやら……んっ？。おっ、こんな近くにダイナマイトがあるとは意外だな！。だけど、これは使える……
信者A,ふっふっふ♪
めぐみん,えっ、いきなり入ってきましたよ！？なんですか！？
信者B,うんうん、いいねぇ♪
ダクネス,なんだ……こいつらのこの好奇な視線に顔付きは！？///
信者C,やりがいはありそうだな
アクア,えっ、や、やりがいって何よ！！？
信者A,お前らはどうせ早朝に処刑が決まってる
信者B,で、どうせ最期なら、いっそ早朝まで俺らを…
信者C,楽しませてくれよ～
めぐみん,ま、まさか！？///
ダクネス,はぁはぁ…この台詞といい視線といい……まさにやらしい事を考えてるな、こいつら??
アクア,ちょっ、ヤバいですけど！！？このままじゃマジでヤバいんですけど！？
信者A,覚悟しろぉ～、ニセ女神に憎きエリス教徒、そしてついでよぉ
アクア,に、偽者じゃないし、それにこっちに来るんじゃないわよ！？
信者B,イイ身体をした美人の女…はぁはぁ
ダクネス,わ、私は屈しはしないぞ！体がどうなっても心まではどうにもできまい！！///
信者C,ついでのお嬢ちゃんは、楽しませてくれるんだろ
めぐみん,お、おい、ついでとはどういう事か、聞こうじゃないか！？
信者たち,フフフッ♪
アクア,ま、不味いわ、このままじゃ…！？
ダクネス,シチュエーションは良いが、同時に不安もある…どうしたことか
めぐみん,早く来てください！！助けてください……カズマ！！
信者たち,っ！？
アクア・めぐみん・ダクネス,っ！！？
信者A,なんだ、この爆発音は！？
信者B,知らん！近くで何かあったのか？
信者C,敵襲だと！？何が起こったんだ！？
アクア,なによ、なんなのよ一体？
ダクネス,分からん。だが、何か爆発音が聞こえ、敵襲だと騒いでるなら、こいつらにとって害になる存在が現れたという事か
めぐみん,…………もしかして
信者A,なんだ？！
信者B,地下室の壁を、何者かが壊したんだ？！
信者C,おい、煙の中に誰か立ってるぞ！？
アクア,けほけほっ！だ、誰？
ダクネス,煙で見えないが…
めぐみん,あ、あれは、まさか…
カズマ,やっぱ、ここに居たか！助けにきたぞ！！
アクア・ダクネス・めぐみん,カズマっ！！！
信者A,な、なんだ、こいつ…
信者B,あーー、この男…こいつらと一緒に居た奴だ
信者C,チッ。こいつらの仲間が助けに来たって訳か
カズマ,あー、悪いんだけど、アクア達は返してもらうよ
ダクネス,やっぱり私の思った通り、助けに来てくれたか、カズマ！
めぐみん,信じていましたよ、カズマ！貴方が見捨てずに、ちゃんと助けにきてくれることを！
アクア,カズマさぁ～ん！早く、手錠を解いてよおおぉーー！！
カズマ,はいはい。しっかりと助けに来たし、手錠も解いてやるよ
信者A,って、させるかぁ！
信者B,お前も捕まえてやる
信者C,覚悟しろ
めぐみん,あっ、カズマ、後ろ！？
カズマ,分かってる。クリエイト・ウォーター
信者たち,うわぁ！！
カズマ,フリーズ
信者A,くっ、足が凍り付いて動かない！？
信者B,スキルかよ！厄介だな
信者C,誰かの足の氷をなんとかしろ！！
カズマ,しばらく、そうしてろ。はい。解けたぞ
ダクネス,助かったぞ、カズマ
アクア,流石ね。やるじゃないの
めぐみん,カズマァッ！！
カズマ,おわっ、どうした！？
めぐみん,ありがとうございます、ありがとうございます、カズマ！
カズマ,そんなに強く抱き着かなくても分かってる。とりあえず、ここを出るぞ！外に出たら、このままアルカンレティアを脱出だ
アクア,待ちなさい！その前に私の杖を取り戻さないと
ダクネス,そうだ、私も剣を奪われたままだ
めぐみん,そういえば、私も杖を…
カズマ,杖二つと剣一つって……これか？
アクア,あぁーー、それよ！
カズマ,途中で見つけたから、回収しておいたぞ
ダクネス,でかした！流石は私が見込んだ男だ
めぐみん,一度ならず二度も！私はカズマが仲間で良かったと改めて思いましたよ
カズマ,はいはい。それはどうも…
めぐみん,はぁはぁ、ここを抜ければ外ですね
ダクネス,だが、どんどん追いかけて来るな
アクア,なんで私が信者相手に逃げ回らないといけないの！！私、女神なのぃ～！
カズマ,誰も信用しない上、偽者扱いされてんだから仕方ねぇだろ！
ダクネス,まずい、前に人が！
めぐみん,ならば、私の爆裂魔法ｄ
カズマ,いや、教会の中で爆裂魔法はダメだ！ここはアクアのクリエイト・ウォーターだ
アクア,えぇ～、でも私の可愛い信者！？
カズマ,いいからやれ！また牢屋に逆戻りでもいいのか？
アクア,わ、分かったわよ…。ごめん！クリエイト・ウォーター！！
めぐみん,おぉーー、道が開けましたよ！。やっと外ｎ…！？
ダクネス,なんと外にたくさんの人が！？
カズマ,きっと外の見張りと残りの住人が集まってきたんだ
アクア,囲まれたわね
めぐみん,どうしますか、カズマ？
カズマ,そうだな…
ダクネス,むっ？
めぐみん,あれ？
カズマ,この声は…。ウィズ！
アクア,ええぇぇーーー、クソアンデッド！？なんで、アンタがここに！！？
ウィズ,あ、アクア様にめぐみんさん、ダクネスさん、無事だったんですね
カズマ,あぁー、無事だ！
ダクネス,どういう事だ…なぜウィズが？
めぐみん,さぁ…。ですが、カズマだけは居る事を知っているようですね
カズマ,宿で待ってろって言ったのに…なんでここへ、しかも馬車に乗って？
ウィズ,わ、私だけ待ってるのも申し訳ないと思いまして…せめて、すぐにでも帰れるよう乗ってきた馬車を探して見つけ、こうして来た訳です
カズマ,そうか…。まぁ、何はともあれ助かった。よし、ウィズ、ひとまず馬車を俺達の近くには寄せず、このまま入口の方角へ向かって走らせてくれ
ウィズ,えっ、ですが…？
カズマ,いいから頼む
ウィズ,……分かりました
カズマ,じゃあ、あの馬車まで行くぞ。乗ったら、一気にこの街から脱出だ
めぐみん,ですが、カズマ。行くと言われても入口の方角へ向かう馬車まで追いつくのは難しいですよ…
アクア,大体、なんであんなクソアンデッドの乗る馬車になんか…
カズマ,あの馬車に乗ってこの街から脱出しないと、また地下室に戻されるぞ？それでもいいのか？
アクア,うぅ～……
ダクネス,で、カズマ。どのようにして、馬車まで行くんだ？まさか、全速力で走り抜くのか？
カズマ,いや、いい考えがある。
アクア・めぐみん・ダクネス,えっ？
カズマ,まずは、めぐみん、爆裂魔法を放て。ただし、少し離れた場所にな。後、なるべく爆風が良く当たるよう頼むぞ
めぐみん,フッ、いよいよ我が爆裂魔法の出番ですか…。ただ、気になりましたが、なぜ人に当たらないよう、ただし爆風は良く当たるよう…というのは一体？
カズマ,すぐ分かるさ。とりあえず、頼んだぞ。次はダクネス、お前の腕力でアクアを持ち上げ、少し高くアクアを上に投げてくれ
ダクネス,なにっ、どういう事だ？
アクア,ちょっとぉ、なんで私が上に投げられないといけないのよっ？！
カズマ,いいから、これも作戦だ。で、アクア…投げられて上に居る間にすぐ身に付けてる羽衣を大きく広げろ
アクア,へっ、羽衣？でも、なんで？？
カズマ,いいから。とりあえず、ここまで説明したけど、後はアクアが羽衣を広げた後ですぐ指示するから、言われた通り頼んだ
めぐみん,行きますよ。エクスプロージョン！！
カズマ,今だ、ダクネス
ダクネス,あぁ。アクア、今から上に投げるが、これもカズマの作戦だ。我慢してくれ
アクア,う、うん…。
ダクネス,！………そりゃあ！！
アクア,ヒイイィィィーーーー！！？
カズマ,アクア、今だ！羽衣を大きく広げろ！！
アクア,ヒィィィーーー！！。えっ！？
カズマ,よし、成功だ
めぐみん,なんですか、アレ！？アクアの私物が膨らんで…それのおかげか、落ちずにゆっくり浮いてますよ！？
ダクネス,どういう事だ？
カズマ,説明は後だ。ダクネス、次の指示だ。俺とめぐみんをアクアの居る位置まで投げてくれ
ダクネス,何かは知らんが、分かった。！……とりゃあ！！
カズマ,うおおぉぉーーーっ！！？
めぐみん,す、凄い風です！カズマにしっかりしがみ付いてないと100％落ちますね！！
カズマ,よし、ひとまずいいな
めぐみん,ここは…アクアの膨らんだ私物の上ですね…。はぁ、落ちる気配はなさそうですし、このまま休みますね
カズマ,あぁ、休んでろ
アクア,ちょっと、カズマ。ダクネスはどうするのよ？
カズマ,そうだったな
ダクネス,おーーい、私はどうするんだ？
カズマ,心配するな。一応拝借しておいたロープで……。バインド！
ダクネス,おっ！
カズマ,成功。ダクネス、今から引き上げるぞ
アクア,バインドを使ってダクネスを縛り、予め手に持っていたロープの先端で引っ張り上げるのはいいけど、アンタの力だけでダクネスは持ち上がるかしらね？
カズマ,持ち上げてやるよ！よいしょ！！
ダクネス,あぁ……イイ?この締め付けといい、縄の硬さで肌に食い込み痛みといい……最高だ///
めぐみん,ダクネスは、変わらず快感に酔いしれてますね
カズマ,ふぅ～。これでいいだろう
めぐみん,よく持ちあがりましたね。ダクネスは、少々重いのに
ダクネス,お、重いは止めろ！？
カズマ,一応、パワーはあるし、これくらいはな。じゃあ、ダクネス…ロープを解くぞ
ダクネス,待ってくれ、カズマ！せめて、もう少しだけこのままにしてはもらえないか？
カズマ,まだ楽しむ気か？
ダクネス,うむ…///
アクア,ってか、カズマ！ずっと浮いたままじゃラチあかないし、そろそろ指示を出しなさいよ
カズマ,そうだった。んじゃあ、ウィズが乗ってるあの馬車まで飛んでいくんだ！
アクア,あぁ～、成る程。カズマの作戦って気球のように空を移動するって事だったのね
カズマ,その通りだよ
めぐみん,ききゅう？
ダクネス,なんだ、それは？
カズマ,あぁ、この世界には気球なんてなかったな。あのな…。気球ってのは俺が住んでた国に存在する乗り物だ。風船といって空気をいれた物を使って空を飛ぶんだ
めぐみん,ほぉー、そういう乗り物があったとは…
ダクネス,だが、空を飛んだような感覚になれていいな
アクア,馬車は見えるし、こっちの方角で合ってるわよね
カズマ,あぁ
アクア,それにしても、あの場で良く気球の作戦を思い付いたわね。めぐみんの爆裂魔法による爆風とダクネスの腕力で高くあがった分の落下の勢いで私の羽衣が膨らみ、膨らんだ羽衣が気球の代わりとしてカズマ達を運んで空から移動する……見事ね
カズマ,まぁな。前にアクアの羽衣に触れた事もあったから、その時軽くて風で飛びそうだって思ったのを思い出して、作戦に用いた訳だ
めぐみん,見て下さい、アクシズ教の信者たちを
ダクネス,お～、これは大慌てだな、あいつら
カズマ,いいか？あの馬車に上手く乗るよう、調節しろ
アクア,分かってるわよ。任せなさいって！
ウィズ,カズマさぁ～ん！！
アクア,………正直、あんな奴のとこに降りたくないんですけど…
カズマ,このままアルカンレティアを出る手段はあの馬車だけだ。我慢しろ
アクア,はい。到着
めぐみん,ふぅ～。ようやく一息付けそうですね
ダクネス,はぁはぁ…。だが、良い体験をした。これもまた貴重だな///
カズマ,疲れたぁ～。もう魔力も体力も底をつく寸前だ…
ウィズ,その…何があったかは存じませんが、お疲れ様です
アクア,で……なんでクソアンデッドがこんなとこに居んのよ？
ウィズ,あ、えぇと、それは……
めぐみん,えっ、そのような事が！？
ダクネス,それは大変だったな。だが、ウィズも良くここまで頑張れたな。今は平気なのか？
ウィズ,平気ではありません。遂に限界がぁぁ………
めぐみん,って、ウィズが消えかけてますよ！？
カズマ,ヤバい。アクアの余波を浴びたのに、更に無理して動いたから余計な負担が掛かったんだな
アクア,だったら、私がここで引導を渡しｔカズマ止めろ！！
カズマ,後、アクア、お前の魔力借りるぞ
アクア,な、なによ、急に！？
カズマ,ドレインタッチ！
アクア,ひえええぇぇーーーーーーーっ！！？
ウィズ,…
ダクネス,おっ、正常に戻ったようだな。
ウィズ,う、う～ん……あれ？
カズマ,目が覚めたか？
ウィズ,カズマさん…。私は？
カズマ,ドレインタッチでアクアの魔力をウィズに流したから、もう安心だ
ウィズ,そうなんですか！その…ありがとうございます。
カズマ,いいって別に
アクア,ちょっとぉ、なんでよりによって私の魔力をリッチーなんかに！？
カズマ,別にダクネスでも良かったけど、お前が引導を渡すなんて言うから、お前を止めるついでにな…。
アクア,つ、ついで！？なんでついでで私の魔力が…！？
ダクネス,まぁまぁ、落ち着け…アクア
めぐみん,別に魔力の一つや二つ…分けてあげてもいいんじゃないですか。カズマ！
カズマ,んっ？
めぐみん,もう一回お礼を言わせて下さい。今回は、危ない所を助けてくれて本当にありがとうございます。
ダクネス,私からも……仲間として見捨てずに私たちを助けにきてくれたこと、救ってくれた事は感謝する。本当にありがとうな、カズマ！
アクア,フン…。まぁ、一回しか言わないから、良く聞きなさい。その………ありがと
カズマ,お前ら…。まっ、その…なんだ……俺はこれからも、仲間としてお前らを助けていくつもりだから、お前らも頑張って俺を助けてくれよな…
めぐみん,えぇ。もちろんですよ！
ダクネス,考える事でもない。もちろん、私もこれからは、頑張ってカズマを助けていくつもりだ
アクア,まっ、私もアンタが無事じゃないと、後々大変だし…。魔王討伐まではこの女神様が助けてあげるわ
カズマ,後、これからもよろしくな…アクア、めぐみん、ダクネス！
アクア,はいはい
めぐみん,はい♪
ダクネス,うむ！
ウィズ,フフッ♪良いパーティーですね。あんなに仲良く……私も昔を思い出します…。
カズマ,ナレーション
