鷹富士茄子,生まれ持っての不幸体質……！周りの人を巻き込んでしまう……！そんな中現れた超幸運の女性……！しかも美人
茄子,だってこのままじゃ……
ほたる,このままじゃ……？
茄子,このままじゃ私、ただの面倒くさい女じゃないですか！！！ほたるちゃんの中で面倒な女にカテゴライズされるのなんて耐えられません……！この気持ちがバレてしまった以上、なんとしても私に依存させてみせます……！！！
ほたる,変な方向に真っ直ぐですね……
茄子,……ほたるちゃん、最後に聞いてもいいですか？
ほたる,ど、どうぞ……？
茄子,わ、私のこと……嫌いになってない……ですよね……？
ほたる,そ、そんなこと！……ない……ですよ……？
茄子,ちょっと言い淀んでるじゃないですかー！！！
ほたる,ふふっ。冗談ですよ
茄子,ほ、本当に……？
ほたる,そもそも私が必要以上に茄子さんに頼らないのは、茄子さんに迷惑をかけたくないからなんです
茄子,え……？
ほたる,実は、いつも思ってるんですよ。こんな時、茄子さんがいてくれたらなって。……恥ずかしいですけどね
茄子,ほたるちゃん……
ほたる,でも、それじゃいけないって思うんです。確かに茄子さんに甘えたらなんでもできますけど、それは茄子さんにとって迷惑になるんじゃないか……って
茄子,……
ほたる,まさか依存されたがってるなんて思ってもみませんでしたが……
茄子,ほたるちゃん～！
ほたる,きゃっ！？か、茄子さん……
茄子,ごめんなさい……私が間違っていました……ほたるちゃんはこんなにも私のことを考えてくれていたのに……私ったら……
ほたる,わかってくださればいいんです……ちょっとびっくりしてしまいましたが……
茄子,あの……これからも仲良くしてくれますか？
ほたる,もちろんです。むしろ、私からお願いしたいくらいです。これからもよろしくお願いしますね？
茄子,ふふっ。じゃあハッピーエンドということで、今日はほたるちゃんのお部屋に遊びに行ってもいいですか？茄子さんの手料理をふるまっちゃいますよ！
ほたる,ええと……大丈夫ですけど……もう今週5回目くらいな気が……
茄子,細かいことはいいんです！この前のロケのお土産、持っていきますね！
ほたる,ありがとうございます……
茄子,お土産コーナーでずーっと、ほたるちゃんは何をあげたら喜ぶかなーって考えてたんですよ～
ほたる,は、はあ……
茄子,思わず収録中も画面の向こうのほたるちゃんに呼びかけて怒られちゃいました♪
ほたる,そ、そうなんですか……
茄子,あ、実は明日はオフなんです。……そのまま泊まってもいいですか？
ほたる,あの……むしろ私じゃなくて茄子さんの方が……
茄子,？
ほたる,……いえ、なんでもないです
