藤居朋,おはよー！
ほたる,えっと、前半は水難事故防止講習をするみたいですね
朋,1日署長の時も思ったけど、よくあたしたちにオファー出すわよね
智絵里,またひと笑い起こしますかっ
朋,ほらもう心構えが芸人のそれだもん
ほたる,後半は、自由に遊んでいていいみたいです
朋,え？お仕事は？
智絵里,その遊んでる自然な姿を写真撮影してくれるらしいですよ
朋,撮影……。ってことは……！？
智絵里,はいっ！写真集の発売が決まったんです！
朋,え！すごいじゃない！
智絵里,500ページの大ボリューム！
朋,辞書！？
智絵里,写真集には、5枚集めると、握手会への参加を賭けた抽選会に参加するための抽選会に参加するための抽選券になるチケットが4～5冊に1枚入ってます！
朋,売り方エグっ！！！！！。どんな水着にするか悩むわね……
智絵里,ほたるちゃんはレーザーレーサー？
朋,アスリート！？
ほたる,智絵里さんはウェットスーツですか？
朋,海女さん！？
智絵里,ちょっと――“話し合い”――しよっか
朋,もうその流れはいいから！！！。いい天気！晴れてよかったわね～
ほたる,本当によかったです……
智絵里,じゃあ、早速着替えてきましょう！
朋,はいはい～
智絵里,わ、ほたるちゃん、かわいい！黒を基調としたワンピースタイプだねっ
ほたる,智絵里さんも、ピンクの水着、とっても似合ってますよ
智絵里,あとは朋さんだけど……
朋,お、おまたせ……
智絵里＆ほたる,！！！
智絵里,う、上はフリフリのついたフレア系で
ほたる,腰にはパレオ……！
智絵里＆ほたる,かわいい……！！！
朋,い、いやー、せっかくだから2人の意見をどっちももらおうかなーって……。どうかな？
智絵里,ディ！
ほたる,モールト！
智絵里＆ほたる,ベネ！！！
朋,急にイタリア語！？。みなさんこんにちは！今日は集まってくれてありがとね！
ほたる,海で早く遊びたい気持ちはわかりますが、その前に少しだけ、私たちのお話を聞いてください
智絵里,海には危険がいっぱいあるんですよっ！生きて帰りたいならせいぜい耳を傾けるがいいですっ！
朋,ワードチョイスがいちいち不穏なのよね
智絵里,では、まずは準備体操をしましょう！
朋,海中で脚を攣ったりしたら本当に危ないからね！
智絵里,まずは右脚を体の後ろ側に上げて、左手でその右脚の甲を持ちます。そのまま前かがみになって右手で左足の親指を掴みましょう！
朋,なにこの体勢めっちゃキツいんだけど！！！
智絵里,そのまま首の運動～
朋,この体勢の意味は！？！？
智絵里,みんなもやってみよう！
朋,無理無理無理！
ほたる,しっかりほぐしましょうね……
朋,人体から起こり得ない音が聞こえるんだけど！？
智絵里,続いてもも上げ20秒スクワット20秒休憩10秒を5セット！始めっ！
朋,部活じゃないんだからメニュー組まないでくれないかな！？
ほたる,
朋,なんかヤバい音して動かなくなったわよ！？ほたるちゃん！？
智絵里,ケガ率10％なのに練習するからだよ……
朋,そのパワプロみたいな価値観やめて！！！
智絵里,続きまして、左手を左肩の前あたりにもってきてください
朋,？
智絵里,そして、右手をおへその前あたりでぶらぶらさせましょうっ。おへそについた砂を払うような感じですっ
ほたる,？
朋,これ……なんの運動なの？
智絵里,エアギターです
朋,それを今やる意味は！？
多田李衣菜,いえーい！！！
朋,李衣菜ちゃん！？！？
エアギターと聞いて我慢できずに駆け付けたリーナ.T.D,なんかロックな気配を感じたんだよね！
朋,なんなのそのロックレーダー
エアギターと聞いて我慢できずに駆け付けたリーナ.T.D,海でみんなでエアギター！ロックだね！
朋,さっきから名前が鬱陶しい！！！。なんで括弧の形が変わったの。その言い切ったみたいな顔つきやめて
智絵里,公式が言い出したらおしまいですよねっ！
朋,リアクションに困る発言もやめて！！！
智絵里,次は、溺れてしまった人への対応についてです！
朋,うん、まず、溺れている人を見かけたら、慌てずに、近くのライフセーバーさんを呼ぶの！間違っても、自分で助けようとしちゃダメだからね！
ほたる,そして、陸に上がった際に意識がなければ、救命処置をとります
智絵里,今日は、ほたるちゃんが意識のない人の役、わたしが助ける人の役で実際にやってみます！
朋,大丈夫かな……
ほたる,どうしますか？一度意識を飛ばしますか？
朋,平気な顔で言わないで！！！
智絵里,まずは意識があるか確認しますっ。ほたるちゃん！大丈夫？火葬がいい？土葬？
朋,他にセリフなかったの！？
ほたる,……
智絵里,……。……では以上で講習を終わりに
朋,諦めないで！！！
智絵里,冗談ですよっ
朋,冗談に聞こえないのよ……
智絵里,まずは、気道を確保します。顎の下を軽く支えて持ち上げつつ、頭を後屈させましょう
ほたる,
朋,ほたるちゃん！！！
智絵里,こ、このように、力を入れすぎてはいけません
朋,自分で若干引いてるのはおかしくない！？
智絵里,そして、周りの人にAEDを持ってくるように頼みましょう
朋,そうそう、ちゃんと協力してね
智絵里,そちらの方、LEDをお願いします！
朋,AED！！！！！それだと電球が届いて終わりだけど！？
智絵里,その間に心臓マッサージです！両手の甲を重ね、相手の体と垂直になるように心臓の上に構えます
朋,だいたい、30回くらいが目安なのよね
智絵里,はいっ。だいたい、1分間に100回のペースがピッタリなんですが、なかなか意識するのは難しいですよね？そこで今回は、ちょうどいいリズムの歌を見つけてきましたっ
朋,おお、準備がいいわね！
智絵里,その曲は、アンパン〇ンマーチですっ
朋,へぇ～、そうなんだ！
智絵里,実際に、ほたるちゃんにやってみましょう。なんのためーにーうーまれてー、なーにをしーてーいきるのかー
朋,声に出す必要はないし歌詞の抜き出す場所に悪意があるし！
智絵里,なんのためーにーうーまれてー、なーにをしーてーいきるのかー。なんのためーにーうーまれてー、なーにをしーてーいきるのかー
朋,なんでそこだけリピートするの！！！！！
智絵里,そしてお待ちかねのTPP！
朋,A！E！D！！！いっこもあってないから！！！
智絵里,さすがにこれは人形にやるので、ほたるちゃんは下がっていいよ
ほたる,ご武運を……
朋,下がり方かっこいい
智絵里,説明書きにしたがって、体にシートを貼り付けます。そして、自動音声の指示を聞いてから……。発破ぁ！！！
朋,掛け声いらない！！！
智絵里,以上！水難事故防止講習でしたっ
朋,ま、まあ、遊ぶ時は気をつけてね！
智絵里,わたしは海より山が好きですっ
朋,このタイミングで言うかな！？
～水難事故防止講習,？
ほたる,お疲れさまでした……
朋,お疲れさま！
智絵里,あとはもう、遊ぶだけですねっ
朋,智絵里ちゃんは最初から遊んでたでしょ
智絵里,ほたるちゃん、首、大丈夫？
ほたる,？ありますよ？
朋,いや、有無の話じゃなくってね？
智絵里,あるの！？
朋,あるよ！？。じゃ、なにしようか？
ほたる,やっぱり、砂浜といえばこれじゃないですか？
朋,あ、バットとスイカ！ということは……
智絵里,叩いてかぶってじゃんけんぽん？
朋,バットとスイカで！？流血沙汰よ！？
智絵里,スイカ割りですねっ
朋,わかってるなら最初から言ってほしいんだけど……
ほたる,わ、私、やってみていいですか？
朋,ほたるちゃん乗り気～！いいわよ！サポートしてあげる！
智絵里,はいぜんりょくでさぽーとするね
朋,感情はどこに置いてきちゃったのかな智絵里ちゃん。じゃあ目隠しして……
智絵里,バットを地面に立てて、額をあててグルグルするんだよっ
朋,うんうん、10回くらいかな？
智絵里,ほたるちゃんの三半規管をなめちゃダメですよっ！100回いきましょう！
朋,ええ！？
ほたる,……
朋,速っ！！！！
智絵里,かき氷買ってきますねっ
朋,せめて見届けてあげて！！！
ほたる,おわりました……
朋,なんで立てるの！？
智絵里,朋さん！指示を出さなきゃですよ！
朋,そ、そうだった！えっと……右よ！
智絵里,まっすぐ！
朋,あ～、もう少し左！
智絵里,→＼↓＋P！
朋,コマンド！？
ほたる,波動拳！
朋,なんか出た！？！？。左！左！
智絵里,まっすぐだよ！
ほたる,？？？
朋,ほ、ほたるちゃん！そっち海だから！引き返して！
智絵里,まっすぐ！
朋,言うと思ったけども！！！。引き返してって！
ほたる,？？？
朋,な、なにこの音！？
智絵里,あ、大きな波が急に！！！
朋,ええ！？……ってことは
ほたる,
朋,ほたるちゃん！！！！！
智絵里,おわり
朋,おわらせないの！！！
智絵里,あれ？もう長さ的にもオチかなって……
朋,そんなこと言ってる場合！？ほたるちゃん助けなきゃ！……ってもうあんな遠くに流されてる！
智絵里,波に飲まれよっ！
朋,緒方ァ！！！！！。と、とにかくライフセーバーさんを
智絵里,いいえ、ライフセーバーさんとはいえ、ほたるちゃんを抱えての移動はリスクがあります
朋,じゃあどうやって！
智絵里,フレンチクルーラー！
椎名法子,呼んだ！？
朋,法子ちゃん！？
智絵里,ほたるちゃんがね？ドーナツが食べたいんだって！
法子,おお！ほたるちゃんもようやくドーナツの良さに気づいたんだねっ！
智絵里,だから、あそこのほたるちゃんにこのドーナツを届けてあげてほしいなっ
朋,いやそれ浮き輪……
法子,おっけー！！！！
朋,速すぎない！？！？！？
智絵里,なんとかとドーナツは使いようですっ！
朋,その一言は必要ないからね！？
法子,じゃあ、またドーナツが欲しくなったら呼んでねっ！
ほたる,ありがとうございました……
法子,じゃーね！
朋,台風みたいだったわね……
智絵里,台風にも穴があるからドーナツみたいなものですねっ
法子,呼んだ！？
朋,たった今走っていったのに！？。……っていうかほたるちゃん、大丈夫なの！？
ほたる,あと3時間遅かったら危なかったですね……
朋,余裕しかないわね！？
智絵里,海に揉まれよっ！
朋,そのシリーズはもういいから！！！
ほたる,さっきの波動拳のコマンド、間違えてましたよ
朋,どうでもよくない！？
ほたる,そういえばスイカは……？
朋,あ、スイカ割りしてたんだっけ……？
智絵里,あそこに落ちてるよっ。流されなかったみたいだね
ほたる,せっかくなので、取ってきますね
朋,あ、ほたるちゃん
智絵里,あんなに急がなくても……
朋,ね
朋＆智絵里,あ
智絵里,頭からスイカに突っ込んで割りましたっ！
朋,ほたるちゃん！！！！！！
