・前作,今作との関連はありません
比叡,そ、そんなこと言われたって……異性へのアピールの仕方なんて解らないし、そもそも恋心を自覚したのだってつい先日だし……
金剛,Ahaaaa、じれったいネー！。……ヒエー
比叡,は……はい
金剛,もう一度だけ、チャンスをあげマス。今度ヒエーが何のActionも起こさなかったら、ヒエーの戦意喪失と見なして私もテートクへのアピールを再開しマスからネ。いいデスね？
比叡,んぐ……わ、解りました……。――と言っても、本当にどうしたらいいのか……
鳳翔,――あら、比叡さん。どうかされましたか？
比叡,あ、鳳翔さん……。…………
鳳翔,……な、何ですか？
比叡,鳳翔さんと言えば、間宮さんと並ぶ鎮守府屈指の家事上手。さらにその年齢不詳めいた雰囲気で、軍の内外を問わずファンが多い……らしい。青葉から聞いた話だけど
鳳翔,あ、あの、比叡さん？そうまじまじと見つめられると……なんだか、照れてしまいます///
比叡,うーん、女の私から見ても可愛い。すごく可愛い。……鳳翔さん！
鳳翔,は、はい？
比叡,私に……家事を仕込んでください！
鳳翔,え……ええ？。――なるほど。つまり、提督に女の子らしいところを見せたいと
比叡,う……は、はい///
鳳翔,……解りました。そういうことであればこの鳳翔、微力ながらお力添えいたします
比叡,！鳳翔さん……
鳳翔,短時間なので、少し厳しく行きますが……よろしいですね？
比叡,……はい！。気合！入れて！よろしくお願いします！
鳳翔,――古来より、男性の心を掴むにはまず胃袋を掴め……と言われています。今回は、お料理に絞って腕を磨きましょう
比叡,はい！
鳳翔,比叡さん、何か希望される料理はありますか？
比叡,特にはないですけど……でも、うーん……。…………あっ。それじゃあ、カレーの作り方を教えて下さい
鳳翔,カレー、ですか？私は構いませんが……もう少し、凝ったものでなくてもいいのですか？
比叡,はい。カレーでお願いします
鳳翔,解りました。それでは、私は普通に調理をしますので、見よう見まねで付いてきて下さい
比叡,えっ
鳳翔,言ったでしょう？厳しく行きます、と
比叡,ひ……ひえぇ……
鳳翔,野菜の切り方が雑過ぎます！食材の特徴を頭に入れて！。水を入れるのが速すぎます！玉葱を飴色になるまで炒めて！。ぼーっとしていてはいけません！煮立ったらちゃんとアクを取って！。まだ火を止めてはいけません！弱火にしてじっくり煮込んで！
比叡,……ひえぇ
鳳翔,……ふぅ。お疲れ様でした
比叡,あ、ありがとうございました……
鳳翔,今日お教えしたのは基礎中の基礎。またいずれ、続きをお教えしますね
比叡,は……はい
鳳翔,ふふっ。それじゃあ……頑張って下さいね
比叡,……はいっ。さて、じゃあ早速司令に……。……でも待てよ。鳳翔さんのおかげで立派なカレーになったとはいえ、このままでは何の変哲もないただのカレー。こんな何のひねりもないもので、司令に喜んでもらえるだろうか？。どうせなら……ｻｯｻｯ。できた！比叡特製、超激辛カレー！！。よ～しっ……。司令？いらっしゃいますかー……？
提督,おう、比叡。どうした？
比叡,まだ執務中ですか？
提督,ああ。提出しなきゃならない書類が溜まっててな
比叡,そうですか…ちなみに、今日はお夕食は…？
提督,そう言えばそんな時間か……腹ペコだ
比叡,！で、でしたら……でしたら、そのぅ……
提督,？
比叡,カレーが……えーと……そう、カレーを作り過ぎちゃって！よ、よかったら食べて頂けないでしょうか？！
提督,カレー……比叡の手作りか？
比叡,は、はい……
提督,……ありがたい、貰おうか
比叡,……はい、今お持ちします！。ｺﾄ
提督,ありがとう……うん、美味そうだ。では、いただきます。む…………
比叡,…………。……どう、ですか？
提督,う、む……
比叡,無言……
提督,…………
比叡,…………。まだ半分以上残ってるけど、スプーンが動いていない……。…………。……もう、いいですよ
提督,！いや、まだ……
比叡,……いいんです！無理してまで食べないで下さい……！
提督,あっ、おい……待て！比叡！
比叡,……私ってば、いつもこうだ。気合を入れれば入れるほど、空回りして。司令に失望されたかな……
鳳翔,あら？こんな時間に食堂の明かりが？
比叡,はぁ……
鳳翔,……比叡さん？
比叡,……鳳翔さん。……失敗、しました
鳳翔,え？
比叡,…………
鳳翔,カレーのお鍋？。ん……かなり辛口ですけど、おいしいですよ？
比叡,……いいですよ、気を使ってくれなくて
鳳翔,いえ、本当に……
比叡,……いいんです
鳳翔,うーん、何があったかは解りませんが重症ですね……私ひとりの言葉では、信じてくれそうにありません。……あ、間宮さん、丁度よいところへ
間宮,あら鳳翔さん、それに比叡さんも。どうされました？
鳳翔,ちょっと、味見して頂けませんか？
間宮,いい香り……カレーですね？。ふんふん……荒削りですけど、スパイスの効いたいいお味ですね
鳳翔,ほら、比叡さん、ね？
比叡,……でも、司令には半分も食べてもらえませんでした……
鳳翔,…………
間宮,ん？このカレー、提督にお出ししたんですか？
比叡,はい……
間宮,あー……えーと……。比叡さん、実はですね……。実は提督……辛いのが苦手なんです
比叡,…………え？。じ、じゃあいつも食べてるあのカレーは？
間宮,辛いのはダメでもカレー自体は大好きみたいで、あのカレーは駆逐の娘たち用の甘口カレーなんです
比叡,…………え？え？
鳳翔,そうなのですか？
間宮,はい。一度普通のカレーをお勧めした際に、こっそり教えて下さったんです
比叡,そ……そんな……
鳳翔,すみません、比叡さん。私がそのことを知っていれば……
比叡,そんな！鳳翔さんは何も……私が、司令のことを考えずに暴走したから……
間宮,……比叡さん、今からでよければ、甘口カレーの作り方をお教えしますよ？
鳳翔,私もお手伝いします。……もう一度、がんばりましょう？
比叡,間宮さん……鳳翔さん……。……はい。ご教授……お願いします……！
間宮・鳳翔,ええ、喜んで
比叡,できた……
間宮,教えた私が言うのもなんですが、とてもいい出来ですよ
鳳翔,ええ、先ほどにも増して気合が入っているのを感じました
比叡,お二人のおかげです……本当に、ありがとうございました
鳳翔,いいえ、比叡さんの努力の結果ですよ
間宮,その通りです。さ、もう一度提督のところへ――
提督,比叡！ここにいたのか……
比叡,！司令……
提督,…………
比叡,…………
提督,その……
比叡,あの……
二人,さっきは、すまん！。……え？
比叡,私、本当は司令のためにカレーを作ったのに、好みも何も考えないで……
提督,せっかく比叡が作ってくれたカレーなのに、目の前で残してしまって……
比叡,で、でも、間宮さんと鳳翔さんに教わって甘口で作り直したんです！これを……これを食べて下さい！
提督,いや、悪いが……
比叡,え……
提督,……さっきのカレーがまだ残っているだろう？もう一杯もらえないか
比叡,え……もしかして今まで、あのカレーを食べてたんですか！？
提督,ああ。時間がかかってしまったが……
比叡,う……
提督,お、おい、比叡？
比叡,司令は……何で司令は、そうなんですかぁ……
提督,ひ、比叡、泣くな……泣くなって
鳳翔,……提督、女の子を泣かせたらどうすればいいか……お解りですよね？
間宮,私たちは失礼しますので。それでは……
提督,…………。比叡……
比叡,司令……司令ぃ……
提督,……落ち着いたか？
比叡,ん……すみません
提督,構わんさ
比叡,…………
提督,…………
比叡,……あの、司令
提督,なんだ？
比叡,私は……
提督,…………
比叡,……私は、司令のことが好き、みたいです
提督,……そうか
比叡,はい……
提督,……嬉しいよ。俺も、ずっと比叡が好きだったからな
比叡,本当、ですか？
提督,ああ
比叡,でも私、金剛お姉様みたいに美人じゃないし、鳳翔さんや間宮さんみたいに料理も上手くないし。それに、司令への好意をずーーっと自覚できないくらい馬鹿だし……
提督,俺の中での比叡は、誰にも負けないくらい可愛くて、誰にも負けないくらい努力家で。そして、無愛想な俺のことを好きだと言ってくれる、最愛の人だ
比叡,司令……。そんなこと言われたら……また泣いちゃいますよ……
提督,なら、また抱きしめてやるよ
比叡,……今度は、抱きしめられたくらいじゃ泣き止まないかもしれません
提督,……比叡は、意外と欲張りなんだな
比叡,はい……私は、欲張りなんです……。司令を、今すぐ私のものにしたい。そう思ってしまうぐらい……
提督,比叡……
比叡,司令……。…………えいっ
提督,！…………
比叡,…………っん
提督,…………
比叡,…………司令
提督,……うん？
比叡,……負けませんから
提督,……？
比叡,司令がどんなに私のことを好きでも。私はそれよりもっともーっと、司令のことを好きでいますから、ね
提督,…………はははっ。俺も……負けないからな
比叡,……はいっ。絶対に、負けません……あなたが、私の未来を示してくれるなら……。どんなことがあっても……比叡は、負けません。司令……。司令司令司令っ。――大好きです、司令！。司令、お昼できましたよ～
提督,おう
比叡,ｺﾄ、ｶﾁｬｶﾁｬ
提督,今日もカレーか
比叡,はい。今日は、夏野菜のカレーです
提督,ふむ……いただきます。うん……トマトがいい感じに利いてるな
比叡,あ、解ります？今日のカレーは水をあまり入れず、野菜の水分を活かしてみたんです
提督,なるほど……鳳翔と間宮に教わってるだけあって、めきめきと料理の腕を上げてるな
比叡,えへへ……司令が毎日、おいしいって言ってくれるからですよ
提督,あ、その表情可愛い。……ところで、カレー以外の料理はどうなんだ？
比叡,うっ！
提督,……その反応からすると、芳<ｶﾝﾊﾞ>しくなさそうだな
比叡,うぅ……カレーはほぼ毎日作ってるので自分でも自信が付いたんですけど……。それ以外の料理だと、レシピを見ながらでもなぜかどこかでドジをしてしまって……
提督,……まあ、焦らずゆっくり経験を積んでいくしかないだろう
比叡,んん……でも……
提督,……？
比叡,……レパートリーが充実する頃には、お婆ちゃんになっちゃってるなんてことになったら……
提督,……さすがに、それはないだろう
比叡,そりゃあ、もしもの話ですけど……でも、もしもそんなことになったら……
提督,なったら？
比叡,お婆ちゃんになった私じゃ、その……し、司令に……貰ってもらえない、じゃないですか……
提督,…………。……比叡
比叡,はい……？
提督,そんな心配なら、無用だ
比叡,……司令は、お婆ちゃんになった私でも、貰ってくれるんですか？
提督,そんなわけなかろう
比叡,ｸﾞｻｯ。いやです、司令……見捨てないでぇ……
提督,勘違いするな、比叡
比叡,……ふぇ？
提督,俺が、お婆ちゃんになるまで長い間、比叡を独り身にしておくわけがないだろう
比叡,……へっ？
提督,料理のできるできないは関係ない。俺が比叡と一緒になりたいと思ったら、その時にお前を貰う。……それだけのことだ
比叡,…………。……司令ぃ
提督,……よしよし
比叡,……カレーしか作れない私でも、本当に大丈夫ですか……？
提督,比叡のカレーなら、毎日食っても飽きんさ……というか、実際に毎日食ってる
比叡,んん……でもでも、やっぱり私、司令にもっといろいろなものを作ってあげたいです。間宮さんの作るお味噌汁や、鳳翔さんの作る肉じゃがに負けないお料理を、食べさせてあげたいです！
提督,……うん、その気持ちは嬉しいよ。……比叡のそういう優しさと努力が、俺は好きなんだ
比叡,ひえっ！？。も、もう！最近の司令は、すぐそうやって歯の浮くようなことを言うんですから！
提督,……自分に正直になっただけなんだが
比叡,～～～～。っとにかく！これからも料理の練習は続けますから！。いつか絶対、司令を驚かせてみせますからね！
提督,ん……楽しみにしてるよ
比叡,……負っけないんだからぁ～！
提督,…………。これ頼む
比叡,はい
提督,んんん……ひと段落ついたか
比叡,お疲れ様です、司令
提督,ちょっと休憩したいな……すまんが、茶を入れてくれるか？
比叡,はい、少々お待ちを……。……あ、そうだ
提督,ん？
比叡,そういえば今日はですね……お姉様と榛名と霧島、三人ともお休みなので。お姉様の部屋でお茶会をしてるはずなんです。せっかくだから、そちらに顔を出してみませんか？
提督,お茶会……そんなことをやっていたのか
比叡,姉妹艦だけのささやかなものですけどね。全員の休みが合うことってあまりないので、お互いの近況報告なんかも兼ねて
提督,なるほどな。……しかし、そんな場に俺が顔を出しても構わんのか？
比叡,そんな大仰なものじゃないですから……誰も気にしませんよ。……そ、それに
提督,ん？
比叡,し、司令はもう……金剛型の身内、みたいなものじゃないですか///
提督,……比叡も言うようになったな
比叡,……いつものお返しですっ。ま、それはそれとして、お姉様の部屋に行ってみましょうよ
提督,そうだな……ちょっとお邪魔させてもらうか
比叡,ｶﾞﾁｬ
金剛,ヒエー？今日は秘書艦の当番だったのでワ？
比叡,ちょっと休憩中でして……司令も一緒ですよ
金剛,What!?
提督,……よ、よう。入っても構わんか？
金剛,あ、えと……。お、お二人様ご案内デース！
榛名,金剛お姉様が取り乱してる……
霧島,……ま、身を引いたとはいえ好いた男性に部屋を訪れられれば、そうもなるでしょう
金剛,……どうぞデース
比叡,ありがとうございます！
提督,すまんな
金剛,い、いえ……
提督,…………
金剛,…………
霧島,う……微妙な空気
榛名,比叡姉様は……
比叡,あー、久しぶりに飲むお姉様の紅茶は、おいしいですね～
霧島,……能天気！
金剛,……ふぅ、落ち着くデース、私。私の今の望みは、テートクとヒエーが幸せになること……。胸が痛まないと言えば嘘になりマスが、こうして二人の仲のいい様子を見られるのは喜ばしいことデス。……テートクも、どうぞ
提督,……ああ、頂くよ。…………。……うん、うまい
比叡,ですよね！司令もそう思いますよね！来てよかったですね！
提督,うお、急に身を乗り出すな、危ない
比叡,す、すみません、つい
金剛,……ふふ
提督,……金剛？
金剛,二人が喜んでくれて……本当に、嬉しいデス
提督,……！
榛名,何でしょう、この……
霧島,憂いと優しさを含んだ微笑み、例えるならば……
比叡,まるで聖母……神々しいです、お姉様……
提督,…………
比叡,……っは！。司令！いくら金剛お姉様が美人でも、私がすぐ隣にいるのに見惚れるなんて……！
提督,！い、いやそんなことは……
比叡,ごまかしても解ります！。私も見惚れてたからだけど……
金剛,……どうどう、落ち着くデース、ヒエー
比叡,う……お姉様
金剛,テートクへの想いを自覚できなかったあのヒエーが、人並みに嫉妬をしていると思うと感慨深いデース
比叡,んぐ……。お姉様に背中を押してもらっただけに、何とも反論できない……
金剛,……テートク
提督,うん？
金剛,オッチョコチョイで慌て者の妹デスが、幸せにしてあげてくだサイね？
提督,……もちろん
比叡,お姉様……
榛名,……金剛お姉様、なんだか大きく見えます
霧島,そうね……
榛名,……比叡姉様、幸せそうです
霧島,そうねー
榛名,…………。……榛名も、もうちょっとだけ積極的だったら。もしかしたら、比叡姉様みたいに……
霧島,……榛名、あなた
榛名,！わ、私何を……黙ってて下さい、霧島！
霧島,……いいの？
榛名,いいんです……。ああして、幸せそうな提督と、幸せそうな比叡姉様と、優しげな金剛お姉様がいる。そんな風景が見られれば、十分です。……榛名は、それで大丈夫です
霧島,……そう
榛名,……はい
金剛,ハルナ、キリシマ、何話してるデース？
榛名,金剛お姉様……。……何でもありません。ただの雑談です
金剛,そうデスか？そろそろスコーンを出しマスから、どんどん紅茶のお代わりしてくだサイね？
榛名,はい、ありがとうございます
比叡,あ、お姉様！私早速お代わりを頂きます！
金剛,オーケイオーケイ、パーッとやりまショウ！
霧島,……やれやれ
提督,……さて、じゃあそろそろお暇するよ
金剛,オウ、もうお帰りデスかー？
提督,一応、執務の途中だからな
比叡,はっ、そうでした
提督,おい……
金剛,お仕事なら仕方ありまセンねー
榛名,またいつでもいらして下さい、提督
提督,ああ、また機会があれば、ぜひ。それじゃあな
比叡,お邪魔しました、お姉様
金剛,Bye
榛名,ﾍﾟｺﾘ
霧島,…………
提督,……お、そうだ
比叡,はい？
提督,明石にちょっと話しておきたいことがあったんだ。工廠に寄っていくから、先に戻っておいてくれるか？
比叡,解りました。作業の続き、準備しておきますね
提督,うん、頼む。…………
霧島,…………司令
提督,ん……？霧島？どうした？
霧島,……司令に、どうしても伝えておきたいことがありまして
提督,……何だ？
霧島,司令が、もしも比叡姉様を捨てたら……
提督,おい！？何の話だ！？
霧島,もしも、ですってば
提督,むう……
霧島,もしもそんなことになったら、詳しくは言えませんけど色々な理由で、困る人間がけっこういるんです
提督,…………
霧島,だから絶対、そんなことはしないで下さいね
提督,言われるまでもない、と言いたいところだが。霧島にとっては重要なことなんだな？
霧島,……
提督,……解った。約束するよ
霧島,…………
提督,天地神明に誓って、比叡を捨てたりはしない。必ず幸せにする
霧島,うん……お願いしますね。…………。はぁ……。困る人間がけっこういるねぇ……。金剛姉様、比叡姉様、それに榛名まで……。……私が相談する相手、いなくなっちゃたじゃない。……まあ、比叡姉様の話を聞いた時点で諦めてはいたんだけど。もし提督と比叡姉様が別れたら、私、本当に困りますから。……本当にお願いしますよ、司令……
比叡,観艦式？
提督,名目上はな
比叡,どういうことです？
提督,先日の大規模作戦、比叡はじめ皆のがんばりのおかげで、うちの鎮守府が最殊勲と判定されただろ？
比叡,提督も勲章貰ってましたよね。……どこにやったんです？
提督,あんな虚栄の証より、名誉駆逐艦の証がほしいね、俺は
比叡,荒〈ｽｻ〉んでますねぇ……それで、観艦式というのは？
提督,ああ、そうだったな……。最も戦果を挙げた艦隊に、上層部の観閲を受ける栄誉を授けるとともに、祝勝会を開きその労をねぎらうというのが上の言い分だが……。要するに、優雅に踊って飲み食いする口実がほしいだけさ
比叡,はあ。それじゃ、断りますか？
提督,……そうもいかんだろう。自分から立場を悪くするのも馬鹿げている。俺は地位や名誉に拘りはないが、俺の立場が安定すればお前たちの立場も守ってやれるからな
比叡,それじゃせいぜい、堂々とやってやるしかありませんね
提督,……そういうことだ
比叡,そうと決まれば、さっそく詳細を詰めないといけませんね。観艦式は規模も重要ですが、やはり最も重要なのは、物理的にも精神的にも艦隊の中心となり、一身に視線を集める旗艦――。いやこの場合、御召艦とでも呼ぶべきですか。その人選が何より重要ですね。見栄えを重視すればやはり大和さんや長門さん……艦隊運動であっと言わせるなら通信機器の充実した大淀……？。いや、ここは奇をてらって空母というのも……どう思います、司令？
提督,…………。……比叡に任せる
比叡,私に選べってことですか？さすがに無責任ですよ、もうちょっとやる気出しましょうよ～
提督,……いや、そうではなく
比叡,へ？
提督,比叡に、御召艦を任せる
比叡,……っええええええ！
提督,……そこまで驚くことか？
比叡,いや、でも……ええ？私？
提督,昔の観艦式では、何度も御召艦を務めたんだろう？
比叡,そ、そうですけど……ここで言う御召艦と昔の御召艦じゃあ役割が違いますよ……
提督,しかしな、御召艦は式典中以外は提督に同伴すること、と言われているし。だから、最も親しみと信頼を抱く比叡にやってほしいんだが
比叡,う……そうまで言われたら、断れませんね……。……解りました。この比叡、気合！入れて！御召艦を務めてみせます！
提督,うん、頼む。それじゃあ悪いんだが、人選と艦隊行動の詳細は任せていいか？。上との摺り合わせと諸々の準備品は、俺が担当するから
比叡,はい！司令の名を汚さぬよう、精一杯やらせて頂きます！
提督,いや、そこまで気負わなくてもいいが……
比叡,いえ、やるからには！全力で！いきましょう！
提督,……ま、手を抜いて上にケチを付けられるのもなんだからな
比叡,私、何だか燃えてきましたよ～！
提督,……ほどほどにな
比叡,……さて、司令にはああ言ったけど。場の雰囲気的にも、司令の好み的にも派手なパフォーマンスはよろしくないだろうし。あくまで整然と、そして堂々と、って感じになるのかな。まずは、サポート役……供奉艦を確保しに行こう
提督,……さて、比叡にはああ言ったが。公人としてはともかく、私人としては楽しみな面もあるし。早速だが、明石にアレを発注しに行くか……
比叡,うーん、誰に頼むのがいいかな……
高雄,――比叡さん？重巡寮にいらっしゃるなんて珍しいですね
比叡,あ、高雄
高雄,誰かに用事でも？
比叡,…………。生真面目で規律に厳しい高雄。昔供奉艦や先導艦を務めてもらったこともある。……一人確保
高雄,……はい？
比叡,もう一人ぐらいほしいな～。高雄は固いタイプだから柔らか目のタイプで
高雄,……何なんですか？
古鷹,――高雄？それに比叡さん？どうかされましたか？
比叡,……ふむ。普段は温和だが、時に芯の強さを見せる古鷹。彼女にも一度、供奉艦を務めてもらったことがある。……二人とも、ちょっと来てもらっていいかな？
古鷹,え？……え？
高雄,だから、一体何なんですか～？！
比叡,――というわけなんだけど
古鷹,はあ、なるほど
高雄,それで、私たちに手伝ってほしいと
比叡,二人には昔も供奉してもらったことがあるし……お願いできないかな？
古鷹,私は構いませんけど……
高雄,まあ、鎮守府の代表と思えば悪い気はしません……いいですよ、お手伝いします
比叡,ありがと～、助かるよ
高雄,それで、具体的には何を？
比叡,まずは、式での全体の動きかなあ。もし分散して動く場面を作るなら、二人にその指揮を任せることになるし
古鷹,それでしたら、ひとまず私の部屋でお話しませんか？
比叡,いいの？
古鷹,はい。加古は今出撃中なので、空いてますよ
