白坂小梅,ねえ、やっぱりおかしいよね…
一反木綿,あっ！。悠貴ちゃんじゃなかとですか！
悠貴,あっ、一反木綿さんじゃないですかっ。いつも応援してくれてありがとうございますっ！
鬼太郎,どうして人間が一反木綿のことをしっているんだ？
一反木綿,あー、いやその、ははは…
悠貴,初めまして、乙倉悠貴と申しますっ。実は、今から一年前、私のクラスメイトの犬山まなちゃんが、放課後、一反木綿さんとおしゃべりいるのを目撃しちゃいまして…。最初はびっくりしましたけど、話してみるととても気さくな方で、今はラインとかもしているんですっ。皆さんのこともまなちゃんから聞いていますっ
一反木綿,いやー、申し訳なかと！。まなちゃんは元気にしとるたい？
悠貴,元気も何も、今、一反木綿さんの後ろにいますよっ
まな,あっ、ねこ姉さん！なんでここに！？
猫娘,まな！？
まな,ねこ姉さんと会えて嬉し～！
猫娘,ちょ、ちょっと待って、なんでまなもここにいるの？
まな,えへへ、実は、346プロを見学したいって悠貴ちゃんにおねだりしちゃった?
猫娘,まったく…
鬼太郎,ここは妖怪がいるかもしれないんだから早く家に帰るんだよ、まな
まな,えっ、そうなの！？。じゃあ、ねこ姉さんについていく！
猫娘,やっぱりこうなるのね…
鬼太郎,危なくなったらすぐにどこかに隠れてくれよ…
まな,はーい！
目玉おやじ,まなちゃんはすっかり妖怪に慣れてしまったの～
鬼太郎,おーい、そろそろ行くぞ、一反木綿
一反木綿,おいどんはここで悠貴ちゃんとおしゃべりしていたいばい！
悠貴,いいですよ、レッスンも終わりましたしたくさんおしゃべりしちゃいましょうっ！
一反木綿,いやー、嬉しかと！
猫娘,この色ボケめ…
幸子,あ、あなたが！
輝子,ゲゲゲの…
小梅,鬼太郎さん…！
鬼太郎,はじめまして、鬼太郎です
猫娘,キャーッ！本物の幸子ちゃん！。あとでサインもらってもいい！？
目玉おやじ,ね、猫娘！気持ちは分かるが落ち着くんじゃ
幸子,フフーン！僕は世界一カワイイですからね！妖怪さんに好かれてしまうのもしかたありませんね！
輝子,というか、この方も妖怪なんだな…モデルとかやれそうなぐらい綺麗だな…
小梅,猫娘さんまで来ていただけるなんて嬉しいです…
鬼太郎,じゃあ、そのプロデューサーさんってのはどこにいるんですか？
小梅,はい、こっちです…
鬼太郎,！。父さん、ものすごい妖気です…
目玉おやじ,ああ、わしも感じるぞ…。しかし、どんな妖怪か全く見当がつかないの～。ここは慎重に行くんじゃぞ、鬼太郎
鬼太郎,はい、父さん…
ちひろ,あら、お客さんですか？
鬼太郎,！。この人…とても邪悪な妖気を出している…！。こんにちは、ゲゲゲの鬼太郎です。今日はＰさんに会いにきました
ちひろ,ふふっ、モバＰさんは今お仕事で忙しいのでまた後日にしていただけませんか？
小梅,ずっと休ませていないのはちひろさんじゃん…！
鬼太郎,そこをなんとかお願いします
ちひろ,分かりました…。では、鬼太郎さんだけこちらへ?
猫娘,ちょ、ちょっと、私も行くわよ！
ちひろ,すみません、むやみに部外者を事務室に入れることはできないんです
猫娘,む～～……
鬼太郎,猫娘、大丈夫だよ。任せてくれ
モバＰ,……
鬼太郎,あれがプロデューサー…！。明らかに妖怪に取り憑かれている…！
目玉おやじ,とにかく無事か様子を見るんじゃ！
鬼太郎,はい！。すみません、モバＰさんですよね…？大丈夫ですか？
モバＰ,…………
鬼太郎,あっ！おまえは！？
ねずみ男(モバＰ）,鬼太郎か…
鬼太郎,ね、ねずみ男じゃないか！？。なんでここに…？
ねずみ男,割りのいいバイトだって聞いてここにいるんだけどよ…。もう5日間も寝ていないぜ…。助けてくれよ鬼太郎…。あの緑服の事務員、やばいやつだぜ…
目玉おやじ,き、鬼太郎、後ろじゃ！
鬼太郎,ハッ！。これは蜘蛛の糸…？
ちひろ,チッ、素早いわね…
鬼太郎,やっぱりお前が黒幕か！
ちひろ,おまえさえ来なければアホな男をプロデューサーとして働かせた後は美味しく魂を頂戴していたのに…
鬼太郎,本物のモバＰは無事なのか！？
ちひろ,アイツは一週間前に倒れたから、食べ頃になるまでとっておいてあるわ
鬼太郎,大人しく魂を解放してやるんだ、ちひろ！
ちひろ,ククク、本物のちひろもまだとってあるのよ
鬼太郎,お前の正体は一体なんなんだ！？
ちひろ,私は女郎蜘蛛よ
女郎蜘蛛,あなたの魂も美味しく食べてあげる！
鬼太郎,し、しまった！。糸がねばついて動けない！
目玉おやじ,なんてことじゃ、鬼太郎！
女郎蜘蛛,クク、その糸は暴れれば暴れるほど身動きできなくなるわよ
鬼太郎,くっ…！
女郎蜘蛛,あっけないわね。あなたは厄介だからさっさと食べてあげる
目玉おやじ,ああ、こんな時に猫娘がいてくれたらっ…！
女郎蜘蛛,あの猫ちゃんはもうとっくに蜘蛛の巣で絡めてあるわ
鬼太郎,そ、そんな…！
女郎蜘蛛,今度こそ終わりね、鬼太郎
ねずみ男,鬼太郎…負けちまうのか…
まな,鬼太郎！助けにきたよ！
一反木綿,助けにきたばい！
鬼太郎,まな！？危ないぞ！
目玉おやじ,今すぐここから逃げるんじゃ！
まな,大丈夫だよ、一反木綿がいるから！
女郎蜘蛛,飛んで火に入る夏の虫とはこのことね。あなたも美味しくいただくわ！
まな,一反木綿！
一反木綿,まなちゃん！
まな,合体！。一反木綿を腕に巻きつけてーー。スパッ！
鬼太郎,あ、あれは…
目玉おやじ,一反木綿を腕に巻き付けることでカッターの様にモノを切り刻む技じゃ！
ねずみ男,まなちゃんいつのまにか妖怪並みに強くなっていねぇか…？
女郎蜘蛛,こ、小癪な！
まな,あなたの糸なんて怖くもなんともない！
一反木綿,鬼に金棒とはこのことばい！
まな,誰が鬼だって？
一反木綿,……スミマセン
まな,分かればよろしい！。一撃必殺！いくよー！
女郎蜘蛛,ば、ばかな…！。この私がこんな小娘に…！
鬼太郎,や、やった！
ねずみ男,糸が腐って動けるようになったぜ！
目玉おやじ,ありがとうのう、まな、一反木綿
一反木綿,なーに、たいしたことないばい！
まな,いつも鬼太郎に助けてもらっているからこれくらいはね！
鬼太郎,あ、猫娘は大丈夫かな？
猫娘,全くひどい目に遭ったわ…。いきなり訳わかんない糸に絡まるし…
鬼太郎,さて、本物のプロデューサーとちひろさんはどこかな…
幸子,それなら！
輝子,もう私たちが…
小梅,見つけたよ…！
モバＰ,いやー、死ぬかと思った
ちひろ,本当に怖かったですよ…
目玉おやじ,ご無事でよかったの～！これも幸子ちゃん、輝子ちゃん、小梅ちゃんのおかげじゃ
モバＰ,全くその通りですよ…。ん？。腕に包帯みたいなもの巻いているそこの子、名前は？
まな,あ、犬山まなです！
モバＰ,ティンと来た！君、アイドルやってみないか？
まな,えー！？
一反木綿,確かにまなちゃんはアイドル級のかわいさばい！。お目が高いばい！
モバＰ,よく分かっているじゃないか、一反木綿くん！。どうだい？よかったら君はプロデューサーやってみないか？
一反木綿,本当でごわすか！？。喜んでやらせていただくばい！
まな,あのー、すみませんがアイドルの件は辞退させてください…
幸子,あなたもボクほどではないけどカワイイのに…
小梅,ちょっともったいないってあの子も言ってるよ…
輝子,去る者は追わず、だぞ親友…
鬼太郎,ではこれで僕は失礼します
猫娘,あ、サインもらっとかなきゃ！
まな,またねー！
ねずみ男,俺もさっさと退散するか…
ちひろ,根津三さん、別に辞めなくてもいいんですよ？
ねずみ男,ギョッ
一反木綿,あ、逃げたばい
ちひろ,それではこれから新しいプロデューサーとしてよろしくお願いしますね、一反木綿さん?
一反木綿,は、はいでごわす！
小梅,今日は本当にありがとうございます…
鬼太郎,いや、僕もたいしたことはしていないからね。お礼ならまなちゃんと一反木綿に言ってくれ
輝子,これからも悪い妖怪や人間を倒してくれ…
幸子,ささやかですがボク達からのお礼です！
目玉おやじ,おー、これはらいぶのチケット？かの？
小梅,はい、よかったら見にきてください…
幸子,カワイイボクをたっぷりご覧にいれますよ！
鬼太郎,うん、ありがとう、見にいかせてもらうよ
輝子,絶対だぞ…
鬼太郎,では、これで…
小梅,あ、いなくなっちゃった…
輝子,本当に妖怪なんだな…
幸子,鬼太郎さんのためにもレッスン頑張りましょう！
輝子,ああ…！
小梅,うん…！
一反木綿,プロデューサー業といっても、デスクワークが多すぎるたい…。ゲゲゲの森に帰りたか…
悠貴,あ、一反木綿さんっ！。おはようございますっ！
一反木綿,おはようでごわす、悠貴ちゃん
悠貴,なんだか元気がないですね…。何かおてつだいしましょうかっ
一反木綿,いやー、悠貴ちゃんにそんなことはさせられないばい…
悠貴,そうですか…？。じゃ、せめて応援だけでもっ。一反木綿さん、頑張ってください！
一反木綿,ばっ！？。ありがとうでごわす…
悠貴,元気になってくれたならよかったですっ。それでは失礼しますねっ
一反木綿,今のは心臓に悪かばい…。でも、あともう少しがんばるたい…！
