アルトネリコ要素は詩,ヒュムノス
伊織,あの律子まであんな事を言うなんて、何か悪いものでも食べたのかしら
亜美,二人とも目がマジだよー
真美,大マジだYO！真美たちどうなるのさー？！
P,こら、騒ぐな。一人ずつ呼ぶから、こっちの部屋へ来てくれ。まずは春香
春香,は、はい！
伊織,……で、結局一人一曲ずつ教わったのよね
響,うん。よく覚えてないけど
貴音,私もです。いつの間にか、気が付いたら歌詞が頭にありました
あずさ,プロデューサーさんは私たちが紡いだって言ってたけど
千早,どういう原理なのかしら
亜美,ラクだし、別に何でもいいんじゃない？
真美,そーいえば、皆はどんな歌覚えたの？
雪歩,ひっ！？
あずさ,何かしら？
真,あれ！ケンカだよ！
春香,どどどどうしよう！？
美希,どうしようって、どうしようもないの
真,でも、放ってはおけないよ！
あずさ,取り合えず、警察を呼ぶべきかしら
やよい,……私、止められるかも
伊織,ん？……やよい？
やよい,……すぅ……はぁ……
亜美,やよいっち？
真美,もしかして
やよい,…………ケンカはやーめーてー♪
あずさ,まぁ、可愛らしい歌ね～
千早,！？
伊織,
春香,ああっ！千早ちゃんと伊織から大量の鼻血が！！
貴音,しかし、それも仕方の無い事。今のやよいは可愛さが過ぎます
やよい,どーおーしーてーなーかーよーくできないのー♪
真,あっ、ケンカしてた人たちの様子が
やよい,ぜんぶーステキじゃダメかしらー♪ダメかしらー♪
雪歩,ケンカが収まってますぅ！
響,それどころか二人とも手を繋いで……凄いぞやよい！
やよい,えへへ。良かったですー
春香,やよい。今の、プロデューサーさんから教えてもらった歌？
やよい,はい！これは争いを止める歌だって言ってました！
亜美,まさか本当に効果があるなんて
真美,これには真美たちもビックリだね
千早,……ちょっと待って
伊織,まだ、認めるのは早計じゃない？
あずさ,伊織ちゃん、それはどういう事？
千早,考えてもみてください。高槻さんがこんな可愛らしく歌ったら、誰だってケンカなんか止めます
伊織,そういう事。歌の力っていうより、これはやよいの力でしょ
貴音,ふむ。その考えも一理ありますね
響,でも、ケンカが終わったのは事実だぞ
伊織,そうね。だから早計って言ったの。認めるには早いけど、否定するにも早い段階って事よ
春香,難しいなー。……あ、私こっちだから
千早,また明日。歌の効果については保留にしておきましょう
貴音,では、私もこれで
響,あれ。貴音、今日は寄り道するのか？
貴音,ええ。新しいらぁめん屋が開店したと聞いたので、今日はそちらへ参ります。ふぅ。本日のらぁめん、真に美味でした。しかし、随分と暗いですね……。公園……そういえば、この前亜美と真美がここの噂話をしていたような。確かお化けが出るとか……はっ！？い、いえ迷信です。そんなものが実在するはず――。ひっ！？。な、なにやつ？！。す、姿を見せるのです！。ど、どうすれば……響もいないというのに。……そういえば、本日授かった歌。原理はよく分かりませんでしたが、実体無きものを実体化する歌とか。そう、見えないから怖いのです。形さえ明確ならばっ！。慣れない歌ではありますが……ﾗｰｷﾗﾊｰｴｰｸﾞｾﾞｰ♪。踊れーよー♪黄ー泉路のー宴ー♪。……酔い痴れ眠れー魑魅魍魎どもー♪
狐,……
貴音,おや……正体は狐だったのですね
狐,ｺｰｰﾝ
貴音,行ってしまいました……しかし、九つも尻尾を持っているとは変わった狐でしたね。……という事が昨日ありました
響,……そ、そうなのか
美希,あふぅ
真美,お姫ちん、気付いてないっぽいけど言った方がいいのかな
伊織,やめときなさいよ
あずさ,でも、これで歌の力の信憑性が増したんじゃないかしら～
春香,確かにそうですね
千早,でも、まだ四条さんの気のせいという可能性もあるわよ
真,最初からただの狐が茂みに隠れてただけって事？
雪歩,それも否定できないですぅ
貴音,？？その通りでは？
響,あー……貴音はあんまり考えない方がいいぞ
春香,うーん。何かもっと証明のしやすい歌があればいいんだけど
やよい,ちょっと気になるんですけど、皆の歌ってどんな歌なのかなーって
真,そういえば、別に秘密にする理由ってないよね
千早,そうね。これで分かりやすい力を持った人が試してみれば――
亜美,……
真美,ん？……亜美、聞いてる？
亜美,えっ？
伊織,どうしたのよ。さっきから上の空みたいだけど
亜美,あれ……見てよ
春香,あれって、皆のスケジュール表？
真,見事に真っ黒だね
雪歩,昔とは随分変わったね
亜美,そーいう話じゃなくてさ。亜美たちがこの忙しさなんだよ？。だったら、にーちゃんやりっちゃんはいつ休んでるんだろうなって思って
千早,……それは
響,そういえば自分、全然休んでるの見た事ないぞ
貴音,お二人とも、それだけ私たちの為に心身を削ってくれているのですよ
亜美,でも、このままじゃ倒れちゃうかもしれないじゃん。そんなのヤだよ
真美,……さっきから亜美、どうしたの？変だよ
亜美,もし、765プロが止まったら……
春香,えっ？
亜美,にーちゃんもりっちゃんも休めるよね……
真美,あ、亜美？
亜美,うん。やっぱり亜美が歌わなきゃいけないんだ……鮮やかに♪萌える緑♪
伊織,何よ、この歌……
やよい,何だかさみしくなる……
春香,えっ、何？地震！？
P,あ、亜美！やっぱりお前か！
千早,プロデューサー、一体何が起こってるんです！？
P,亜美が765プロの全機能を停止させてるんだよ！！
律子,パソコンはおろか、電話すら使えない……マズイです！これじゃ今日の営業に支障が！
小鳥,パソコンが使えないと仕事にならないですよおぉぉ！！
律子,そもそも、データが無事かどうかもっ
響,あわわわ、た、大変な事になってるぞ！
真美,あ、亜美もうやめて！
亜美,やめないよ！水辺ーに集う鳥ーたーちー♪
雪歩,ど、どうしたら！？
真,亜美！こんなやり方はダメだよ！
律子,プロデューサー、どうにかしてください！
P,こうなったら仕方ない。真、謳え！
真,ボクが！？
P,お前が紡いだ詩を思い出せ！
真,！！……分かりました。歌います
雪歩,真ちゃん……頑張って！
真,亜美、聞いて……ﾌｧｰﾗｲｰｳｨｰﾒｰﾌｧﾝｱﾝｿﾙｼｰｴﾙ♪
雪歩,これは……
美希,優しい歌……真君にピッタリなの
亜美,！？……う、うぅ
あずさ,亜美ちゃんの様子がおかしいわ
やよい,苦しそうですよ！
真美,だ、大丈夫なのにーちゃん
P,問題ない。あれは負の感情を和らげる詩だ
律子,負の感情……亜美、一体なんで
P,俺たちのせいだろ。……ったく、何やってんだか
真美,亜美は悪くないよ！
P,分かってるよ。悪いのは俺だ
春香,プロデューサーさん……
P,真美、悪いが真に続けて謳ってくれ。お前の詩が必要だ。亜美は……俺に任せろ
真美,わ、分かった。信じてるからね。……願はーくば♪この謳を呼び聞ーかせ給へ♪
亜美,真美……？
律子,真美が、こんなに温かい歌を……
P,これは、停止した765プロを再起動する……亜美の詩と対になる詩だ
亜美,にーちゃん……
P,亜美。お前の気持ち、痛いほど伝わった。やり方は間違ってたが、嬉しかったよ
律子,ごめんなさい。心配させちゃったわね。それと……ありがとう
亜美,りっちゃん……
律子,これからは自分の管理もしっかりするから、大丈夫よ
亜美,……うん
P,だから亜美、その詩は今度から961プロを対象に使えよ
春香,えっ、その使い方はありなんですか？
雪歩,確かに、他の使い方は思いつかないかもしれませんけどぉ
真,……プロデューサーには、今こそボクの歌が必要な気がする
真美,だね。いけーまこちん！
P,ぎゃー！？
貴音,やはり、765ぷろは平和が一番ですね
響,うんうん……プロデューサーは犠牲になったけどな
あずさ,それにしても、歌の力が証明されたわね～
伊織,あれだけの事をされたら認めざるを得ないわね
律子,なに、二人とも疑ってたの？
伊織,そりゃそうでしょ
亜美,……みんな、ゴメン
あずさ,いいのよ～。何とかなったんだから
伊織,悪いのは変な歌渡したプロデューサーでしょ
律子,念のため言っておくけど、歌の種類を選べるわけじゃないのよ
亜美,そうなの？
律子,プロデューサーがそう言ってたわ。私も詳しくは知らないけど
伊織,ま、そのプロデューサーも制裁は受けたんだし、亜美もプロデューサーたちのことを考えての事でしょ
あずさ,そこまで気に病む必要はないのよ～
亜美,……ありがと
律子,でも、どんな理由であれ迷惑かけた分はちゃんとお説教しますからね
亜美,うぐっ……うん
あずさ,そういえば、律子さんにも歌は提供されたんですか？
律子,えぇ、まぁ。アイドルに教える前にどんなものか知る必要がありましたので。結局、どういう経緯で習得したのかはサッパリ覚えてませんけど
亜美,ふーん。ねぇ、りっちゃんのはどんな効果があるの？
律子,それは……って、あ！しまった！
伊織,なによ、いきなり大声出して
律子,この後の収録で使う大切な資料を事務所に忘れてきちゃったのよ！
亜美,ええっ！？
あずさ,では、引き返しますか～
律子,そんな余裕ありませんよ。それに、内容を確認さえ出来ればいいものなので……ちょっと歌いますね
伊織,は？歌う？
律子,さっきの質問の答え。私の歌、765プロと直結する力があるのよ
亜美,直結？
律子,簡単に言えば、私が765プロの一部になるような感じね
伊織,それ、大丈夫なの？
律子,接続中に765プロが爆発でもしたら私も巻き添えだけど……そんな事にはならないでしょ
伊織,……亜美、次からは絶対に気をつけて歌いなさいよ
亜美,う、うん。りっちゃん巻き込んだらヤヴァいもんね
律子,じゃ、歌うわ。……ﾜｽﾔﾝﾔｷﾞｼﾞｰｽﾋｭﾑﾉｽﾐｰ♪。深きー闇のー底よりー♪目覚むる光よ♪
あずさ,どことなく神秘的な歌ね～
亜美,りっちゃんかっくいー
律子,……ん？小鳥さん、業務中に何やってるのよ
伊織,小鳥がどうかしたの？
律子,あ、ううん。なんでもないわ。765プロと直結したから、小鳥さんが何をやってるかも手に取るようにわかって
亜美,あー、サボってたんだ
伊織,それはいいけど……いえ、よくないけど目的は果たせたの？
律子,それは大丈夫。さ、皆気合入れていくわよー！
P,春香、さっきの収録凄く良かったぞ
春香,いやぁ、それほどでもー
P,さて、悪いがちょっと報告書書かなきゃならんから、適当にしててくれ
春香,分かりました
P,……
春香,仕事中のプロデューサーさん、やっぱりいいなぁ
P,……んん？これはまずいな
春香,？どうかしました？
P,春香……いや、ちょっと早急に社長の確認が必要なものがあったんだが、今出張中だろ
春香,じゃあ、ケータイにかけるとか
P,それが、電源が切れてるみたいなんだよ
春香,……えーっと、じゃ、歌いましょうか？
P,おっ、そういえば春香の詩は……
春香,はい。事務所の心臓……つまり社長との対話が出来る歌ですよ！対話！。……ｷｰﾌｧﾋｭｰﾐｰﾌｧｰｸﾞﾚﾃｽﾖｰ♪。……ふぅ。プロデューサーさん、進めてオッケーだそうです
P,おっ、悪いな。助かったよ
春香,えへへ……でも、出来ればプロデューサーさんとお話できる歌が良かったなぁ
律子,もう！なんでこんな時に渋滞なんか……
亜美,まずいよー。生番組なんでしょ？
あずさ,困ったわね～
伊織,……ねぇ、あずさの歌ってどんな力があるの？
あずさ,伊織ちゃん？
伊織,私の歌ならこの状況を打開できる……って言いたいけど力不足なのよ
あずさ,私の歌は……時間稼ぎくらいにはなる歌だけど
伊織,時間稼ぎ、ね。それで十分。歌いましょ
亜美,ちょっとちょっと！二人とも勝手に話し進めないでよー！！
律子,何をするつもりなの？
伊織,私の歌は、神の兵……つまりスペパププを制御する歌よ
亜美,……スペパププってそんな存在だったっけ？
あずさ,私の歌は精神を肉体から切り離す力があるんです～
律子,……それ、大丈夫なんですか？
伊織,なるほどね。それじゃ、あずさの力で取り合えず精神体だけで収録に参加して
あずさ,伊織ちゃんが私たちの体を運んでくれれば、無事に元通りね～
亜美,なんか不安になってきたんだけど
律子,……なるようになるわよ、きっと
あずさ,それでは～
伊織,ええ、いくわよ！
あずさ,ﾜｧｽﾞﾔｰﾗｴｰﾔｰｱｰｼｪﾙ♪
伊織,……汝ー地に伏したーだー跪きーてー♪
亜美,この振動はっ！？
律子,見て！あれ、スペパププの大群が！！
亜美,これがいおりんの力……あれ、なんか体が軽く……
雪歩,あうぅぅ
真,あんまり気に病むことないよ、雪歩
P,あれは単なる不運だ。雪歩のせいじゃないさ
雪歩,で、でも凄く恥ずかしかったですぅ！
P,それでも穴を掘らなかったのは進歩じゃないか。よく頑張ったぞ
雪歩,はっ、穴！そうです、こんな私なんか穴を掘って――
真,あっ、プロデューサーが変なこと言うから！
雪歩,……あれ？スコップは？
P,ん？ないのか？事務所に忘れてきたかな
真,ほっ
雪歩,……まだです
真,えっ？
雪歩,まだ私には歌がありますぅ！
P,……ま、まさか。やめろ雪歩！あの詩はっ！
雪歩,止めないで下さい！……LOVE！LOVE！LOVE！LOVE！Fighting！！♪。ぶっ飛んでる支配指令♪ぶった切って炒めてやるー♪
真,な、なんなんですかこれっ！？
P,アカン。雪歩が……2m越えのマッチョに変身してもうた
雪歩,ハートのレーンジでー解凍してあげるぅぅぅぅ♪
真,……あれ、これもしかして恋愛ソング？
P,何言ってるんだ。どう聞いたってそうだろ
真,おかしいですよ！……って、あああ雪歩が素手で地面掘ってる
P,ま、あれ自分をパワーアップさせる詩だし
雪歩,キューティーラブリーハレーショーン♪
真,パワーアップってレベルじゃないです！もう、こうなったらボクの歌で落ち着かせないと！
P,大変だなぁ、真も
真,誰のせいですかっ！
貴音,はて。何やら揺れていますが、地震でしょうか
響,ドリルが地面を砕いてるような感じじゃないか？
貴音,どちらかといえば素手で地面を抉っている感覚では？
響,なんか意味不明になってるぞ。はいさい、この話はやめよう
貴音,そうですね……おや？
響,貴音、どうかしたのか？
貴音,響、あれを見て下さい
響,あれって、事務所の事か……壁にヒビが入ってるぞ！？
貴音,もしや先ほどの衝撃で……
響,このままじゃ765プロが危ないな……自分が何とかするぞ！
貴音,響が？もしや、響の歌……
響,そうだぞ。これは765プロを修復する歌なんだ……花は散じ♪朱に染めた指でー♪。この胸の中ー溢るるー♪ひーかーりー舞い降りるー♪
貴音,なんと……事務所の壁のヒビが塞がって……。はて。しかし、事務所の形が以前と変わっているような……
響,あー、それはこの歌の欠点だな。完全に同じものにはならないんだぞ
貴音,ですが、修復されたのは事実。響のお陰ですね
響,よーし、これからも765プロに何かあったら自分が何とかするぞー！
美希,ふんふふーん♪。先生元気かなー……あれ、あの人たち……？。ねぇねぇ、何を話してるの？
男A,ん？ああ、ここに新しい施設を建てようと計画してるんだよ
美希,施設？……ここはどうなるの？
男B,まずは埋め立てて――
美希,！？そんなのダメなの！先生の居場所を奪わないで！
男A,は？先生？
男B,この子、何を言ってるんだ？
美希,ううう、とにかくダメなのー！
男A,こらこら、おじさんたちの邪魔をしないでくれよ
千早,……美希？どうしたの？
美希,あ、千早さん！
男B,お嬢ちゃんの友達かい？どうにかしてくれないか
千早,あの、まずは事情を説明してもらえますか
美希,あのね、この人たちが――
千早,……なるほど
男A,我々も仕事でやってる事だから
千早,美希……ちょっとこっちに来て
美希,？？
千早,確認したいのだけど、美希はプロデューサーからどんな歌を貰ったの？
美希,ハニーから？ミキのはハズレ……え、千早さんまさか！？
千早,その様子……やっぱり美希がもう一つの歌の持ち主だったのね
美希,うん。あの歌はミキ一人じゃ効果がないの。……千早さん、一緒に歌ってくれるの？
千早,美希の先生が困ってるんでしょ。助けるのが当たり前じゃないの
美希,ううっ、凄く嬉しいの。ミキ、頑張って歌うね！。すぅ……天にー満ーてーよー♪地に降ーり注げー♪
千早,幽ーけきー深淵ーのー底ー聴こえ♪
男A,ん、なんだこの歌？
千早,幽ーけきー♪
美希,光ー♪
千早,深淵ーのー底ー♪
美希,授くー♪
千早,聴ーこえ来るはー深ーき息ー吹ー♪
美希・千早,ともに愛ーしーきー大地ー♪
男B,お、おい。今気付いたけど、あの子アイドルの星井美希ちゃんじゃないか！？
男A,一緒に居るの、歌姫の如月千早！？。……なんだ？
男B,お、おい。あれ！何もないところに地面が……
美希,場所が足りないなら、増やせばいいと思うな
千早,ええ。私たちの歌で、新たな大地を創造すれば！
男A,あ、新しい土地が出来たぁ！？
男B,俺たち、夢でも見てるのか……？
千早,夢なんかじゃありません。歌の力です
美希,おじさん、これでもう先生の居場所を壊さなくてもいいでしょ
男A,おい、この新しく出来た土地……土質とか凄くいいんじゃないか
男B,これなら文句無いぜ！お嬢ちゃん……いや、星井美希ちゃんありがとう！
男A,千早さん！俺、ますますファンになりました！
美希,あふぅ。これで一件落着なの
千早,良かったわ
美希,そういえば千早さんはどうしてここに？
千早,美希を探していたのよ
美希,ミキを？
千早,ええ。きっとあなたがもう一つの歌の持ち主だと思ってたから
美希,千早さんも、新しい大地を創造したいの？
千早,そうね。二つほど山を作りたいの
美希,二つの山？……それってもしかして
千早,お願いできるかしら
美希,……いくらミキと千早さんでも、それは無理って思うな。みんなー！今日は来てくれてありがとうー！！
千早,最後に……聞いてください。私たちのメタファリカ
ファン,うおおおぉぉ！！出たー！大陸創造パフォーマンス！！
P,あいつら……やりやがった
律子,えぇ。完璧なライブです
小鳥,皆凄いわねー……ところでプロデューサーさん
P,何か？
小鳥,詩……ヒュムノスを紡ぐ時って、プロデューサーさんが皆の心に入って心の中弄繰り回すんですよね
P,その言い方は語弊がありますが、まぁ大体そんな感じですね
小鳥,更に言えば、元々そこまで信頼されてて、詩を紡ぐ事でもっと絆が深くなるんですよね
P,何が言いたいんです？
小鳥,いえ。プロデューサーさんは度胸があるなぁと
P,度胸……？
小鳥,……はぁ～ぁ
P,どうかしました？
小鳥,私にはないのかなと
P,詩ですか？
小鳥,私はいつでもウェルカムなのに
律子,事務員に必要ですかね？
小鳥,……うう、そう言われると返す言葉もございません。悔しいからお菓子食べちゃいます
P,お菓子？……あ、オボンヌじゃないですか！
小鳥,ﾓｸﾞﾓｸﾞ……中々美味しいですよ。プロデューサーさんもどうです？
P,ふざけないで頂きたい。そんなパクリ商品誰が食べますか
小鳥,パ、パクリ！？
P,オボンタの方が百倍美味しいですよ……ﾓｸﾞ、いやぁ偽物と違ってオボンタは美味しいなぁ
小鳥,なななっ、オボンヌの方がずっと歴史が深いんですよ！！
P,ふーん、そんな信憑性の無い話、誰が信じますか。なぁ、律子
律子,はぁ……下らないですね
小鳥,下らなくなんか……って律子さんが食べてるのって
律子,これですか。オボン又です。やっぱりこれが一番ですよ
P,よりによってそれかよ……
