モバＰ(以降Ｐ表記？ヤバさが伝わったぜ）,何ですか藪から棒に
早苗,懺悔します。えっと…そりゃあね？確かに飲みすぎたってのは認めるし、次やったらペナルティってのも前から言われてたわよ？。…あの、本当にやらなきゃ駄目？あたし２８よ？２８歳のスモック姿って需要ある？無いでしょ？無いわよね、ねっ？
クラリス,神は全てをお許しになります。その命、神に返しなさい
早苗,クラリスちゃんは許してくれてないじゃん！！ゴメンってば！ほ、ほら唐揚げ買ってきたから！
クラリス,では次の方、どうぞ
Ｐ,テーブルの上に置いといた俺のおにぎり知らない？
クラリス,……懺悔します
アナスタシア,繰り返し～♪思い描くスピログラフ♪
みく,イェーイ！あーにゃんあーにゃん！
のあ,
アナスタシア,破壊と創造の幾何学模様～♪
みく,あ、ジュース無くなっちゃった。ドリンクバー行ってくるにゃ。のあにゃん何かいる？
のあ,
みく,法螺貝で返事やめぃ
のあ,サザエよ
みく,どぉでもええわぁ
アナスタシア,世界をリメイク～♪
みく,やー、ぶっちゃけこんなに盛り上がるとは思わなかったにゃ。のあにゃんのメルヘンデビューとか衝撃映像だし。えっとレイコーにガムシロマシマシ…よし戻るにゃ。…。……。…！？
アナスタシア,ロボットでもない～超人でもない～♪
みく,ただいまにゃあ
のあ,おかえりなさいみく。遅かったわね……毛玉は吐けた？
みく,吐くかぁ。いや意外な人がヒトカラしてるのを見つけちゃ。…え？。ヒィッ！
のあ,…あっま
アナスタシア,悲しみがリングに～零れ落ちる～♪
Ｐ,…電流イライラ棒！
マストレ,くっ…！少年アシベ！
Ｐ,フッ、まだまだその程度…。ビーターマン！
マストレ,な、懐か…ええい！喫茶店にあった謎の占いマシーン！
Ｐ,ゴフッ！な、中々やりますね……シーマン！
マストレ,あったなそんなのも！手強い……ならばこれはどうだ！投稿！特ホウ王国！
Ｐ,あったなそんな番組！くっそ負けるか！みかん絵日記！
マストレ,ガハァッ！…ま、まだだ！アルシンド！
Ｐ,ジーコ現役時代から！なんてものを出してくるんだ……霊幻道士！
マストレ,メロンボール！
Ｐ,コミックボンボン！
マストレ,世界忍者戦ジライヤ！
Ｐ,階段から落とすスプリングみたいなやつ！
マストレ,トランプマン！
Ｐ,２０円のカードダス！
マストレ,電脳警察サイバーコップ！！
Ｐ,うわぁ懐かし！！
マストレ,フフッ、キミの負けだな。今日の飲み代よろしく頼むぞ
Ｐ,ぐぎぎぎ…！
ちひろ,…何やってるんですかあの２人
菜々,混ざりたかった…
美嘉,おはようござー……ってアレ？寝てるの？。おーい……うわっ、ホントに熟睡してる…。どうしよ、起こしたほうがいいのかな…？…………えいっ
周子,おっはよーござー、って寝とるやーん。まったくもー。まーた床で寝てたら怒られるよー？おーい、お腹空いたーん。全然起きんし。…しょーがないなぁもう。ここじゃ固いでしょ
奏,おは……あらお休み中？珍しいわね、こんなところで寝ているなんて。ふふ、こんな無防備で…これじゃあ何をされても文句は言えないわよねえ？。……………今日のところは見逃してあげるわね、Ｐさん
フレデリカ,おっはデリカ～♪…およ？。あ～、プロデューサーだけシエスタ中？ズルいんだ～。えっと、毛布、毛布……。よいしょっと。……えへへー♪
志希,おっはにゃ～♪…あれぇ？。んっふっふ～？これは絶好のチャンスだにゃ～♪ハスハスッ！ハスッ！ハスハスハスッ！。ん～…つまんなーいっ
Ｐ,最近仕事中に突然眠くなるんですけど、何か知りません？
ちひろ,さぁ、夜更かししてるからじゃないですか
Ｐ,なぁ後ろに吹き矢隠したちひろさんや。何か知りません？
拓海,ったく…マジかよ
Ｐ,どうした薄い本にでもされたか？
拓海,違ぇよ！出掛けようと思ったんだけど単車の調子が悪くてよ…
Ｐ,不運と踊っちゃったか
拓海,まいったぜ…どうすっかな
Ｐ,暇だし送ってってやろうか？…あっダメだ。俺の車さっき美世が乗ってっちまったんだった
拓海,あぁ？いーよ別に。しょーがねぇし
Ｐ,…あ、なら俺のバイク乗ってくか？
拓海,はぁ？アンタバイクも持ってたのかよ！。うおぉ…何だどれもハデなマシンだなオイ
Ｐ,ほっとけ。どれもちゃんと使えるやつだから好きなの乗っていきな
拓海,へへっ、アンタにこんな趣味があったなんて知らなかったぜ。もっと早く言ってくれりゃあツーリングぐらい付き合ってやんのに
Ｐ,あ、それ気を付けてな。ボタン押すとロボットモードになるから
拓海,この事務所だと冗談に聞こえねぇよ！
Ｐ,そっちのサイドカーも変形するから注意してな。あとその後ろのやつは自販機になるから喉が渇いた時に便利だぞ
拓海,普通のバイクはねぇのかよ！
Ｐ,ウチに普通なんてある訳ないだろ
拓海,チクショウ説得力が凄ぇ…
Ｐ,こっちのは大気圏突破できるしこれはスマホになるから駐輪が楽だし
拓海,この国の技術力どこまで進歩させりゃ気が済むんだよ！
Ｐ,そこの監察医は嘘吐きだし
監察医,え、自分？
拓海,誰だよ！？
かな子,さぁどんどん焼けるよみちるちゃん。沢山食べてね
みちる,フゴフゴ！
法子,ドーナツと一緒に揚げパンも作ってみたよ！
みちる,フゴフゴ！
のあ,……
みちる,フゴ不語！
文香,…会談革命。これで私の１位上がりです
みちる,フゴ富豪！
ほたる,買ってきたばかりのピノが５個しか入っていませんでした…
みちる,フゴ不幸！
いずみ,要するにシンボルの集合S,Xがあるとき、Sに含まれるシンボルのあらゆる系列から、Xに含まれるシンボルの系列への…
みちる,フゴ符号！
比奈,ジョルノ達から１人離脱したのは当時そのスタンド能力の使い勝手が悪いからという説があってでスね…
みちる,フゴフーゴ！
Ｐ,食べるか喋るかどっちかにしなさい
みちる,フゴフゴフゴフゴフゴフゴフゴ！
ちひろ,結局平和って何でしょうね…
Ｐ,戦争までの準備期間だそうですよ
ちひろ,そんな身も蓋もない回答が欲しい訳では無くてですね…
Ｐ,搾取のない世界じゃないですか？
ちひろ,あははっ、そんな世界が存在する訳ないじゃないですか
Ｐ,満開スマイルで何言ってんだコイツ
ちひろ,だったらプロデューサーさんにとっての平和って何ですか？
Ｐ,アイドルたちが健やかに元気に健康にいてくれる事ですよ
ちひろ,あははははははははは！！
Ｐ,チクショウ腹抱えて笑ってやがるこの銭ゲバ！！
芳乃,ゼロシステムでしてー
美波,えっ
茄子,はぁーい、EXAMシステム起動でーす
美波,えっ…
こずえ,とらんざむ…いくぞぉ～
美波,ちょ、ちょっと待って！
アッキー,終わりだぞ
アナスタシア,ダー、ミナミ７５敗目、です
正直微妙な出来だった,北斗が如く
