モバＰ(以下Ｐ),お疲れさま。ミニライブ大成功だったな
Ｐ,ん……なんだこれ、スプーンの先に四つ又の突起……いやフォークか？先割れスプーンとはちょっと違うが
飛鳥,そう、これこそスガキヤ名物のラーメンフォークさ
Ｐ,ラーメンフォーク？
飛鳥,日々大量に消費される割り箸からの環境保護と経費削減のため社長が考案したもので、従来の先割れスプーンでは難しかった麺とスープの両立を可能にした画期的なデザインなんだ
Ｐ,これがかぁ？
飛鳥,その優れたデザイン性が認められて、ニューヨーク近代美術館のデザインストアで販売されるほどだよ
Ｐ,そ、そんなに凄いものとは……！
飛鳥,箸で食べたい人用でそちらも用意されてるが、スガキヤ初体験ならまずはラーメンフォークを使ってみてほしいね
Ｐ,うーん、そこまで言うなら挑戦してみるか
翠,お帰りなさい
P,あぁ、ただいま。こっちが翠のな
翠,ありがとうございます。わぁ、このスープの香り……懐かしいです
飛鳥,確かに、東海地方出身者には郷愁を感じる香りとも言えなくもないかな
P,まさにソウルフードか。さて、伸びる前に食べるとしよう。まずはスープから……お、乳白色の見た目からこってり濃厚を想像してたが、意外とあっさりだ
翠,ふふっ、普通の豚骨スープに比べると、そう思われるかもしれませんね
P,それにただの豚骨じゃないな……この匂いは魚介系か何か？
飛鳥,流石だね。ご明察の通り、豚骨ベースに昆布や魚介のだしをブレンドした和風とんこつがスガキヤの味さ
P,あっさりながら主張はしている？癖があるようでない？うーん、美味しいんだがうまく表現できないな
飛鳥,馴染みのない人にはそう感じるかもしれないね
P,地域に根付いた味ってわけか。それじゃ次は麺を……ん、スープにほどよく絡んでくれるな
飛鳥,ラーメンフォーク、初めてにしてはよく扱えているじゃないか
翠,スガキヤーの素質ありですね
P,スガキヤー
飛鳥,ラーメンフォークといえば、店内ポップに書かれた使い方にこれが出来たら通を名乗れるという登竜門があるよ
Ｐ,ほう
翠,こうして麺とスープを一度に掬って、同時にひとくちで……んっ……
Ｐ,おぉ、器用なもんだなぁ
飛鳥,ポイントはインパクトの瞬間から手首のスナップを意識することかな
翠,最初は難しいかもしれませんが、日々鍛錬あるのみです
Ｐ,今回は通ぶってるのが2人……いや、あれが出来るなら公認の通なのか
翠,この五目ごはんも懐かしい味です
P,セットに入ってるご飯ものだな、どれどれ……わりと甘さが強いなぁ、ラーメンとセットなのを見越しての味付けなのか
飛鳥,有り体に言ってしまえばチープな味だろう。だが、それこそがスガキヤの五目ごはんたる証明なのさ
翠,私もプロデューサーさんも、今回は当たりですよ
飛鳥,ほう、それは重畳だ
P,五目ごはんに当たり外れが？
飛鳥,あぁ、たまに色や味が混ざりきっていないときもあるからね
翠,炊いているのではなく、白ごはんに素を混ぜてるんです。この五目ごはんの素は購入もできますよ
P,そんなカラクリが……チープという表現もなんだか納得してしまう
飛鳥,ボクらも所謂名店の一杯に引けを取らない、などと言うつもりはないさ
翠,ですが、特別なんです。私や飛鳥ちゃんは幼いころから口にしていましたから
飛鳥,例えば家族で外出した日、友人との放課後や部活の帰り……そんな幼き思い出や青い春の中にある味なんだ。言うなれば魂のジャンクフードだよ！
Ｐ,飛鳥、声抑えような
飛鳥,あ……す、すまない
翠,飛鳥ちゃんの言葉、私の胸を射抜きました……飛鳥ちゃんは真のスガキヤーです！
飛鳥,よしてくれ、ボクはまだまだ矮小な存在さ。真のスガキヤーなんておこがましくて名乗れないよ
Ｐ,だからスガキヤーて
翠,スガキヤの食後はもちろんデザート付きです
Ｐ,このチョコソースのソフトクリーム、優しい味がするな。どこか懐かしい気分になれる
翠,ベリーソースも美味しいですよ
飛鳥,翠さん、甘味メニューならクリームぜんざいじゃないかな？
Ｐ,よし、他のも食べてみたいからシャッフルするか。左隣に回せー
翠,えっ
Ｐ,あ、こういうの苦手だったか？
翠,い、いえ、そんなことありません、ありませんが……わかりました！プロデューサーさん、どうぞ召し上がってください！
P,ん、ありがとう。おぉ、こっちも甘酸っぱくて美味しいなぁ
翠,そ、そうですか……甘酸っぱい……ふふっ♪
飛鳥,ボクは蚊帳の外というわけかい
P,どうした？俺の次で申し訳ないがチョコソースもいいもんだぞ
飛鳥,キミが口をつけたことを気にするボクじゃないよ……ん、甘い
P,あれ、妙に顔が赤いが大丈夫か？
飛鳥,な、何でもないさ！ほら、翠さんは早く次に回して、キミはボクのクリームぜんざいを食べてみてくれ！
Ｐ,食べたなぁ
翠,はい、満ち足りました
飛鳥,すまない、少しこの場を離れさせてもらうよ
Ｐ,場所わかるか？
飛鳥,プロデューサー、キミはデリカシーという単語を辞書で引くといい
Ｐ,どこの、までは言ってないだろ
飛鳥,ああ言えばこう言う……キミから見ればボクは子供だろうけど、それくらいはひとりで行かせてもらいたいものだね。行ってくるよ
Ｐ,……怒らせちゃったなぁ
翠,プロデューサーとして、アイドルを人ごみにひとりで行かせるのが心配なんですよね。飛鳥ちゃんも解っていますよ
Ｐ,そうだといいんだが。遅いな。まぁここから距離もあるし混んでるだけだと思うが。なぁ、翠
翠,すぅ……すぅ……っは！え、あ、すみません！満腹になってつい……
Ｐ,ははっ
翠,もう、笑うほど滑稽ですか！
Ｐ,いや、ようやく力が抜けたみたいだなって
翠,え、というと？
Ｐ,翠は真面目で頑張り屋だからな、それはとても良いところなんだが、どうも気を張りすぎるきらいがある
翠,気を張りすぎる……
Ｐ,常に神経を尖らせてると、疲れちゃうぞ。休む時はしっかり休む、これも大切なことだ。その方が、ここぞの時の集中力も上がるしな
翠,……弓道に限らず、スポーツや武道で最もパフォーマンスを発揮できる姿勢は脱力した状態から、という教えを受けました。つまり、そういうことなのでしょうか？
Ｐ,俺は弓道は素人だが、その教えはアイドル活動でもいえるだろう。リラックスも大事だ
翠,そうですか……はい、少しずつ、力の抜き方も覚えていきたいと思います
Ｐ,それでいい、あんまり難しく考えすぎないでいいから
翠,ふふっ、またひとつ、プロデューサーさんから大切なことを教えて頂きました
Ｐ,そんな大層なもんじゃないけどな
飛鳥,戻るタイミングを逃してしまったが、まぁボクもそこまで野暮じゃないさ……そろそろいいかな？
翠,――ということがありまして。スガキヤでの思い出がまた増えました
千秋,そう、良かったわね。スガキヤ……私もいちど食べてみたいわ
翠,でしたらカップ麺や袋麺も売ってるので、今度一緒に食べましょうか
千秋,へぇ、お店にいかなくても食べられるのね
翠,はい。千秋さんもストイックな所がありますので、たまにはリラックスですよ！
飛鳥,翠さん、ちょっといいかな
翠,はい。飛鳥ちゃん、なんでしょうか？
飛鳥,いずれ耳に入るだろうから、ボクから報告しようと思ってね……これをご覧よ
翠,ツイッターですか？……えぇー！！
千秋,ちょっと、どうしたの？私にも見せて……あーこれって……
飛鳥,ラーメンに舌鼓を打ち恍惚の表情のクールアイドル、水野翠ちゃん……どうやらフードコートにいたファンに見つかっていたらしい。ご丁寧に写真付きだ
千秋,でもこれって盗撮じゃない
飛鳥,あぁ、既にプロデューサーとちひろさんが対応して元のツイートは削除済みだけど、拡散が早くてね……ネットという広大な海を一度漂えば、根絶させるのは不可能に近い
千秋,あ、まとめニュースにもなってるわ。プライベートを撮られたことや、普段の凛とした雰囲気とのギャップが良いとか、批判的なコメントはほぼないのが救いかしら
飛鳥,あーほら、プロデューサーも言ってたじゃないか。SNSの書き込みを気にしすぎちゃいけないって……
翠,うぅ、恥ずかしいです……リラックスって難しいよう……
