佐藤心,し・ん・さ・く～☆はぁと渾身の一着！ハートとひらひらが織り成すかわいさ地獄☆どうよ！？そこの坊主！
凛,……プロデューサーはそういうのがいいの？
モバＰ,いやいや、あくまで大人な関係の話。俺は朝起きたらパジャマ姿の彼女が、おはようって笑顔で言ってくれるほうが……
ちひろ,うわぁ……そんな本気な感じで……
モバＰ,い、いいじゃないですか！女の子のパジャマ姿ってなんかときめくんですよっ！
ちひろ,へ～……じゃあ、私のパジャマ姿見たらどうなるんです？
モバＰ,女の……子？
ちひろ,……
モバＰ,も、もちろん！惚れちゃうでしょうっ！ええ、ええ！そらもう！！
ちひろ,年収二千万になって出直してください
モバＰ,妥協の金額を倍にしやがった……
凛,……
本田未央,おっはよー……え？
凛,おはよう。今日は早いね。プロデューサーまだ来てないよ
未央,あ、うん……美嘉ねー、あれは突っ込んでいいの？
城ヶ崎美嘉,アタシもタイミング逃しちゃって……凛の佇まいが自然体過ぎて、普通にスルーしちゃった
北条加蓮,おはー……あれ？ここ事務所だよね？凛の部屋じゃないよね？
加蓮,……うん。ねぇ、その格好……
凛,何？
加蓮,ごめん。なんでもない……未央、美嘉……あれって触れちゃいけないの？突っ込み待ちじゃないの？
未央,わかんない。なんか触れるなオーラが出てきたね
美嘉,スルーで正解だった。君子危うきに近寄らず……うんうん
加蓮,美嘉がことわざ言うなんて……
美嘉,おう、こら★
島村卯月,おはようございます！今日もお仕事頑張りましょうっ！
凛,おはよう、卯月。元気だね
卯月,うん！あれ？凛ちゃん、なんでパジャマなの？
未央,！
美嘉,！
加蓮,！
凛,……何が？
卯月,パジャマ！
凛,……
卯月,パジャマっ！！
未央,……くふっ
美嘉,ふ……ふひ
加蓮,流石、卯月
凛,……はぁ。あんまり知られたくなかったんだけど……まぁ、そうだよね。こんな格好、放置出来る訳ないよね
美嘉,自覚はあったんだ。撮影でもあるの？何も今着なくても
凛,ううん、ないよ。これも着て来たし
加蓮,は！？そのまま！？
凛,ロングコートで隠れるから
未央,へ、変態だー！！
凛,は？
未央,あ、ごめんなさい。言ってみたかっただけです
加蓮,でも、おかしいよ。着るにしても、ここで着替えればいいじゃない
凛,だって、寝起きのままのほうがリアリティあるかなって……
美嘉,なにをそんなに……
凛,プロデューサーがパジャマ姿にときめくって、パジャマ姿の女の子におはようって言われたら惚れるって言うから
未央,それを知られたくなかったと？
凛,うん
加蓮,抜け駆けしようと？
凛,うん
美嘉,凛……だからって、そんなことしたら
卯月,あ、プロデューサーさん！おはようございますっ！
モバＰ,おー、おはよう。みんな、早いな……ふわぁ
凛,！。おはようっ。プロデューサー
モバＰ,ん、おは……凛、その格好……
凛,どう？パジャマだよ？ね、ね？ときめいた？
モバＰ,……着替えたの？
凛,ううん。このまま来た
モバＰ,この……まま？
美嘉,あ～、アタシが説明するよ。この子ね―――――
モバＰ,……
凛,ふふ、ちょっと照れるけど……頑張ったよ
モバＰ,凛……ちょっと、あっちの部屋行こうか
凛,え！？そんな急に……ううん、そうだよね。ここまでやったんだから、私も覚悟を決めなきゃ
モバＰ,うん、そうな。ほら、行くぞ
凛,あ、待って。ごめんね、みんな。そういう事だから……出来れば声は聞かないで欲しいな
未央,……ぶっ壊れてるなぁ
加蓮,見てらんなかった……
卯月,凛ちゃんは何を言ってたの？
美嘉,ねー……なんだろうね
凛,すっごい怒られた……
加蓮,そりゃ、そうでしょ
神谷奈緒,ほんとにパジャマ着てるし
佐久間まゆ,美嘉ちゃんに話を聞いたときは耳を疑いましたが……うふ
凛,二人共来てたんだ……うぅ
卯月,あぁ、泣かないで凛ちゃん
凛,今まで見たことない顔で……声のトーンも……ｽﾝｯ
奈緒,Ｐさんも怒鳴ったりするのか……
凛,ううん……でも、声が冷たくて重くて……怖かった……ｽﾝｽﾝｯ
美嘉,ガチな説教だ。あんな無防備な格好で外を歩き回ってたら当然だけど……凛がこんなに泣くなんて、相当怖かったんだね
凛,うん。怖かった。でも、それと同時にこうも思ったんだ
未央,うんうん……
凛,あぁ、私……愛されてるなって
未央,……ん？
凛,これだけ怒られるのは、それだけ心配してくれたって事で、大事に思ってくれてるって事で……
加蓮,まあ、Ｐさんはそうだろうね。ここにいる子の事になると
凛,他の子だと、こんなに怒らなかったと思うし……
加蓮,……うん？
凛,すごい、愛されてるなって
美嘉,誰が？
凛,私
美嘉,ふぅ～……
まゆ,なるほどぉ
奈緒,凛だからここまで怒られたと
凛,うん。愛されてるから
卯月,？
晴,なあ、あれってなんの話なんだ？
心,プロデューサーがパジャマフェチってことかな♪それで揉めちゃってるガキんちょ達☆
晴,……フェチってなんだ？
ありす,調べてみましょう
晴,いつも持ってんな、そのタブレット
ありす,便利ですから。えっと……フェティシズムの略で……まぁ、物や物事にこだわることでしょうか
心,性的にね☆
留美,佐藤さん、ちょっとこっちに
心,わっ！いつの間にいたの～？はぁと、びっくり☆
留美,……
心,っべー……マジこえぇ……ちょっとした冗談で……すいませんしたっ
留美,はぁ……とにかくＰ君のとこに行きましょう
心,え～☆なんで……あ、はい。行きます
晴,……結局どういうことなんだ？せいてき？
ありす,……好きなものでいいと思います
晴,ふ～ん。じゃあ、Ｐはパジャマが好きなんだ。ふ～ん……
ありす,……ですね
凛,……なんで、皆ジャージなの？
モバＰ,留美さんに忠告されてたんだよ。今日、凛みたいにパジャマで事務所に来る子がいるかもって
ちひろ,そこで、パジャマで家を出ようとしたら、引っ捕まえてジャージに着替えさせてここまで送って下さいって、家の人に頼んだの
凛,そういえば、お母さんにすごく見られてたような……
モバＰ,まったく……事務所で着替えるだけなら、別に細かいこと言わんのに
未央,ブーブー！騙まし討ちなんて卑怯だぞぉ！
美嘉,そーだそーだ！卑怯者ぉ！
モバＰ,別に騙してないだろうに
加蓮,……それで、Ｐさん。説教しないの？
奈緒,なんか昨日と態度違うのは気のせいだよな？
まゆ,まゆにもちゃんと怒ってくれるんですよね？
モバＰ,なんで軽く俺が怒られてるんだ？説教は留美さんがするよ。ほら、手招きしてるぞ？
留美,ふふふ……
未央,笑うてるで……
美嘉,アカン……あれはアカン
モバＰ,なんで関西弁なんだよ。そこの三人。何が気に入らんのか知らんが、俺はありすと話すから。歳的にも危うすぎる
ありす,……はい。ごめんなさい
モバＰ,怒るわけじゃないから、そうしょぼくれるな。晴は……
晴,なんだよ、Ｐがパジャマフェチって言うから、喜ばせようとしたのに。て言うか、オレまだパジャマなんだけど
モバＰ,ジャージだもんな……このパターンは難しいので、難しい人にお願いしました
心,はぁとは簡単な女じゃないってことだぞ☆プロデューサー、あとで説教だっ♪拳でなっ！
モバＰ,は、はは……まぁ、みんなアイドルとしての自覚を、もっとちゃんと持てってことで……あ、凛もジャージに着替えてな
凛,え？なんで……
モバＰ,話が終わったら、マストレさんにちょっと特別な特訓お願いしてるから。まあ、愛の鞭
未央,それで、ジャージにされたんだ……
凛,一日越しの罰……油断してた……
卯月,おはようございますっ！……みんな、ジャージだ！プロデューサーさん、今日朝からレッスンでしたっけ！？
モバＰ,いや、卯月はないよ。レッスンというより罰だから
卯月,？
モバＰ,ん？珍しく指輪してるんだな
卯月,あ！気付きました！？ちょっと大人な気分になってみましたっ
モバＰ,そうか、うん。似合ってるぞ。綺麗だ
卯月,お？惚れました？
モバＰ,ははっ学生の頃なら確実にな
卯月,むぅ……今はそんな対象ではないと？
モバＰ,ばっか、今はレベルが違うんだって。もう、愛しちゃってるからね
卯月,チャラいですっ！ふふ、私も愛してますよっ！
モバＰ,お？両思いだな？ははっ
卯月,ですね！相思相愛っ！！大好きですよ、プロデューサーさんっ！！とうっ！
モバＰ,うおっ、飛びつくと危ないだろ
卯月,えへっ！幸せですっ
ちひろ,パジャマパーティーってイベントもいいですねぇ。……ん？卯月ちゃんとプロデューサーさん以外、放心状態だ。………………………………ま、いっか！
