島村卯月,みなさんこんにちは！島村卯月です！
卯月,続いてのプレゼンターはこの方です！
渋谷凛,久しぶりだね
卯月,凛ちゃんです！
奈緒,おおう……
ありす,凛さんですか……
凛,そんな顔しないでよ。2人に関係ある説を持ってきたんだからさ
奈緒,え？
ありす,？
卯月,では、発表をお願いします！
凛,うん、今回の説はこれ
奈緒,！？
ありす,！？
卯月,では説明してください！
凛,うん。ウチの事務所、ツッコミ上手がたくさんいるでしょ？でも、いくらツッコミが上手くても、2人集まればどちらかが少しはボケると思うんだ
卯月,うんうん！
凛,そんな中、誰といてもツッコミに回るのが奈緒なんじゃないかなって
ありす,ちょっとわかります……
奈緒,おい
卯月,今回のルールを説明します！今回は8人によるトーナメント戦です。2人ずつ会話をして、先にツッコミを入れられたら負けのシンプルなルール！優勝するのは誰でしょうか！
奈緒,トーナメントって……、今からやるのか？
卯月,いいえ、企画を知ってたら意味ないですから！
ありす,ではどうやって……？
卯月,どうやって……じゃないですよ！もう、トーナメントは終わってます！
奈緒,はぁ！？
卯月,思い出してみてください。最近、妙に事務所や楽屋で、ツッコミ側の人と一緒になってませんか？
奈緒,……はっ！
ありす,……はっ！
卯月,では、VTRに参りましょうか！
奈緒,マジか……！
ありす,気が付きませんでした……
卯月,おっと！その前に、出場選手の紹介があるんでした！お願いします！
奈緒,紹介？VTRの前ってことは、スタジオでか？
星輝子,イカれたツッコミメンバーを紹介するぜェェェェェェェェェ！！！！！
奈緒,輝子！？
輝子,イタズラっ娘でも根はマジメ！！！ヒトでもイグアナでもかかってこい！！！。小関ィィィィ麗奈ァァァァ！！！！！。その世話焼き気質はツッコミにも！！！ボケたら放っておけない拾わなきゃ！！！。五十嵐ィィィ響子ォォォォォ！！！！！。ニュージェネのリーダーが参戦だァ！！！三ツ星ツッコミ一等賞！！！ハイテンションもローテンションも任せとけ！！！。本田ァァァ未央ォォォォォ！！！！！。ウサミン星からまさかの刺客が！！！レトロなツッコミ錆びない技術！！！。安部ェェェ菜々ァァァァァ！！！！！。発明の天才はツッコミの天才でもあった！！！今日の発明は誰のため！！！今日のツッコミは誰のため！！！。池袋ォォォォォ晶葉ァァァァ！！！！！。これでホントに小学生！！？？卓越したセンスでフレデリカと渡り合う！！！酒飲みの相手も任せとけ！！！。橘ァァァァありすゥゥゥゥゥゥゥゥゥ！！！！！。畜生も植木鉢も苦じゃないぜ！！！どんなボケでもらっくらく捌く！！！元祖・苦労人がやってきた！！！。藤居ィィィィ朋ォォォォォォ！！！！！。そして……！！！優勝候補筆頭！！！どこにいたってツッコミマシーン！！！眉毛たなびけ恥じらい乙女！！！。神谷ァァァァァァ奈緒ォォォォォォォ！！！！！！
奈緒,……なんだこれ
ありす,同感です
卯月,でも読んでる人はきっとワクワクしてますよ？
奈緒,しねえよ。ってかそういうことは言うなよ
輝子,以上！！！8名が魅せる戦いから目を逸らすなァァァ！！！。……
奈緒,お、お疲れ！
輝子,あ、ああ……、サンキュー……
ありす,こんなこと言わされて……、ゆっくり休んでくださいね
輝子,ﾌﾋ……、わ、私が……考えた、んだけど……な……
奈緒,すげえな！？
卯月,輝子ちゃん、ありがとうございました！では、今度こそ！
凛,うん、VTR、どうぞ！
奈緒,もうどうにでもなれ……。少なくとも望んではないからな。あ
ありす,あ
奈緒,おい
ありす,これは酷いですね
奈緒,あの時かぁ～！！！
ありす,終わり！？
奈緒,本人いないのに！？。悪ノリが過ぎる
卯月,はい！いったんスタジオに戻ります！どうでしたか？
奈緒,その“どうでしたか？”ってやめてくれよ
ありす,どうもこうもないでしょう
卯月,後半戦は、番組の後半にお送りします！
奈緒,引っ張らなくていいから！！
卯月,凛ちゃんは、一度さがってください！
凛,うん、また後で
奈緒,無理だとわかってても断りたいな
卯月,本日の3つ目の説を提案してくれるのはこの2人！
奈緒,2人？
卯月,どうぞ！
白坂小梅,こんにちは……
輝子,こ、こんにちは……
奈緒,またかよ！！！休ませてやれよ！！！
小梅,死んじゃっても……私には見えるから
ありす,小梅さん！！！
小梅,私たちの……説は……
輝子,こ、こちら……
奈緒,あー、これはわかる……
ありす,誰かを貶す系の説じゃなくてよかった
小梅,幸子ちゃんは……どうしようもないほどのナルシストだけど……、絶対に悪口は言わないの……
ありす,引っかかる言い方ですけど
輝子,ほ、本当に、聞いたこと……ないんだ……
奈緒,私も聞いたことないな
卯月,今回は、この事務所で毒舌と言えばこのアイドル！に、幸子ちゃんへのインタビューをしてもらいました！
奈緒,うわぁぁぁ！人選がもう読める！！！
ありす,朋さんいないのに……！
小梅,VTR、どうぞ……
奈緒,単勝オッズ1.0倍だよ
智絵里おお～,笑
奈緒,すげえ……！
卯月,好感度爆上がりですね！
ありす,なんでそういうこと言うんですか！？
奈緒,なぜ自虐ネタ！？
ありす,自覚はあるんですね。ついでにって
奈緒,意外な弱点を見たなー。ああいう純粋なのに弱いとは
卯月,純粋……私ですね！
奈緒,邪悪だよ
卯月,ではみなさんお待ちかね！ツッコミトーナメントの後半戦です！
奈緒,あたし達が待ちわびてるのは収録の終了だけだからな
凛,まあまあ、そんなこと言わずにさ
ありす,いつの間に
卯月,ではVTRです！
奈緒,あ、あの時だ！！！
ありす,？。ここまでは普通のやり取りですが……
奈緒,……
ありす,なんで黙ってるんですか
奈緒,響子のためには放送しない方が……。いや、ファンにはいいかもだけど……
ありす,ええ……？。？
奈緒,……
ありす,完全に風評被害ですけど！？
奈緒,ごめん響子……、止められなくて……。ってか雪美いたけどいいのかよ
卯月,その前にツッコミがあったのでセーフです！
ありす,なんでもいいです……
卯月,さて、決勝に残ったお２人、どうでしたか？
奈緒,どうでしたかってやめろって言ったろ！？
ありす,で、でも、奈緒さんと２人で話した記憶、最近はないんですけど……
奈緒,そ、そうだよ！
卯月,本当に言い切れますか……？
ありす,いや、確かに２人では話してないはずですが……
奈緒,そうだそうだ！さっき楽屋が一緒で、久々に２人で話し……た……くら……い……
ありす,
卯月,ﾆｯｺﾘ
奈緒,え！？さ、さっきのやりとりをもう編集したのか！？
卯月,私にかかれば一瞬です！
ありす,こ、この人のスペックを忘れていた……
卯月,ではどうぞ！。と、いうわけで！優勝は神谷奈緒ちゃんです！！！
奈緒,お、おう……
ありす,ぐぬぬ……
奈緒,いやこれ優勝しても別に嬉しくないやつだから！冷静になれって！！！
卯月,では、これで本日の放送は……
ありす,あ、あの
卯月,？
ありす,これ、ツッコミのトーナメントがあるってことは……その……
奈緒,……もしかして、逆のトーナメントもあるのか！？
卯月,逆の？天下一畜生会のことですか？
奈緒,ほらもう名前がヤバいじゃん！！！
ありす,絶対に巻き込まないでくださいね！！？？
卯月,まさに“この世の全ての悪”ですね！
奈緒,アンリマユじゃねえんだから！！！
卯月,奈緒ちゃんはそういう方面のツッコミもできるのが強みですね！
奈緒,分析すんな！！！
卯月,大丈夫です！島村卯月、頑張ります！
奈緒,史上最悪の締め方だよ……
ありす,アイドル事務所に入ったつもりだったんですけどね
卯月,次回、朋さんの“ほたるちゃん！！！！！”でカラス撃退できる説お楽しみに！
奈緒＆ありす,気になる！！！
