冴島清美,えー、ラジオネームプロデューサーさんからのお便りです。ありがとうございます
由里子,む、カンペ係がAD君じゃなくてプロデューサーさんに変わったね
清美,安心してって……どういうことですか？。……それは、まぁ、いると思います
由里子,今考えるだけでも、あの子と話したことないなぁってアイドルは何人か思い浮かぶもんね
亜季,挨拶程度ならしていると思うのですが……言われてみれば、そうですね
清美,つまり、プロデューサーが言いたいことを察するに、このラジオを通してそういった方々と交流を深める機会としてほしい、ということですか
由里子,なるほど……！それならくじ引きっていうやり方もあながち間違いじゃないのかも
亜季,さすがプロデューサー殿。しっかり考えてくれてたんですね！
清美,……
由里子,で、でた！清美ちゃんが普通に切れてる時にやる無言でメガネくいっだじぇ！
亜季,永久保存版ですなぁ
清美,笑顔なんてできるわけないじゃないですかこのバカプロデューサー！！
由里子,なんか清美ちゃんキャラ崩壊してない？
亜季,そうですか？プロデューサー殿が絡むといつもこんな感じだと、鈴帆殿から伺ってましたからな
由里子,あーそうなのね。……うちのプロデューサーその場のノリで生きてる感じあるからなぁ。アイドルのラジオで、パーソナリティがキレて中断とか前代未聞だじぇ……
亜季,おお、これが放送事故というやつでありますか！
由里子,なんでちょっと嬉しそうにしてるの……まぁえっと、ちょっと予想外のことが起きたので、曲を聴いてもらって場をなんとか持たせよう！
亜季,おお、ナイスアイディアですね！
由里子,それでは聞いてください。星輝子で毒茸伝説！
亜季,圧倒的な選曲ミスな気がするのですが、大丈夫でありますか？
由里子,不安になるリスナーを更に不安にさせていくスタイル
亜季,激しい爆撃の中、塹壕にこもる兵士たちに告げられる物資枯渇の通達みたいでありますな
由里子,たとえが生々しすぎるぅ！
清美,プロデューサーには後でたっぷり超☆風紀的指導をするとしてですね
由里子,南無阿弥陀仏
亜季,何でプロデューサー殿すぐ死んでしまうでありますか…？
由里子,おー、懐かしい映画だじぇ
亜季,昨日、奏殿と見たであります。戦争の裏面を映し出した名作であります
由里子,毎回涙が止まらないよね……
清美,そこ！関係ない話はそこまでです。プロデューサーのせいで時間が押してしまっていますから。ぱぱっと始めていきますよ！
由里子,押したのは清美ちゃんがキレたせいだと……
清美,なにか？
由里子,いえ、全部プロデューサーさんが悪いんだじぇ
亜季,すごい速さの手のひら返しでありますな
由里子,あたしの手のひら返しのドリルは、天を穿つドリルだじぇ！
清美,さっそく脱線しないでください！ほら、亜季さん。コーナータイトル、お願いします
亜季,イエッサー、清美殿。えー、でははじめのコーナーはこちら！ふつおたのコーナー！
由里子,いえーい！
清美,あの……台本を読んだ時から気になっていたのですが、ふつおたとは？
由里子,普通のお便りの略だじぇ。ネタ要素のあるお便りコーナーとの区別をつけるために呼ばれ始めたらしいよ？
清美,そうなんですか。普段ラジオなどは聞かないので、なんだか新鮮ですね
亜季,ということは、清美殿はテレビ派でありますか
清美,いえ、テレビもあまり……
由里子,へー、そうなんだ。テレビはまぁ、イメージ通りだけど。ラジオを聞かないのはちょっと驚きだじぇ
亜季,勉強をするときなど、聞かなかったでありますか？
清美,私は無音でやるタイプです。ラジオを聞きながらとか、音楽を聞きながらという話はよく聞きますが、私としては理解できませんね。お二人はどうでした？
由里子,あたしはがっつりアニソン聴きながらやってたじぇ
亜季,自分はラジオ派でしたなぁ
清美,なるほど
由里子,……あれ、怒らないの？
清美,なぜ怒る必要があるんです？勉強のスタイルは人それぞれ。そのやり方で勉強ができるならそれでいいんです
亜季,おお、意外に寛大
由里子,じゃあ、あたしみたいにアニソン聴いて、ついテンション上がって歌いだしちゃったりしなければOKってことだね
清美,そんなの論外です！由里子さんにも超☆風紀的指導が必要なようですね…？
由里子,うわー！言わなきゃよかった！
亜季,む、２人とも。カンペ指示であります。コーナーを進めますよ
由里子,視聴率とかいう生々しい単語が見えた気がする
清美,というかお便り来てるんですか？第一回なのに？
亜季,なるほどお祝いメッセージでありますか
清美,では、さっそく読んでみますか。ラジオネーム俺が初お便りなら優勝さんから頂きました。ありがとうございます。あなたが優勝です。
由里子,１０００レスを迎えるスレ民みたいな名前だじぇ…
亜季,スレ？レス？
由里子,亜季さんは分からなくていいことなんだじぇ……というかこのラジオネーム、あたしか比奈センセか杏ちゃんくらいしか意味分かんないんじゃ…？。計画通り、ってわけなのね
清美,えーと、本文読みますね。誰ともわからないパーソナリティの方こんにちは。はい、こんにちは
亜季,仕方がないこととはいえ、なんだかやるせない気持ちにさせる一言でありますな……
由里子,略し方が雑
亜季,ふーむ、ドキドキでありますか
清美,なるほど。パーソナリティが決まっているのではなく、どのアイドルが次の担当になるかわからないというのは、ファンの皆さんからしてみればわくワクワクするものなのでしょうね
亜季,日替わり定食で、何がメインかわからないあのドキドキ感と同じでしょうか？
清美,あぁ、いい例えですね。そういうことだと思います
由里子,推し漫画がアニメ化されるとき、キャストがだれになるかわからないドキドキ感と同じってこと！？
清美,ん？一気にわかりにくくなった気がしますが。そう……なんですかね？
亜季,なるほど、つまり対戦相手が一体どういった銃を使ってくるかわからないサバゲーのドキドキ感と同じでありますな！
清美,由里子さんに対抗しなくていいですから！せっかくいい例が出てきたのに台無しですよ、もう！
亜季,申し訳ないであります
由里子,でも、このプロデューサーさんの考えた変な企画でも、楽しみにしてくれるリスナーさんがいるっていうのは、ありがたい限りだじぇ
清美,そうですね。リスナーさんのためにも、このラジオを頑張って盛り上げなくてはいけません！
亜季,おお！清美殿のやる気がぐんぐん上がっていますな！
由里子,さっきまでのブチギレ清美ちゃんが嘘のよう……ん？なんか今のラノベのタイトルぽくなかった？ブチギレ、清美ちゃん！みたいな
亜季,ラノベというものは良く分かりませんが、謎の語感の良さはあります
由里子,やはり
清美,なにが、やはり、ですか。人を変なキャラに仕立て上げないでください
由里子,でもほら、清美ちゃんのそれはもはやキレ芸みたいなものだし…
清美,なっ、芸ってなんですか芸って！私は至極真面目に、みなさんのことを思ってですね！
亜季,はーいどうどう。清美殿落ち着くでありますよ
清美,そ、そうですね……ふー、まったく由里子さんは
由里子,ごめんだじぇ、でへへ♪
清美,そんなにかわいい顔しても、ラジオですからリスナーさんには媚びれませんよ
亜季,おぉ、少々しゃべりすぎたでありますな。次のお便りをば……
清美,といっても、残り時間だと一通が限界ですか
由里子,時間配分って難しいじぇ
清美,誰のせいで脱線したと思ってるんですか、もう
亜季,はいはい、読むでありますよ。えー、ラジオネームどんぶり三杯はいけないさんからお便りです。……なんとも絶妙にラジオネームらしいラジオネームでありますな
清美,どんぶり二杯の時点で食べすぎな気がしますので、不摂生には気をつけてほしいですね
由里子,……あ、このラジオネームネタだって、あたしにしかわからないやつだ
カンペ,ツッコんでくれていいんですよ…？
由里子,こいつ…！直接脳内に！？
清美,なにカンペのADさんとにらめっこしてるんですか
由里子,ちょっとしたごっこ遊びだじぇ
亜季,えーと、続きを読みますよ？
清美,あ、はい。どうぞ
亜季,えーどこの馬の骨ともわからないアイドルの皆さまこんにちははいこんにちはー
清美,なんでこんなケンカ腰なんですかウチのリスナー
亜季,彼氏を連れてきた娘に怒る父親みたいな言葉回しでありますな
由里子,平○進ファンかな？
亜季,えーと、シンデレラプロの公式ラジオ、記念すべき第一回まことにおめでとうございます
由里子,ありがとうだじぇ！
清美,馬の骨発言からの、丁寧さの落差がすごい
亜季,パーソナリティがランダムで選ばれるラジオなんて珍しいですが、一期一会な感じがしてわくわくです。皆さんは最近わくわくしたことってありますか？あったら教えてください。なかったら別にいいです
清美,あきらめが早い！もう少し私たちの話術に期待してください！
由里子,わくわくかぁ。やっぱりお仕事はいつもわくわくするじぇ
亜季,そうですね。特に、初めてやるジャンルの仕事や、大きなライブとかだとわくわくもスゴイでありますな
清美,私はわくわく半分、不安半分のことが多いですが
由里子,ありゃ、そうなの？
清美,はい。大抵そういうお仕事の時って、テンション上がってはっちゃける子が一人はいるので…
亜季,あぁ、自分自身の不安ではなく、仲間に対する不安でありましたか
清美,もちろん、自分自身への不安もありますけどね
由里子,たとえば、誰と一緒の仕事だと不安？
清美,レイジーレイジーのお二人とか
亜季,いきなりラスボス級ですなぁ
由里子,あたしでも今日どうしよう……って途方にくれそうな2人だじぇ…
清美,由里子さん。あなたも不安の対象に入ってましたからね？
由里子,えっ……マジ？
清美,マジです
由里子,微妙にショックだじぇ……
清美,でも……今回こうして、一緒のお仕事をさせてもらって、想像していたよりは大丈夫かな、と思えましたが
由里子,きよみん……
清美,唐突に心の距離を詰めてくるのはやめてください。誰がきよみんですか
亜季,まぁまぁ、きよみん殿。そうカッカせずに
清美,なぜ亜季さんまでノッてくるんですか！
由里子,……意外と亜季さんってノリいいよね
亜季,炎陣メンバーに鍛えられているであります！
由里子,あぁ、すごい納得した
清美,まったく。話を戻しますけど。あと、わくわくすると言ったら、自分の趣味に合ったお仕事の時などはつい楽しくなってしまいますね
由里子,わかりみが深い
亜季,具体的にいうと、どんなお仕事ですか？
清美,そうですね。最近で言うと、響子さんと一緒にやった巷で話題のお掃除・整理整頓術をアイドルが実際に体験！みたいな企画があったんですが、あれはついテンションが上がってしまいましたね
由里子,そっか、清美ちゃん意外と整理整頓とか好きだもんね
清美,意外てなんですか意外って
亜季,由里子殿はなにかありますか？
清美,まぁ聞かなくてもわかる気がしますが…
由里子,大方の予想通り、サブカルチャー系のお仕事はやっぱり楽しいじぇ。プロデューサーさんもいろんな意味で絶妙な仕事を持ってきてくれるから、いつもわくわくしてるじぇ
亜季,いろんな意味で絶妙とは？
清美,どんな仕事なんです？
由里子,たとえば……、コミケ入稿締め切り間近の徹夜作家のもとに突然お邪魔して、チアの恰好で応援する企画とか？
清美,ハタ迷惑ですね
亜季,確実にブチギレですなぁ
由里子,しかも、荒木比奈先生によるダメ出しアドバイス付き
清美,余計なお世話感がすごい
亜季,その企画、評判はどうだったんですか？
由里子,賛否両論かな
清美,賛の方がいらっしゃったんですか！？
由里子,チアリーディングのいい素材になった。目の保養になった。荒木先生のアシになりたい。などなどのお褒めの言葉もけっこういただいたんだじぇ
亜季,物好きがいるものですなぁ
由里子,物好きっていうと、亜季さんの方もけっこうニッチな企画あるんじゃない？
亜季,そうですね。直近でいうと、私がただただモデルガンをバラして、組み立てるだけの映像を毎週配信する企画とかがありました
清美,えぇ…
由里子,あたしがいうのもなんだけど、それ需要あるの？
亜季,けっこう視聴者数、コメント数共に評判良いみたいでありますな。組み立てながらそのモデルガンの話とかをするので……
清美,亜季さんと共通の趣味を持つファンにとってはたまらないコンテンツ、ということですか
由里子,そう考えると、今回のパーソナリティってキャラ濃いメンバーばっかりだじぇ
清美,キャラが濃いって……私を巻き込まないでください。え、ちょ、なんですかその目は！私はお二人のように濃いキャラではないと思うのですが！！
亜季,……えー、番組ではふつおたをドシドシ募集しております
由里子,今回は2通しか紹介できませんでしたが、次のパーソナリティはもっとうまくやってくれるでしょう
清美,なんで唐突にシメに入ってるんですか！？
亜季,ほら、清美殿。これが次のコーナータイトルでありますよ
由里子,思いっきりタイトルコールするんだじぇ
清美,なんで急にそんな真面目に？。え、え、えっと……お、おしゃべりしてみる前と後ぉ！！。何なんですかこのテンションは！！自由すぎませんか！？
由里子,まぁまぁきよみん落ち着いて
清美,誰がきよみんですか。……はぁ、なんだか怒ってる自分があほらしくなってきました。こほん、では、コーナー説明どうぞ
亜季,はい。このコーナーはタイトル通り、今回パーソナリティのアイドルに対して、おしゃべりする前
由里子,おしゃべり、とは？
亜季,ラジオのことかと
清美,端的に言えば、こうやって一緒に仕事をする前と後の印象を話し合えばいいってことですね
由里子,なるほど
亜季,お、前
清美,一言？長文ではだめですか
由里子,どんだけ書く気なんだじぇ…
清美,わかりました。ふむ、なかなか難しそうですね
由里子,というか、ラジオでフリップっていいの？。あー、声優のラジオとかによくある奴だじぇ
亜季,では、まずは誰からいきますか？
清美,順番は決まっているのですか？
由里子,じゃあ、後腐れなくじゃんけんで決めるじぇ
亜季,では負けた方から行きましょう
清美,なんで罰ゲームみたいな扱いになってるんですか
亜季,おお、由里子殿の一人勝ちですな
由里子,こういう時に発揮される謎運あるよね……アフターじゃんけん大会では全然勝てないのに……
清美,では亜季さん、行きましょう。……
亜季,えー、ということで、順番は清美殿、私、由里子殿に決定しました！
清美,この謎の敗北感はいったい…！？
亜季,えーと。それではこれから時間を少々とりますので、その間に3人分のフリップを書いちゃいましょう、とのことです。では場を繋ぐための曲お聞きください。橘ありすさんでinfact
清美,場つなぎにしては切なすぎませんか！？いい曲の無駄遣い！
由里子,よーし、あることないこと書くじぇ！
清美,そういう企画じゃないですから！正直に書いてください！
亜季,……ほんと、清美殿のツッコミはキレッキレですなぁ
由里子,ということでみんな書き終わりました
亜季,清美殿がなぜか泣きそうになっておりますが
清美,うぅ……場つなぎで使用するにはいい曲すぎるんですよもぅ…
由里子,では、はじめはそんな泣きそうになってるきよみんについて！
亜季,ではまずは前！せーの、どん！
由里子,めちゃくちゃお堅い！
亜季,真面目
清美,ぐすっ……ふむ、まぁよく言われることですね
由里子,いやー、ラジオの打ち合わせ始まる前とかはあたし放送終わるまでに何回怒られるんだろ……とか、正直思ってたじぇ
清美,事実、わりと怒ってますけども
亜季,私も同じようなことです。その……正直、遊びがないような、そんな方だと思っていました。仕事ぶりは幾度か拝見させていただいていましたが、やはり風紀委員長という肩書は伊達ではなさそうだと
清美,それも、よく言われます。まぁそうであろうと自分で務めている部分も多いですが。それで、後はどうなんです？
由里子,よーし、それでは、後！じゃん！。意外とノリがいい！
亜季,ツッコミのプロ
清美,やり直しを要求します
由里子,ええ！？なんでだじぇ！？
亜季,私たちの偽らざる気持ちなんですが…
清美,いやいや、ノリのいいツッコミのプロってなんですか！もう芸人さんじゃないですか！
由里子,将来的には、瑛梨華ちゃんやキャシーちゃんもびっくりのバラドルに……！
清美,なりませんよ！？
亜季,まぁ、冗談半分の話は置いといてですね
清美,半分本気のあたりがタチ悪いです…
亜季,正直な気持ち、想像していたよりずっと親しみやすい方だな、と思ったであります
由里子,うんうん。確かに何回も怒られたけど、どれもこれも思いやりのある説教なんだよね。だから怒られても平気というか……まぁ平気じゃダメなんだけどさ
清美,亜季さん……由里子さん……
由里子,だから…ね？
亜季,うん、そうでありますな
清美,台無しなんですよもー！まぁ今までの流れ的に、いい話のまま終わるわけないとは思ってましたけど！！
亜季,では次は私の番でありますな
清美,ツッコミスルーって一番タチ悪くありません？
由里子,タチ悪いじぇ
清美,自覚アリですか…
亜季,さあさあ、フリップを出すであります
清美,むぅ。いろいろ話し合いが必要だと思うのですが……時間もないですし、しかたありません。では亜季さんの前。発表します、どん！。トレーニングの鬼
由里子,ガンマニア
亜季,ふむ。由里子殿のガンマニアはその通りだと思いますが、清美殿のトレーニングの鬼とは？
清美,その、以前……えっと、去年の夏フェスの時ですか。あの時、私のユニットと、炎陣さんの楽屋が一緒になったの、覚えていますか？
亜季,あぁ。確か、清美殿はフォーピースでの参加でしたな
清美,はい。その、あまり公でいうことではないかもしれませんが……、亜季さんが衣装に着替えてるときに、すごい筋肉だなぁって見惚れてしまいまして
由里子,百合案件？。つらみ
清美,それで、あんな身体になるまでにどんなトレーニングをしてきたのかなと想像したら、恐ろしくなってしまったことを思いだしたんです
亜季,なるほど、それでトレーニングの鬼と
清美,実際どうなんですか？
亜季,そうですね…。アイドルになる前からトレーニングは欠かさずしていましたよ。サバゲーは結構体力を使いますから
清美,そうなんですか
由里子,狭いフィールドでバンバン撃ちあってるだけだと思ってたじぇ
亜季,まぁ、狭いフィールドもありますし、短時間で決着がつくこともありますが……それでも、銃を素早く扱うことや、俊敏にフィールドを駆け回ることがサバゲーでは大切なことであります
清美,必然的にトレーニングは必要になると
亜季,普通に筋トレが好きなのもありますけどね
由里子,あっ、筋トレに快楽を覚えちゃうタイプの人間だったじぇ
亜季,快楽を覚えるほどではありませんが……
由里子,でも、ムキムキになった二の腕とか、バキバキに割れた腹筋とか見ると、恍惚とした表情浮かべることあるでしょ？
亜季,ありますね
清美,えぇ……ちょ、それ公表して大丈夫な話なんですか？。売り出し方とか
由里子,生々しすぎるじぇ
亜季,さて。では、由里子殿のターン、行きましょうか
清美,ふふふっ、待っていましたよ
由里子,うぐっ、いやな予感がする……
清美,今までふざけてたツケを返す時です…！
由里子,あんぎゃーす！
亜季,はい、由里子殿の前。ドン！
清美,お調子者
亜季,オタク
由里子,……あれ？意外に普通だじぇ
清美,私、真面目ですから
亜季,謎のマウントを取ってきたでありますな
由里子,もっとひどいこと書かれるのかと……
亜季,たとえば？
由里子,ぶっちぎりでヤバいやつ、とか
清美,ただの悪口じゃないですか
由里子,清美ちゃんにしてきた数々の無礼を考えるとそれぐらい言われるかなと……
清美,自覚があるなら自重してくださいよ、まったく
由里子,むぇー
亜季,きらり殿かな？
由里子,でも、あたしのキャラを考えるとお調子者のオタクって思われても仕方ないかなぁ
亜季,自分で書いておいてなんですが、由里子殿はどういったオタクなのですか？
由里子,あたしの主専攻はBLだじぇ
清美,まるで学問であるかのように言わないでください
亜季,BL、ボーイズラブのことでありますね？男性同士が仲むつまじくしている様子を描くという……
由里子,なんか微妙に引っかかる言い方だけど、まぁ正解だじぇ。というか、さっきから気になってたんだけど、結構亜季さんって話わかるよね。隠れオタク？
亜季,そういうわけではありません。でも、けっこうサバゲーをやっている方には、いわゆるオタクという方々が多くてですね。打ち上げをやる時などに、けっこう話を聞くんですよ
清美,なるほど
由里子,これは沼に誘いこめる可能性が微レ存…？。マッチョ系はOKで、なぜオタクはNGなんだ……。追い打ちでガチめの注意を受けたじぇ……
亜季,こほん、少々脱線してしまいましたが……では、由里子殿の後を発表するであります。せーの、どん！
清美,わりといい人？
亜季,空気の読めるオタク
由里子,亜季さん、若干けなしてない？
亜季,めっそうもない。さて、では清美殿から説明をいただきましょうか
由里子,というか？ついてるのはどゆこと？
清美,私自身、評価が分かれているからです
亜季,というと？
清美,由里子さんがお調子者であるという評価は、正直全く変わっていません
由里子,がーん
清美,しかし、私が想像しているよりは……なんといいますか。一線は越えてこないと言いますか、やってはいけないことはわかってると言いますか
亜季,……本気で困ることはしてこない？
清美,そう！そんな感じです
由里子,おー、そう言ってくれるのは、ちょっと嬉しいけど……でもそれってわりと普通のことじゃない？そんな困ることをするアイドルなんて――
清美,一之瀬志希
由里子,あっ
亜季,宮本フレデリカ
由里子,あっ
清美,棟方愛海
由里子,あっ
清美,正直、今日こうやって一緒にお仕事をするまで、こういったメンバーと同じタイプの方だと思ってましたから
由里子,あのメンバーと比べられたら、誰でも負けるんだじぇ
亜季,ヘレン殿…
由里子,うん？
亜季,なんでもないであります
清美,ですから……まぁ、安心しました。由里子さんとなら、これからもまずまず平和にやっていけると思います
由里子,まずまずという単語がいつか消えるようにがんばるじぇ
亜季,ということで、以上おしゃべりしてみる前と後でした！今後も行っていくコーナーですので、ドシドシメールを送ってくるであります！
由里子,あれ？亜季さんの説明聞いてないじぇ？
亜季,私も清美殿とほとんど同じようなことでしたから、尺の都合でカットするであります
清美,世知辛いですね……
由里子,フォロー入れとかないと、あーだこーだ言われるそんな悲しい時代だじぇ
清美,いったい誰と話してるんですか、あなたたちは
由里子,はーい！エンディングだじぇ！！
清美,エンディング……コーナー二つしかしてないのに…
亜季,実はやる予定だったコーナーが、もう一つあったりします
由里子,きよみんが毎回キレるから……
清美,それついては反省していますが、キレる原因を作らないでほしかったです
由里子,言われてるじぇ、プロデューサーさん
清美,原因の半分は由里子さんですけどね
由里子,ヒュー、ヒュー
清美,口笛でごまかすとか、何年前の手法ですか！
亜季,ふけてないところまでがテンプレートでありますな
由里子,まぁまぁ悔やんでもしょうがないじぇ。次回のパーソナリティはもっとうまくやってくれることに期待しよう！
清美,まったく…
亜季,それで、これから次回のパーソナリティを決めるのでありますな？
清美,…？箱が一箱しかありませんが
由里子,キュート、クール、パッションの箱があるんじゃないの？
亜季,なるほど。それで具体的には？
清美,ガラスの靴ラジオの根本から変えてきましたね
由里子,挑戦的だじぇ
亜季,まぁ最終的にはくじ引きですから、そこまでの影響はないのではないですか？
由里子,全員パッションとかだったら笑えるじぇ
清美,激しいラジオになりそうですね……
由里子,それじゃああたしから……これだ！
亜季,誰でありますか？
由里子,じゃじゃん！高垣楓さん！！
清美,楓さんですか。なるほど
亜季,確か楓殿は、別でラジオをやっておりましたよね？
由里子,高垣楓のちょっと一献だったっけ？
清美,ド直球に楓さんらしいタイトルですね……
亜季,ラジオ経験者の楓さんがいるなら来週は安泰でありますな！
由里子,すごいフラグ臭が……
清美,では、次は私が。はいっ
由里子,誰だ誰だー？
清美,ふむ、佐久間まゆさんですね
亜季,おー、まゆ殿でありますか
由里子,楓さんとまゆちゃん……なんだかすごくゆったりしたラジオになりそうだじぇ
清美,ここまできれいにクール・キュートと分かれてますね
亜季,では最後は私が。とぅ！
由里子,ドキドキ…
亜季,むむっ！私が引いたのはライラ殿！
由里子,おお！？なんか意外なところが来た感じ！
亜季,クールが被ってしまいましたが……まぁそれは仕方ないことでありますね
清美,ライラさんと、楓さん、まゆさんのラジオですか……なんだか、いやな予感がするのは私だけでしょうか？
亜季,嫌な予感というか、不穏な予感というか…
由里子,……ちゃんとコーナー進行できるのかな……
清美,経験者の楓さんがいれば大丈夫なのでは？
亜季,高垣さん、ちゃんと台本読んでくださいがプロデューサーの口癖になりつつあるという話を聞いたことがあります
由里子,まゆちゃんファイト！
清美,いや、ライラさんもしっかり……しっかり？お、落ち着いてますし大丈夫です！
亜季,言い直した辺りに清美殿の迷いを感じるであります
由里子,ライラちゃんは落ち着いてるけど、進行とかができるタイプじゃないと思うなぁ……
亜季,まゆ殿ファイト！
由里子,ということで、次回のガラスの靴ラジオ第二回は、高垣楓、佐久間まゆ、ライラの3名のパーソナリティでお送りするんだじぇ！
清美,こんな不安たっぷりな締め方でいいんですか！？
由里子,気にしたら負けだじぇ
亜季,それでは、ここまでお送りいたしましたのは、クール代表！大和亜季と！
由里子,キュート代表、大西由里子と！
清美,ぱ、パッション代表、冴島清美でした
由里子,ばいばーい！
清美,お疲れ様でした
亜季,またの機会にお会いしましょう！
清美,……最後まで統一感がありませんでしたね。
由里子,今後の為にも、共通のあいさつみたいなのは必要だとおもうじぇ。あと番組だけのラジオネームとか
亜季,ガラスの靴ラジオというのも、いささか語感が悪い気がしますね
由里子,リスナーさんから意見をもらうべきかな……
由里子・亜季：途中でブチ切れた清美ちゃん,殿
