北川真尋,！
沙織,…そ、そだな……。……わだすには、真尋ちゃんみたいな明るさはねーし……
真尋,あ、そういう風に取っちゃうのかー
沙織,……
真尋,むずかしいなー。…考えるのは苦手…
泉,…
真尋,…。ね、いずみん
泉,うん
真尋,ちょっと走って来ていいかな
泉,急ね！
真尋,充電切れちゃった
泉,バッテリーが劣化してるんじゃないかしら
真尋,もともとと違う用途で使っちゃうとねー。ていうかそんなにつねられ足りない？
泉,…
沙織,…
泉,…。あの…えっひょ
沙織,？…へ、へい
真尋,…
泉,ありがと、……はい。じゃあ…沙織さんって、呼んでも…いいですか。…呼び捨てはさすがに…
沙織,……あっ……。う、うん。も、もち、もちろん…
泉,はい。えと、沙織さん
沙織,は、はい
泉,まだ、ちゃんと話したこともないし、ごめんなさい。べつに沙織さんのことを、友達だと思っていないとか、そういうわけじゃなくて
沙織,う、うん
真尋,初々しいねっ！
泉,真尋は真尋って感じで、またちょっと特別なので
真尋,あれどうしていきなりこっちに矛先が？
沙織,うん
泉,まあ…ゆっくり、仲良くなって行きましょう。…みたいな
沙織,…、う、うん。や……、こちらごそ、その、…努力もせずに、わがまま言って……
泉,そんなことないです
沙織,…
真尋,うん？
沙織,…。なんだがー…真尋ちゃんが真尋ちゃんだってこどが、よぐ分かっただ。真尋ちゃんだって、ちゃんと真尋ちゃんしてるがら、真尋ちゃんなんだべな
真尋,？？。ちょ、さおりん、すとっぷ。いまの説明じゃなにがなんだか…？？
泉,そうですね
真尋,えっうそでしょ、なんで分かってんの
沙織,だべなー
真尋,急に疎外感がすごいよっ！
泉,せっかくですから、一緒にお昼ご飯でも行きましょう
沙織,いいべなー
真尋,…。…あれー…
泉,？。…ふふ、真尋も行く？
真尋,…！い、行くよぅ！仲間外れはよくないよ！
泉,でもさっきパンを食べてたし
真尋,あ、あれは朝ご飯だもん！
泉,太るわよ
真尋,は、走ってるからだいじょぶだし！
泉,知らないわよー
真尋,いずみんは意地悪だ！もぉっ！
沙織,…。へへ……みんなでお昼かー。…楽しいなっ…
