ミリP(以下、P),ただいまー
P,痛い、莉緒しまってるっ！
莉緒,なんで翼ちゃんに抱きつかれて鼻の下伸ばすのに、私が抱きついてる時には反応してくれないのよー！。もう、プロデューサーくんのすけべー！
P,反応してるわ！そう見えてないだけだっつの！
莉緒,……ホントぉ？
P,……お、おぅ
莉緒,……それなら、許しちゃおっかなー？
P,どちらにせよ離れないのか……
莉緒,…………
P,……いつまでくっついてるんだ？
莉緒,……良いでしょ？
P,……良いよ
莉緒,ふふっ、やった♪
P,頭をもたせかけられるんじゃない……
莉緒,折角二人きりなんだもん、もっと甘えさせてよ
P,生憎、そういうのは下手でな
莉緒,もー、嘘ばっかりなんだから……
P,……他の奴にやるなよ？
莉緒,おっ、珍しく嫉妬してくれたわね？
P,……そ、そういうのじゃないが
莉緒,大丈夫よ、キミだからやってるの♪
P,…………
莉緒,……何か言ってよ、恥ずかしいじゃないの
P,莉緒がそんな台詞言い出すのが悪いんだろ……
莉緒,…………
P,……そ、そろそろ寝るか！
莉緒,そ、そうね！
P,…………
莉緒,どうかしたの？
P,……一応聞いておくけど、どこで寝る？
莉緒,プロデューサーくんのベッド
P,…………
莉緒,えっへへ～ぷろでゅーさーくーん
P,本当に潜り込んできた……
莉緒,もう、いつもの事じゃないの
P,……飽きないのか？
莉緒,……こうしてるとね、心が落ち着いてくるのよ
P,……俺はドキドキしてばっかりだよ
莉緒,えっ？
P,あっ、今のなし
莉緒,も、もう一回だけ言って！お願い！
P,絶対嫌だ！
莉緒,むぅ……勿体ない事したわ。それじゃ、また今度聞かせてもらうわね♪
P,酔ってるとロクな事言わないな……
莉緒,プロデューサーくん、ぎゅーってしてー♪
P,分かった分かった……
莉緒,えっへへ……やっぱり良いわねー。……そうだ、プロデューサーくん！ちょっと良いかしら？
P,ん、どうかし――！？
莉緒,ここら辺かしら……
P,！？。い、今舐めなかったか！？
莉緒,後は……
P,首筋に何か……！
莉緒,っ……よっし、これでオッケーね！
P,な、なんだったんだいきなり……
莉緒,ふふっ……キスマーク♪
P,ああ、キスマークか……キスマーク！？
莉緒,えっへへ、これでプロデューサーくん一人占め～♪
P,……今日はやけに甘えてくるんだな。なんか不安な事でもあったのか？
莉緒,……分かる？
P,普段からあれだけ接してて気付かないわけないだろ
莉緒,そう……やっぱりキミに隠し事はできないわね
P,…………
莉緒,……私、ちゃんとアイドルとして魅力あるのかしら？
P,魅力？
莉緒,セクシーっぽくしても、キミは良いって言ってくれないし……。私、ちゃんとアイドルとしてやれてるのかなーって
P,……莉緒は十分魅力的だよ、俺が保証する
莉緒,本当？お世辞じゃないわよね？
P,魅力的じゃなきゃ、プロデュースなんて出来ないからな。……たまーに変な方にブレるけど
莉緒,もー、意地悪な事言うわねぇ
P,……でもな、多分そんな莉緒で良いんだと思うぞ
莉緒,……その方が好き？
P,俺は好きだよ
莉緒,……そ♪
P,……あれ、俺今なんかめっちゃ恥ずかしい事を口走ったような
莉緒,好きかぁ……ふふっ。それなら、私がちゃーんと輝けるようにしてもらわなきゃね……
P,……莉緒？
莉緒,……ん
P,……分かってるよ、任せとけ
莉緒,…………♪
P,……ん
莉緒,すぅ……
P,…………
莉緒,…………♪
P,……莉緒、そろそろ起きて
莉緒,……ぷろでゅーさーくん？
P,……！
莉緒,ふふっ、顔あかぁい
P,そ、そんな事はないぞ
莉緒,照れちゃってぇ……もー♪
P,寝ぼけてるな……。……ん？。……えっ？
莉緒,ぷろでゅーさーくぅん……もうちょっとだけぇ
P,莉緒！頼む、起きてくれ！時間がまずい！！。お、おはよう皆……ごほっ
莉緒,はぁ、はぁ……もうムリ、限界
桜守歌織,以下、歌織
最上静香,以下、静香
P,す、すまん……ちょっと起きづらくて
静香,笑い事じゃないですよ！。ただでさえ美也さんと杏奈がいないのに……
P,悪かった！悪かったって！
歌織,莉緒ちゃん、ほらお水飲んで？
莉緒,あ、ありがと歌織ちゃん……。……っはぁ、生き返ったわ
歌織,もう、随分急いできたのね？。ひょっとして寝坊？
莉緒,え？あーっ、まあちょっと寝心地が良くてね！
歌織,確かに、最近少し寒くなってきたものね……
静香,……それで、なんで二人今日は一緒に来たんですか？
P,ん？いや、まぁ途中で会ってな
静香,……偶然？
P,うん、偶然
静香,それにしては――
北沢志保,以下、志保
志保,折角朝から集まってるのに、時間がもったいないです
P,おお、そうだな！それじゃ、このメンツでやるとなると……。……よし、30ページの莉緒の所から始めるか
莉緒,よっし、任せておきなさい！
静香,…………？。……プロデューサーも、あれだけカッコ良くしてくれたら良いんですけど
P,無茶言うな、あれは莉緒だから様になってるだけだ。……よし、そこまで！
莉緒,ふぅー……どうかしら？
志保,莉緒さん、流石です……勉強になります
莉緒,志保ちゃん、アリガト♪。志保ちゃんは男の子の役、やった事ないんだっけ？
志保,そうですね……カッコイイ役なら何回かやってはいるんですけど
莉緒,似合うと思うんだけどな～プロデューサーくんはどう思う？
P,ああ、悪くないんじゃないかな
志保,……そうでしょうか
歌織,私もそう思うわよ、志保ちゃん
志保,歌織さんまで……。……それなら、今度挑戦してみようかな
P,そういう事なら、俺もそういう仕事を探してみるよ
志保,お願いします、プロデューサーさん
P,……それじゃ、時間も良い感じだし休憩しようか。みんな、ちゃんと水分補給しておくように
莉緒,はーい♪
静香,……そういうプロデューサーこそ、しっかり水飲んでください
P,おっ、悪いな静香
静香,……私の演技はどうでしたか？
P,良かったと思うよ、自然に出来てたし。役に合ってるからかな、今の所気になった事はないよ
静香,……何か、アドバイスとかないんですか？
P,本当によく出来てたと思うんだけどなぁ……そうだな。それなら、何気ない動きにもきっちり感情を込めてみようか
静香,何気ない、ですか？
P,ああ……簡単なのだと視線の動きとか、ちょっとした手の仕草とかだな。二葉がどう考えてるのかってのをイメージして、細かい所で感情を表現するんだ
静香,……難しいそう、ですね
P,出来ないなら出来ないでも良いんだぞ？
静香,ば、馬鹿にしないでください！やってみせますから！
P,……そうか
静香,……ありがとうございました
P,おう、しっかり水飲んでおくんだぞー
歌織,静香ちゃんに随分難しい事をアドバイスしたんですね？
P,うーん……やっぱり早かったかな
歌織,……大丈夫ですよ、静香ちゃんなら。プロデューサーさんも、信じてるから任せたんでしょう？
P,……そうですね、後は静香に任せてみます
歌織,……あっ、プロデューサーさん？ネクタイ曲がってますよ？
P,あれっ、本当ですか？急いで出てきたからかな……
歌織,大丈夫です、直しますね。……こういうの、なんだか夫婦みたい。……あら？
P,どうかしましたか？
歌織,首元……何かに刺されてますよ？赤くなってます
P,そうですか……え？。キスマークの事すっかり忘れてた！
歌織,……どうかしましたか？
P,い、いえなんでも！
歌織,そうですか……。……そういえば
このみ,キスマークについて教えてくれ？
莉緒,このみ姉さんなら分かるでしょ？
このみ,人並みには分かるけど……なんでそんな事聞くのよ？
莉緒,デキるオンナの武器って雑誌に書いてあったの！
このみ,……ちなみに、どういう感じのデキるオンナだったの？
莉緒,んーとね……彼氏を逃がさないオンナって書いてあったわ
このみ,……まぁ、間違ってはないわね
歌織,あの、このみさん？キスマークって……
このみ,なによ、歌織ちゃんも気になるの？
歌織,た、多少は……
このみ,そうねぇ……キスマークは相手に刻む自分の印、って考えると分かりやすいかしら
莉緒,自分の……ねぇ
このみ,そ、だから相手が自分のモノって証明になるの
歌織,と、いうことはつまり……
このみ,付いてる相手にはパートナーがいる、って事になるわね
莉緒,パートナー、かぁ……良いわね！。ね、このみ姉さん！それってどうやって付けるの！？
このみ,……付け方くらい自分で調べてちょうだい
歌織,って、この前……。後で薬、塗っておかないとダメですよ？
P,そ、そうですね！
歌織,焦ってる……もしかして、本当に？。キスマークって事は、つまりそういう人が……。プロデューサーさん、とても魅力的な人だもの。そういう人がいても、おかしくなんてないわよね……。そっか……
P,歌織さん……？
歌織,――いえ、なんでもないですよ
P,？。すみません、失礼して……どうした？
歌織,…………
P,……分かった、すぐ行くから待っててくれ。莉緒、後任せても良いか？
莉緒,良いけど……どうかしたの？
P,杏奈の方でトラブル起きたみたいでな、面倒事になる前に何とかしてくる。歌織さん、それじゃあまた後で
歌織,は、はい……
莉緒,まったく、プロデューサーくんも引っ張りだこなんだから……。それじゃ、後一回通して終わりにしましょうか！さっきの所から始められる？
静香,だ、大丈夫です！
志保,私も問題ありません
莉緒,よし！それじゃ……
歌織,…………
莉緒,……歌織ちゃん？
歌織,え？
莉緒,体調悪いなら休んでる？
歌織,う、ううん！大丈夫！。ほら、早く始めましょ？
莉緒,？え、ええ……。ん～！ようやく終わった～！。さっきの記者、歌織ちゃんの方ばっかり見てたわね？
歌織,ええっ？そんな事ないと思うけど……
莉緒,いーや！ずぅーっと歌織ちゃんの方見てたわ！
歌織,そ、そうかな……
莉緒,……ねぇ、何かあったの？
歌織,そ、そう見える？
莉緒,だって、さっきのインタビュー中、ずっと上の空だったじゃない
歌織,……大した事じゃないから、大丈夫よ。私が勝手に勘違いしていただけだもの……
莉緒,ホント？それなら、良いんだけど……
歌織,…………
莉緒,……よし！歌織ちゃん、今日この後暇？
歌織,へっ？まぁ、予定はないけど……
莉緒,やった！そういう事なら……。ちょーっと待っててねー
歌織,？
莉緒,あっ、プロデューサーくん？今日、歌織ちゃんも連れて行こうかと思うんだけど良い？。えっ、布団がない？三人で寝れば良いでしょ！
歌織,……！？
莉緒,……ん、一回事務所帰ってくるの？。分かったわ、そこで落ち合いましょ！
歌織,り、りりりり莉緒ちゃん！？何を……
莉緒,さ、今日は飲むわよ～！
歌織,り、莉緒ちゃん待って……！。ここが、プロデューサーさんのお家……
P,すみません、あんまり片付いてなくて
歌織,い、いえ……。ここで、いつも寝泊まりしてるんだ……
P,……歌織さん？
歌織,ひゃ、ひゃい！なんでもないです！
P,？
莉緒,プロデューサーくーん、ちょっといーい？
P,おーう……
莉緒,私、お酒買ってくるから……歌織ちゃんの事、お願いしても良い？
P,いや、それなら俺が行くよ。アイドルを放ってのんびりするなんて……
莉緒,ダメよ、プロデューサーくんには歌織ちゃんに話聞いてもらわなきゃダメだもの
P,……歌織さんの？どういう事だよ
莉緒,だって、歌織ちゃんなにかで落ち込んでるみたいなんだもの。プロデューサーくんになら話してくれるかもしれないでしょ？
P,そんな信頼されても、話してくれるかどうか……。……そもそも外飲みじゃダメだったのか
莉緒,プロデューサーくんの家なら終電気にしなくても良いでしょ？
P,俺の家はホテルじゃないんだぞ……
歌織,…………。莉緒ちゃんとプロデューサーさん……仲良さそう。良いなぁ……
莉緒,歌織ちゃーん、ちょっといーい？
歌織,どうかしたの、莉緒ちゃん？
莉緒,ちょっとお酒、買いに行ってくるからプロデューサーくんとお留守番しててくれる？
歌織,えっ？それなら、私も……
莉緒,大丈夫！私、この辺慣れてるから！
歌織,そう……？
莉緒,……プロデューサーくん、お願いね？
P,分かったよ……
歌織,……莉緒ちゃんは、よく来てるんですか？
P,え？
歌織,さっきも、合鍵がどうって……
P,あ、ああ……そうですね、二人で飲む時は家で飲む事も多いです
歌織,そうなんですか……
P,……どうか、したのか？
歌織,……もう、そんなんだと彼女に怒られちゃいますよ？
P,……彼女？
歌織,……いないん、ですか？
P,はは、癒してくれる素敵な彼女がいれば良いんですけどね。生憎、彼女作るような時間はなくて
歌織,…………
P,それが原因で落ち込んでたんですか？
歌織,……は、はい
P,……良かった
歌織,……良かった、ですか？
P,いや、もっと深い悩みならどうしようかと。話して解決できるような内容で良かったです
歌織,……もし、他に悩みがあったら相談に乗っていただけますか？
P,当然です、その為に俺はいるんですから
歌織,……ふふっ、ありがとうございます♪
P,ところで、なんでそんな風に思ったんです？
歌織,それは……その、お恥ずかしい事なんですけど。首元の虫刺されをキスマークと勘違いしてしまって……
P,…………
歌織,……プロデューサーさん？
P,あの、これはですね……
歌織,…………
P,き、昨日莉緒に……
歌織,……えっ？
莉緒,たっだいまー！
歌織,……莉緒ちゃん、おかえり
P,た、タイミングが悪すぎる……っ！
莉緒,あれ？プロデューサーくん、何とかなった？
P,何とかなったけど、何とかならなくなった
莉緒,？変なプロデューサーくんねぇ
歌織,莉緒ちゃん、一つ聞いても良い？
莉緒,良いわよ、何？
歌織,昨日の夜、どこで何してたの……？
莉緒,昨日……？。あっ、プロデューサーくんと一緒に寝たわ！
歌織,……え？
P,あっ、馬鹿！そんな言い方したら――！
歌織,……プロデューサーさん？
P,は、はい！なんでしょう！
歌織,詳しく、お話聞かせてくださいね……？。……つまり、言葉の通り二人で一緒に寝たと
P,ふ、不健全な事は何も
歌織,抱き合って、その上キスマークまで付けてるのに、ですか？
P,…………
莉緒,むぅ、いつもの事なのに……
歌織,い、いつもの！？
P,い、いや！たまにですよ、そんな毎日やってる訳じゃ
歌織,…………
P,……歌織さん、何で落ち込んでるんです？
歌織,だ、だって……二人とも仲良さそうだし
P,？
莉緒,？
歌織,歌織は、寂しいです……
P,…………
歌織,……わ、忘れてください！
莉緒,歌織ちゃん、カワイイ～♪
歌織,ちょ、ちょっと莉緒ちゃん！？
莉緒,良かったわね～プロデューサーくん♪愛されてて♪
P,ちゃ、茶化すな！
歌織,もう……
莉緒,ゴメンって！そんな怒らないでよ、歌織ちゃん。プロデューサーくんだって見惚れてたわよ？
歌織,……そう？
莉緒,勿論！あの時の歌織ちゃん、とーっても可愛かったんだから♪
歌織,むぅー……誤魔化されてるような
莉緒,ほーら！拗ねないの、背中洗ったげるから！
歌織,…………
莉緒,……それにしても、歌織ちゃんの背中ってスッゴイ綺麗よねー
歌織,そ、そうかしら……あんまり自信はないんだけど
莉緒,勿体ないわねー……そうだ、プロデューサーくんの意見も聞いてみたら？。きっとメロメロよ、メロメロ♪
歌織,メロ、メロ……
莉緒,……そうだ！折角だし
歌織,莉緒ちゃん、何を――！？
P,……楽しそうだなぁ。まぁ、歌織さんが変な風に落ち込んでなくて良かった……。おっ、出てき――
歌織,お、お先に頂きました……
P,…………
歌織,ど、どうかしましたか？
P,い、いえ……髪を下ろした歌織さん、初めて見たので。……すみません、見惚れてました
歌織,それは……その。……嬉しいです
莉緒,ねー？言った通りだったでしょー？
P,莉緒がやったのか？
莉緒,どーお？私の見立ても中々のモノでしょ？
P,ああ……凄く、良いと思う
歌織,そ、そんな褒められると照れちゃいますね……
P,あっ、困らせるつもりじゃ
歌織,…………
P,…………
莉緒,………むぅ
P,莉緒？
莉緒,何でもないわよぉ……。ほーら！プロデューサーくんもシャワー浴びてきちゃいなさいよ！
P,おい、莉緒押すなって！。そういえば、今日のインタビューはどうだったんだ？
莉緒,問題なかったわよ？。……歌織ちゃんがプロデューサーくんの事ばっかり考えてた以外は♪
歌織,も、もう！莉緒ちゃんったら！
P,……仕事に支障きたしてなかったなら良いんだけどさ
莉緒,もう、つれないわねぇ。本当は嬉しいくせに～♪
歌織,……！？
P,急に抱きつくなって……
莉緒,こーんな綺麗なお姉さんたちと飲んでるのに反応しない罰よ、罰！
P,自分で言うなよ……
莉緒,～～♪
歌織,…………
P,……か、歌織さん？
歌織,莉緒ちゃんばっかりズルいです……
莉緒,両手に花ね、プロデューサーくん♪。ね、ドキドキしてる？
P,……してる
莉緒,それならよろしい♪
歌織,あったかい……
P,ど、どうすれば良いんだ……。……酒が美味ぇ
莉緒,さーってと！そろそろ寝ましょうか！
P,そう、だな……。耐えた……俺は耐えたんだ……。それじゃ、歌織さんは莉緒と二人で俺のベッドを使ってください
歌織,プロデューサーさんはどうなさるんですか？
P,俺はソファで寝ますよ
歌織,そ、そんなのダメですよ！私が寝ますから……
P,いや、アイドルをソファに寝かせるわけには……
莉緒,なーに言ってるの、早く行きましょ
P,……本気で俺のベッドで三人寝るのか？
莉緒,電話した時話したじゃないの
P,……莉緒、俺のベッドはそんなにデカくないんだよ
莉緒,大丈夫よ、詰めれば♪
歌織,…………？。…………
P,歌織さん、流石に詰めないと落ちちゃいます
歌織,で、でも……
P,……すみません、失礼します
歌織,あっ……
莉緒,プロデューサーくん、カッコいい～♪
P,茶化すなって……。すみません歌織さん、平気ですか？
歌織,こんな近くに、プロデューサーさんが……
P,歌織さん？
歌織,は、はい……大丈夫です
P,それなら良かった……
莉緒,もう、二人だけズルいー！私も混ぜなさいよー！
P,……寝れなくなるだろ？
莉緒,ふふっ、今日はオールナイトね？
P,二人は午後からだけど、俺は朝から出勤なんだよ……
歌織,…………
P,？
歌織,…………！。ダメ、顔が近すぎて見れない……！。……あっ。莉緒ちゃんの、キスマーク……
莉緒,……そういえばさ、歌織ちゃんが気にしてた大本ってキスマークなんでしょ？
歌織,そ、そうだけど……
莉緒,それならさ、折角だし歌織ちゃんも付けちゃったら良いんじゃない？
P,……は？
歌織,え、ええっ！？
P,いや待て、それは……
歌織,そ、そうよ莉緒ちゃん！そういう事は……
莉緒,でも、付けたらプロデューサーくん独占出来ちゃうわよ？
歌織,プロデューサーさんを、独占……
P,歌織さん？なんだか目が据わってる気がするんですけど……
歌織,……莉緒ちゃん、キスマークってどうやって付ければ良いの？
P,！？
莉緒,痕が付くまでちゅーってするだけよ？。後、舐めておくとキスマーク付けやすいんですって！
P,だから昨日舐めてたのか……！
莉緒,ふっふ～ん、だいせいか～い♪
歌織,よ、よし……
P,歌織さん、一旦落ち着いて……
歌織,プロデューサーさん……じっとしていてくださいね？
P,待っ――！
歌織,…………
P,！
歌織,………っ
P,はっ……！。なんで俺は昨日余裕があったんだ……っ！？。…………
歌織,……ぷはぁっ
莉緒,……これ、見てると恥ずかしいわね
P,あたり、まえだろ……！
歌織,……良かった、ちゃんと付いてる。……ふふっ
P,歌織さん……？
歌織,……これで私達のモノですね、プロデューサーさん♪
P,っ！
莉緒,ちょ、ちょっと！なんで目瞑っちゃうのよー！。まだ夜はこれからでしょー？
P,ダメだ、今日はもう寝る！。無理にでも寝なきゃ間違いでも起こしそうだ……！
莉緒,もう、いけずぅ……
歌織,……莉緒ちゃん、ちょっと
莉緒,ん、どうかしたの？
P,平常心、平常心……
莉緒,……おっ、それ良いわね♪
P,……今度は何を――。…………！？
歌織,……うふふっ♪
莉緒,おやすみ、プロデューサーくん♪
P,……明日の朝まで、耐えられるのかな。お、おはようございます……
このみ,ぷ、プロデューサー？どうしたの、やつれちゃって
P,いやぁ、ハハ……少し、色々ありまして。色々やばかった……我ながらよく理性を保ったな
このみ,そ、そう……無理はしないでね？
社長,キミ、大分疲れが溜まっているようだね？。あまり無理をしてはいけないよ？
P,はい……
このみ,ほーら、ネクタイも曲がってる！。社会人なんだもの、身だしなみしっかりしないとダメよ？
P,め、面目ないです……気を付けます
このみ,ん、分かればよろしい！。それじゃ、直してあげるから、少し屈んでくれるかしら？
P,は、はい……ありがとうござ――っ！？
このみ,？どうかしたの？
P,いえ、ネクタイは自分で締めなおすので大丈夫です！
このみ,そう……？
P,危ない、昨日と同じミスをするところだった……
社長,そんなに遠慮する事はないじゃないか！。どーれ、そういう事なら私が締めてあげよう！
P,あっ
社長,……ん？んん～？。……キミぃ、もしかしてこれはキスマークではないかね？
このみ,！？
音無小鳥,以下、小鳥
P,ハハ、まさか。ただの虫刺されですよ
社長,なに、そんなに隠すことはないじゃないか！。私も昔はよくつけていたものだ、よ……？
このみ,……社長？
社長,……二つ、あるね？
P,……ありますね、はい
社長,…………
P,…………
このみ,……プロデューサー？
P,……劇場の方行ってきます！
このみ,こらっ、話はまだ終わってないわよプロデューサー！
社長,……彼、やっぱりモテるんだねぇ
小鳥,そうですね……
社長,……音無君？
小鳥,……社長、本日は有給を使わせていただきます
社長,おーい、音無君！戻ってきてくれたまえーっ！！
P,ただいま
歌織,おかえりなさい、プロデューサーさん♪
P,……た、ただいま戻りました。…………
歌織,どうかしましたか、プロデューサーさん？
P,い、いえ！なんでもないです！。夫婦みたいだな、なんて言えるか！
歌織,……それじゃ、鞄お持ちしますね
P,あ、ありがとうございます……
歌織,…………
P,歌織さん？
歌織,プロデューサーさん
P,は、はい
歌織,……ご飯にしますか？お風呂にしますか？
P,……へっ？
歌織,そ、それとも……その
P,っ！。い、いけない！相手はアイドルだ、嫁じゃないぞ！。ご、ご飯でお願いします！
歌織,はい♪
P,うわ、また豪華な……
歌織,お口に合うと良いんですけど……
P,そんな、これ以上求めたらバチが当たっちゃいますって！。それでは……いただきます！
歌織,どうぞ、召し上がれ♪
P,はむ……ん！
歌織,…………
P,美味い！これ、凄く美味しいです！
歌織,よ、良かったー……どんどん食べてくださいね
P,はい……うわ、こっちも美味いな
歌織,…………
P,……あの、歌織さん？
歌織,はい、なんでしょう？
P,その……じっと見られてると、食べにくいです
歌織,ご、ごめんなさい！ご迷惑でしたか？
P,迷惑とかじゃない、ですけど……。……俺の顔なんて見てても、楽しくないと思いますよ？
歌織,そんな事ないですよ？
P,……そうでしょうか
歌織,はい、とっても楽しいです♪
P,…………
歌織,…………♪
P,……そういえば、歌織さんはご飯食べたんですか？
歌織,いえ、まだ……
P,……食べますか？
歌織,へ？
P,俺だけ食べるなんて、悪いじゃないですか
歌織,お、お気になさらず……。……あっ
P,ほら、遠慮しちゃダメですって
歌織,……それじゃ
P,……えっ？
歌織,た、食べさせてくれないんですか……？
P,……その視線はズルい。……そ、それでは。口開けてもらっても良いですか？
歌織,は、はい……！
P,あー……
歌織,んっ……
P,どうですか……って、歌織さんが作ったのにどうですかってのもおかしな話ですね
歌織,……いえ、とっても美味しかったです。もう一口、頂いても良いですか？
P,あ、はい……どうぞ
歌織,あむ……ん～♪。ご、ごめんなさい……後の方、ほとんど私が食べてしまって
P,いえ、大丈夫です。……食べてるのを見るのが幸せって事、俺にも分かった気がします
歌織,そ、そうですか？
P,はい、美味しそうに食べる歌織さんとっても可愛くて……。……あっ
歌織,…………
P,……いえ、その
歌織,……お、お風呂にしましょうか。プロデューサーさん、お先にどうぞ
P,えっ、そんな悪いですよ。歌織さん、どうぞお先に
歌織,そ、それなら……その
P,……歌織さん？
歌織,……い、一緒に入りませんか？
P,……！？
歌織,……その、プロデューサーさんさえよろしければ
P,…………。お、俺はどうすれば……。……え、遠慮しておきます
歌織,そうですか……。もっと魅力的にならないとダメなのかしら……
P,勝った……！俺は欲望に勝った……！。……なのに、なんでこんなに虚無感が。それじゃ歌織さん、俺のベッド使って……
歌織,…………
P,……一緒に寝ましょうか
歌織,はい♪
P,それじゃ、電気消しますねー……
歌織,…………
P,……すっかり、慣れましたね
歌織,ふふっ、そうですか？
P,初めて来た時は遠慮してたじゃないですか
歌織,あ、あの時は莉緒ちゃんもいたので……。……それに
P,？
歌織,この時だけは、プロデューサーさんと二人きりですから。甘える時に、甘えた方が良いかなと……
P,…………
歌織,……わ、忘れてください
P,……そうですね、二人です
歌織,あっ……
P,お、俺なんかで良ければ甘えてくれて良いんですよ？
歌織,……ふふっ
P,や、やっぱり変ですかね……
歌織,……はい、変です♪
P,ぐ、ぐぅ……やっぱりかぁ
歌織,……でも、そんなプロデューサーさんだから良いんだと思います
P,……どういう事です？
歌織,さて、どういう事でしょう？
P,歌織さ――
歌織,呼び捨てで、呼んでいただけませんか？
P,……歌織
歌織,……な、なんか照れちゃいますね？
P,やめておくか？
歌織,……いえ、これが良いです
P,……そうか
歌織,それじゃ、甘えても良いですか……？
P,勿論、おいで
歌織,ふふっ……それじゃあ、たーっぷり甘えさせてくださいね♪
P,ん……
歌織,……起きない。折角早起きできたんだもの、なにか……。……そうだ。…………
P,……ん
歌織,……朝ですよ、アナタ♪。朝ですよー……あなた
P,夢の中で誰の事を起こしてるんだ……？。さて、少し早めに起きたしシャワーでも……。っと……？
歌織,…………
P,歌織……抱きつかれたら動けないって
歌織,…………♪
P,……今日は休みだし、もう少し寝てても良いよな。それじゃ、もう一眠りするかな……
歌織,あさごはん、できてますからねー……むにゃ
