モバＰ,以降Ｐ表記。そう思われます？
文香,そうですね…私は特に思いつかないのでプロデューサーさんにお任せします…
Ｐ,晩ご飯何がいい？って聞いて何でもいいって言われるのが一番困るって知ってるかね？
文香,デートの時はエスコートするのが殿方の使命だろう、とシェイクスピア曰く…
Ｐ,言ってない言ってない。え、これってデートだったの？
文香,年頃の男女が２人きりでお出かけすればそれはすなわちデートではないのでしょうか…
Ｐ,そういうものなん？
文香,…と、シェイクスピア曰く
Ｐ,言ってない言ってない。珍しいな、文香が洋服屋に行きたいなんて
文香,プロデューサーさん…今時は洋服屋さんではなくビュテックと言うそうですよ
Ｐ,ブティックと言いたいのかな？
文香,……ぶてっく
Ｐ,悪化の一途
文香,ふみぃ…
Ｐ,で、何か欲しい服でもあったのか？
文香,いえ…私１人ではまず間違いなく確実に絶対にこういったお店には来ないと思うので、折角なのでプロデューサーさんに見て貰いたいと思ったのですが…
Ｐ,年頃の娘さんなんだからもうちょっとくらい身嗜みに頓着しなさい？要するに俺の好き勝手に文香着せ替えファッションショーしていいって事か？
文香,…あ、一応公共の場ですのであまりアブノーマルなものは…程々でお願いします
Ｐ,紳士を何だと思っとるのだね。んじゃ、いい機会だし文香の新たな一面を発掘出来るよう頑張ってみるとしよう。試着室で待ってなさい
文香,オーキードーキー
Ｐ,返事が意外っ
文香,…えっと、ここでいいんでしょうか？。……。Ｐさんと洋服選びデート中、と…。ふみぃ、秒で特定されました…
Ｐ,お待たせ。何パターンか用意してきたから１つずつ試していってくれるか？
文香,…意外です。もっと独創的な服選びをされると思っていたのですが
Ｐ,何を期待していたのだねチミィ
文香,それでは、早速着替えますね
Ｐ,終わったら呼んでくれたまえ
文香,……覗かないでくださいね？
Ｐ,紳士。俺、紳士
文香,…絶対に覗かないでくださいね？本当に駄目ですからね…？本当に、本当の本当に駄目です…
Ｐ,何そのフラグ建築。いいから早よ着替えなさい
文香,御意
Ｐ,さっきからいちいち返事が独特
文香,ふみぃ、ふみぃ
Ｐ,おーい文香ー？大丈夫かー？
文香,だ、大丈夫、です…覗かないでくださいね…。あ、足が…っふみぃ頭が出せません…
Ｐ,おーい文香ー？大丈夫かー？
文香,だ、大丈夫です…
Ｐ,本当はー？
文香,だいじょばないです…
Ｐ,すいません店員さーん！うちの子を助けてあげてくださーい！
文香,ふみぃ…何とか着替えられました…
Ｐ,ありがとうございますお手数をお掛けしてしまって…え？えぇ、一応本物の鷺沢文香です。…え、サイン？ハハッお安い御用です。お、文香良く似合ってるぞ
文香,何だかとても恥ずかしいのですが…。仕事でもこんなに足を出す機会は無いのに…
Ｐ,テーマは文学少女とスポーティースタイルのベストマッチ
文香,ぼ、ぼんばぁー
Ｐ,火力低っ。しかし…着せといて何だけど文香が着ると色々とアレだな。胸はピッチリして強調されるしハーフパンツから覗く生足の白さと活動的な服装のアンバランスさが…
文香,辱められています…羞恥責めなんて…やっぱりアブノーマルです…
Ｐ,人聞きの悪い。さぁさぁ次行くぞ。どんどん行くぞー。次、イメージアイドル諸星きらり！
文香,きらりver
Ｐ,次！イメージアイドル星輝子ライブ仕様！
文香,きの子ver
Ｐ,次ぃ！イメージアイドル南条光ステージ仕様！
文香,特撮ver
Ｐ,まだまだァ！イメージアイドル前川みく！
文香,猫
Ｐ,テンション上がってきた！イメージアイドル白雪千夜！
文香,僕
Ｐ,命燃やすぜ！イメージアイドル依田芳乃ォ！
文香,神
Ｐ,ふぅ楽しかった…満足満足
文香,ほー
Ｐ,うわぁいつの間にか店の外まで大行列が。すいませんすいませんゲリラ営業じゃないんです
文香,でしてー
Ｐ,よし文香そろそろ移動するぞ。ここにいるとお店の迷惑になってしまう
文香,はいなー
Ｐ,って言うかさっきから何かに憑かれてない！？
？,ち、ばれましてー
文香,ふみ、いつの間にか着替え終わっています…
Ｐ,お、正気に戻った？
文香,…確かプロデューサーさんに唆されて如何わしいコスプレショーをさせられていたような…
Ｐ,ハハッこいつめ寝惚けてるのかな？。さてお誕生日様。次はどこにお連れしましょうか？図書館でもブックオフでも地球の本棚でも
文香,…どこでも、いいんですか？
Ｐ,節度と常識の範疇でならね
文香,清楚なのでお城のような建物に、なんて言いませんよ…？
Ｐ,本当に清楚だったらまずそんな発想をしないと思うんだけど
文香,…では
Ｐ,俺の家、なんて言うのも駄目だからな？
文香,……。…誕生日とはその日１日全てが許される神となれる日ではないのですか？
Ｐ,１年で一番幸せな日であるべきだとは思うけどそこまでは思ってないよ
文香,…それでは、連れて行っていただきたい場所があるのですが…
Ｐ,菓子屋横丁か？水上公園か？サイボクハム？
文香,越県してください
Ｐ,着いたぞ。って言うかここは…
文香,はい、叔父が経営している書店です
Ｐ,じゃ、また明日な文香
文香,ふみぃっ！
Ｐ,冗談だって！誕生日の文香がめっちゃふみふみしとる！。お邪魔します
文香,叔父は留守にしているので遠慮なさらないでくださいね
Ｐ,そうなのか？残念…久しぶりにお会いしたかったんだけど。また新しいポスター出来たから渡したかったし
文香,あの…これ以上は…。ただでさえ店中私の写真やポスターだらけになってしまっていますし
Ｐ,ハハッ、初めてここに来た時と比べると別の店みたいになっちゃったもんなぁ。店の半分文香グッズで埋め尽くされてるし。古書店って感じだったのに今じゃ普通にコミック扱ってるし
文香,私の私物です…
Ｐ,私物を店頭に置くなよ買われちゃうぞ？。でもどうしてここに？何か用事があったのか？
文香,いえ…ただ、来たかったんです。今日この日に。覚えていらっしゃいますか…？私はここで初めてＰさんに出会って、アイドルにスカウトされたんです
Ｐ,忘れる訳ないだろ？出会いイベント全アイドル分覚えてるよ
文香,今は別の女の話をしちゃ駄目です
Ｐ,すいませんでした
文香,私も…よく覚えています。きっと一生忘れません…あの日の事は。…まるで昨日の出来事のように鮮明に思い出せます
Ｐ,待て待て待て違う違う絶対違う
文香,こうしてまんまと芸能事務所にお持ち帰りされてしまった文学美女でした…
Ｐ,薄い本の展開みたいに言うのやめなさい
文香,そして今に至ります
Ｐ,一体誰の影響を受けちゃったんだね文学美女さんは
文香,……ありがとうございます
Ｐ,え、何が？
文香,…お腹が空いてきてしまいましたね。あの、もしよろしければどこかで夕食をご一緒して頂けますか…？
Ｐ,ああ、そりゃあもちろん。何食べたい？肉でも魚でも好きなところ連れて行っ
文香,焼き肉の気分です
Ｐ,食い気味っ。それじゃあ行こうか。…っと、そう言えば何でここに来たかったんだ？わざわざ誕生日に
文香,とっぷしーくれっと、です
Ｐ,最近の若い娘さんワカラナイ
文香,…。……ただ、この特別な日にあなたと２人だけでここに来てみたかっただけなんです…。片隅で埋もれていた私という書を見つけてくれたあなたと、初めて出会った始まりのこの場所に。…。……。き、聞かれてませんよね…？
Ｐ,文香ー行かないのか？
文香,ふ、ふみぃ
ちひろ,今頃まだイチャコラしてるんでしょうかねぇあの２人
芳乃,むー…
ちひろ,あ、また文香ちゃんの書き込みが。どれどれ今度は一体どんなノロケ自慢ですかねぇ。一体何が！？
芳乃,おーわりでーしてー
