P,ハゲ
ちひろ,シンデレラガールにもしてしまうんだから驚きですよねえ
禿P,そして全てが一段落した頃、つまりようやく落ち着いた日々を取り戻した頃...。俺は初めて自分がハゲていることに気付いた
梨沙,...つまり、結局アンタはストレスでハゲたってこと？
禿P,まあそうなるのかな
ちひろ,それ以外に何かハゲるような理由があったとしてもまるで覚えてませんしね...
禿P,まあ、アイドル達にこの髪と引き換えに夢を見せて、叶えてあげることが出来た...と考えればいいんでしょうかね
ちひろ,プロデューサーさんの髪と引き換えに叶う夢とかなんか気持ち悪いですね
禿P,母ちゃんなんでかないつだってハゲへの風当たりは強いよ。ま、そういうわけだ梨沙。哀しくなるからこの話はおしまいだ。そら、仕事だろ。さっさと行った行った
梨沙,...
禿P,...ん？まさか行きたくないとかか？
梨沙,もちろんちゃんと行くわよ！。...
禿P,なんだ？俺の顔になんかついてるか？
梨沙,...アンタ、もう無理はやめなさいよ。倒れたらみんなも心配するんだから！
ちひろ,...愛されてますね
禿P,...ちょっとウルッときました
ちひろ,さて、私たちも仕事しますか
禿P,あっ俺の分は終わりましたんで分けてくれればやりますよ
ちひろ,えっ！？...ありがとうございます
禿P,お気になさらず
ちひろ,...相変わらず驚異的な作業スピードですね
禿P,えーと、このあとは...ああ、新作CDのレッスンかな。そろそろみんな来るか
愛梨,おはようございます～
禿P,おう、おはよう愛梨
ちひろ,あ！そうですプロデューサーさん！愛梨ちゃんに聞けばいいんですよ！
禿P,何をですか？
ちひろ,プロデューサーさんの過程ですよ、過程！うっすらハゲの時の！
禿P,あー...なるほど。いや別に聞きたくないんですけど
愛梨,なんの話ですか～？
ちひろ,愛梨ちゃん、第一回総選挙の時のプロデューサーさんを覚えてる？
愛梨,え？Pさんのことですか？
ちひろ,そうそう、頭的な意味で
禿P,どんな意味ですか
愛梨,えーっと...海藻を良く食べててー、鏡をよく見ててー...
禿P,やめて！！それは最近の俺の日課だから！！
愛梨,あ、選挙の時でしたね！えーと、Pさんに髪がありました！
禿P,あれ過去形ってこんなに破壊力あったっけ
ちひろ,ハゲになる直前とか覚えてる？
愛梨,ん～...フサフサのPさんはすぐ思い出せるんですけど...
ちひろ,やっぱりみんな覚えてないみたいですね...。もしかして一晩で全部抜けたとか...
禿P,それ枕元ホラーになってそうですね
愛梨,Pさんはそんなに自分の頭が気になるんですか？
禿P,ええそりゃね愛梨さん、風当たりが強いですからね
愛梨,そうなんでしょうか...
禿P,電車に乗ったら視線が痛いし甥っ子にはお坊さんだと思われるしうちのお笑い担当にはPしゃんのあt心も照らす...太陽になりたいよう...とか言われるし。俺の元気の源はせんせえの頭綺麗だね！って言われるしな
ちひろ,なんと無邪気な暴力...
禿P,というかなんだかんだでみんな俺のことハゲネタでいじってきますからね
ちひろ,それだけ愛されてるってことですよ
禿P,まあ確かに、不思議とそんな傷つきませんよねえ。ハゲに気付いた時はショックだったし嫌だったはずなんですけどね
ちひろ,不思議なもんですねえ
愛梨,...Pさんは気付いてないかもしれませんけど、みんなPさんを頼りにしてるんですよ
禿P,そりゃ嬉しいなあ
愛梨,優しくて、面白くて、辛いときに助けてくれて、でも時には突き放して、そして私たちの夢を真剣に考えてくれてる...。私たちは、そんなPさんが大好きなんです！だからたとえPさんが太っていても、小さかったとしても、髪がなかったとしても...
ちひろ,髪がないのはたとえじゃないですね
愛梨,私たちはPさんを大好きでい続けます！...だから頭のこと、そんなに気にしないでくださいね？
禿P,おー、愛梨は思い切ったことを言うなあ
愛梨,ええっ！？私そんな凄いこと言っちゃったんですか～！？
禿P,でも愛梨
愛梨,は、はい？
禿P,ありがとな。そうだ愛梨、外はどうだった？
愛梨,とっても寒かったんですよ！もうビックリして目が覚めちゃいました！
禿P,おいおい、秋田生まれだろ。まあでも、そんな季節なのか...
藍子,おはようございます
輝子,ﾌ、ﾌﾋ...お、おはよう...
茜,おはようございます！今日も張り切っていきましょう！
禿P,おう、おはようみんな。あれ、裕子はまだか？
裕子,おはようございます皆さん！早速ですがエスパーユッコのモーニングサイキックショー！昨日出来立てホヤホヤの超能力をお見せしましょう！。見ててください...この水晶玉に念を送ると...未来がここに映ります...映ります...
禿P,...おい裕子
裕子,水晶玉が喋った！？
禿P,それ占いだろうがあああああああああ！！！！！！！！
実際世の中はハゲへの風当たりが強すぎると思います,半ギレ
