一同,真/真ちゃん/真クン/まこちん。お誕生日おめでとう！
貴音,ふふっ、おかしなこと
真,あはは……
貴音,……
真,……
貴音,今見たこと……他言無用ですよ？
真,う、うん！絶対に誰にも言わないよ！
貴音,よい心がけです
真,どういたしまして……
貴音,ふふふ……
真,……
P,ん……くぁ……！
真,あ、プロデューサー起きましたか？
P,ん……おお。真と貴音か、おはよう
真,おはようございます！
貴音,おはようございます、あなた様
P,あ～……寝ちゃってたか
真,もう少し休んでたほうがいいんじゃないですか？ボクが起こしますよ
P,いや、朝のうちにやっておくことがあるんでな
真,そうですか……
P,時間になったら現場に送るから、二人ともそれまで適当にくつろいでいてくれ
真,はい
貴音,かしこまりました。おや？あなた様、おぐしが……
P,ん？寝ぐせか？
貴音,はい。こちらが……
P,お、おい。いいよ、自分でやるから
貴音,遠慮なさらず
P,遠慮っていうか……
真,……
P,も、もういいから。ありがとな貴音
貴音,礼には及びません。……
真,！？
貴音,忘れさせて……あげましょうか？
真,うん、忘れた！いえ、なにも見てません！
貴音,ふむ……
真,……
貴音,まあ、それはいずれ……
真,えぇ！？
P,なんの話だ？
貴音,なんでもありませんよ。ふふっ
真,あは、は……
貴音,では、わたくしは向こうにいます
P,おう
真,はぁ……
P,ん～～～！さて、遅れを取り戻さないと……ん？
真,ん？
P,なんだか、コーヒー豆をぶちまけたみたいな匂いが……
真,あ！ボク、コーヒー淹れたんです！よかったら
P,え？真が？
真,むっ。どういう意味ですか？
P,いやいや、せっかく真が淹れてくれたんだ。ありがたくいただくよ
真,えっ、あ……はい、どうぞ
P,いただきま……あ～、これは匂いだけで眠気が吹っ飛ぶな。飲んだら意識も吹っ飛びそうだ……
真,な、なにか変でしたか？
P,コーヒー豆はな、お湯には溶けないんだよ
真,え？でも、前に律子が……
P,それはインスタントだな
真,違うものなんですか！？ボク、そんなことも知らないで……
P,まあ、よほど好きじゃないと、わざわざ豆から落とさないだろうからな
真,……
P,できれば飲んでやりたいんだが……これはさすがに体に悪いな
真,ごめんなさい……
P,せっかく淹れてくれたのに、すまないな
真,いえ、ボクが悪いんですから……
P,今度一緒にコーヒーを淹れよう。やり方ぐらいは知ってるから
真,え……？
P,真なら、すぐに美味いコーヒーが淹れられるようになるよ
真,ボクが……？
P,ああ、真さえよければな
真,は、はい！お願いします！
小鳥,おはようございます
P,おはようございます、音無さん
小鳥,あら、真ちゃんと……貴音ちゃんも。今日はずいぶん早いのね
真,はい、プロデュ……じゃなくて！朝から収録なんです
小鳥,みんな、もう売れっ子ねぇ
真,ボクなんて、まだまだ……
P,そんなことないぞ。最近は男性ファンもだいぶ増えたじゃないか
真,そ、そうですね……へへっ
小鳥,真ちゃん可愛いもの。当然ですよ
真,かゎ……///
P,たしかに、こういうところが真の可愛いところですね
小鳥,ね～
真,もう！からかわないでください！
小鳥,うふふ♪
P,はは
真,もう……///
小鳥,あ、私お茶淹れてきますね
真,……
P,お願いします
小鳥,真ちゃんと……え～と、貴音ちゃ～ん
貴音,なんでしょう？
小鳥,お茶飲む？
貴音,いただきます
小鳥,お煎餅があったはずだから、お茶請けに出すわね
貴音,なんと……！？。あ、いえ……お茶にはやはりお煎餅ですね
小鳥,あら、うふふ
P,お～い貴音。アイドルなんだから、こっちまで聞こえるような腹の虫はダメだぞ
貴音,あなた様、それはいけずです……
小鳥,急いで用意するわね～。はい、貴音ちゃん。お茶とお煎餅お待たせ
貴音,まるでわたくしが急かしたようではないですか
小鳥,うふふ、体は正直よね～
貴音,はて、なんのことか……いただきます
小鳥,はい、プロデューサーさんと真ちゃんも
P,お、ありがとうございます
真,いただきます！
小鳥,それじゃ私も……
P,うん？
小鳥,はい？
P,俺と音無さんの湯呑が入れ替わってるんですけど？
小鳥,え？あらら、いっけな～い。ウッカリシテタワー
P,そうですか、うっかりですか……はい
小鳥,は～い。こっちがプロデューサーさんのでしたね～
P,まったく……なにか変なものは入ってないでしょうね？
小鳥,え～？私をなんだと思ってるんですか～？。それはちょっとひどいですよ～
P,どの口が言うんだか……
小鳥,えへへ
P,よし、終わり！
真,！。ぷ、プロデューサー！
P,なんだ、真？
真,ちょっと顔を貸してください！
P,えっ
真,えっ
小鳥,……
真,あ、あぁ……
P,な、なに？俺シメられちゃうの？
真,ち、ちがっ……！
P,え？
真,なんでもないです……
律子,あ、プロデューサー殿。昨日の企画書の件なんですが……
P,ああ、どうだった？
律子,スポンサーは好印象だったんですが、あちらのディレクターが……
P,あの人はなぁ……。今日、時間見て挨拶してくるよ
律子,お願いします。あの企画はどうしても通したいですから
P,わかってる。任せろ
あずさ,あら、どうしたの真ちゃん？
真,いえ、なんでも……
あずさ,？
律子,あずささん、ちょっといいですか？
あずさ,あ、は～い
真,……
律子,ふぅ……
あずさ,律子さん、肩こりですか？私も最近ひどくて……
小鳥,辛いですよね～、肩こり
貴音,なるほど、この肩の違和感が……
真,くっ……！
あずさ,真ちゃん、真ちゃん！
真,は、はい？なんですか、あずささん？
あずさ,この雑誌で紹介されてるカフェって、このあいだ真ちゃんと雪歩ちゃんがロケで行ったお店よね？
真,そうです！ここのケーキ、すごく美味しかったんですよ！
あずさ,いいわねぇ、私も行ってみたいわ～
真,じゃあ、今度みんなで行きますか？
貴音,参りましょう、ぜひ
真,うわっ！？
あずさ,あらあら～
貴音,けぇき……なんと甘美なる誘惑……
真,あはは……簡単に背後を取られると、ボク自信なくしそうだよ
貴音,？
真,プロデューサーと律子と小鳥さんも一緒にどうですか？
P,う～ん……甘いものは嫌いじゃないけど、わざわざ食べに行くほどでもなぁ
真,でも、ほんとに美味しいんですよ
律子,私はパス
真,えぇ？なんで？
律子,……聞かないで
真,なに？聞こえな……
律子,聞かないで！
真,は、はい！ごめんなさい……。小鳥さんは？
小鳥,私もスイーツは好きだけど……大人には大人の嗜みが、ね
真,大人の？
小鳥,というわけで、今夜にでもどうですか？
あずさ,あら、うふふ。ちょうど大人組が揃ってますね
小鳥,いうなれば……そう！765プロ合法部！
P,合法部って……
律子,そんないかがわしい集団の一員なんて、思われたくないんですけど……
小鳥,健全ですよ！合法なんですから！
律子,はいはい……
P,まあ、あずささんと音無さんだけじゃ不安だから、つきあいますよ。なあ、律子？
律子,……
小鳥,20歳以上は強制参加だから、抵抗しても無駄ですよ？
律子,……
あずさ,律子さんも、諦めが良くなりましたね～
律子,……
貴音,ふむ……まだお酒は飲めませんが、わたくしも興味がありますね
小鳥,あら、貴音ちゃんも大人の世界を覗いちゃう？
貴音,面妖な……
真,ぼ、ボクも！
小鳥,え？
真,ボクも参加したいな、って……
P,真はダメだ
真,ど、どうしてですか？貴音だって……
P,真はまだ高校生だろ
真,あ……
あずさ,そうね。もうちょっとだけ待ってから、一緒に行きましょうね？
真,……。ボクだって、もう子供じゃ……
P,そんなことを言ってるようじゃ、まだ子供だ
真,……！。ボクだって合法です！
律子,は？
あずさ,え？
貴音,？
小鳥,んなっ！？
P,お、おう……
真,あれ？
律子,真……それはちょっと
小鳥,はっ！閃いた！
律子,閃くな
P,忘れろ
小鳥,ぐぬっ……！
真,あ、ああ……。……
P,お、おい……真？
真,うわあぁぁぁぁん！！
P,真！？
真,今日はもう休んじゃおうかな……
P,それは……ｾﾞｪ……困るな……ﾊｧ……
真,ふわっ！？プロデューサー！？
P,おう……ｽｩｩ……ﾊｧｧ……
真,だ、大丈夫ですか？
P,真のペースを追って走ったからな……死ぬかと思った
真,そこまでして追ってこなければいいじゃないですか……
P,そういうわけにはいかないだろ。お、ブランコか、懐かしいな。よ……っと
真,……
P,大人でも座れるものなんだな
真,ボクのことなんか放っておいてくださいよ
P,放っておけるわけないだろ
真,仕事があるからですか？
P,は？
真,そうですよね、どうせ……
P,仕事があってもなくてもだ。俺はプロデューサーだぞ
真,わかってますよ！プロデューサーはみんなのプロデューサーですからね！。ボクのせいで、みんなに迷惑がかかるっていうんでしょ！？
P,みんなに迷惑をかけたいのか？
真,そんなわけないでしょ！
P,だったら、子供みたいに聞き分けのないことを言うんじゃない
真,子供ですよ……ボクなんて！
P,……
真,うっ……ひぐっ……。うぁ……うぅ……
P,……
真,み……見ないで、ください……
P,見てないよ
真,ひぐっ……ほんと、ですか……？
P,ほんとに
真,……
P,……
真,見てるじゃないですか……
P,のヮの
真,……怒りますよ？
P,似てなかったか……
真,似せようとしてたんですか！？
P,春香には内緒な？
真,できればボクも忘れたいぐらいです……
P,そこまで言わなくても……
真,……
P,……
真,バカ……
P,ん？
真,プロデューサーのせいで、泣いてるのがバカバカしくなりました
P,そっか、俺のせいか
真,仕事の前に、もうちょっと発散しておきたかったんですけどね
P,できれば、そうさせてやりたいんだけどな
真,もう時間ないですよね？
P,そうだな。少し急がないと
真,走りますか？
P,やめてくれ。今度こそ倒れる
真,もう、だらしないですよ！今度ボクと一緒に走り込みして鍛えましょうね
P,ああ、今度な。そのあと一緒にコーヒーでも淹れるか？
真,え？あ……はい///。へへっ、約束ですからね！
P,おう、約束だ
真,えへへ……///
P,歩きながら……少し話すか
真,はい……あの
P,なんだ？
真,ボク、どうしてもプロデューサーに話したいことがあって……。昨日から、なかなか言い出せなかったんですけど……
P,……
真,18歳になったら、きっと言おうって決めてたんです！
P,18歳になったらか
真,はい！ボクは……
P,その前に俺からいいか？
真,え？ええ！？
P,俺もな、真が18歳になったら言おうと思ってたことがある
真,へ？
P,ほんとはな、昨日の誕生日までに真をトップアイドルにするつもりだったんだ
真,とっ……え？
P,そうできなかったのは、俺の力不足だ
真,い、いえ、そんなこと……
P,トップアイドルに育てることが、俺なりのけじめだったんだ
真,けじめ？
P,真に告白するためのな
真,はあ、告白ですか…………告白ぅ！？
P,驚きすぎだろ
真,だ、だって……告白って？
P,言ったぞ。たぶん真が考えてる通りの意味でな
真,そ、そんな急に……///。……って、あれ？
P,どうした？
真,するつもりだったってことは……？
P,ああ、保留だ
真,ええぇぇぇ！？
P,少し落ち着け
真,だって！
P,こればっかりはな。最低限のけじめとして決めてたことだ
真,それならボクだって……。18歳になったからって、大人になれたわけじゃないですけど……
P,……
真,でも、それがひとつのけじめだから、絶対に言おうって決めてたんです！
P,ダメだ
真,どうして！？
P,その先を言って……アイドルを続けられるか？
真,それは……！
P,少なくとも、俺は真のプロデューサーを続けられないな
真,え……？
P,真が可愛いくて、俺のほうが我慢できそうにない
真,そんな言い方…………え？
P,ん？
真,……
P,……
真,……///
P,どうした？
真,……ズルいです///
P,なにが？
真,そういうのにボクが弱いと思って……///
P,心外だな。正直に話したのに
真,そんなこと言ってもごまかされませんからね///
P,うん、やっぱり真は可愛いなぁ
真,ぅぁ……///
P,ん？
真,プロデューサーのイジワル！///
P,ははは。少し急ぎすぎたな
真,え？
P,あと一年待ってくれるか？
真,あと一年？次の誕生日ですか？
P,ああ、それまでに真をトップアイドルにして……。今度こそちゃんと告白するよ
真,……
P,ダメか？
真,ボクの告白も、今度は聞いてくれますか？
P,もちろん
真,それ以上は待てないですよ？
P,そこまで甲斐性無しじゃないよ
真,ボクをほったらかして、他の娘となんて……
P,ないない
真,え～と、え～と、それから……
P,まだあるのか？
真,あ、そうだ！
P,なんだ？
真,ボクのこと、まこりんって呼んでください！
P,ごめん、それは無理
真,なんでですかー！。プロデューサー！
P,おう、パーティーもそろそろお開きかな
真,そうですね、もう遅いし
P,律子と手分けしてみんなを送らないとな……
真,その前に、なにか忘れてません？
P,？
真,もう！ボク、さっきから待ってたのに！
P,わかってるよ。忘れてません
真,だったら……。この一年で、ちゃんとトップアイドルになったんですからね
P,うん
真,もう言い訳は聞きませんよ？
P,しないよ、そんなこと
真,今からボクのことはまこりんで！
P,はいはい、まこりんまこりん
真,愛がない！
P,それは誤解だ
真,へへっ、わかってますよ
P,よし！せっかくだから、みんなの前で発表するか
真,はい！……はい！？
P,コソコソするよりはいいだろ？
真,それはそうですけど……
P,けど？
真,もう、わかりましたよ！
P,うん。じゃあみんなを……
真,その前に
P,ん？
真,一年も待ったんだから、今日はボクのほうが先に言います
