棟方愛海,私がおっぱいを揉む理由は二つある
愛海,今まで培ってきた自信はすでに粉砕ッ……！もはや手は尽くした……だが、今の私には最後の希望すら見えない……ッ！！。……いや待て、よく考えろ……ッ！今は二人とも裸……しかも濡れ場という絶好のシチュエーション……！。普段の着衣揉みとは条件が違うッ……！直揉み……！裏の手段ではあるが、揉み道における禁忌ではない……！
のあ,……
愛海,ためらうな愛海ッ……！今が勝機……！不意打ち、闇討ちの絶好の機会……！
のあ,……？
愛海,行けッ……！
のあ,愛海……？
愛海,行けッ……！！イカせろ……ッ！！。とりゃあああああッ！！。……
のあ,……
愛海,……
のあ,……あの、愛海？
愛海,は、はい？
のあ,後ろを流せないんだけれど
愛海,！！ぐぅッ……！。ダメだった……！敗北ッ……！完全なる負けッ……！得たものは……己が揉み力もみちから
のあ,愛海……？大丈夫？
愛海,へへ……いいんです……どうせ私なんてただのアイドルかぶれの痴漢なんですよ……
のあ,……？
愛海,へ…………あ……あ、あれ……？。あッ……ああああ～～ッ！！。か……陥没乳首ッ……！！。なんてこと……見落としていた！完全に！少し思考を巡らせればその可能性にたどり着いたはずなのに……ッ！
のあ,……胸になにかついていたかしら？
愛海,いやッ……思えば今まで私は、こういう状況になるまで直揉みを封印して、あくまで服の上、最低でもブラジャー越しに揉み続けていた……その状態で感じさせることこそが揉み手の誇りだと思って……！。が、今回はその癖がまるで逆の目に出ていたんだ……！私は服の上から乳首を刺激する技を会得している……でもそれが通じないと分かった瞬間から、あろうことか乳首以外の場所を責め続けていたッ……！。でも、のあさんは陥没乳首だったッ……しかも、おそらく一点集中型ッ……！おそらく性感帯がこの陥没乳首一点にすべて凝縮されているッ……！。勝機……それも完全な……！もうのあさんのおっぱいは、心臓を……否、クリ○トリスをさらけ出しているのと同じッ……！
のあ,……愛海、そろそろどいてくれるとうれしいのだけれど……
愛海,……のあさん
のあ,……？
愛海,長いこと待たせちゃったね……
のあ,ッッ！！？
愛海,この反応ッ……！間違いない……私の読みは外れていないッ……！！。私は今まで勘違いしてたみたいだね……ちょっと反則かもだけど、遠慮なくやらせてもらうからね！
のあ,！！ちょっ……愛海、待って
愛海,やだなぁ、おっぱいに待ったなしですよのあさん♪
のあ,っく……ダメ、それ以上は許可しないわ
愛海,あんっもう、のあさんも強情だなぁ。せっかく気持ちよくしてあげる方法が分かったのに
のあ,私はマッサージとして貴女に胸を触らせていたの……それ以上のことをするなら、私にも拒む権利はある
愛海,ほう……あくまで素直にならないと
のあ,……自分の場所へ戻りなさい
愛海,う～。やだやだ～！せっかくのあさんのおっぱいが理解できたのにィ～！
のあ,貴女、意外と強情ね
愛海,意外も何も、おっぱいを揉むためなら命捨てたって本望ですよあたしゃ！
のあ,……尊敬はするわ。でも、それとこれとは別
愛海,やだ～！私はのあさんの恥じらいの表情を見るまで離れないぞ！
のあ,な、なにを……
愛海,隙ありィ！
のあ,っんぁっ！？
愛海,……お、おぉ……おおおおおおおおおおおお
のあ,んく、ま、待ちなさい、それ以上は許さないと……あっ、ん
愛海,漲ってくる……！勝ちへの盲目……！女体への渇望がッ……！
のあ,は、なれなさい……！限度をわきまえないと……！
愛海,どうなるんです？そんなに嫌なんですかぁ？気持ちよくないですかぁ？
のあ,うんんっん、そういう、問題ではないわ！
愛海,ダメですよぅ、もっと素直にならないと……フヒヒヒ。まだ理性が勝ってるわね……ここまできたら、裏手も全部解放するっきゃないでしょ♪。のあさ～ん？
のあ,な、なに？
愛海,痛かったらすぐ言ってね♪
のあ,～～ぅッ！！
愛海,やはり効果は高い……！このまま一気に押し切るッ……！
のあ,あ、貴女、んあっ！冗談に、ならなっあ、んっ
愛海,冗談でこんなことしませんよぉ～♪だからのあさんも本気になっていいんですよ？
のあ,ば、馬鹿なこと、ひっんん、やっあ、ああっ
愛海,んふふ、どうですか？気持ちいいですか？
のあ,っ、貴女……本物の変態ね……いっそ清々しいわ
愛海,まだ堕ちないかぁ……仕方ない、人間関係こじれやすいからここまではしたくなかったけど。……ここ、もうヌルヌルですね～
のあ,ま……待ちなさい、それは……貴女、本気？
愛海,本気も本気、冗談何て言いませんってば～♪。禁じ手を出す以上、私も覚悟決めないとね
のあ,……悪いけれど、本当にこれ以上は付き合ってられないわ
愛海,……本気で誘ってるんですよ？
のあ,……貴女が本気だろうと、私には関係ない
愛海,……そうですかぁ。じゃあ
のあ,え……
愛海,仕方ありません。強引に襲います♪
のあ,～～ぅっあ……！？
愛海,んぁ……じゅるっ
のあ,やめなさっ、っくあ、あぁぁっぅ……！
愛海,えへへ……♪やっぱりのあさんは一点集中型なんですね、上も下も
のあ,やめろといってんくっ、うっうあ、あぁ
愛海,かわいい……のあさんとってもかわいいよ……♪
のあ,や、いあっ……んぅ、ダメ、愛海、やめてっ……
愛海,ねぇのあさん、一度だけでいいから素直に言って？気持ちいい？
のあ,っ……
愛海,気持ちいいなら、言っていいんだよ？全然悪いことじゃないんだから
のあ,……っき
愛海,！
のあ,きも、ち……いいけれど……
愛海,どっちが？胸？それとも下の方？
のあ,……む、胸が
愛海,おっぱい？おっぱい触られて気持ちいいんだね？
のあ,んくっ……///
愛海,……ほ。ほあああああああああああ！！私、棟方愛海はッ！！たった今ッ！すべての誇りと、生きる意味をぉッ！！。取り戻したのだァ！！
のあ,やっ、そ、そん、早いっ、わっ、あぁッ！
愛海,いいよのあさん！もう遠慮しないで、好きなだけ気持ちよくなってくださいねェっ！
のあ,ば、ばかな、ことあ、あっ、あぁっ、あああぁっ
愛海,恥ずかしいですか！？いいんですよ、そのままお願いします！
のあ,み、見ないでっ～～～～～っ！！！
愛海,あぁ……のあさん……あたしゃ幸せモンだよ……
Ｐ,うーやれやれ、みんな家まで届けるとなると時間かかっちゃったな……俺もシャワー浴びるかな
のあ,……
愛海,うへへ……
Ｐ,あれ？二人とも今シャワー浴びたばっかりだったのか？
愛海,え～？まぁそんなとこかなぁへへへへ
Ｐ,……お前、頭でも打ったのか？なんかデカいタンコブできてるし……
のあ,シャワー室で滑って転んだのよ
Ｐ,はぁ？ったくドジだなぁ愛海は……それよりのあさん、同じタイミングで入って襲われたりしませんでした？
のあ,っ……
愛海,にへへへへへ
Ｐ,？え、まさか本当に
のあ,なにも、ない。それが事実。……わかったわね？
Ｐ,あ、はい……んな睨まんでも……。じゃ、俺もシャワー浴びるんで。帰るときまた声かけてくださいね
のあ,……
愛海,フヒヒヒ、も～いくら私でも滑って転んで頭打ったりしませんよぉ
のあ,コンクリートの方が威力が高かったかもしれないわね……一度窓から落ちてみる？
愛海,そんなぁ～、愛海を殺す気ですかぁ？まぁ今なら死んでも本望ですけど♪ぐふふ
のあ,……この件に関して言及したら許さないわ。今日のことは忘れなさい
愛海,無理です。あんなかわいいのあさんの姿、忘れようと思ったら死ぬしかありません
のあ,死にたいようね
愛海,まぁまぁ、別に悪いことしたわけじゃないんですから♪ね？
のあ,……そういう、問題ではないのよ
愛海,ウホ、恥ずかしがるのあさん最高でござる
のあ,やはり、口封じに抹消する必要がありそうね
愛海,げへへへ、いいじゃないですか！私たちだけのナイショってことで♪
