※,シキヨク-死期欲-夢魅テルは夢見てる
？？？,あっ！？えぇと、すみません！？
ヴィーネ,ちょっと、サターニャ、そこまでしなくてもいいから！？
サターニャ,ヴィネット。でも…
ヴィーネ,私もあまり前を見てなかったから、ぶつかったのはしょうがない事よ
サターニャ,分かったわよ。今回はヴィネットに免じて許してやるわ、感謝しなさい
？？？,は、はぁ…。なんで感謝…？
ラフィエル,ぶつかったのはヴィーネさんのはずですが、なぜサターニャが仕切っているのでしょう？
？？？,本当にすみません！
ヴィーネ,いえ、気になさらないでください
サターニャ,んっ？
？？？,あ、すみません。妹の声です
ヴィーネ,妹さんですか…
？？？,はい。妹に呼ばれているので、俺はこれで。本当にすみませんでした
ラフィエル,行っちゃいましたね…
ヴィーネ,いきなりぶつかって驚いたけど、今の男の人は旅館の主人が話した2名様の方
サターニャ,どうでもいいけど、今の人間…なんだかスカした感じね
ラフィエル,お二人様という事でしたから、今の人と妹さんだけみたいですね。それにしても、声だけですが、幼い感じですので、妹さんは小さいのでしょうか？。サターニャさぁーん、お背中を…
サターニャ,あら、珍しく気が利くじゃないの。じゃあ、お願いしようかしら
ラフィエル,流して下さい、私の?
サターニャ,って、アンタのかい！？こういう流れは普通私の背中でしょうが！！
ラフィエル,でしたら、私はサターニャさんのお背中を、サターニャさんは私の背中をお願いします
サターニャ,い、いや、遠慮しておくわ…。アンタの事だから、どうせ変なイタズラする気でしょ…。
ラフィエル,まぁまぁ遠慮なさらず?
サターニャ,な、なによ、その手つきは！？
ヴィーネ,やれやれ…。
ラフィエル,おおぉーー、露天風呂から見る空が綺麗ですね♪
サターニャ,露天風呂もなかなかねぇ～
ヴィーネ,山の中だから空が良く見える上に都会と違って澄んでるからね。それに露天風呂は効能が良くて、温度もちょうどいいようになってるらしいわよ
サターニャ,良く知ってるわね、ヴィネット
ヴィーネ,ネットの情報よ。どんな場所でも情報ぐらい把握しておくことは当然でしょ
ラフィエル,ふふふ。流石はヴィーネさんですね
サターニャ,はぁ～、いい湯だったわ///
ラフィエル,ほんとですね///
ヴィーネ,食事まで後30分くらいだけど、少し早めに部屋で待っていても遅くは無いわね///
サターニャ,なに、何か足音が…
ラフィエル,あ、ヴィーネさん、前！？
ヴィーネ,んっ？
？？？,わぁーー！
ヴィーネ,っ！？
？？？,きゃあっ！
ヴィーネ,あっ！？
？？？,イタタ…
ヴィーネ,ご、ごめんね、大丈夫！？
サターニャ,また、ヴィネットが人間の子とぶつかったわね
ラフィエル,先ほどみたく怒るのはダメですよ。小さな子ですので
サターニャ,怒らないわよ！？私だってそれくらい分かってるし
ヴィーネ,大丈夫？怪我はない？！
？？？,…
サターニャ,んっ？
？？？,す、すみません！！
ラフィエル,あれ、この人…
？？？,あ、お兄ちゃん?。コラ、急いで走ると転ぶ危険性があるっていつも言っているのに、なんで走ったんだ？。だって、温泉だよ、温泉。旅館に来たら楽しみは温泉…ウェルカム入浴だよ！
サターニャ,………うぇるかむ……入浴……？？
ラフィエル,入浴とニューヨークをかけているんですね
？？？,コラッ！こういう時にボケるのは止めなさい！！
ヴィーネ,ぼ、ボケ……
？？？,じゃあ、ボケるのがダメだったら、何をすればいいのー？。とにかく、お前の方からぶつかったんだ。あのお姉さんに謝りなさい。………ごめん、なさい
ヴィーネ,えっ！
？？？,本当にすみません。俺だけでなく、妹まで貴方たちに迷惑を…
ヴィーネ,えっ、あ、その……決して迷惑をかけたとは思っていませんから、そんなに気にはなさらないで下さい！？。私の方こそ二度も前を見なかったせいで起きたことでもありますから！！
？？？,そうですか…。そう言って頂けるなら、有り難いです。ほら、あのお姉さんに頭を下げなさい。…
ヴィーネ,あ、ほんとにそんな丁寧に頭を下げて頂かなくても…！？
サターニャ,いつまでやるのよ…
ラフィエル,ヴィーネさんはいつでも礼儀正しいですね
ヴィーネ,あのう…
？？？,はい？
ヴィーネ,最初にぶつかった後、貴方を呼んでいた例の妹さんって…
？？？,はい、こいつです！。ぷぅ～。お兄ちゃん…なんでこいつ呼ばわり……
ラフィエル,可愛いですね?
テル,どうも初めまして、夢魅テルです！
ルナ,夢魅ルナ…でーす
ヴィーネ,夢魅さんとルナちゃんですか。私の方こそ…初めまして、月乃瀬=ヴィネット=エイプリルです
ラフィエル,白羽=ラフィエル=エインズワースです。よろしくお願いします♪
サターニャ,我が名は胡桃沢=サタニキア=マクドウェル！いずれ地獄を統べる者となる大悪魔よ！
テル,……………えぇと、その聞きたい事がありますが、その……胡桃沢さんでしたっけ？貴方は、その…中二病的なアレですか…？
サターニャ,なっ！！？
ラフィエル,ぷっ///
テル,次なんですが、月乃瀬さんたちってハーフなんですか？
ラフィサタヴィネ,えっ！
テル,いや、その…あまり名前を指摘するのもアレですが、お名前が外国人っぽかったので、気になりまして
ヴィーネ,え、えぇと……は、はい！！顔はあまり海外っぽくはありませんが、実はハーフなんです！！悪魔だけど、正体を隠さないと！
テル,やっぱりハーフですか！
ヴィーネ,は、はい…
ラフィサタ,まぁ、この場合嘘で通すべきですね悪魔行為だからOKよ、ヴィネット
テル,もう一つ、月乃瀬さんたちは学生さんですか？
ヴィーネ,は、はい。浜松にある高校に通っています。高校一年生です
ラフィエル,私達とも同学年ですよ。ねぇ、サターニャさん？
サターニャ,わ、私に振らないでよ！？まぁ、そうだけど
テル,そうですか。仲が良いんですね
ヴィーネ,えぇと、夢魅さんは……
テル,あ、俺の事は気軽にテルでも大丈夫です
ルナ,っ！？
サターニャ,んっ？
ヴィーネ,えっ、でも、いきなり名前は……
ラフィエル,分かりました、テルさん♪
ルナ,っ！！？
ヴィーネ,ちょっ、ラフィ！？
ラフィエル,まぁ、よろしいじゃありませんか。相手の意思を尊重する事も大切ですよ
ヴィーネ,……じゃあ、テルさん…
ルナ,っ！！？…お兄ちゃんが名前で呼ばせて、向こうも名前で呼んだ！？。まさか……このお姉さん達、お兄ちゃんの事が…。
サターニャ,なんか、この子から発せられる視線が変におかしい気がするんだけど…
テル,そうですか。連休で旅行に…
ヴィーネ,はい。
サターニャ,で、少しだけ気になったけど、アンタは学生なの、それとも大人？
ヴィーネ,ちょっ、サターニャ！？
テル,あ、俺も学生です。ちなみに、東京の高校に通ってまして、学年は三年生です
ラフィエル,成る程、貴方も私たちと同じ学生さんでしたか。ですが、三年生という事は私たちよりも年上なんですね
ヴィーネ,年上という事は、私たちから見たら先輩に当たりますね
テル,ははは。まぁ、そういう事になりますね
ルナ,まだ仲良しそうに話してる……
サターニャ,まだ視線が痛いわね…
ラフィエル,テルさんも旅行かなにかで？
テル,え、えぇと、まぁそんな感じです。えぇと、何が仰りたいんですか？
ラフィエル,あ、いえ…私たちが言えるアレではないのですが、兄妹だけで旅行というのも少々おかしく感じまして…。保護者さんか、親御さんとかはいらっしゃらないんですか？
テル,………
ヴィーネ,ちょ、ラフィ！？いくらなんでも相手のプライバシーに触れる事ｈテル父は分かりませんが、ずっと育ててくれた母は既に亡くなりまして、今は兄妹の二人暮らしです。えっ！？
サターニャ,それって親がいないってこと？
テル,はい…。
ラフィエル,おや、それはお気の毒に。
ヴィーネ,ラフィ！？すみません、友達が！！
テル,いえ、よく聞かれますので、大丈夫ですよ
ヴィーネ,そうなんですか…。お母さんが亡くなってからはずっと一人でルナちゃんの面倒を……大変だったんですね
テル,えっ！？月乃瀬さん、涙が出てますが、どうしたんですか？！
ラフィエル,ヴィーネさんは泣ける話には弱い方でして…
テル,あ、そういう風に涙もろいんですね…。
ヴィーネ,ルナちゃんの為にも頑張って下さい！
テル,あ、ありがとうございます…。
ルナ,お兄ちゃん
テル,んっ、どうした、ルナ？
ルナ,早くお風呂、行こうよ
テル,あ、そうだったな。すみません、長々と話し込んじゃいまして…
ラフィエル,いいえ♪
ヴィーネ,ではまた。ルナちゃんもまたね
ルナ,………。私とお兄ちゃんは赤い糸で結ばれてるの！
ヴィーネ,えっ？
ルナ,だから、お姉さんたちにお兄ちゃんは渡さない
サターニャ,っ！？
ラフィエル,あら……
テル,こらっ、ルナ！？その…最近、生意気になりまして、本当にすみません！！？
ヴィーネ,ははは、いいですよ。
ラフィエル,随分と可愛がっているようですね。今の発言からして、お兄ちゃん子なんですね
テル,ははは…。
サターニャ,お兄ちゃん子というか、今のは明らかにヤンデレ…ブラコン……かしら
テル,それでは、失礼しました！！
ルナ,お兄ちゃん、待ってぇ～
サターニャ,行っちゃったわね
ヴィーネ,本当に仲が良いのね…テルさんとルナちゃん
ラフィエル,本当ですね！…………気のせいです…よね。先ほどの感じ…。
ガヴリール,遅かったな…
ヴィーネ,あら、ガヴ…起きてたの？
ガヴリール,少し前にな。で、どうした、長風呂か？
ラフィエル,ある方達と話し込んでただけですよ
ガヴリール,ある方達？？
サターニャ,それが変な名前なのよ。夢見てるとか、夢見ないとか……
ガヴリール,夢？？よくわかんねぇよ！
ヴィーネ,あのね、詳しく説明するとね……。って、訳よ！
ガヴリール,ふぅ～ん。要は、私らの他に泊まりにきた客と話してたって事か
ラフィエル,そういう事です
サターニャ,でも、相手が兄妹だけで、兄の方が年上でも私達と同じ高校生とか、両親がいないとか……少し訳ありって感じで変わってるって思ったわよ
ガヴリール,別に普通だろ。人間界だって色々訳ありの奴は多いし、例えば親のいない子供もいるって聞いた事があるからな…
ヴィーネ,訳アリでもお兄さんのテルさんは妹のルナちゃんを頑張って育ててるみたいだし、これからもあの二人には頑張って貰いたいわね
ガヴリール,夢魅テルに、夢魅ルナか…。私は会わなかったが、確かに少し変わった名前だな
ラフィエル,……………
ガヴリール,んっ、どうした？
ラフィエル,あ、いえ、なんでもありません
ガヴリール,？
ラフィエル,少々違和感を覚えましたが、夢魅………どこかで聞いた事がある名です。それにあの二人と出会って少ししてから、変な感じというか、不思議な力を感じました…。ただの人間では何も感じないのですが、もしやあの二人、ただの人間ではないという事でしょうか…。
ガヴリール,あぁ～、美味かった！
ラフィエル,ほんとですね。都会では味わえない、山の幸を味わえましたね
主人,ありがとうございます
サターニャ,ちょっと、お茶おかわりね
主人,はい。ただいま
ヴィーネ,そうだ、ちょっとお尋ねしていいですか？
主人公,なんでしょう？
ヴィーネ,この辺りに祈願とか厄除け抜群の神社があるってネットで見つけたんですけど、どこに行けば着きますか？
主人,えっ、神社ですか！？
ヴィーネ,はい！
ガヴリール,神社？
ヴィーネ,この山奥には様々な祈願や厄除けに効果があるって評判の神社があるらしいの
ラフィエル,成る程。旅行のお目当てはその神社という訳ですか
ヴィーネ,実はそうなのよ。伝えてなくてごめんね
サターニャ,別にいいわよ。じゃあ、明日はそこに？
ヴィーネ,えぇ。そこで祈願して、お守りでも貰おうかなって思ってるけど
主人,い、いけません！？確かに神社はございますし、道も知ってはおりますが、あそこに行ってはなりません！？
ヴィーネ,えっ！？
ラフィエル,行ってはいけない、というのはどういうことですか？
主人,その、お客様にお話しするのも、アレですが…
サターニャ,なによ、勿体振らず教えなさいよ！？
主人,…分かりました。実は……あの神社、出るんですよ……
ガヴリール,出る？なにが？？
主人,………幽霊、いいえ悪霊というべきでしょうか
ヴィーネ,ヒィッ！？
サターニャ,悪霊？
主人,はい。もう半年ぐらい前のことです……。確かにあの神社は祈願や厄除けに効果あるって評判でたくさんのお客様が訪れていました…。しかし…
ガヴリール,しかし？
主人,半年前、ある日を境に霧のような白いモヤが発生するようになり、今はモヤから現れるようにして昔の兵隊の霊が多数出没するという恐ろしいミステリースポットに変わってしまった訳です
ラフィエル,なんと…！
主人,ですが、話はこれだけではありません。
ヴィーネ,えっ！？
主人,ここから先は一番恐ろしい事ですが、実は半年前から霊の出没の話を聞いて興味本位に神社に行った観光客が数人失踪したんです
サターニャ,えっ、失踪！？
主人,噂ではありますが、兵隊の霊は実は怨霊で、今生きている人たちを憎んでいるそうな…。で、生きてる人は怨霊に見つかればすぐにでもあの世に連れて行かれるとか…
ヴィーネ,ヒイィィィィィィーーーーーッ！！？
主人,そんな訳で私みたいに山奥に住むわずかな住人も気味悪がって誰も近付かない訳で…。
サターニャ,なんだか胡散臭い話ね…。
ラフィエル,ですが、話は本当であれば、なぜ怨霊が出没するように？それも兵隊さんの？
主人,分かりません。ただ、もう一つ噂ですが、あの神社の近くには昔から兵隊を弔う為の慰霊碑があって、神社を訪れた誰かがふざけて慰霊碑を壊したから、怒った兵隊が出没するようになったとか…そんな話もあります
ガヴリール,へぇ～
ヴィーネ,うぅ～………
サターニャ,そういう問題のある神社だったら、どうしてそこも把握してなかったのよ、ヴィネット？
ヴィーネ,だ、だってぇ～、私も神社の評判を聞いただけであって、まさかそんな怖い事になっていたなんて知らなかったのよ…。
ラフィエル,ヴィーネさんは確か、お化けとか怖い話が苦手でしたよね？でしたら、怖い話には触れないでいた為に、詳しい情報を把握できなかったとも頷けますね
主人,とにかくあの神社には近付かない事が一番。行く事を希望していても止めておく事です。では、お布団も敷いておきましたので、ごゆっくりお休みくださいませ
ガヴリール,って事だ…どうする、ヴィーネ？
ヴィーネ,や、やっぱり止めておきましょうか…。
サターニャ,さっきまで行く気だったのに、話を聞いてもう怖気づいたの
ヴィーネ,だって、幽霊よ！？わ、私には無理よ！！
ラフィエル,え～、なんだか面白そうじゃありませんかっ///
ヴィーネ,面白くないわよ、ラフィ！？。とにかく神社はやっぱり中止にして、明日は山を下りて別の場所に行きましょう
ラフィエル,あらあら、すっかり怖がってますね
サターニャ,しょうがないわね、ヴィネットは
ガヴリール,まぁ、私は別にどっちでもいいけどさ…。
ヴィーネ,…
ラフィエル,…
サターニャ,…
ガヴリール,………眠れん。ヴィーネ達は寝てるっていうのに、私だけ眠れないとは…。しょうがない。眠くなるまで外を散歩しようかな
ラフィエル,………
ガヴリール,はぁ……。都会と違って、田舎ってこんなに静かなんだな。でも、ここまで静かだとかえって怖いよな…
？？？,ガヴちゃん！
ガヴリール,っ！？
ラフィエル,うふふっ?
ガヴリール,なんだ、ラフィエルかよ…。驚かすなよ
ラフィエル,すみません。それより、夜中なのに散歩という事は眠れないんですね
ガヴリール,見りゃあ分かるだろ、そうだよ。で、ラフィエルはどうして起きたんだよ？
ラフィエル,たまたま目が覚めたら、ガヴちゃんが居なかったものですから…外にいるかと思って来た訳ですよ
ガヴリール,そうか…。まぁ、眠くなったらまた布団に戻るから、先に戻ってていいぞ
ラフィエル,同じ天使のよしみでガヴちゃんと一緒に居てあげますよ
ガヴリール,面白い事期待しても、なにも出ないぞ？
ラフィエル,ご心配なく?
ガヴリール,んっ？
ラフィエル,どうしたんですか、ガヴちゃん？
ガヴリール,いや、今……変な音がしたと思ってな…
ラフィエル,変な音ですか？
？？？,お兄ちゃん、この先を行けば例の神社だよね？。あぁ。旅館の主人は行くなと言ってたけど、救える人が居るのなら助けないとな
ガヴリール,なんだ？！今、声も聞こえたようだけど
ラフィエル,おや、今の声、聞き覚えがあるような…
ガヴリール,えっ？
ラフィエル,とにかく、声のする方に行ってみますか
ガヴリール,………面倒な気もするが、まぁ散歩に行くと考えていいか…。
？？？,地元の人は教えてくれなくても、場所さえ調べれば分かるから、助かるよ。うん！
ガヴリール,声のする方に行ってみたら…そこに居たのは見知らぬ男と小さい女の子の、二人だな
ラフィエル,あっ！
ガヴリール,んっ、どうした？
ラフィエル,あの二人……私たち以外に泊まりに来たお客の、夢魅テルさんと妹のルナちゃんです！
ガヴリール,あぁん、私ら以外の客？そんなのいたっけ？？
ラフィエル,ほら、私にヴィーネさん、サターニャさんがお風呂から部屋に戻った直後、ガヴちゃんに説明した兄妹の方ですよ
ガヴリール,あぁ！！……そういやあ、そんな奴らが泊まってるって話を聞いたなぁ…。私だけ風呂に入ってなかったから、話はおろか会ってすらもないし、分からないはずだよ。しっかし、なんでこんな夜中に山ん中を歩いてんだよ？どう考えても散歩って雰囲気じゃなさそうなのは確かだな
ラフィエル,………わずかに聞こえる会話からして、神社というワードが聞き取れました
ガヴリール,神社……あっ、ヴィーネが言ってて、旅館の男が霊が出るとか話してた、その神社の事か？
ラフィエル,これは……跡を付けていく必要がありそうですね…。
ガヴリール,はぁっ？
ラフィエル,だって、気になるじゃありませんか。こんな時間に、それもなぜ霊が出るとされるその神社にわざわざ行くのかが…
ガヴリール,確かに気にはなるかもしれないけど、行くのは誰かの勝手だし、私らに関係ないからわざわざ尾行する必要はないだろ！
ラフィエル,いいえ。今回は捨てておけません
ガヴリール,おい、なんでそんなに拘るんだ？あの二人見た限りただの人だし、別に気にすることは
ラフィエル,いいえ、実はあの人達のことで少々、気になることがありまして…
ガヴリール,気になること？
ラフィエル,えぇ！実は初めてあの人達…いえ、テルさんやルナちゃんと会って話してた時、二人から何かしらの不思議な力を感じ取ったような気がしまして…
ガヴリール,はぁっ？
ラフィエル,つまりは、二人は一見すれば人間ですが、実際中身はただ者ではない…という疑問が浮かびました
ガヴリール,いや、冗談だろ、それ！？
ラフィエル,私だって最初はそう思いましたが、実は今もテルさんとルナちゃんの両方からまた不思議な力を感じ取ったんです…
ガヴリール,はあぁーー！？つまり、そいつらは人間だけど、人間離れした力を持ってて何かしらの能力が使えるって事か！？
ラフィエル,そうなりますね…。
ガヴリール,いやいや、ありえないって！？天使や悪魔は別として、なんで普通の人間がそれなりの力と能力を秘めてんだよ！！？
ラフィエル,そこまでは分かりませんが、当然人間から感じ取れない普通じゃない力をテルさんとルナちゃんから感じ取った訳ですから、秘めている事は間違いありません
ガヴリール,マジかよ…。私は感じ取れなかったから分からなかったが、なんでラフィエルは普通に感じ取れたんだよ？
ラフィエル,恐らく、ガヴちゃんが堕天したせいで天使力が弱まりつつあるからだと思います。逆に私は堕天せずにそのままですから、それでだと…
ガヴリール,……………
ラフィエル,それより、説明し終えたところで早くテルさんとルナちゃんを追い掛けましょう。きっと何かしらの力と能力が見れて、正体も掴めると思います
ガヴリール,あ……あぁ。
？？？,……………。……………
テル,あった！！少し遠くに見えるアレが、例の神社だ
ルナ,旅館のおじさんが言ってたように、確かに白い煙のようなものが発生してるね…
ラフィエル,ふぅ～、追いつきましたね
ガヴリール,はぁはぁ…
ラフィエル,さて、遠目に見えるのが噂の神社ですね。で、テルさんとルナちゃんはどうするのでしょうか？
ガヴリール,別に大した事は…
テル,ここから夢に入れそうだな…。
ガヴリール,んっ？
ラフィエル,夢？？
ルナ,ねぇ、お兄ちゃん？
テル,どうした？
ルナ,もし、救えそうな人が居たら、最後まで救えるといいね
テル,あぁ。そうだな
ガヴリール,な、何言っているんだ、あいつら…？
ラフィエル,夢に人を救う……意味深なワードだらけですね
テル,とりあえず、夢に…霊が作り出す世界に入り込む為の入口を…。ルナ、下がってろ
ルナ,うん
ラフィエル,霊が作り出す世界……また意味深なワードが…
ガヴリール,おい、あいついきなり手をかざしてるけど、一体何をする気なんだ？
ガヴラフィ,っ！！？
ルナ,これでいつものように夢に入り込むことが出来るね
テル,あぁ！
ルナ,！？………きゃあああぁーーー！！？
テル,！………誰だ！？
サターニャ,ちょっとぉ、今のは一体なんなのよっ！！？
ヴィーネ,サターニャ、ダメよ、まだ隠れないと！？
ルナ,………あれ
テル,あ、貴方たちは……！
ガヴリール,ヴィーネ、それにサターニャ！！？
ラフィエル,どうして、お二人までここに！？
ルナ,！？
テル,えっ？！。白羽さんたちはずっと俺達の跡を付けていたんですか？
ラフィエル,すみません。たまたま目が覚めて外に出たところ、テルさんとルナちゃんの声が聞こえ、気になってつい跡を…
テル,そうでしたか…。
ヴィーネ,私は寝ていた時にサターニャに起こされたのよ
サターニャ,だって、目が覚めたらガヴリールもラフィエルも居なかったから、ひとまずヴィネットを起こしたのよ。それから一緒にガヴリール達を探してたら、コソコソ動くガヴリール達となぜか夜道を歩くアンタ達兄妹を見つけたのよ
ヴィーネ,なんだか様子がおかしいと思って、つい……黙って跡を付けちゃいました…。
ガヴリール,そういう事かよ
ラフィエル,あ、ガヴちゃんは、テルさんとルナちゃんとは自己紹介がまだでしたね…
ガヴリール,あぁ、そういえばそうだったな
ヴィーネ,テルさん、ルナちゃん……こっちは私たちの友達の……
ガヴリール,お前らがラフィエル達が話してた例の客で、兄妹だな。私は天真＝ガヴリール＝ホワイト
テル,天真さんですね。どうも初めまして、夢魅テルです
ルナ,夢魅ルナでーす……
ガヴリール,名前は聞いてるが、テルとルナだな。まぁ、よろしく
ヴィーネ,ちょっ、テルさんは私達よりも年上なのに、いきなり呼び捨ては！？
テル,あっ、別に構いません。好きに呼んでください
ルナ,私と同じくらいの背丈なのに、私よりも年上…。しかもお兄ちゃんよりも年下なのに、名前で呼ばせた！。このお姉さんも、お兄ちゃんの事が……。
ガヴリール,……ルナからおかしな視線を感じるな
サターニャ,で、聞きたいけど、アンタ達本当に何者よ？
テル,えっ……
ガヴリール,私もラフィエルと共に見てたんだよ……テルが能力を使うところをさ
テル,！
ラフィエル,ガヴちゃんの言った通り見ていました
ヴィーネ,すみません。私もサターニャと一緒に見てて…。本当は他人のプライバシーに首を突っ込む事がしたくありませんが、ただ気になって…
サターニャ,ただの人間が、能力を使えるなんてありえないわ！？
ルナ,お兄ちゃん……
テル,ルナ…心配するな。分かりました。本当のことを言います。実は俺、怪奇探偵なんです。
ガヴリール,怪奇探偵？
テル,怪奇現象が話題になるとそこへ出向いて何も知らないまま霊たちの縄張りに囚われた人々を救い出す事をしています
ヴィネサタ,えっ！！？
テル,そして、貴方たちの睨んだ通り、俺は能力を使えます。貴方たちが見ていた能力こそ俺が使える力……ドリームリンク
ラフィエル,ドリームリンク……
テル,霊が必ず夢を見ます。その夢はかつて霊にとってその場所に思い入れがある所に具現化し、その場所は霊の縄張り…つまりは霊が作り出す世界へと変り果てるんです。霊が作り出す世界は主に夢と称されていて、その中に普通の人間が入り込む事は不可能ですが、ドリームリンクはその夢に入口を作り、自由自在に入り込む事が可能になる訳です
ガヴラフィヴィネサタ,えっ！！？
テル,俺は今までドリームリンクを使って、夢に迷い込んだ人々を助けてきました
サターニャ,えぇと……
ヴィーネ,その、霊が作り出す世界とか、夢とか、ドリームリンクとか……その……
テル,普通はありえない事ですし、実際に説明しても理解できない部分はありますよね
ラフィエル,私は理解できますよ
テル,えっ？
サターニャ,アンタは、どうしてすぐ、理解できるのよ？
ラフィエル,だって、初めて会った時から既にテルさん達の不思議な力を感じ取ったからです
テル・ルナ,っ！？
ヴィーネ,えっ、感じ取ったってどういうこと、ラフィ？
ガヴリール,そういえば、その二人から不思議な力を感じて、ただ者じゃないって言ってたよな…？
ラフィエル,えぇ。私も最初は信じられませんでしたが、二度も同じ不思議な力を、テルさん達から感じ取ったことで確信に至った訳です！
ヴィーネ,じゃあ、ラフィはテルさんからその、不思議な力を感じたから、今の話を理解できるって事ね。
ラフィエル,そうです
サターニャ,ラフィエル、アンタってそんなに気配に敏感なの？私は感じ取れなかったけど…
ヴィーネ,えぇ、私も同じ
ガヴリール,そういったら、私だって同じだよ。
ヴィーネ,えっ、ガヴも感じることが出来なかったの？！
ラフィエル,ガヴちゃんの場合は、堕天してたこともあってか、天使力が弱まりつつあるせいだと推測しましたが…。
ルナ,お姉さんたち……
テル,………まさか、俺とルナの能力に薄々気が付いていたとは…。白羽さん、いえ白羽さん達と、言うべきでしょうか…。貴方がたは、一体？
サターニャ,一体と言われても……特に名乗るもんもないわよ！？
ヴィーネ,そ、そうですよ…！？私たちは普通の……！？
ラフィエル,別々ですが、私とガヴちゃんは天使、ヴィーネさんとサターニャさんは悪魔ですよ
テル・ルナ,えっ！！？
ラフィエル,ラフィッ！？
サターニャ,ちょっ、アンタ！？
ガヴリール,ラフィエル、教えていいのか？元々、私らの正体は人間にバラしちゃ駄目な決まりだろ？
ラフィエル,正体をバラしてはいけないのは普通の人間ですよ
ガヴリール,………まぁ、テルは何かしらの力がある事は確かだし、能力を使ってる所は目の前で見てたから、普通の人間ではない事は分かったけどさ
ラフィエル,でしょ？ですから、普通の人間ではないテルさん達でしたらバラしても問題はないと思います
ヴィネサタ,………
テル,ちょ、ちょっと、待って下さい！！？えっ、天真さんと白羽さんが天使で、月乃瀬さんと胡桃沢さんが悪魔って、冗談ですよね？
ラフィエル,ほんとです。証拠をお見せしますよ……ガヴちゃん、ヴィーネさんにサターニャさん！
ガヴリール,……あぁ、分かった
ヴィーネ,ね、ねぇ……本当に正体を……
ラフィエル,バラしたのなら、もう完全に明かすしかないじゃないですか！
サターニャ,あ～ぁ、もう分かったわよ。ほら、ヴィネット
