美城専務,ふむ、全員集まったようだな。それでは、”専務”の私が選りすぐったメンバーで構成されるプロジェクト、クローネの定例会議を行う。司会はもちろんこの私、”専務”の美城だ。何かわからないことがあったら”専務”の私に何でも聞いてほしい。”専務”としていかなる疑問にも答えよう。ちなみに”専務”という役職のの正式名称は”専務取締役”であって……
専務,そもそも本来、専務取締役という立場はあまり現場と接するものではない。現場のトップと最低限のやり取りをするのが基本線であり、このようにアイドルと顔を合わせて会議をするなど有り得ない
ありす,なら今回で終わりに
専務,しかし！！！
ありす,なんなんですか……
専務,最近では、経営層の感覚が現場と乖離し、結果的に求心力を失ってしまい人材の流出を許すというケースが多い
文香,上級国民には下級の気持ちはわからないのでしょうね……
奈緒,やめろって言ってるだろ
専務,我々としては、君たちのような優秀な人材を失うわけにはいかない。そこで私は、この昇進を機に、経営層向けのマネージメントカルケリャミュを受けてきた
奈緒,カリキュラムだろ
凛,言えないなら言わなくていいよ
ありす,一周回ってすごい発音のいい人かと思いましたよ
唯,責めるぅ〜！
専務,まず、経営層が現場の人間と上手くやっていくために、集めなくてはいけないものがある。何かわかるだろうか？
奈緒,尊敬とかだろ……
周子,友達料金
奏,みかじめ料
唯,タピオカ！
フレデリカ,ベルマーク！
文香,敵意
専務,ありがとう。君たちに自由記述のテストをさせる危険性について学ぶことができた。それは尊敬だ。もちろん、今のままでも君たちの尊敬を集めているという自負はある
文香,ZZZ……
専務,……自負はある
凛,もっかい文香見ながら言ってみて
専務,というわけで、いかに”専務”という役職が偉大なものなのか、説明しよう！
ありす,それ、専務という職業に対する尊敬は集まりますが、専務自身への尊敬は集まらないような……
専務,まず、常務取締役は1日に食べていい応接室のおせんべいの数が3枚までと社内規定で決められていたが、専務取締役は5枚まで食べられる
奈緒,くっだらない規定だな
唯,すごーい！！！アメは！アメは！？
専務,食べ放題だ
唯,すごーい！！！！！ゆい、せんむになる！！！
奈緒,アメのためにか？それでいいのか？
専務,ふふ……大槻もようやく、この立場の凄さに気が付いたか
文香,ですが、専務という立場はアメを食べる暇もないくらい忙しいですよ……
唯,じゃあいいや！！！
専務,……
ありす,文香さん
専務,それだけではない。今や活躍の舞台を世界に移しつつある君たちの上に立っているのだから、海外へ行くことも珍しくはない
フレデリカ,おおー！
専務,もちろん、観光気分に浸る余裕はないが……外国の空気というものは常に刺激的だ
フレデリカ,うんうん！さっすが、エライヒトはいろんな国に行けるんだね！フレちゃんもフランスにもっと気軽に行けたらなー！
専務,ふふ……海外にルーツを持つ宮本にとっても、この立場は魅力だろう……
文香,海外に行く回数と比例して飛行機墜落の危険性も増えますね……
フレデリカ,……や、やっぱりたまにでいいかな！！
専務,……
ありす,文香さん
奈緒,専務のプレゼンを次々と文香が潰していく……
加蓮,完全に専務vs文香の構造になってる……
専務,では逆に聞こう。速水、君の思う尊敬される大人とは？
奏,私？そうね……”自立”かしら……
専務,私はスーパーのセルフレジを使いこなすことができる
奈緒,自立の基準が甘すぎる
フレデリカ,ちなみにフレちゃんはセルフレジの使い方がわからなくって危うく万引きで捕まるところだった……
ありす,なぜドヤ顔？
専務,塩見はどう思う？
周子,うーん……余裕があるオトナはかっこいいんじゃない？
専務,私はお気に入りのお皿を誤って割ってしまった時も余裕をもって寝込むことができる
加蓮,その状況が既にカッコ悪い
凛,先に片付けなよ
奏,ちなみに私はカップ焼きそばの調理に失敗した時も余裕をもって宅配ピザを頼むことができるわ
奈緒,諦めてんじゃねえか
専務,……念の為、鷺沢にも聞いておこう
文香,預金残高ですか……？
ありす,全く聞いてません
専務,鷺沢はどんな大人になりたい？
奈緒,趣旨が変わってないか？
文香,権力を誇示しない大人……でしょうか
加蓮,毎回のことだけどトゲがすごい
専務,……ふぅ。君たちのような、スレた若者に聞いても仕方がないということがよくわかった
凛,ちょっと拗ねてるじゃん
専務,ここはさらに若い、純粋な子供に聞くべきだ
ありす,へっ？
専務,橘、この場の最年少である君に聞こう
ありす,わ、私ですか……？
専務,君の思う、尊敬される大人とは？
ありす,そ、そうですね……頭のいい人は憧れますが……
専務,連立方程式
フレデリカ,パリ条約！
唯,カッパのかわながれ！
奏,二律背反
周子,米騒動
文香,後期高齢者医療制度
ありす,バカにしてます？。あとは……嘘をつかない、正直な人は素敵ですね
専務,執務室でネコが飼いたいと思ってネットで調べてたらワンクリック詐欺にかかりかけたことがある
唯,タピオカって可愛いけどあんまり美味しくないと思う！
周子,マジメな場でつまらないものですが……って言いながらビックリ箱渡したら面白そうっていつも思ってる
フレデリカ,ごめん！この前ライブで歌詞忘れちゃってお客さんにマイク向けて乗りきっちゃった♪
奏,寝癖をヘアスタイルと言い張って撮影したことがあるわ
ありす,面倒なのでまとめて言いますけど普段から何考えてるんですか！？
文香,気づかれていないかもしれませんが、会議中に居眠りをしたことが……
ありす,全員気がついてますが！！！
凛,……
奈緒,ん？どうした凛
凛,……この前、冷蔵庫に入ってた奈緒のプリン食べちゃった
奈緒,いやおい！！！！！
加蓮,……こないだ、奈緒がノリノリで千佳と魔法少女ごっこしてた時の動画を横流ししました
奈緒,かれんんんんんん！！！！！
凛,……
加蓮,……
奈緒,こっちを見ろ！！！！！
ありす,ひ、被害が拡大している……
周子,でもさ？専務っていう肩書きについてはわかったけど、美城専務についてはイマイチわかんないよね
専務,む……
奏,そうね……私たちはむしろ、美城専務という人間について知りたいわ。どこ住み？LINEやってる？
加蓮,ナンパか
フレデリカ,年齢は？家族構成は？調べてみました！
奈緒,検索で邪魔になるタイプのクソ記事やめろ
専務,……とはいえ、私自身に特筆するべき何かがあるわけではない。私の功績は、君たちの活躍あってこそだ
ありす,専務……
専務,君たちは本当によくやってくれている。そのおかげで私は盤石の地位を得ることができたと言っても過言ではないだろう。……懐かしいな。まだアイドルになったばかりで右も左もわからない君たちを集め、一歩を踏み出させたことが
文香,アイドルなりたてでも左右の区別くらいはつきますが？
ありす,一応博識キャラなんですから慣用句にケンカを売らないでください
凛,一応
専務,私は、決して褒められた上司ではないかもしれない
唯,うんうん！
凛,悪気はないんだろうけど相槌のタイミングは選んで
専務,だが、君たちが仕事を全力でこなせるように、少なからず努力はしてきたつもりだ。君たちとのこうしたコミュニケーションは、役職を持ったものがつい忘れがちな仕事の楽しさを思い出させてくれる。願わくば、今後とも私と……
唯,もー！せんむってば！
フレデリカ,ねー？ミズクサイよ！
専務,……
奏,ええ。私たちだって、専務には感謝しているわ
周子,なんだかんだ、専務の名前でもらえてるお仕事も多いって聞くしねえ
専務,お前ら……！！！
ありす,急に熱血教師みたいな呼び方になりましたね
文香,私をクビにしないでくださること……感謝しています……
ありす,自覚はあるんですね
奈緒,ま、まあ、悪い人じゃないってのはわかるし……
専務,神谷……
加蓮,自由にさせてくれてるのもわかるしね？
専務,北条……
凛,うん、結果が出てるなら、まあいいんじゃないかな
専務,御徒町……
凛,遠いわ！！！！！
加蓮,御徒町って……
奈緒,えっと……渋谷のほぼ真反対……アキバの１つ上だな
ありす,ふむふむ……
凛,地図調べてないで助けてよ！！！
奏,実際、凛がいじられてるおかげで山手線の駅を覚えているという側面は否定できないわ
周子,この前、渋谷駅で凛ちゃんとたまたま会った時にちょっと笑いそうになっちゃったのは申し訳ないと思ったよね
凛,うるさいな！！！
専務,ともあれ、今後とも活躍を期待している。私の立場は君たち次第でどうにでもなるだろう。誰かが不祥事を起こせばポーンと吹き飛ぶ
ありす,脅しじゃないですか……
文香,冷凍庫に入ってみましょうか……
奈緒,バイト不祥事のテンプレやめろ
専務,もちろん、その逆もあり得る
奏,専務の不祥事で私たちの首がポーン……！？
凛,そっちの逆じゃないでしょ
専務,アイドル部門がこれ以上の活躍を見せれば、子会社としての独立も夢ではない。そうなれば私は社長だ
フレデリカ,よっ！シャチョー！！！
唯,しゃちょー！！！
専務,……
加蓮,あのふたり、出世しそう
専務,あまり未来の話をしても仕方がないが、夢が大きくて悪いことはないだろう
文香,はい……”夢と居酒屋で店員を呼ぶ時の声は大きいほど良い”と昔から言うものです……
ありす,初耳オブ初耳です
奈緒,そもそも未成年だろ
専務,君たちが大人になった時には、お酒くらいなら御馳走しようじゃないか
唯,ほんとー！？
文香,ありすちゃんが20歳になる8年後……果たして専務は無事でいるのでしょうか……
ありす,文香さん、そろそろ緩めてもらっていいですか？
専務,8年後なら安部も17歳になる頃だな
加蓮,クローネ外をいじるのやめてあげてよ
専務,では、他に何もないようなら終わりにしたいと思う
フレデリカ,はい！はーい！！！
専務,どうした
フレデリカ,せんむって、やっぱりお金たくさんもらえるの！？
奈緒,それ聞くかー
ありす,答えてくれるとは思いませんけどね
専務,もちろん、秘密だが……
フレデリカ,だが……？
専務,お金を目的にしてはいけない。お金はあくまで結果だ。覚えておいてほしい
凛,急にいいこと言うんだから……
フレデリカ,そういうのいいから
ありす,台無しですよ
専務,私は忙しいのでまた今度。それでは！
奈緒,逃げた！！！
周子,あ、500円落ちてる
専務,どこだ！？
ありす,もうホント台無しですよ
周子,あ、眉毛が歩いてる
奈緒,そういえばいじってなかったなみたいなテンションでいじるな！！！
専務,どこだ！？
奈緒,ここだよ！！！
加蓮,それでいいの？
専務,このアイドルとの距離感……やはり私のコミュニケーションは正解だったようだ……！
ありす,この人、次回までに降格してないといいんですが……
