佐城雪美,……もしもし……？相談したい……
晶葉,頭を突き出している……これは……
雪美,……
晶葉,えっと……こ、こうか……？
雪美,……！
晶葉,かわいいな
雪美,ちなみに……頭以外を触ってたら……BADCOMMUNICATION……
晶葉,いつからそんなB'z好きになったんだ！？
雪美,次の……命令を……
晶葉,命令ってそんな……
雪美,……あっちの……部品みたいなのは……？
晶葉,ああ、あれは目覚まし時計の残骸だな
雪美,……？
晶葉,いや、恥ずかしい話なんだが、よくやってしまうんだ。構造が気になってバラしてしまうが、直せなくなってしまってな……
雪美,片づける……？
晶葉,あれはダメだ、危ないからな。雪美には触らせられない
雪美,こどもあつかい……ダメ……！
晶葉,何とでも言ってくれ。ケガをしてからじゃ遅いからな
雪美,過保護……！
晶葉,過保護でけっこう
雪美,仏……！聖母……！優しさの塊……！おかあさん……！
晶葉,や、やめろ！やめろ！恥ずかしい！！！。急に褒められるとビックリするだろう！
雪美,じゃあ……あっちの箱は……？
晶葉,えーっと、アレは……何だったっけか？
雪美,からっぽ……
晶葉,ああ、あの時の部品の箱か……、不要だな
雪美,潰しておく……？
晶葉,悪いな、頼めるか？
雪美,……もちろん……！
晶葉,この辺の空き箱は全部捨てて大丈夫だ
雪美,……
晶葉,なんだか悪いな……
雪美,うるとらそうっ……。うるとらそうっ……。うるとらそうっ……
晶葉,潰す効果音めちゃくちゃかわいいのに歌が
雪美,ふー……
晶葉,ありがとう。疲れただろう？
雪美,晶葉のためなら……どうってことない……
晶葉,……そうか。私は幸せ者なんだな……
雪美,次は……
晶葉,よし！今日はラボにこもると言ったが、前言撤回だ！
雪美,……え？
晶葉,何か食べにでも行こうじゃないか！せっかくの記念日だ！
雪美,……うん……！
ライラ,おー！
晶葉,どいつもこいつもなぜいきなり現れるんだ！！！！！
ライラ,ライラさんは洗った白衣を届けにきたのですねー
晶葉,お、おお、そうだったのか、ありがとう
ライラ,ライラさんはお金がなくて、アキハさんにプレゼントはあげられません……。ですので、そのぶん頑張ってお洗濯したのですよー
晶葉,ふふ……その気持ちだけで十分だ
ライラ,ライラさんはアキハさんの助手でございますですからねー
雪美,む……助手は……私……
ライラ,おおー、ユキミさんも助手なのですねー？2人でアキハさんをお助けしましょうかー
雪美,仏……！
晶葉,仏へのハードル低すぎないか。まあいい、ライラも一緒に食べに行くか？
ライラ,ご一緒させていただきますです
雪美,ふふっ……家族みたいで……楽しい……ね
晶葉,ずいぶんと世話のかかる家族だな？
ライラ,ライラさんもー
晶葉,ちょっとそれはタイミング違くないか。何か食べたいものはあるか？
ライラ,お腹に入れば一緒なのですよー
晶葉,食事を楽しむ気が皆無だな？
雪美,ザギンで……シースー……
晶葉,お前10歳だよな？
ライラ,ライラさんもー
晶葉,お前は16だろう！相槌がヘタなのか！
雪美,晶葉は……どこ行きたい……？
晶葉,私か？うーん、そうだな……
雪美,ゴールデンレトリバー……！？
晶葉,1ミリも言ってない！！！
