橘ありす,お疲れ様です
ありす,どうやったら挑戦できるんですか！早く説明してください！
フレデリカ,ありすちゃんのそういうとこ好きだよ！。と、思ったけど～……
ありす,え……
フレデリカ,ありすちゃんには特別に、参加賞として先にイチゴあげちゃう！２等はまた別のモノを用意しておくね！
ありす,……！！！
フレデリカ,別にこのままだと２等が当たるまでお話ができなさそうとか思ったわけじゃないよ！！！
ありす,ふぉふぇへ、ほふふぁっふぁらふぁんふぁふぃそれで、どうやったら参加に
フレデリカ,あ～先にゴックンしよ！ゴックン！
ありす,……。それで、戴いたからには付き合いますが、そのくじはどうすれば
フレデリカ,あ～口についてるよ！
ありす,子ども扱いしないでください！！！
フレデリカ,怒られちゃった！？。ではルールを説明します！
ありす,イチゴはまだあるんですか？
フレデリカ,とりあえず聞いててくれると嬉しいな！
ありす,仕方がないですね……
フレデリカ,まず、紙とペンを用意します！どうぞ！
ありす,ありがとうございます
フレデリカ,カンタンに言うと数字合わせゲームなんだよ！
ありす,なるほど、この紙に数字を書けばいいんですね？
フレデリカ,そ！さて！ここで重要なのはー？
ありす,いくつ数字を書くか。またどの範囲から選ぶかですね
フレデリカ,さすがありすちゃん！かしこい！
ありす,べ、別に普通です……
フレデリカ,はい３等のハグー！
ありす,まだ始まってませんよね！？。というか自分で数字を選ぶってこれ宝くじというよりロト……発売開始とか関係ないのでは……
フレデリカ,数字は00から99まで！5つ選んでね！１つ当たれば５等で、５つ当たれば１等だよ！いやー！わくわくするでしょ！
ありす,まあ……気にしないでおいてあげましょう……。じゃあ適当に……12、15、34、41、51でお願いします
フレデリカ,それを、フレちゃんが確認します！
ありす,どうぞ。正解はどこかに用意してあるんですか？それとも都度ランダムですか？まあ最近ではランダムに数値を抽出してくれるアプリケーションもありますし……
フレデリカ,そしてフレちゃんが正解を作ります！
ありす,は？
フレデリカ,じゃあ……12、15、51、64、99で！
ありす,は？
フレデリカ,はいありすちゃん３つ正解！３等のハグー！
ありす,これフレデリカさん次第でどうにもなるのでは！？
フレデリカ,どうかな！？
ありす,どうでもありませんけど！？
フレデリカ,だめかー。やっぱり商品のラインナップ？
ありす,もっと根本的なシステムの問題ですね
フレデリカ,きっと、このシステムをくぐり抜けて１等を掴むスーパーマンが現れると信じて！
ありす,フレデリカさんに賄賂を渡すくらいしか浮かばないですよ。こんなの明らかにゲームとして成り立ってません！
フレデリカ,そうかな～？さっきやった時は何も言われなかったけど……
ありす,え、私よりも前に誰か挑戦していたんですか？
フレデリカ,うん！悠貴ちゃん！
ありす,反応はどうでした？
フレデリカ,いい感じだったよ！確か……
ありす,当然の反応でしょう……。いやいやいや。悠貴さんで遊ばないでください
フレデリカ,っていう感じだったね！
ありす,素直で可愛いですけどもっと疑った方が……。ということは、悠貴さんもイチゴを？
フレデリカ,ううん！２等は人によって変わるんだよ！
ありす,なるほど。では悠貴さんの２等は？
フレデリカ,おしゃれなハイヒール！ほら、いつも悠貴ちゃんってスニーカーでしょ？オシャレしたいお年頃かなーって！
ありす,こんなゲームを通さなくても、直接渡せばいいじゃないですか……
フレデリカ,えー？でも、自分で勝ち取った方が嬉しいでしょ？
ありす,私はフレデリカさんからプレゼントとしてもらった方が……って、なっ、何を言わせるんですか！！！
フレデリカ,それはちょっと理不尽じゃないかな！？
ありす,ともあれ、ゲームとしては全くダメですよ
フレデリカ,じゃあ、次に部屋に来た人にもチャレンジしてもらおっか！アドバイスもらっちゃお！
ありす,まぁ……それがいいですね
フレデリカ,噂をすれば！
島村卯月,こんにちは！島村卯月です！
フレデリカ,あっ
ありす,あっ
卯月,？
ありす,こ、こんにちは
卯月,はい！おふたりは何をしていたんですか？
ありす,ち、ちょっと世間話を……。ど、どうするんですか！
フレデリカ,こ、こうなったら……！。卯月ちゃん！
卯月,はい！
フレデリカ,オータムジャンボフレデリカ、いかがかな！
卯月,宝くじですか？楽しそうです！
フレデリカ,ルールはこの紙に書いてある通り！
ありす,そんな紙あったんですか……私の時もそれでよかったんじゃ……
卯月,ふむふむ！
フレデリカ,さあ！レッツチャレンジ？
卯月,これ、一度の購入制限ありませんよね？
フレデリカ,へ？
ありす,え？
卯月,00から99までの数値から５つ選ぶ全てのパターンを網羅してチャレンジします！紙を75287520枚ください！
フレデリカ,
ありす,
フレデリカ,緊急集合！！！
ありす,どうするんですか！？
フレデリカ,どうしよう～
ありす,無策！？
フレデリカ,しょうがないから……
ありす,しょうがないから……？
フレデリカ,あやまる！！！
ありす,無策！！！
卯月,そうだったんですか……もらえる紙は１枚なんですね
フレデリカ,ごめんね～？書き忘れちゃってた♪それと、自分でいっぱい紙を持って来てもダメだよ！フレちゃんのあげた紙に書いてある数字だけがチャレンジできます！破ったらレッドカードだよ！
ありす,必死ですね……
卯月,わかりました！島村卯月、頑張ります！
ありす,まあ、いくら卯月さんでもこのシステムなら当たらないでしょう……
フレデリカ,紙どーぞ！
卯月,ありがとうございます！では……まあ考えても仕方ないですよね！06、32、67、70、91でお願いします！
ありす,本当にランダムですね……
フレデリカ,じゃ、フレちゃんチェーック！ふむふむ！
卯月,……
フレデリカ,じゃあ今回の正解は……06、25、44、78、98でした！１個だけ正解だから、ポケットティッシュを
卯月,あ！
ありす,？
フレデリカ,ど、どうしたの？
卯月,ごめんなさい……提出する紙を間違えちゃってました……
ありす,……え？
卯月,それ、私が持って来た紙なんです。ほら、裏に薄くニュージェネのロゴが印刷されてますよね？
フレデリカ,あ……ほ、ホントだ！
卯月,フレデリカさんからもらった紙はこっちでした！大丈夫です！もう数字は書いてあるので！
ありす,ま、まさか……
フレデリカ,！？！？！？
ありす,！？！？！？。なっ……はい！？
フレデリカ,だ、だってさっき数字を読み上げながら書いてたよね！？
卯月,どうやら思ってた数字と書いた数字にズレがあったんですね……お恥ずかしいです
フレデリカ,で、でも、最初に提出した数字が卯月ちゃんの答えだもん！
ありす,……フレデリカさん
フレデリカ,え？
ありす,……さっき、言いましたよね？フレちゃんのあげた紙に書いてある数字だけがチャレンジできますって
フレデリカ,……わお！！！
ありす,逃げ道を塞いだのはフレデリカさん自身です……いえ、もしかしたら卯月さんはこれすら予期して最初の紙のくだりを……
フレデリカ,ふ、フレちゃんが正解を作ってから書いたカモ！？
ありす,１枚目の提出時にペンまで回収してますし、そもそもそこからは書くそぶりもありませんでしたよ
フレデリカ,どうしよう～
ありす,卯月さんが凄すぎてフレデリカさんに落ち度がない……！
卯月,あ！でも……
ありす,ま、まだ何かあるんですか
卯月,私、参加資格を満たしてないかもしれません……！
フレデリカ,え？
卯月,例えば、”イチゴを１つ食べなきゃ参加できないけど、それをフレデリカさんが書き忘れていた”んだったら、私は失格になっちゃいます～
フレデリカ,え？ええ？
卯月,どうなんですか？
ありす,う、卯月さん……
フレデリカ,そ、そうなんだよ～！よくわかったね！
卯月,やっぱりそうだったんですか～！一本取られちゃいました！
ありす,こっちは100本くらい取られてますよ……
卯月,では、私は失礼しますね！
ありす,お、お疲れ様です……
卯月,とっても楽しかったです！また遊びましょうね！
フレデリカ,ま、また来てね～
卯月,～♪
フレデリカ,……
ありす,……
フレデリカ,助かったね……！
ありす,助かってました？
フレデリカ,ふー……
ありす,まあ、そんなに気にしない方が
フレデリカ,全然大丈夫だよ！フレちゃんは強いからね！
ありす,それならいいんですが
フレデリカ,オータムジャンボフレデリカは販売中止になるけど
ありす,結構ダメージ食らってるじゃないですか……！
フレデリカ,というか！！！フレちゃんはもっとこう……それズルくないか！？とか当たるわけないだろ！とか、そう言って一緒に楽しんでくれる人にチャレンジしてほしいんだけどな！！！
ありす,卯月さんはルール内で無双してくるタイプですからね
フレデリカ,もっと素直な人、来てー！！！
ありす,悠貴さんで完全に味を占めてますね……
神谷奈緒,うーっす。お、ありすとフレデリカ
フレデリカ,奈緒ちゃん！！！
ありす,奈緒さん！！！
奈緒,どわあああああ！？なんだあ！？
フレデリカ,３等のハグ！！！
奈緒,何に対する当選！？
フレデリカ,さてさて奈緒ちゃん！オータムジャンボフレデリカにチャレンジする気はないかい！？
奈緒,な、なんだそれ？
ありす,まあまあ、こちらの紙を見てください！
奈緒,はあ？えーっと……数字を書いて……それを見たフレデリカが正解をその場で作成……いやそれズルくないか！？
フレデリカ,奈緒ちゃん！！！
ありす,奈緒さん！！！
奈緒,だああああ！！！離れろ！！！
フレデリカ,５つ全部当たったら１等だよ！
奈緒,当たるわけないだろ！
フレデリカ,奈緒ちゃん！！！
ありす,奈緒さん！！！
奈緒,ホントなんなんだコレ！！！！！
フレデリカ,３等のハグ！！！
奈緒,まだ挑んでないだろ！！！！！
フレデリカ,ありすちゃん……フレちゃんは満足だよ……
ありす,はい……私もです……
奈緒,結局挑ませてももらえないのか！？
フレデリカ,ちなみに卯月ちゃんは全部当てたよ！
奈緒,ありえないだろ！？。というか、これ１等は何がもらえるんだ？
ありす,あ……確かに聞いてなかったですね
フレデリカ,知りたい？知りたい？
ありす,正直、どうでもいいです
奈緒,ま、まあそう言わずにな？
フレデリカ,６億円
ありす,急に宝くじに！？
奈緒,いや元から宝くじだけども！！！
ありす,そもそもそんなお金持ってないでしょう？
フレデリカ,フレちゃんの人生は６億円以上の価値があるんだよ？
奈緒,はあ？
フレデリカ,ありすちゃんに当ててほしいんだけどな～
ありす,へ？
奈緒,……！
フレデリカ,フレちゃんは乙女だから～、これ以上はダメ！
ありす,いまいち要領を得ないですね……
奈緒,……まあ、いいか
フレデリカ,というわけで、オータムジャンボフレデリカはこれにて閉店～
ありす,短い命でしたね
奈緒,死んではないからな
フレデリカ,次は年末ジャンボフレデリカでお会いしよーね！
ありす,懲りないですね……
フレデリカ,パワーアップして帰ってくるよ！商品とかね！
ありす,根本のシステムを変えないと意味ないですよ
フレデリカ,大丈夫！次は0000から9999までの数字を10個にするから！
ありす,解決方法が頭悪いですね……
奈緒,卯月はそれでも当ててきそうだけどな
フレデリカ,さらに次回の１等はありすちゃんからの投げキッス！
ありす,嫌ですけど！？
フレデリカ,５等は奈緒ちゃんの眉毛１本！
奈緒,やらねえよ！？
フレデリカ,４等にイチゴを置いちゃうよ！
ありす,早く開催してください！！！！！
奈緒,ありす！？！？！？
フレデリカ,……サッカー上手くなってないよ！？
ありす,完全に忘れてましたよね？
