千川ちひろ,ん～っ
P,母親と言うと東郷さんのイメージが揺らいでしまうとも考えましたが、これなら違和感なく新しい一面を見せられる。CMは短いですが与えるものは非常に大きいですからね。時にはドラマ主演よりも強く印象に残る場合もあります
ちひろ,○○のCMに出てる人って言われたりもしますからね。そう考えると凄いですよね……
P,個人的にはどれだけ時間が経っても記憶に残るものがCMだと思っています。撮影とかは素人ですけど、やるからにはこっちもしっかり考えないと
ちひろ,採用して下さって良かったですね
P,ええ、頼りになる方ばかりです
東郷あい,おはよう
薫,あいお姉ちゃん！
あい,おはよう、薫
薫,今日はいっしょにお仕事だね
あい,ああ、こんな機会は滅多にないからとても楽しみだよ
P,東郷さん、おはようございます
あい,おはよう。待たせてしまったね
P,いえ、まだまだ余裕はありますから問題はないですよ。あ、そうだ
あい,どうしたんだい？
P,のど飴どうですか？檸檬味
あい,フフッ、ありがとう。頂くよ
P,薫にはこっちをあげよう
薫,みかんだ！
P,うん、二人ともいい感じだ。それじゃあ、そろそろ行きましょうか
あい,そうだね。よろしく頼むよ
薫,いってきまー！
ちひろ,行ってらっしゃい。撮影は大変でしょうけど、頑張って下さいね
P,はいっ、では！。ふ～っ、やっと着きましたね
あい,お疲れ様、大丈夫かい？
P,いやぁ、一日にこんなに頭を下げたのは生まれて初めてかもしれないです
薫,はいっ、今日はよろしくお願いします。はいっ！せんせぇのマネ
P,え、そんなだったかな
薫,だった！カクカクしてた！
P,そ、そっか、カクカクしてたかぁ……
あい,張り切るのは分かるけれど、あれでは挨拶だけで疲れてしまうよ？
P,申し訳ないです……
あい,でも、気持ちは伝わったよ。私も薫も精一杯頑張るから見ていてくれ
P,と、東郷さん、ありがとうございますっ！
薫,ありがとうございますっ！
P,……薫はしなくていいんだぞ？
薫,いいの？
P,挨拶は大事だけど、薫は元気に挨拶するだけでいい
薫,そうなの？
あい,頭を下げてばかりだと、相手の顔を覚えられないからね
薫,あ、そっかー
あい,深々と頭を下げるだけが挨拶じゃない。そうだろう？
P,は、はい。その通りです
あい,責めているわけじゃないよ？。ただ、君が簡単に頭を下げるような人物だと勘違いされるのは嫌なんだ
P,東郷さん……
薫,おこられてるの？
P,ち、違う違う。心配してくれているんだ
薫,心配かけちゃだめなんだよ？
P,……そうだね。その通りだ。ちょっと空回りしてた。落ち着いて行こう
あい,少しは落ち着いたかな？
P,はい、もう大丈夫です
あい,フフッ。それは良かったよ
P,東郷さんは凄いな。もっともっと頑張ろう。この人が、今よりも輝けるように。あ、スタイリストさんが来たみたいだ。東郷さん、薫、また後で
あい,ああ、また後で
薫,せんせぇ、またね！
P,思っていたより凄いセットだな
監督,プロデューサーさん
P,あ、監督、今日は宜しくお願いします
監督,あははっ！さっき挨拶したばかりじゃないですか～！
P,そ、そうでしたね。どうしました？
監督,薫ちゃんの役柄でちょっと
P,何か問題が？
監督,場面は夜。バリバリ仕事をこなす女性が、仕事に疲れてバスに揺られる
P,そこに薫が演じる子供が近付いてきてチョコを渡す。でしたよね？
監督,そうです。でも、この夜ってのがキビシイんですよ
P,何故ですか？
監督,大人が仕事を終えて帰る際のバス。そこに子供が乗っているってのが、です
P,まさか、それで批判が来ると？
監督,依頼元の○○はそう考えたみたいですね。で、急遽変更することになりまして
P,変更はどの程度ですか？
監督,場面に変更はありません。薫ちゃんの役柄は妖精に変更します
P,………妖精
監督,妖精
P,あの、そんなので大丈夫なんですか？
監督,夜に子供がダメなら、子供じゃなくすれば良いんですよ。大丈夫大丈夫！！
P,でも、急なことで大変でしたよね？ありがとうございました
監督,いいんですよ。私も楽しみにしてたし、セット無駄にするわけにもいかないし！
P,頼もしい人だ
監督,衣装の変更は言ってあるんで問題はないです。後は役柄に伴って台詞も変更ですね
P,あ、そうか。急には決まらないよな……
監督,プロデューサーさんならどうします？
P,ん～、そうですね……いっそ、台詞をなくしてみるとか？
監督,やっぱり、この人は面白い。色々なアイドルと仕事をしているからか発想が柔軟だ
P,駄目ですかね？
監督,台詞ナシだと演技に誤魔化しが効かないですけど、大丈夫ですか？
P,大丈夫です。対応出来ます
監督,そう言ってくれると思ってました！
P,最初からそうするつもりで僕に？
監督,ええ、他にも案はありましたけど台詞ナシが一番良いかな～とは思ってました
P,何故ですか？
監督,音楽や雰囲気、画、それに合うセリフを作り直すのってとても大変なんですよ。だったら台詞をナシにして、雰囲気を引き出すような形にした方がベストじゃないかなと
P,なるほど、勉強になります
監督,あははっ、プロデューサーさんも思いついたじゃないですか！
P,僕は思いついただけですよ。演出については考えていませんでした……
監督,私も後から考えただけで最初はそんなもんです。自分の感覚を信じることは大事ですよ？
P,感覚か
監督,演技に関しては撮影が始まったらということで良いですか？細かな変更もあるので
P,はい、分かりました
監督,あ、そうだった。内容を大まかに書いておきました。字が汚いのは勘弁して下さいね？
P,これは助かります。ちょっと行ってきます！
監督,セットの調整で少し時間が空くんで、説明はお願いします
P,分かりました！。……ということで、変更になりました
あい,そんなことで批判は起きない、とは言い切れないな。過ぎたことは仕方がない。監督が用意してくれたメモもある。これがあるだけで助かる
薫,せんせぇ、なんて書いてあるの？
P,えーっと、最初の画は、会社で仕事している東郷さん。瞬く間に時間が過ぎていく。場面が変わって、バスに揺られる東郷さん。流れる夜の景色を見て溜め息を一つ。で、時間が止まる。そこに薫扮する妖精がやって来て、東郷さんにチョコレートを渡して、隠れて様子を見てる。東郷さんは薫の存在に気付くけど、気付かないふりをしてチョコレートを食べる。喜ぶ薫。いたずらな、甘みが香る。○○スイートチョコレート○○は企業名
薫,わぁ、全然ちがうね？
あい,そうだね、最初の台本とは全然違う
薫,でも、かおるはこっちのが好き
P,難しいとは言わない方が良いな。変な緊張を与えると演技がぎこちなくなる可能性がある
薫,せんせぇ
P,？
薫,これ似合う？しろいワンピース
P,ああ、とっても似合うよ。本当に妖精みたいだ
薫,えへへっ、やった
あい,フフッ
P,東郷さん、ちょっと
あい,？
P,大丈夫そうですか？
あい,私達なら出来ると判断したんだろう？だからOKした。違うかい？
P,そうです
あい,やれやれ、いつもこれだ。彼は、私より私を信じている。だから、応えたくなる……
P,東郷さん？
あい,いや、何も心配は要らない。君は安心して見ていてくれ
P,はいっ！
監督,次、薫ちゃん入ります
P,今のところは順調だ。変更はここからだ
監督,薫ちゃん、もうちょっとだけ隠れていいよー
薫,はーい！
監督,あいさん、微笑むのも良いですけど、次はちょっと困った感じに笑ってみて下さい！
あい,なるほど、やってみるよ
P,二人とも凄いな。変更なんてなかったように進んでる
監督,……ハイ、OKでーす！
P,良かった。良かったけど、本当はもっと東郷さんを……
薫,む～
あい,薫？
薫,あいお姉ちゃん、なんかチクチクする
あい,チクチクする？
薫,うん。指がチクチクする
あい,ちょっと見せてごらん？
P,薫、どうした？
あい,棘が刺さってるようだ。セットを触った時に刺さったのかもしれない
P,薫、ちょっと見せて
薫,うん……
あい,ピンセットを借りて来るよ
P,あ、これなら大丈夫ですよ。ちょっと待って下さい
監督,どうしたの？
カメラマン,薫ちゃんの指に棘が刺さったみたいっす
監督,ふ～ん……
P,ちょっと待っててくれ
薫,おサイフ？
P,あったあった。これでよし
あい,5円玉？
監督,撮って
カメラマン,はい？
監督,早く、あの三人を撮って。プロデューサーさんの後ろから、顔が映らないように
カメラマン,わ、分かりました
P,薫、手を貸して
薫,う、うん。いたくしない？
P,痛くしない、大丈夫だよ。いいかい？こうやって、5円玉で上から押すと……
薫,あ、とげが出てきた
P,後は1円玉を二枚使って、挟んで、取る
薫,わぁ、せんせぇすごーい！
P,昔、教えてもらったんだ。役に立って良かったよ
あい,…………
カメラマン,何つーか、優しい顔してますね。母ちゃんみたいな……
監督,…………。プロデューサーさんは、あいさんの新しい一面を見せたいと言っていた。さっきの撮影ではいつもカッコイイあいさんだ。あれじゃあ足りない。でも、これなら使えるかもしれない。後で掛け合ってみよう。よし
薫,？。えへへ
P,薫？どうしたんだ？
薫,せんせぇ、お礼にチョコレートあげる。あーんして？
P,あ、もらってたのか。え～っと
あい,あーんして？
P,
薫,せんせぇ、とけちゃうよー
P,あ、あーん
薫,おいしい？
P,……ん、甘い
あい,甘いのは嫌いかい？
P,チョコレートなんて久しぶりに食べました。美味しいですね
あい,私も食べてみようかな
監督,ハイ、OK！！
あい・P,えっ！？
カメラマン,いやぁ、良かったっす
あい,撮っていたのかい？
カメラマン,はい、監督の指示っす
監督,プロデューサーさん、これ使えるかもしれないですよ！
P,使えるって、何にですか？
監督,CMって、短めのも流すじゃないですか
P,編集されたやつですか？
監督,ええ、それです。その編集したパターンの他に今のも使えないかなと思いまして。撮影現場の風景を流すCMもあるじゃないですか？あれですよ、あれ
P,いやいやいや、無理ですよ！
監督,微妙なところですけど、ちょっと話してみます。連絡は後日、ではまた！！
P,行ってしまった
あい,面白い人だね
P,面白いですけど、大丈夫でしょうか
あい,まあ、あのまま使われることはないだろうね
P,きっと何か考えがあるんでしょうけど……撮影は終わりましたし、支度して帰りましょうか
あい,そうだね。控室に戻ろう
薫,はーい
P,東郷さんのスーツ姿、やっぱり綺麗だな
あい,ん？
P,いえ、行きましょう
あい,そう言わずに、もう少し見惚れていても良いんだよ？
P,かっ…
あい,か？
P,か、おる、行こうか？
薫,あるいてるよ？
あい,くっ…フフッ
薫,せんせぇ、かおまっかだよ？
あい,思っていたより早かったね
P,そうですね。急な変更だったので、もっと時間が掛かるものと思っていました
あい,最初から考えていたのかもしれないよ？
P,何があっても対応出来るように用意していたと？
あい,私はそう思うよ。現場に慌てた雰囲気はなかったからね
P,最終的に一つしか採用されなくても、それに代わるものを準備しておく。勉強になるなぁ
あい,それは何事にも言えることだからね。私も勉強になったよ
P,………
あい,どうしたんだい？
P,薫は寝てますか？
あい,うん、長時間集中して疲れたんだろう。それで？私に何か言いたいことがあったんじゃないのかい？
P,……今日はとても良かったです。でも、当初考えていたものとは違いました
あい,あのCMで私のイメージの幅を拡げると言っていたね。そのことかな？
P,そうです。別角度から捉えると言うか、見せ付けると言うか、一瞬で焼き付けるような……
あい,………
P,撮影は順調で、もう終わってしまったけど、それを貴方に見せられなかったことだけが残念でならない
あい,私に？
P,自分では見えていない部分、それが分かれば、貴方はもっと輝ける。下手をするとイメージが一変して崩れてしまうけど、今回は監督にも恵まれて絶好の機会だった
あい,そう悔しがらなくても大丈夫さ。必ず、次はある
P,でも、次がどれだけ先になるか分からない。CM依頼なんて……
あい,君なら出来るさ。私は、そう信じている
P,………
あい,どうしたんだい？
P,東郷さん
あい,？
P,もっと頑張ります。今よりも、ずっと。だから、待っていて下さい
あい,無自覚とは恐ろしいな……
P,どうしました？
あい,……アイドルでいられる時間は短い。いつまでも待てないよ？
P,大丈夫です。僕は、出来ます
あい,フフッ。そうだね。その時が来るのを待っているよ
P,あの、何で顔を背けているんですか？ちょっとバックミラーの角度を
あい,い、いいから、君は運転に集中するんだ。後ろばかり気にしていては駄目だよ
P,は、はぁ
薫,ん～？
あい,あ、薫、起こしてしまったね……
薫,あいお姉ちゃん、どうしたの？
あい,いや、なんでもないよ。大きな声を出して悪かったね
薫,ううん、そうじゃなくて
あい,？
薫,あいお姉ちゃん、かおまっかだよ？
ちひろ,おぉ、来ましたね～
P,どうですか？
ちひろ,プロデューサーさんが言っていた感じは出ているんじゃないですか？
P,感じ、ですか
ちひろ,ええ、あいさんの顔を見ると二人は仲が良いんだろうなぁと思います。薫ちゃんが可愛い、まるで天使って、反響も凄いみたいですよ？
P,それは良かったです
ちひろ,もう一つの方はどうですか？
P,既に決まりました。新たに撮るようです
ちひろ,良かったじゃないですか！
P,まあ、それはそうなんですけど……
ちひろ,どうしたんですか？
P,参考に渡されたものがちょっと、これなんですけど
ちひろ,あるなら言って下さいよ～。じゃあ、早速見てみましょう
P,あ、ちょっと
ちひろ,え～、良いじゃないですか、折角ですから見ましょうよ。出来てるじゃないですか！！
P,だから、これは見本です！そのまま使うわけにはいかないでしょう！？
ちひろ,え、でもプロデューサーさんの顔は見えてないし、音声も切ってありますよね？
P,画的に問題があるんです。きちんと台本書いて、新たに俳優を起用するらしいです
ちひろ,勿体ないような気がしますね
P,表情はとても素晴らしいですけど、照明とかがないので駄目ですよ
ちひろ,そうですかね？撮影終わりで素の感じが出ていて、私は良いと思いますけど
P,女性特有の感覚なのかもしれない。覚えておこう。はい、もしもし。はい、はい、分かりました。すぐに行きます
ちひろ,早速ですか？
P,ええ、監督からでした。ちょっと行ってきます
ちひろ,プロデューサーさん
P,はい？
ちひろ,近々、凛ちゃんのレコーディングもあります。どちらかが疎かになることはないと思います。ただ、張り切り過ぎて体を壊さないように気を付けて下さいね？
P,はい。千川さん、ありがとうございます！
ちひろ,プロデューサーさん、頑張って
P,千川さんのお陰で助かった。よし、まだ時間はある。渋谷さんの様子を見に行こう。スポーツドリンクは……。これでよし……。いや、待て。集中しているだろうし、邪魔になるなら終わるまで待っていた方が
渋谷凛,あ、プロデューサー
P,はい？
凛,なにウロウロしてるの？
P,あれっ、渋谷さん？
凛,で、何してたの？
P,丁度、行こうか悩んでいたんですよ
凛,あのさ、悩むくらいなら来てよ
P,ごもっともです……
凛,何かあった？
P,いえ、レッスンの様子を見たかっただけです。あ、これどうぞ
凛,……ありがと
P,休憩だったんですか？
凛,違うよ、今日はもう終わり。ボーカルレッスンは2時間にするってさ
P,調整してるのか、もうすぐだからな……
凛,最近はかなり忙しそうだったね
P,ええ、中々顔を出せずにいましたけど、これからは大丈夫です
凛,本当？
P,CMの方は落ち着きましたからね。もう一本撮ることになりましたけど、何とかします
凛,体は一つなんだから無理しないでよ？
P,僕は大丈夫ですよ
凛,いつもこれだ。しっかり休んでるのかな
P,あ、そうだ。CMは見ましたか？
凛,うん、見たよ
P,どうでしたか？渋谷さんから見て
凛,良かったよ。二人とも良かったけど、薫の色が強いよね
P,やはり、そう思いますか……
凛,あいさんが負けてるってわけじゃないよ？あれは見せ方の違いだと思う
P,よく見てる。こんなに若い子まで気付くとなると、次のCMは絶対に必要だ
凛,あのさ
P,はい？
凛,今から時間ある？歌詞のことで相談したいんだ
P,これから打ち合わせなので、戻ってからなら大丈夫です。疲れているなら明日でも……
凛,いい、待ってる
P,分かりました。戻ってから話しましょう
凛,気を付けてね？
P,はい。では、また後で！
凛,うん、プロデューサーは元気だ。私も頑張ろ
ちひろ,凛ちゃん、お疲れ様
凛,うん。ちひろさん、なに見てるの？
ちひろ,もう一本別のCMを撮るらしくて、その見本です。凛ちゃんも見ますか？
凛,いいのかな？
ちひろ,事務所に来たものですから大丈夫ですよ
凛,これ、プロデューサーだよね？
ちひろ,やっぱり分かります？
凛,この事務所のアイドルなら全員分かるよ。仕草とか、背中で……
ちひろ,ふふっ、そうですね
凛,あっ、今の
ちひろ,どうしました？
凛,あいさんの顔、もう一回見せて
ちひろ,は、はい
凛,……これだ
ちひろ,えっ？
凛,ちひろさん、もう一回
ちひろ,は、はい
監督,……ということで良いですか
P,ええ、先程連絡は取りましたので大丈夫です
監督,では引き続き、あいさん、薫ちゃんは決定。俳優のついては後日改めてということで
P,はい
監督,熱が冷めないうちに取り掛かりますんで、急ぎになりますけど宜しくお願いします
P,分かりました
監督,じゃあ、今日はこの辺にしときましょうか
P,ありがとうございました
監督,プロデューサーさん、この後晩ご飯でもどうですか？スタッフも含めて
P,ちょっと事務所に連絡します
監督,じゃあ、外で待ってますんで！
P,ご飯か、これは最初から想定しておくべきだった。渋谷さんには明日しっかり謝ろう……。助かった。何とか早く帰ってこられた。車じゃなかったら居酒屋行きだったな。ただいま戻りました
凛,お帰り
P,………渋谷さん。何で
凛,遅かったね。何してたの？
P,事務所には連絡したはず
凛,約束したよね？待ってるって言ったよね？
P,も、申し訳ありません……
凛,今のは冗談だよ
P,………今度、ドラマに出てみますか？
凛,怒るよ
P,冗談です
凛,ハァ、ちょっと座って待ってて
P,え？
凛,いいから待ってて
P,渋谷さん、どうしたんだろう？。あ、来た
凛,はい、お待たせ
P,ココア……これは渋谷さんが？ありがとうございます
凛,大袈裟。粉とお湯を混ぜただけだよ
P,そんな言い方しなくても……あ、うまい
凛,……ん、いつもお疲れ様
P,優しい子だ。見た目とは違う温かさがある。もっとこういうところを見せていきたい
凛,ねえ、なんか言ってよ
P,えっ？あ、凄く嬉しいです。本当に
凛,そっか、良かった……
P,でも、どうしたんですか？こんなに遅い時間まで待ってるなんて
凛,歌詞のこと
P,何か不安が？
凛,うん。ちょっと掴めなくて、分からなくなってたんだ。曲調は激しいから勢いで押せるかもって思ってたけど、やっぱり、そう甘くないみたい
P,分からないとは、どの辺りがですか？
凛,全体的な雰囲気かな。求めて、私に溺れて、そういう感覚は分からないんだ……
P,自分でなくても良いのでは？小説などで曲に合う人物を見付けて、その人物になりきって歌うとか
凛,私も同じ事を考えた。それで、モデルを見付けたんだ
P,モデル？どんな感じですか？
凛,私に溺れろ、じゃなくて、ゆっくり優しく溺れさせる感じかな
P,優しく溺れさせる、ですか。誰を参考に？
凛,それは秘密
P,事務所の人ですよね？
凛,秘密だってば
P,……東郷さんですか？
凛,鋭い
P,いや、包容力と言うと他にも候補が……
凛,私は見本を見て感じたけど、プロデューサーは前から気付いてた。ずっと、あいさんを見てたんだ
P,あ、こんな時間だ。送ります。ご家族に連絡はしましたか？
凛,したけど、いいの？
P,勿論です。ちょっと待っていて下さい
凛,うん。あいさんの表情、多分だけど、あれはきっと……私には出来ない表情だ
P,行きましょうか
凛,ごめんね？
P,？
凛,折角感覚を掴んだから、どうしても伝えたくてさ
P,いいんです。僕も渋谷さんと話せて良かったです。迷ったら相談して下さい
凛,……ありがと
P,渋谷さん、渋谷さん？
凛,んっ、あれ？
P,着きましたよ
凛,寝てた……
P,今日はゆっくり休んで下さい
凛,うん
P,さてと。？。どうしました？
凛,プロデューサーもちゃんと休んでよ？
P,ええ、今日はもう休みます
凛,うん、そうして。それじゃあ、また明日
P,ええ、また明日。まず、候補に挙がった俳優を調べよう。なるべく年齢が近くて、実力がある若手……
あい,この中から？私が？
P,あくまで出演者側の希望という形ですけど、決め手にはなります
あい,そう言われても難しいよ。どれも見たことのある俳優さんばかりだ
P,変な言い方になりますけど、気に入った方がいたら言って下さい
あい,気に入ると言われても……
P,難しいですか？
あい,ああ、折角提示してもらって悪いけど、この中なら誰にでも任せられるんじゃないのかい？
P,確かにそうかもしれません。でも、片っ端から声を掛けることは……
あい,確かに。しかし、これは参ったな……
薫,どうしたの？
あい,この中の誰が良いかと聞かれてね。薫は誰が良いと思う？
薫,ん～。あ、この人！
P,薫はその人が良いのかい？
薫,うん。この人がいい
あい,知ってる人？
薫,ううん。この中で一番せんせぇみたいだから
P,僕？
薫,だって、せんせぇの役なんでしょー？
P,いや、まあ……そうなのかな
あい,雰囲気が似てるのかな？
薫,わかんない。わかんないけど、この人がいい
P,感覚、信じてみるか
あい,私は彼でも構わないよ。君はどうだい？
P,そうですね。では、監督と話してみます
薫,きまったの？
P,薫のお陰でね
薫,やったー！
あい,良かったのかい？
P,ええ、東郷さんの言う通り、この中なら誰でも任せられます。ただ
あい,？
P,一番現実的なのは薫が選んだ俳優なんです。この中で一番若く、まだ露出は多くない。演技についてはあまり分かりませんでしたけど、惹かれる部分もある
あい,何故候補に？
P,必ず応じると思ったからです。事務所も、彼の知名度を上げたいはずですからね
あい,なるほど
P,後は、薫の感覚を信じるだけです。精一杯やってみます
あい,待ってくれ
P,？
あい,睡眠は取っているのかい？
P,いえ。でも、大切な時ですから仕方ないですよ
あい,……時間が空いたら、きちんと休むんだよ？
P,分かりました。では！
あい,………
薫,どうしたの？
あい,彼が心配でね
薫,せんせぇが？
あい,……いや、薫には言わない方が良い。きっと、私達のせいで彼が眠れていないと考えてしまう
薫,あいお姉ちゃん？
あい,朝ごはんを食べていないみたいだったから、ちょっと心配でね
薫,そっかー。ねえ、あいお姉ちゃん、おみみかして
あい,？
薫,えっとねー
あい,フフッ。分かった。手伝うよ
監督,この子ですか
P,意外ですかね？
監督,プロデューサーさんなら、もうちょっと上の世代にするかと思ってました
P,僕も最初はそう考えていましたけど、出演確実なのは彼です
監督,他に理由は？
P,女性層を狙った部分はあります。彼にも初めてのCMですから、初々しさが出る。見本をどこまで再現するのかは分かりませんが、短い間に多くのものを見せられるはずです
監督,面白い！
P,そうですか？
監督,ええ、CM終了ではなく、これから何かが始まる感じを出せると思います。慣れている俳優だと、当然、仕事を終えた感じを出すと思うんですよ。でも、彼ならきっと……
P,凄いな
監督,あ、台本は出来てるんで見て下さい
P,早いですね
監督,まあ、プロデューサーさん、あいさん、薫ちゃんの映像はありますからね。それを書き起こして、ちょっと付け足しただけですよ
P,あの日のやり取り、そのままだ……
監督,あははっ！あまりに良かったもので
P,これ全部入りますかね？
監督,大丈夫、入れてみせますよ
P,め、めちゃくちゃ格好いい！！
監督,他に質問はありますか？
P,えっと、俳優の顔は？
監督,出しますけど、一目では分からないようにします。話題にして欲しいので
P,次も狙ってます？
監督,ええ、出来れば第二弾、第三弾と続いて欲しいですね～。ドラマ仕立てにして
P,この人は凄い。分かってたけど、やっぱり凄い
監督,じゃあ、今日はこの辺にしますか
P,そうですね。忙しい中、ありがとうございます
監督,あははっ、それはプロデューサーさんもでしょ？
P,え？
監督,前に言ってたじゃないですか、そろそろ凛ちゃんのレコーディングだって
P,覚えてたんですか？
監督,興味のあることは覚えてますよ。あんなに熱く語られちゃあ忘れませんって
P,いや、お恥ずかしい……
監督,プロデューサーさん
P,何でしょう？
監督,もっと、大きな流れを作りたいですね。僕等で
P,え、ええ、そうですね？
監督,それでは、また
P,大きな流れって何だろう？ま、それは置いといて、一度戻って渋谷さんの様子を見よう。トレーナーさんにも話を聞いてみて、それから一休みだ。よしっ！
凛,～～♪
P,どうですか？
ﾄﾚｰﾅｰ,昨日とは表現が違いますね。良い感じです。きっと、感覚を掴み始めたんだと思います
P,曲調とは違って、何と言うか可愛らしいですね。聞こえ方が全然違う
ﾄﾚｰﾅｰ,ええ、当初は大人っぽく歌おうと頑張っていましたけど変えたみたいです。最初のイメージからすると、年上の女性が周囲の男性を虜にするようでした
P,でも今は、年若い女性がお願いしているみたいですね。私に溺れて…か
ﾄﾚｰﾅｰ,納得したんでしょう。歌詞を自分なりに解釈して、それを表現する。歌は作詞した時に生まれると言いますけど、歌って生まれ変わる時もある。歌は二度生まれる
P,格好いいですね
ﾄﾚｰﾅｰ,何かの本に書いてありました
凛,～～♪
P,きっと、いや、必ず上手く行く
ﾄﾚｰﾅｰ,さて、そろそろ戻ります。渋谷と話して行きますか？
P,いえ、今はいいです。折角仕上がって来ていますから
ﾄﾚｰﾅｰ,じゃあ、プロデューサーさんが来ていたと伝えておきますね
P,はい。引き続き、よろしくお願いします
ﾄﾚｰﾅｰ,任せて下さい
P,では、失礼します。やっと、休める。東郷さんにも心配掛けてしまったし、ちょっとでも眠ろう
ちひろ,プロデューサーさん！
P,どうしました？
ちひろ,さっき監督さんから連絡があって、俳優の○○さんが決まったとのことです
P,良かった。でも、随分と早いですね
ちひろ,二つ返事だったみたいですよ？明後日から撮影を始められるって言ってました
P,そうですか！それは良かった！
ちひろ,話題性がある内に畳み掛けたいって、かなり気合いが入っていましたよ
P,僕も頑張らないと
ちひろ,その前にしっかり休んで下さい。仮眠室は空いてますから
P,千川さん、ありがとうございます
ちひろ,いえいえ、給湯室におにぎりがあるので、お腹が空いたら食べて下さいね？
P,分かりました。ちょっと休んだ後で食べます
ちひろ,はいっ
P,安心したら急激に眠気が……早く仮眠室で休もう。……決まって良かった。今日明日で、俳優さんの事務所に電話してしっかり連携を取ろう。東郷さんに俳優が決まったこと話して、渋谷さんとも話して。それで、明後日は撮影に行って、渋谷さんのレッスンに顔出して、それから、それから……。……zzzZ。………はっ！。これは、手紙？。…………。………。美味しい。こんなに美味しいおにぎりを食べたのは生まれて初めてかもしれない。プロデューサーになって良かった。もっと、皆のために頑張ろう
凛,泣いてるの？
P,泣くに決まってるよ。だって、こんなに心の……
凛,心の？
P,………いつから見ていたんですか？
凛,天井見上げて涙がツーってなってる辺りから見てたかな
P,そうですか
凛,ふーん。なかったことにする気？
P,何もなかったでしょう？別に恥ずしいことでもないですからね
凛,タメ口だった。あんな喋り方するんだね
P,失礼しました
凛,そうじゃなくて、いつもはあんな感じなの？
P,家族や友人と話す時はあんな感じですね
凛,何でそんな喋り方するわけ？
P,それはまあ、大人ですから。それに近すぎて良いものでもないでしょう？
凛,私達との距離ってこと？
P,ええ、親しすぎるのはどうかと思います。今のような関係が望ましいです
凛,それってさ、事務所から言われてたりするの？
P,……秘密です
凛,あ、逃げた
P,渋谷さんもモデルが誰か答えなかったので、おあいこですよ
凛,案外、子どもなんだね
P,子どもが大人になっただけですからね
凛,ちょっとイメージ変わったかも
P,僕もです
凛,……美味しそうだね
P,…………あげませんよ？
凛,取ったりしないよ！
P,そうですか、安心しました。あ、今日の歌は良かったですよ
凛,来てくれてたんでしょ？
P,ええ、渋谷さんらしい歌声でした。背伸びせず、媚びているわけでもなく、とても真っ直ぐで
凛,そんな風に思ってたんだ
P,とても可愛らしいかったです。甘えているような感じがしました
凛,クールで売り出してたのにね
P,角度の問題ですよ。角度が変われば、違った顔が見える。それも渋谷さんです
凛,………
P,もっと豊かな表情、もっと優しい笑顔。貴方の内面は必ず評価されます。大丈夫です
凛,プロデューサーは？
P,？
凛,プロデューサーは誰かに見せないの？素の、プロデューサーじゃない表情……
P,そう言われると、最近は見せる暇がないですね
凛,大変じゃない？
P,いえいえ、楽しいので平気です
凛,……本当？
P,………本当だよ。大丈夫、心配ないよ
凛,フフッ、分かった。もう聞かない
P,送りましょうか？
凛,いいの？
