闇の深いＰ(以降Ｐ表記),あ゛～…ようやく終わったわ…
Ｐ,ああ、良い歳こいた埼玉県民が独り言フルスロットルで飯作り出したから声かけられなかったのか
あやめ,そ、そこまでは申しておりませんっ！
Ｐ,ごめんなー、恐かったろキモかったろ。誰もいないと思ってテンション壊れてたところを全部見られていたのか…
あやめ,Ｐ殿っ！？わたくしはそのような事思っておりませんっ！
Ｐ,えっ？あまりのキモさに耐え切れずに落ちてきたんじゃないのか？
あやめ,違いますっ！美味しそうな匂いについ油断して足を滑らせて…あっ
Ｐ,…
あやめ,…
Ｐ,一緒に食べるか？
あやめ,オテツダイイタシマス
Ｐ,うっし。じゃあタネを皮に包むぞ。手伝ってくれニンニン
あやめ,はっ。微力ならばお力添え致します
Ｐ,その前に手ぇ洗えよー
あやめ,これは失敬
Ｐ,ずっと屋根裏にいて退屈じゃなかったか？
あやめ,いえいえ。最近は照明やクッション、雑誌などを持ち込んで…
Ｐ,俺のデスクの下といい、ここのアイドルはどうして変なところに居つきたがるんだ
あやめ,凛殿も偶に天井裏でお会いしますよ
Ｐ,どんなところでアイドル同士遭遇してんだよ
あやめ,それはさておきＰ殿。これは餃子なのですよね？
Ｐ,ん？そうだけど。ドネルケバブに見えたか？
あやめ,いえ、餃子は皮に包む際折り目をつけるのでは？
Ｐ,ああ、自分で作って食べる分にはそんな面倒な事しなくていいよ。しっかり口を閉じれば特に必要の無い工程だしな
あやめ,そうなのですか？
Ｐ,それに半分は水餃子にするつもりだし。ほら、皮もこの通り２種類買ってきた
あやめ,おおっ！流石Ｐ殿！
Ｐ,よーし、どんどん包むぞー
あやめ,タネも２種類あるのですね。…おや、ニラは入れないのですか？
Ｐ,ああ、入れない
あやめ,Ｐ殿の事です。きっとお考えがあるのですねっ？
Ｐ,ニラ嫌いなんだ
あやめ,oh…
Ｐ,２種類のタネをそれぞれ焼き餃子、水餃子用に包んでいって、と…
あやめ,Ｐ殿早いですね、わたくしが１つ作る間に３つは仕上げております
Ｐ,料理は子供の頃からやってたからなぁ
あやめ,お好きだったのですね、料理が
Ｐ,いや、自分の好きなものを好きな味付けで食べたいからって理由だぞ
あやめ,それは、実も蓋も無いと言いましょうか…
Ｐ,料理やるヤツにこういう理由って、結構いるぞ？。…よし、大体包めたな
あやめ,タネが大分余ってしまいましたね
Ｐ,ま、色々使い道はあるし足りないよりはいいだろ。んじゃ焼くぞー。フライパンにサラダ油を…。火をつけてフライパンを熱したらまずは焼き餃子からだ
あやめ,おおっ、何だかドキドキしてきました
Ｐ,いくぜっ！StartYourEngines！
あやめ,わわっ！良い音ですＰ殿っ！これは興奮してしまいますねっ！
Ｐ,早速香ばしい匂いがしてきたな。まずは強火で焼きを入れて…。フライパンの淵からいれるようにして、水を投入だ
あやめ,わっ、凄い湯気と音です！
Ｐ,んでもっと中火にして、蓋を閉める。これで後はしばし待つだけだ
あやめ,香ばしい匂いが立ち込めてきましたな。…空腹には堪える匂いです
Ｐ,全くだ。さて、じゃあ今のうちに水餃子も作るぞ
あやめ,御意っ
Ｐ,さっき作ったトリガラに水餃子用に作った方の餃子を投入っと。ついでに少し大きめに切ったネギと千切りにしたニンジンも入れる
あやめ,見た目にも色鮮やかで良いですね
Ｐ,さて、そろそろ焼き餃子が頃合だろ。あやめ、蓋とってくれ
あやめ,お任せあれっ！。熱っつつつつ！！
Ｐ,気をつけろって…火傷してないか？
あやめ,うぅ…油断しておりました。しかしＰ殿ご覧下さい！この見事な焼き色を！
Ｐ,うん、俺が焼いたんだけどね。焼き餃子を皿に並べて、っと…。あやめ、ご飯よそっといてくれ
あやめ,御意！
Ｐ,水餃子もいい感じだな。皮モッチモチで美味そうだ。こっちもお椀によそって、と…あっちち
あやめ,Ｐ殿ー、ご飯はどこに置けばろしいでしょうかー？
Ｐ,んー、デスクの上で食う訳にもいかんし休憩室でいいだろ
あやめ,では、テーブルを拭いてまいりますっ！
Ｐ,…なら、その隙に俺は…。よーし、出来た
あやめ,おぉ…美味しそうですっ、香ばしい香りが、もうたまりません！
Ｐ,焼き餃子に水餃子、それぞれキャベツ入りとシソ入りの２パターン。そして白飯。タレもピリ辛風に梅風の２種類。…完璧すぎる布陣だ
あやめ,もはや何者にも崩せぬ鉄壁の備えですねっ
Ｐ,それじゃ食うか
あやめ,はいっ。では…
Ｐあやめ,いただきます
あやめ,ほふっ、ほふ…。Ｐ殿っＰ殿っ！凄い音ですっ！皮がパリパリです！
Ｐ,うん、飲み込んでから喋りなさい
あやめ,んぐっ…ん、これは、失礼…
Ｐ,どれ、では俺も…。はふっ、あひぃっ！・・・はふ、はふっ、皮がっ！皮がパリパリだっ！
あやめ,Ｐ殿、お口の中を空にしてからお話下さい。はしたないですよ
Ｐ,んぐっ…、めんご
あやめ,しかし見事なパリパリ感ですな…それにこの匂い
Ｐ,一口頬張ったら白飯掻き込みたくなるな…どれ、じゃあ次はタレをつけて、と
あやめ,タレも２種類あるのですな。どちらからいくか迷ってしまいます…
Ｐ,俺は猫舌なんで今度は白飯の上で一回餃子を割ってから…まずは梅風味のタレでいくか。はふっ、それでも熱ぃ…。あぁ、でもやっぱ美味ぇ…シソ入りのほうだと尚更相性いいなコレ
あやめ,鷹の爪入りのタレも辛さが絶妙です！ピリッとした刺激が肉汁とあいまって…
Ｐ,ご飯かっ食らう忍ドルってのも中々見られない光景だな。そろそろ水餃子いってみるか
あやめ,ハフッ、もふっ、ハフハフッフモッ、フモッ、ふもっふ！
Ｐ,誰も取らないし沢山あるから落ち着いて食え。ボン太君みたいになってるぞ。…うん、トリガラスープも丁度良い塩気だ
あやめ,こちらは餃子がモチモチですねっ！焼きと触感が全く違うので止まりません！
Ｐ,焼き用の皮で水餃子作ると直ぐ破けるもんなぁ…っちぃ！熱っ！
あやめ,Ｐ殿っ！？い、今お水をお持ち致しますっ。お待たせ致しましたっ！
Ｐ,あぁ、悪い……はぁ、熱かった
あやめ,Ｐ殿は本当に猫舌なのですね…
Ｐ,油断してたわ…モチモチの皮がたっぷりスープ吸い込んでいやがった
あやめ,焼きのように一度ご飯の上に置かれては如何でしょうか
Ｐ,そうするわ。じゃ、リベンジっと。一旦ご飯の上にワンバウンドさせて…
あやめ,あふっ、はふっ…ショウガが効いておりますなぁ
Ｐ,今度はシソ入りだった。どれ、今度はこっちにピリ辛タレをかけて…っと
あやめ,ああ、スープやタレが染みたご飯がまた…
Ｐ,モチモチの皮を噛むと中からたっぷりの肉汁が溢れ出すとか、もう反則だな…どうして日本人ってこうモチモチしたものに弱いんだろな。モチモチ水餃子の後にまた焼き餃子に戻ると、またこのパリパリ感がなぁ…
あやめ,モチモチからパリバリ、またモチモチと止まらなくなってしまいますね！
Ｐ,太りそうだな
あやめ,そ、それは困ります…忍びは身軽さが重要です。ああ、でも今更止まらない…わたくしは一体どうしたら
Ｐ,忍び以前にアイドルとして困ってくれよ、そこは…。まあ、多少食べ過ぎても大丈夫だろ
あやめ,ほ、本当ですか？
Ｐ,明日のレッスン量倍にするってベテトレさんに連絡しておけばいい
あやめ,ｱｲｴｴｴｯ!?
Ｐ,ま、それは１割冗談だとしても
あやめ,９割本気なのですね！？
Ｐ,あやめは…っていうかこの事務所の娘はみんなもうちょい肉つけたほうがいいってような娘ばっかだからな。体型維持に普段から気をつける姿勢はプロとして立派だが、こうしてしっかりご飯食べてる姿を見せてもらえるのはやっぱり安心するな
あやめ,Ｐ殿…
Ｐ,あやめー、まだ食べられそうか？
あやめ,はいっ、美味しいのでまだまだいけてしまいそうですっ
Ｐ,なら、こんなのも作ってみたんだが食べてみるか？
あやめ,むっ？これも水餃子ですか？
Ｐ,ああ、スープにせずお湯で茹でただけだけどな
あやめ,サッパリと食べられそうですね。では、頂きますっ。…むぐっ！？Ｐ殿っ、これは何なのですかっ？
Ｐ,冷蔵庫にカツオの切り身があったからな。あやめがテーブルを片付けてくれている間にササッと作ってみた。カツオを叩いて味噌と薬味を混ぜたものをタネにして餃子にしてみた
あやめ,おおっ、確かなめろう、というヤツですな！餃子にしてもこんなに合うのですね！
Ｐ,深夜に放送してる飯テロ番組でやっててな、作ってみたかったから実行してみた。中落ちとか、アジやイワシとかでも美味いぞ。もちろん焼き餃子でもイケるけど折角新鮮そうなカツオがあったからな。皮に火が通る程度に軽く茹でるぐらいにしておいた
あやめ,これは困ります…するすると本当にいくらでも入ってしまいそうです、Ｐ殿っ！
Ｐ,味噌と薬味が効いててたまんないな…更に、実はこんな変化球もあるぞ
あやめ,…？Ｐ殿、それは何です？
Ｐ,岩塩だ。行きつけの回転寿司屋で売ってたから買っちまった。これを、この魚餃子に軽くパラリとかけて…
あやめ,な、なんとっ！それは反則ではありませんかっ！？いくらＰ殿とはいえそのような卑劣な手を…。…ふわぁ～っ！ほらやっぱり卑怯です！困ります！これ以上味のバリエーションが増えてしまうと収集がつかなくなるではありませんか！
Ｐ,すまんすまん。…実はここに皮に包まずに別けていたなめろうがあるんだが
あやめ,
Ｐ,茶碗が空だな、あやめ。おかわりするか？
あやめ,くっ…卑劣な…
Ｐ,よしよし、たんとお食べ。そしてぐんぐん育てー
あやめ,パリパリの焼き餃子、モチモチの水餃子にツッパリとした魚餃子…ああ、なめろうまで追加されてしまうと…
Ｐ,餃子のタネまだまだ余ってるなぁ…。…ハンバーグにでもするか。焼いたら食べるか？
あやめ,わたくしを太らせるおつもりですかっ！
Ｐ,と、言いながら元気よく手を上げているのは食べる、って解釈でいいんだな
あやめ,くっ…！悔しい、でも美味しい…
Ｐ,よーし、じゃあ焼くか。あ、なめろうも焼いて魚ハンバーグも作ろうか？
あやめ,何なんですか！Ｐ殿先ほどから鬼の如き所業です！忍ドルあやめが豚ドルあやめになってしまったらどうしてくれるのですっ！？
Ｐ,そしたら時子とユニット組ませてやるよ。…よーしフライパン暖まった。ここからは俺のステージだっ！
あやめ,うあ～…良い音がー、良い匂いがー…
Ｐ,出来たぞー
あやめ,何と素早いっ。もう出来上がったのですか？
Ｐ,タネを焼くだけだから時間なんてかからんよ。餃子のタネで作ったハンバーグにはとろみをつけた醤油ベースのタレをかけてみた。なめろうハンバーグは味がシッカリ付いてるから焼いただけな
あやめ,むぐぅぅ…ご飯がいくらあっても足りませぬ…！
Ｐ,餃子っていいよなあ、タネ余ったらハンバーグに出来るし、皮が余ってもレンジで焼くだけで手軽やツマミになるし。餃子の皮にスライスチーズ千切って乗せてオーブンで焼くだけで最高のオヤツになるの知ってるか？
あやめ,Ｐ殿はあやめを食欲地獄に墜とすおつもりですか！
Ｐ,別にいいじゃないか。…よく考えたらあやめとこうして食事するなんて今までほとんど無かったしな
あやめ,そ、そうでしたか？
Ｐ,あやめ、いつもどっかに隠れてるからなぁ。飯に誘いたくても見つからなくてな
あやめ,わ、わたくしをお食事に誘ってくださるおつもりだったのですか…？
Ｐ,あやめさえ嫌じゃ無いならな。だからまあ、今日は良い機会だったよ
あやめ,わ、わたくしの方こそ、Ｐ殿とこうして２人で夕食など夢にも思っておりませんでしたので…
Ｐ,…あ、そうそう。ハンバーグをご飯の上に乗せて上からダシをかけてお茶漬け風…なんて事も出来るけど、どうする？
あやめ,くっ…！
Ｐ,はい、３杯目頂きましたー。いやぁ、やっぱこうやって誰かと食べるのっていいよな。自宅でも一応料理はするけど大抵録画した井之頭さん流しながら一人でモソモソ食うだけだし
あやめ,Ｐ殿は賑やかなお食事がお好きなのですね
Ｐ,美味いものは気の置けない相手と一緒に食べて幸せな気分を分かち合う、て名言があってだな
あやめ,深いお言葉ですね…どなたの名言なのですか？
Ｐ,３４６事務所のＰさんって人なんだけど
あやめ,おぉ、奇遇です。わたくしの目の前にその方がおります
Ｐ,あ～…トリガラスープぶっかけた白米の上に餃子のタネハンバーグ乗せるとか、自炊じゃないと食えないよなぁ、こういうのって
あやめ,わかります。外食では味わえない、独特の自由さがありますな
Ｐ,…待てよ？餃子のタネを炒って白米投入して炒飯、という手も…
あやめ,そ、それはせめて明日にっ！後日にしてくだされ！今夜はもうこれ以上食べてしまうと明日のレッスンに多大な影響が…！
Ｐ,ま、それもそうだ。じゃあ明日な
あやめ,はいっ。楽しみにしております
Ｐ,…流石にそろそろ満腹だわ。結構作ったつもりだけど２人でよく全部食えたよな…
あやめ,わたくし、もしかしたらＰどのより食べてしまったかもしれません…
Ｐ,若いうちは沢山食えばいいんだよ。…さて、残ったタネは冷蔵庫に…餃子達は冷凍保存だ
あやめ,本当にご馳走様でした。せめて洗い物はわたくしが…
Ｐ,洗い物までが料理なんだよ。あやめはゆっくりニンニンしてろ
あやめ,そ、そういう訳にはまいりませんっ！
Ｐ,んじゃ、テーブルの上拭いておいてくれ
あやめ,御意っ！。テーブル拭き終わりました！
Ｐ,ありがとうなー。ちょい待ってろ
あやめ,…？何を作っているのです？
Ｐ,何って、食事の後にはデザートを食べるのが人間のルールではないのか
あやめ,で、デザートまであるのですかっ！？
Ｐ,ふふふ…、これを見てみろ
あやめ,ﾆﾝｯ？これは…餃子？デザートではないのですか？
Ｐ,中身は漉し餡だ
あやめ,っ！
Ｐ,ついでに砕いた黒砂糖を包んだ２種類を作ってみた。後はこれを茹でて冷水で絞めて…
あやめ,だっ、駄目ですＰ殿！そのような暴挙…これ以上は、これ以上はあやめが本当に忍ドルから豚ドルになってしまいます！
Ｐ,さぁ、ショータイムだ！
あやめ,あぁぁぁ…なんてことを、なんてことを…
Ｐ,ほら出来たぞー。濃い目に作った冷たい烏龍茶もあるからなー
あやめ,絶対意図的ですよねっ！？わたくしを太らせようとしておりますよねっ！？
Ｐ,考えすぎだろ、そんなことあるってば。ほら、冷めないうちに食べな
あやめ,むぅぅ～…頂きます…
Ｐ,冷水ですばやく冷やして絞めたモチモチの皮の中からまだ熱い餡子…皮と餡の温度差が口の中で、もう…。これも外では食べられない味だよなぁ…
あやめ,うぅ…黒砂糖が中で溶けているので箸を入れるとトロリとにじみ出てきます…。まるであっさりとした八ツ橋のような、つるりとした触感と喉越し。黒砂糖の上品な甘さと香りが口に広がってきます…
Ｐ,餡子のこってりとした甘さも黒砂糖のさっぱりとした甘さも餃子の皮によく合うな。餃子って万能だよな。主食にもオカズにもなるし酒の肴にも、こうしてデザートにも。まるでウサミン並みの万能性だ
あやめ,菜々殿と餃子を同視するのはいかがなものかと…
Ｐ,そうか？歌って踊れてボケてツッコメて墓穴も掘れる。オールラウンダーという点では同じだろ
あやめ,わたくしは頷いておりませんからねっ。頷いておりませんからねっ！
Ｐ,あ、ウサミンで思い出したけどお茶のお代わりいるか？
あやめ,何故菜々殿のお話から…。では、頂きます。ふぅ…満腹満足です
Ｐ,デザート餃子もよく食べたなぁ
あやめ,Ｐ殿は卑怯ですっ！ああも畳み掛けられては抗える筈が無いではありませんか！
Ｐ,いやぁ、あやめが良い食べっぷりだったから、つい。おっと、もうこんな時間か。そろそろ帰らないと芳乃にまた天罰落とされてしまう
あやめ,わたくしも明日は午前中からレッスンがありますし、寮に帰らねば…。Ｐどの、今宵は本当にご馳走様でした
Ｐ,おー、また付き合ってくれなー
あやめ,是非にっ。ではっ、失礼致しますっニンッ！。…ニンッ！？
Ｐ,…何してんだ？
あやめ,お、お腹が重くて…天井裏に戻れません
Ｐ,…
あやめ,な、なんですかっ！その生暖かい目はっ！
Ｐ,…普通に帰れよ。送っていくからさ
あやめ,…ﾆﾝｯ
Ｐ,あ゛～…ようやく終わったわ…。…もうこんな時間か…腹減ったなぁ…。冷蔵庫に何かあったっけか、どれどれ…。ん～…事務所の冷蔵庫の中身とは思えないぐらい食材が充実しているんだが。すげぇ大量にキャベツがあるな…巨大ハムスターでも誰か買ってるのか？もしくは芋虫型のマジックアニマルか？。…小麦粉、卵もあるな…
？,プロデューサーさん？こんな遅くまで残っているんですか？
Ｐ,んぇ？
美波,お疲れ様です。…どうしたんですか？キャベツなんて持って
Ｐ,…。…よし。美波
美波,はい？
Ｐ,お好み焼き作るぞ
美波,えっ？
おぅ、お好み焼きに広島の,方
