工藤忍,……えっと、穂乃香ちゃん、今、なんて？
忍,言ってないし！なんでそんな自信満々に"ですね？"とか言えるの！？
穂乃香,フリーソーメンという、みんなに素麺を振る舞う秘密結社もあるそうです。素敵ですね
忍,次々と新情報を出してくるのやめてよ！ついていけないから！
穂乃香,では、満場一致で"振込み"ということで
忍,アタシと穂乃香ちゃんの意見、今日一度も一致してないからね！？
穂乃香,"ルド"から始まる日本語はありません
忍,え、もう次の部分の検討！？
穂乃香,やはり、ここはカタカナ語に頼るしかありません……
忍,何がそんなに悔しいの……？
穂乃香,忍ちゃん、"アイドルマスターシンデレラガールズスターライトステージ"略して？
忍,ちょくちょく参加させるのはどういう意図で……"デレステ"だけど……
穂乃香,つまり？
忍,待って、期待される回答がぜんぜんわかんない
穂乃香,そうです、略称というのは、真ん中から取ってもかまわないんです
忍,アタシ、この場に必要？？？
穂乃香,そ、そんなこと言わないでください……！仲間じゃないですか……！
忍,その感覚を壊してるのが今日の穂乃香ちゃんの言動なんだよ？
穂乃香,で、"ワールド"と"ドナルド"の、どちらの"ルド"がいいですか？
忍,なんか嫌な二択だね！？。"ワールド"はまだしも、"ドナルド"って……。あんまりディ〇ニーとかにケンカを売るのはやめた方が……？
穂乃香,いえ、そっちではないので大丈夫です。流石にそこまで無謀ではないですよ
忍,あ、そうだったんだ、よかった……！
穂乃香,はい、トランプの方のドナルドですから
忍,アウトーーーーー！！！！！！！！！！！！
穂乃香,ど、どうかしましたか！？
忍,こっちのセリフだからね！？夢の国よりよっぽど大きな国にケンカを吹っかけてるからね！？
穂乃香,す、すみません……、で、でも、ぴにゃこーランドよりは大きな国ではないですよね？
忍,そんな国はないよ！！！目を覚まして！！！
穂乃香,では、"ルド"はワールドの略ということで……
忍,今のところ"振込みワールド"なんだけど
穂乃香,なかなかですね……！
忍,ウソでしょ？
喜多見柚,こんにちわー！おやおや？2人とも、なにか面白い話カナ？カナ？
忍,面白いのは穂乃香ちゃんの頭の中だよ
柚,忍チャン！？
穂乃香,あ、柚ちゃん。ちょうどよかった、協力してくれますか？
柚,忍ちゃんの言葉が気になるケド……、どうしたの？
穂乃香,"フリルドスクエア"の"スク"は、"スクリーンセーバー"と"スク水"のどちらの略だと思いますか？
柚,？？？？？
忍,こっち見ないで！アタシが聞きたいから！！！
柚,スクランブルじゃないの？？？
忍,柚ちゃんもあっち側だったーー！！！！
柚,う、うそうそ！ちょっと乗っかってみただけだってばー！
忍,本当に……？
柚,うわー！忍チャンが人間不信だー！穂乃香チャン、何したの……！？
穂乃香,スクフェスも可能性が……？
柚,なんか手を出さない方がいい向きに進んでる！？
忍,というかそもそもスク水もスクフェスもそれ自体が略語だからね！！！
穂乃香,お2人とも、今日は元気ですね
忍,誰のせいだと！！！
穂乃香,では、満場一致で"スクラップ"ということで
柚,さっき言ってなかったよね！？
忍,振込みワールドスクラップって！！！
柚,まって！フリスクの部分、そんなことになってたのかー！？
忍,穂乃香ちゃんの脳内でだけだから！
穂乃香,謎が解けていく感覚……、ワクワクしますね
忍,穂乃香ちゃんについての謎は深まるばかりだけど！？
穂乃香,さて、いよいよクライマックスを迎えてきましたね……！
忍,早く終わって
柚,忍チャンがやさぐれていくー！
穂乃香,最後の"エア"ですが……
桃井あずき,やっほー！あれ？打ち合わせ大作戦中？あずきもまぜて！
穂乃香,エアーズロックが濃厚ですよね？あずきちゃん
忍,説明もなしに！？
あずき,エアポートだと思うな！
柚,説明もなしに！？！？。あ、あずきチャン！？なんでわかったの！？
あずき,あれ？"エア"が付く言葉を挙げよう大作戦の空気を感じてここに来たんだけど……
忍,入る前から！？
穂乃香,やはりエアポート派でしたか……、血は争えませんね……
あずき,そ、その口ぶりっ！お前はまさか……！
忍,これ以上風呂敷を広げないでよ！！！
穂乃香,じゃあ忍ちゃんは何だと思うんですか？
あずき,確かに！あずきも聞きたいな！
忍,えっ！？えっ！？
柚,が、がんばって！
忍,恨むよ柚ちゃん……！
穂乃香,……
あずき,……
柚,……
忍,うう……。エアロバイク……とか……？
穂乃香,……
あずき,……
柚,……
忍,……
穂乃香,……ｸﾞｽｯ……ｸﾞｽｯ……うぅ
忍・柚,！？！？！？
あずき,……
忍,え？え？？？ご、ごめんなさ……
穂乃香,まさか、忍ちゃんがそこまで私たちの事を考えてくれていたなんて……
あずき,あずき、感動大作戦だよ……
忍,なんで！？！？！？
穂乃香,というわけで、"振込みワールドスクラップエアロバイク"略して"フリルドスクエア"略して"フリスク"！これからも力を合わせて頑張りましょう！
忍・柚,長い！！！！！
