美城専務が出てきますが別にアニメ時空というわけではありません。,武内Pは出て来ません
楓,それじゃあ、お話もまとまった所で飲みなおしといきましょう！
P,いやいや、未成年も居るんですからさすがに…
あやめ,大丈夫です！むしろ迷惑をおかけしたせめてものお詫びとしてお酌をさせてください！
P,ん～…でもなぁ
ちひろ,良いじゃないですか、あやめちゃんが飲まないようにはちゃんと気を付けておきますよ
P,まぁ…あやめは明日オフだし大丈夫か
あやめ,はい！それではP殿、まずは一杯！
P,おおっ…っとっとっと…あやめ、注ぐの上手いな？
あやめ,お爺様の晩酌によく付き合っておりました故！
P,成程な～
あやめ,ささ、お二人もどうぞ！
ちひろ,ありがとう
楓,いただきます
P,それじゃあ…かんぱ～い！
ちひろ・楓,かんぱ～い！
あやめ,ﾆﾝｯ
P,うぅ～ん…
楓,あれ～、Pさん？潰れちゃったんですか？
ちひろ,あらあら、危ないですよPさん？
あやめ,飢えた野獣の前に血の滴るお肉を放置するが如き所業ですよ～？
P,ん～…Zzzz…
楓,…
ちひろ,…
あやめ,…
楓・ちひろ・あやめ,ﾆﾔｯ
P,ふぁ…なんか酷い夢を見…た…！？
楓,全裸
ちひろ,全裸
あやめ,全裸
P,う…うわああああああ！！！
専務,…む、昨日差し入れた飲み物…
役員,専務、どうされましたか？
専務,いや、何でもない。ソフトドリンクだと思ったが…アルコール入っていたのか…。ま、別に良いか
