喜多見柚,ねえプロデューサー。人生って、なにかな？
柚,へへ、このとーり！♪
Ｐ,片足で跳んでるだけじゃねえか
柚,うあー♪
比奈,お疲れさまっス二人とも
Ｐ,おう。待たせたか？
比奈,いえいえ
楓,四人で一緒にレッスンなんて、ちょっと楽しみです
仁奈,仁奈も同じでごぜーます！
柚,へへ…そうだねー
ちひろ,…四人でＣＤを出す話は、以前からあったんですか？
Ｐ,いえ。どうしてですか？
ちひろ,タイミングが良すぎますから
Ｐ,…ラジオの話は来てましたからね。ついでにどうかなと
ちひろ,大きなついでですね
Ｐ,……柚が悩むなんて珍しいですし。まあ、足の怪我は本当に偶然ですけど
ちひろ,ふふ。プロデューサーさんらしい気の回し方だと思いますよ
Ｐ,…ありがとうございます。…これで少しくらい、元気を出してくれるといいんですけどね
ちひろ,そうですね
輝子,……フヒ…いいなぁ、あそこの四人、楽しそう…。どうせ私はボッチノコ…フヒ…
幸子,なにを言っているんです。あなたにはボクがいるでしょう？
輝子,……お、おう。……。フハハ！
幸子,
Ｐ,輝子ー、幸子が怯えてるぞー
幸子,お、怯えてません！
輝子,そうだよなぁ！私たちはトモダチだもんな！
幸子,そ、そうです！
Ｐ,いいコンビだな
柚,ねーＰサン♪ほらほら、早くレッスンに行こうよー
Ｐ,え、いや、俺はデスクワークが…
柚,ダメだよ！Ｐサンもいてくれなきゃ！…Ｐサンがいてくれないと、アタシ、頑張れないもん♪
Ｐ,……おう
仁奈,？プロデューサー、なんだか顔が赤くなってやがりますよー
比奈,仁奈ちゃん見ちゃだめっすよ。あれは危ない顔っス、逃げるっス
Ｐ,だから何だよ危ない顔って
楓,…はっ。ねえプロデューサーさん。赤い顔で思ったんですけど、久し振りにお酒、一緒にどうですか？
Ｐ,…いつも通りだんだんカオスな感じに…
柚,れっつごー！
Ｐ,お、おい。足を気をつけろよ…
柚,早く早く♪
楓,ふふっ
比奈,にへ
仁奈,もふ
Ｐ,仁奈だけ笑い方おかしくないか？
仁奈,おかしくないでごぜーます
柚,ねえ、Ｐサン！
Ｐ,っと、なんだよ
柚,Ｐサンはフツウの日常って言ってたけどさー。アタシにとっては、みんなといるのが、昔と比べてとってもトクベツな毎日なんだ！。だから全力でアイドル楽しむよ！Ｐサンも最後まで一緒について来てね！
Ｐ,…へいへい。分かりましたよ
柚,うん。よろしくー
