佐久間まゆ,いよいよ１週間後に迫ってきましたねぇ
みちる,パンに懸ける心意気ですよ！
神谷奈緒,まあまあ。へえ、キャラもののパンとかもあるんだ
みちる,うん。アンパンマンの顔したパン、子供に大人気なんだよ
奈緒,あはは。いいなあ、これ。このパンでアンパンマンごっこができるなあ
みちる,そうそう！あぁ～頭がぬれて、力がでない……
奈緒,おっ！へへっ、そんな時は……この焼きたてのパンで……アンパンマーン！
ケイト,あなたらしいカオよ～！！！
奈緒,あなたらしいじゃないよ！あたらしい顔！
ケイト,Oh日本語マダマダむずかしいデス。そういえば……そもそもデスね、奈緒に聞きたいデスけど
奈緒,え？なに？
ケイト,頭がウエットになると、チカラがでなくナルのはどういうリロンなんデスか？
奈緒,え？さ、さあ……
ケイト,あとデスね、アニメにくわしい奈緒に聞きたいのは……
奈緒,な、なんだろ
ケイト,お尻を出した子が一等賞って、どういうルールなんデスか？
奈緒,そ、そんなこと、私に聞かれても……
十時愛梨,あれは、私が思うに！
奈緒,！待った愛梨さん、ストップ！！ストーップ！！！
凛,奈緒、遊んでないで盛りつけて
奈緒,はーい。ご、ごめんねケイト。その件はまた今度……ほら、愛梨さんも
愛梨,え？あ、あのあれは、私が思うに……
ケイト,Oh知りたかったデスのに、ざんねんデス……
美嘉,莉嘉、事務所の盛り上げ隊長の誕生会だから、がんばって盛り上げないとね★
城ヶ崎莉嘉,アタシ、余興でダンスしてあげるんだー☆
凛,そういえばみんな、結局プレゼントはどうしたの？
卯月,あ、うん……なんかいいものが浮かばなくて……とりあえずヘアバンドを用意したんだけど……ありきたりかな？
凛,私もはたまけのシャツセットにしたんだけど……
まゆ,秋も近いですしぃ、手編みのセーターにしましたけどぉ
美嘉,この間も言ったけど、なんでも喜んでくれる相手って意外とプレゼント決めるの難しいよね
凛,そうなんだよ
龍崎薫,かおるねぇ、おにんぎょうさんにしたんだよ
美嘉,お人形？
仁奈,仁奈といっしょに、シルバニアファミリーを買いやがりましたでごぜーますよ
村上巴,シルバニアファミリー！？
莉嘉,うわぁ～なんか懐かしいな☆
薫,かおるや仁奈ちゃんは、よくあそぶんだよ
巴,シルバニアファミリー……ファミリーっちゅうことは、イタリア系じゃな？
仁奈,森にすむいきものの気持ちに、なるですよー
巴,森？なるほど、森の中の組織っちゅうわけか
莉嘉,確かシルバニアファミリーって、それぞれの人形に名前はないんだったよね？
薫,うん。そうだよ
仁奈,もちぬしが、名前をつけやがるきまりなんでごぜーます
荒木比奈,名付け親……ゴッドファーザーっスね
巴,ゴッドファーザーじゃとぉ！！！
莉嘉,名付け親って、ゴッドファーザーって言うの？
比奈,そうっスよ。JOJOの中でもそういうセリフがあるっス
ヘレン,名付け親というか、名前を付けてあげた後見人という意味合いが強いわよね
比奈,ありゃ、そうなんスか？
ヘレン,ええ。ついでに言うと、女性の場合はゴッドマザーよ
巴,智香がゴッドファーザーならぬゴッドマザー……シルバニアファミリーのゴッドマザー……ええのう……うらやましいのう……
大西由里子,香川名物、讃岐うどんを作ってきたじぇ。後は茹でるだけ
まゆ,わぁ、本格的ですねぇ
由里子,手作りだから美味しいよ。自分でうどんをこねるの、久しぶりだったけど上手くできたじぇ
巴,うドン・コネルオーレ……
比奈,これ、茹でた後のツユは？
由里子,……じぇじぇじぇ！しまった、忘れてた
まゆ,あ、じゃあまゆが手伝いますから今から作りましょうかぁ
由里子,助かるじぇ
美嘉,他のみんなは？何にした？
原田美世,あたしミニカー！
双葉杏,杏味の飴
川島瑞樹,お肌のお手入れセット
浜口あやめ,わたくしは、クナイと手裏剣のセット
卯月,こうしてみると、やっぱりプレゼントも個性がでるよね！やっぱり個性って大事だな
かな子,う、うん……そうだね
まゆ,喜んでもらえるか、ちょっと自信はないんですけどぉ
卯月,でも気持ちはしっかり込めてあるから、智香ちゃんはわかってくれるよ
美嘉,だね。さ、そろそろ呼びに行こうよ★
智香,……
美嘉,智香ー★ちょっと食堂に……あれ？なにやってんの？
智香,……宿題
美嘉,へ？
智香,まだ終わってないんだ……
美嘉,いや、ちょっと待って！だって智香、この間……
Ｐ,芸能活動にかまけて学業が疎かになっちゃいけないからな、みんなしっかり宿題は終わらせるんだぞ
智香,がんばれ、がんばれ、みんな☆がんばれ、がんばれ、シンデレラ☆
池袋晶葉,理系の宿題なら教えられるから、聞いてくれ
智香,がんばれ、がんばれ、みんな☆がんばれ、がんばれ、晶葉☆
鷺沢文香,文章問題ですとか、読書感想文なら相談にのれますから
智香,がんばれ、がんばれ、みんな☆がんばれ、がんばれ、文香☆
日下部若葉,あ、やってるやってる～
智香,あ、若葉ちゃんも宿題？はいっ、座って座ってっ☆
若葉,え？あ、あの……
智香,どの教科からやるのかなっ？
若葉,あたしは……その、教えてあげる側で……
智香,えっ？
若葉,学校はとうに卒業した、オトナですからぁ
智香,えっ？
若葉,オトナです。２０歳です
智香,そ、そうなのっ！？ご……ごめんなさい
美嘉,う～★ここどうやって解くの～？
晶葉,うむ……これは二次関数の方程式を使う。具体的には……
まゆ,あたかもという単語を使って構文をつくりなさい……ですかぁ……
亜子,冷蔵庫に卵がまだあたかも知れない！
冴島清美,そこ、真面目に
莉嘉,何々かつ何々という文章を作りなさい？え～
小関麗奈,トンかつ定食、これでオッケーよッ！
若葉,……真面目にね
安部菜々,夏休みと言えば宿題……ナナも思い出しちゃうよねー
卯月,菜々さん、自分の宿題は……？
智香,みんながんばれー！！！ファイトだよーっ☆
凛,智香の声援、すごくやる気がでる
かな子,うん。疲れたりしても、がんばれるよね
智香,えへへへっ☆アタシの声援で、みんなを元気にさせちゃいます！
卯月,よーし。みんな、がんばろうね
一同,おーーーっっっ！！！
智香,みんな、がんばれえええぇぇぇーーーっっっ☆☆☆
美嘉,……ってのが、月初めの事だったじゃない。あの時にみんながんばって、ほとんど宿題は終わらせちゃったんじゃ……
智香,それが……アタシはみんなの応援に一生懸命で……
美嘉,ええ！？
卯月,そう言えば……智香ちゃんはずっと応援を……
まゆ,確かにそうでしたねぇ
凛,うん
智香,あはは。アタシ……ちっちゃい頃からずっとそうなんだ……
智香友１,がんばってしゅくだいははやくおわらせよーね
智香友２,みんなできょう、やっちゃおうよ
智香,アタシみんなががんばってるの、おうえんするねっ☆
智香父,今日(きゅ)は、お祭(まつい)で御神輿を担(かた)げるぞ！
智香母,頑張(きば)ってたもしね
智香,アタシ、おやっどんを応援すっど☆
TVｱﾅｳﾝｻｰ,ここ甲子園では、鹿児島代表××と山形代表の○○高校との熱戦が繰り広げられております！
智香,フレー！フレー！か☆ご☆ん☆ま☆
ｶﾌﾞﾄﾑｼ,目を覚ませ！お前はアダーに利用されているだけなんだ！
ﾍﾗｸﾚｽﾘｯｷｰﾌﾞﾙｰ,黙れ！
智香,どっちもがんばれーっ☆。うう……なつやすみのしゅくだいが、ぜんぜんおわってないよう……
智香父,まったくお前は、他人の応援ばっかりしちょっからだぞ
智香母,せっかく誕生日(うんまれび)のお祝(ゆ)えをしてあげようと思(と)もたて……それどころじゃねなー
智香,ふええ……ら、らいねんはしっかりとしゅくだいおわらせよう……うんっ。以来、１０年間毎年同じ事を繰り返しててっ……
美嘉,いや、学ぼう！そこは過去を反省して同じ過ちは繰り返さないでおこうよ
智香,夏って、大きな大会が多いし、みんな何かを一生懸命に全力でやってること多いから……
凛,え？じゃあ智香、毎年８月３０日は……
智香,３０日と３１日は、なんとか夏休みの宿題を完成させる修羅場の日なんだっ……
まゆ,もしかして、お誕生日のお祝いをしてもらったことがないと言ってたのはぁ……
智香,うんっ。おやっどんもおっかはんも、手伝ったりしてくれて……結局、夜遅くなるからっ……
卯月,いやでもね、今日はみんなが智香ちゃんのお祝いを準備してくれてるんだよ
智香,……ホントにっ？でも……まだ……
美嘉,ちょっと待って、ひらめいたよ★
まゆ,なんですかぁ？
美嘉,智香へのプレゼント。みんなでこの宿題、片付けてあげるってどうかな？
卯月,え？い、いいのかな
清美,いいわけがありません！
まゆ,出ましたねぇ［自称・寮内の風紀委員長］！
清美,宿題は、自分でやってこそ意味のあるもの。人にやってもらうなど、とんでもありません
美嘉,それはそうだけど、このままじゃあみんなが準備したお祝いパーティーも無駄になっちゃうし、ここは特別に……
清美,規則ですから
卯月,そんな規則、あったかな？
清美,この電子シンデレラガールズ寮徒手帳を見てください。ほら、ここに
凛,こんなの初めて見るけど
清美,池袋さんと大石さん、それに南条さんに協力していただき今朝完成したばかりです。いずれみんなにも配られます
美嘉,プログラミングのできる泉ちゃんや、電子機器を作れる晶葉ちゃんはともかく、光ちゃんがなぜ……？
清美,ともかく、ここを読んでみてください
卯月,どれどれ？ええと……対シンデレラガールズ法第１条超☆風紀委員長冴島清美は、いかなる場合でも令状なしにシンデレラガールを補導することができる……？
美嘉,ええ！？な、なになに……対シンデレラガールズ法第２条超☆風紀委員長冴島清美は、相手がシンデレラガールと認めた場合、自らの判断でシンデレラガールを処罰することができる？なにこれー！
凛,待って、この第２条って続きがあるよ。第２条補足場合によっては退寮させることも許される……
まゆ,めちゃくちゃですよぉ！こんな横暴が許されるわけ……
卯月,……待って、まゆちゃん。この最後の所を見て
まゆ,えぇ？ええと……上記の条文は、プロデューサーであるＰの名において承認するものである……ええぇ！？
清美,おわかりいただけましたか？
智香,みんな、ごめんねっ。がんばってなるべく早く、終わらせるから……
美嘉,……
凛,……
卯月,……
まゆ,……
向井拓海,それでおめーら、全員すごすごと引き下がったのかよ！？
まゆ,Ｐさんが決めたことですからぁ……
卯月,ねえ
拓海,だらしねえ。大体よぉ、アタシはああいう権力をカサにきたようなやつが一番キライなんだよ
小関麗奈,そうよ！この間も仁奈や薫と遊んでたら、あの委員長にお風呂場で一時間も正座させられたわッ！
拓海,んだとぉ……好き勝手やりやがって。よぉし、ここはこのアタシがちょっとシメてやる
多田李衣菜,権力に対して反抗する。これってロックですよね！？私もいきます！！
拓海,おお、ついてこい！プロデューサーの威を借る狐をとっちめてやる！
卯月,え？あ、ちょ……行っちゃった
麗奈,自らの手を汚すこと無く対象を殲滅する……アタシったら悪の鏡ねッ！アハハハハハハ……げほごほ
凛,？麗奈、もしかして麗奈が清美に正座させられたのって……
麗奈,な、なによッ！あの委員長は、血も涙もない規則しか頭にない悪者なのよッ！！！
薫,おねーさんたち、みてー！
仁奈,余興のリハーサルでこぜーます。がおー！でごぜーますよー！
美嘉,あははー！仁奈ちゃんカワイイ～★これ、トラのキグルミ？
仁奈,そーでごぜーます。しかも、見てやがれでごぜーますよ……
美嘉,え？な、なに！？
凛,トラのキグルミが割れて、中から……
仁奈,コーンでごぜーますよー！
卯月,キツネさんのキグルミを着た、仁奈ちゃんが！
まゆ,かわいいですねぇ
仁奈,トラのいをかるキツネの気持ちに、なるですよー
卯月,ああ、なるほど。そういうコンセプトなんだね
美嘉,だけどこれ、暑くない？残暑の厳しいこの季節に、キグルミを二重に着るなんて
仁奈,そうなんでごぜーます。このキグルミは、仁奈のさいきょーのキグルミなんでごぜーますが、１０びょう間しかもたねーんでごぜーます
薫,それいじょうこれをきてると、仁奈ちゃんががあつさでたおれちまううえに、それでまわりの人にもめーわくをかけちゃうんだよ
光,い、いいなあ……
凛,？なんの音？
仁奈,この、１０びょうをしらせるキッチンタイマーでごぜーますよー
まゆ,なるほどぉ、これでタイムリミットの１０秒間がわかるんですねぇ
仁奈,やさしい清美おねーさんが、仁奈にくれやがりましたんでごぜーますよ
美嘉,え？
仁奈,これがあれば、ぜったいに１０びょういじょうをこえないからってくれやがりました。仁奈、うれしい気持ちになったですよー
薫,うんうん。清美おねーさんって、やさしいよね
美嘉,……
まゆ,……
卯月,……
凛,……麗奈？
麗奈,……戦略的撤退を
光,そうはいくかっ！
麗奈,ちょ、ちょっと南条！放しなさいよッ！
凛,麗奈。清美に怒られたのって、具体的には何をしたの？
麗奈,ふ……ふん、このレイナサマはどんなことをされても、絶対に口を割らないわよッ！
凛,……愛海
棟方愛海,お側に
凛,許す。揉め
愛海,御意
麗奈,ちょ、やっ！やめ、やめてッ！！いやあああぁぁぁーーーっっっ！！！。さあ、花火大会よッ！
龍崎薫,こ、こんなとこで花火とか、あぶないよぉ
仁奈,おこられやがるでごぜーますよ
麗奈,平気、平気！ちゃんとすぐそばに水がこんなにあるでしょッ！
薫,でも……
仁奈,しんぱいな気持ちになるですよー……
麗奈,ふふっ。この二人を巻き込めば、たとえ見つかってもそんなに怒られないわよねッ！
薫,あれぇ？
仁奈,なんでごぜーますか？この足音は
麗奈,な、なんだか近づいてくるけど、まさか……
清美,対シンデレラガールズ法第１条超☆風紀委員長冴島清美は、いかなる場合でも令状なしにシンデレラガールを補導することができる
麗奈,げえッ！風紀委員長！？
清美,対シンデレラガールズ法第２条超☆風紀委員長冴島清美は、相手がシンデレラガールと認めた場合、自らの判断でシンデレラガールを処罰することができる
麗奈,ま、待ちなさいッ！あ、アタシはここの二人にせがまれて、仕方なく……
薫,ちがうよー？
仁奈,麗奈おねーさんに、むりやりつれてこられやがりましたですよー？
麗奈,ちょ、アンタたち！口裏を合わせるってことを……
清美,……対シンデレラガールズ法第６条子供の夢を奪い、その心を傷つけた罪は特に重い
麗奈,ぎゃあああぁぁぁーーーっっっ！！！
薫,ってことが、あったんだよ
美嘉,なるほど。浴室で花火をやろうとして、麗奈が清美に怒られた、と
仁奈,仁奈も薫ちゃんも、とめやがりましたんでごぜーますが
まゆ,それは怒られて当然ですよぉ
卯月,そうだよね
麗奈,というか……薫や仁奈に聞くならアタシ、揉まれ損じゃ……
愛海,ふう、堪能した
凛,清美、わるい娘じゃないよ
卯月,うん。ああいう責任感や正義感を持った人もいないと、寮生活とか大変だもの
矢口美羽,良性な寮生活には必要ですよね！
美羽,……あれ？
まゆ,きっとＰさんもそれを見込んで、あんな規則を認めたんですよぉ。さすがＰさぁん……うふ、うふふふふ
美嘉,あ！拓海を止めないと。拓海はまだ、誤解したままだよ、きっと
凛,！急がないと
拓海,いやがったな、智香の部屋の前で陣取ってやが……
季衣菜,どうしたの？
拓海,……いや、アイツ妙にビシッとしてやがんな。背筋を伸ばして、視線もブレねえ。寮の中なのに、制服もキチッと着こなしてやがる
季衣菜,うーん、確かに
拓海,……アイツ、小悪党なんかじゃねえ。キモが座ってやがるな
和久井留美,気づいたようね
季衣菜,あ、留美さん
拓海,和久井の姉御！？
留美,清美ちゃんは毎朝五時に起床して、寮内を巡回しているのよ
季衣菜,え、毎日ですか！？
拓海,……
季衣菜,あれ？清美ちゃん、部屋に入っちゃいましたよ
清美,どうですか？すすみ具合は
智香,うん、ありがとう。まだかかりそう……
清美,何か飲みますか？室内でもきちんと水分は摂らないと
智香,ありがとうっ☆
清美,……宿題をやってあげるわけにはいきませんが、何でも手伝いますから
智香,……うんっ☆
拓海,……アタシは、とんでもねえ間違いをするとこだったぜ
留美,わかったようね
季衣菜,え？あれ、ロックは……？
拓海,けど……
留美,？
拓海,アタシも一度あげたこの手、そう簡単には下ろせねえ
季衣菜,？それってつまり……ロックするってこと！？
拓海,……おい、清美
清美,なんですか？言っておきますが、智香さんの宿題を手伝おうとするなら……
拓海,アタシと勝負しな
清美,え？
季衣菜,たくみんはね、お堅い体制に反抗するロックな人なんだよ！
清美,……いいでしょう。私も覚悟を持って、超☆風紀委員長をつとめています。ですが立場上、暴力的な勝負はできませんよ
拓海,ああ、アタシもそんなつもりはねえ。ついてこい
季衣菜,え？サウナ？
拓海,パッションのアイドルが寮で対決するとなれば、ここしかねえだろ！
清美,なるほど。いいでしょう、私の鉄の意志を披露しましょう
拓海,ヘッ！アタシの根性にかなうわけねぇだろ。季衣菜、どっちが長く我慢できるか見届けろよ
季衣菜,はーい
留美,ふう、しょうがないわね。まあ、パッション同士張り合って理解し合えることもあるのかもね
季衣菜,そうですよね。意地の張り合いもロックですよね！わかるなあ～♪
留美,季衣菜ちゃん？貴女はクール属性じゃあ……
季衣菜,あの……いくらなんで長すぎじゃないですか？
清美,た、多田さんもああ言っているわよ。そ、そ、そろそろ、や、やせ我慢はよしたらどうですか？
拓海,ば、バカ言ってんじゃねえよ。お、温度がぬるすぎて、ね、寝ちまうと、とこだったぜ
李衣菜,なんか見るからに大丈夫じゃなさそうなんだけど、本当に大丈夫ー？
清美,え、ええ。な、なんならこのまま、な、なな、鍋焼きうどんでも食べたいぐらいよ
拓海,あ、アタシはあああ、アツアツのおでんが食いてえなあ……あはははは
李衣菜,でも、そろそろ止めたらどうかな？引き分けってコトで……
清美,勝負に引き分けなど存在しないわ！
拓海,上等だ！地獄の果てまでつき合ってやるよ
清美,あ、あら、き、気が合うわね。わ、私も同じことを、か、考えていたのよ
拓海,て、テメーもか。や、やるな。あは、あはははは……
清美,うふ、うふふ、うふふふふふふ……
拓海,あは、あはは、あはははははは……
季衣菜,うーん。これって、ロックなのかな？
卯月,拓海さん、清美さん！……あれ？
留美,二人なら今、サウナで勝負という名の魂の交流をしているわよ
美嘉,それって、大丈夫なの～★
留美,拓海ちゃんもちゃんと清美ちゃんのことわかってたから大丈夫よ。季衣菜ちゃんもついてるし
まゆ,よかったですねえ
凛,それで智香は、まだ宿題が終わらないのかな？
留美,かんばってるみたいだけど、まだのようね
卯月,私、ひらめいたよ！
まゆ,えぇ？
卯月,がんばってる智香ちゃんに、私たちから最高のプレゼント
美嘉,なになに？
智香,うう……このペースで、今日中に終わるかな……。みんな、アタシの為に用意してくれてるんだよね……ど、どうしよう……
まゆ,智香ちゃん
智香,あ、まゆちゃんっ……ゴメンねっ。みんなせっかく……
まゆ,ちょっと来てくださぁい。あ、ちゃんと宿題も持ってですよぉ
智香,え？ちょ、まゆちゃん？どこへ……あ、ちょっ。え？中庭っ？
卯月,はーい。今日はここ寮の中庭を、智香ちゃんの勉強会場として用意したよー！
智香,えっ？あ、サンシェードで日射しを遮って……
凛,飾り付けも、こっちに移したよ
智香,うわあー！中庭がキラキラしてるよっ☆
美嘉,そしてこれだ～★
智香,えっ？ええっ！？み、こんなしてチアの衣装っ！？
まゆ,えへへぇ。智香ちゃんがぁ、部屋にこもって宿題とかしてもぉ捗るわけないですよねぇ
智香,……
莉嘉,みんなで、智香ちゃんを応援しちゃうぞっ☆
智香,みんな……ありがとうっ……
まゆ,もぉ、泣いたらだめですよぉ？さ、がんばってくださいねぇ
一同,がんばれがんばれ智香！がんばれがんばれ智香！
智香,太陽の日射しに、この暑さ、そしてなにより……
一同,ファイトだよー！智香ーーー！！！
智香,みんなの声援が、アタシに力をくれるみたいっ☆ありがとう、みんな！
卯月,ね、やっぱりでしょ
凛,うん、部屋に閉じこもっている時よりずっと捗ってる
美嘉,そうだよね～★元気で一生懸命なことが大好きな智香が、元気出さないとね～
まゆ,この真夏の環境と、まゆ達の声援が智香ちゃんのパワーなんですねぇ
智香,……った
まゆ,えぇ？
智香,終わった！終わったよっ！！みんなの声援のおかげだよっ☆
美嘉,やったね～★よーし、それなら……
凛,このままパーティーに
卯月,突入だよーーーっっっ！！！
一同,わあああぁぁぁーーーいいい！！！
拓海,あはははははは。なに言ってんだ、姉妹
清美,ふふふふふふふ。貴女こそ冗談はよしなさいよ、姉妹
卯月,あ、あっちの勝負も終わったみたいだね
凛,……でもどうして拓海と清美が肩を組んで談笑してるの？
清美,あら、宿題は終わったんですか？良かったですね。ふふふふふ
拓海,良かったな、智香。あはははははは
智香,あっ清美ちゃん、ご心配かけたねっ☆
留美,それで？勝負はどうなったの？
李衣菜,あ、それが……
拓海,そんな問題じゃないんですよ、姉御
清美,そんなことは忘れてください。忘れろ、忘れろ、忘れろビーム！
拓海,おお、ナイスだぜ姉妹
拓海・清美,あはははははははははははは
留美,なんだかわからないけど、仲良くなったなら問題ないわね
李衣菜,これってロック……なのかな？
まゆ,さあ、それじゃあ大々的にぃ……
卯月,パーティーだよー！
智香,美味しいお料理に、みんなの出し物。どれも最高だったよっ☆。でも……やっぱり一番嬉しかったのは……みんなの応援！。元気が大好きなアタシに、みんなからの元気の声援は本当に嬉しかったよっ☆。これからも若林智香は、みんなを元気にするために、エールを送り続けるよっ！！！。みんな、今日はアタシの誕生日をお祝いしてくれて本当にありがとうっ☆。おかえしに、アタシからのエールだよっ！。フレー！フレー！○○さーーーんんんっっっ☆☆☆今日もがんばれえええぇぇぇーーーっっっ！！！そしてこれからもアタシをよろしくーーーっっっ☆☆☆
