モバP,以下P表記
晶葉,プロデューサー！直ったぞ！
P,おっ、早いな
晶葉,さて、それでは実験を続けるか
P,そうだな、さて次は……
晶葉,おっ、あそこに藍子がいるぞ
P,本当だ、どれどれ？。
晶葉,
P,ブッ壊れたんだが
晶葉,ブッ壊れたな
P,マジかよ
晶葉,良かったな、好かれていて
P,良くはないかな
晶葉,そうか？
P,あぁ
藍子,プロデューサーさん、何ですか今の音？何かあったんですか？
晶葉,プロデューサー！私はこれを直してくるぞ！
P,逃げた……
藍子,晶葉ちゃんと一緒にいるって事は、また何か実験してたんですか？目に何か付けてましたし、何か見てたんですか？
P,あぁ、そうだ
藍子,何を見てたんですか？
P,あれはゆるふわ癒し度スカウターだ
藍子,何ですか、それ？
P,見た者のゆるふわ癒し度を、数値化して見る事が出来る機械だ
藍子,なんだか、壊れちゃったみたいですけど
P,あぁ、つまり藍子はそれだけ、ゆるふわ癒しオーラを放ってるって事だ
藍子,そうなんですか？私がそんなオーラを持ってるんだったら。なんだかプロデューサーさん疲れてるみたいですし、晶葉ちゃんの機械が直るまで、一緒にお散歩しませんか？
P,良いのか？
藍子,はい！私もちょうどお散歩に行こうと思ってましたし、私のオーラでプロデューサーさんを癒してあげちゃいますね
P,ありがとう。それじゃ、行こうか
藍子,はい
P,いやー、たまにする散歩って気持ち良いなぁ
藍子,そうですね……どうですか？少しは癒しに成りましたか？
P,あぁ、ありがとう
藍子,ふふっ、良かった……あ、そうだ！この前散歩に行った時に写真を沢山撮ったんですけど、見てみますか？
P,おっ、じゃあ見せてもらおうかな
藍子,はい……えっと、これが夜に帰るとき事務所の戸締まりをするプロデューサーさんの写真、これが帰りに電車に乗って椅子で居眠りしちゃったプロデューサーさんの写真、これが降りる駅で起きて慌てて降りようとしたけどドアにぶつかっちゃったプロデューサーさんの写真、これが帰り道の途中で寄ったお店で夜ご飯を食べてるプロデューサーさんの写真、これが家に着いて鍵を開けてる時のプロデューサーさんの写真、これが帰ってからベランダに洗濯物を干してるプロデューサーさんの写真、これが――
P,俺の写真ばっかりだな
藍子,ふふっ、写真は思い出を残すための物ですからね……私にとってプロデューサーさんとの思い出は、他の何よりもどんな物よりも必要不可欠で大切な物ですから
P,そんな風に思ってもらえるなんて、嬉しい限りだな
藍子,……プロデューサーさん、もし私の近くに居る事が癒しになるなら。これからも私の近くで、同じ道を一緒に歩いていきませんか？ずっと……ずーっと……二人で一緒に……
P,おっと！晶葉から連絡が来たな……機械が直ったみたいだから、また実験に付き合わなきゃな！それじゃ藍子、ありがとうな！お疲れ、また明日な
藍子,はい、お疲れ様です
晶葉,プロデューサー！直ったぞ！
P,早かったな
晶葉,さて、それでは実験を続けるか
P,そうだな、さて次は……
晶葉,おっ、あそこに智絵里がいるぞ
P,本当だ、どれどれ？。
晶葉,
P,ブッ壊れたんだが
晶葉,ブッ壊れたな
P,マジかよ
晶葉,良かったな、好かれていて
P,良くはないかな
晶葉,そうか？
P,あぁ
智絵里,プロデューサーさん……今の音、なにがあったんですか？大丈夫ですか？
晶葉,プロデューサー！私はこれを直してくるぞ！
P,逃げた……
智絵里,晶葉ちゃんと一緒にいるって事は……もしかして、また何か実験ですか？目に何か付けてたみたいですし……何か見てたんですか？
P,あぁ、そうだ
智絵里,何を見てたんですか？
P,あれは弱点克服度スカウターだ
智絵里,何なんですか……それ？
P,見た者がどれぐらい弱点を克服出来たかを、数値化して見る事が出来る機械だ
智絵里,壊れちゃったみたいですけど……
P,あぁ、つまり智絵里はそれだけ、オドオドしてた弱気な所を克服出来たって事だ
智絵里,そうなんですか？だったら、嬉しいです、ふふふっ
P,あぁ、そうだ。前はすごく弱気だったけど、今はアイドル活動にも積極的になって、負けず嫌いな所も出てきたしな
智絵里,そうですね、今は皆に負けたくない……プロデューサーさんを絶対に他の人には渡したくない、どんな事をしても絶対に私だけのものにしてみせるって、そう思います
P,うん、負けん気があるのは良い事だ
智絵里,そうだ、プロデューサーさんに渡したいものがあるんです……見て下さい
P,おぉ、ありがとう！どれどれ……おっ！四つ葉のクローバーか……。小さな箱とは言え、こんないっぱいになるまでよく集めたな！確実に100以上はあるだろ
智絵里,はい、プロデューサーさんの事を想って集めました
P,そうか、ありがとう！
智絵里,因みにプロデューサーさんは、四つ葉のクローバーの花言葉って知ってますか？
P,いや、知らないな
智絵里,私のものになって下さいです
P,おぉ、そうだったのか
智絵里,プロデューサーさん……私のものになって下さい
P,言われなくたって、俺はずっと智絵里のプロデューサーだよ
智絵里,うふふ、ありがとうございます……それじゃ、私はレッスンに行ってきます
P,おぅ、頑張れよ
晶葉,プロデューサー！直ったぞ！
P,おっ、早いな
晶葉,さて、それでは実験を続けるか
P,そうだな、さて次は……
晶葉,おっ、あそこに時子がいるぞ
P,本当だ、どれどれ？。
晶葉,
P,ブッ壊れたんだが
晶葉,ブッ壊れたな
P,マジかよ
晶葉,良かったな、好かれていて
P,良くはないかな
晶葉,そうか？
P,あぁ
時子,何よ、今の音？何をしているの？
晶葉,プロデューサー！私はこれを直してくるぞ！
P,逃げた……
時子,晶葉と一緒にという事は、またくだらない実験？目にも妙な物を付けていたし、何かを見ていたようね
P,あぁ、そうだ
時子,何を見ていたの？
P,あれは女王様度スカウターだ
時子,何よそれ？
P,見た者のがどれぐらい女王様かを、数値化して見る事が出来る機械だ
時子,随分とあっさり壊れた様だけど？
P,あぁ、つまり時子はそれだけ女王様だって事だ
時子,ふーん……そう……
P,ん？あまり嬉しくなさそうだし、興味もなさそうだな
時子,そうね……別にあんな有象無象の下僕共なんか要らないし、興味も無いわ
P,そうなのか
時子,そうよ……私は貴方さえ、私の物であれば充分よ。……そういえばさっきから、小五月蝿い羽虫共に群がられていて勘違いしている様だから、教えてあげるわ。貴方は私の、私だけの、私の為の下僕であり奴隷であり所有物なのよ。貴方のその目も鼻も口も体も腕も足も声も……髪の毛の1本1本から爪の先、血の一滴まで……全部、一切合切、全てが私の物よ。もし、私から離れて他の女の物なんかになってみなさい？。殺して下さいと、泣いて懇願させてあげるから
P,そいつは恐いな
時子,なら気を付ける事ね……それじゃ、私は仕事に行ってくるわ
P,おぅ、頑張れよ
晶葉,プロデューサー！直ったぞ！
P,早かったな
晶葉,さて、それでは実験を続けるか
P,そうだな、さて次は……
晶葉,おっ、あそこに幸子がいるぞ
P,本当だ、どれどれ？。
晶葉,
P,ブッ壊れたんだが
晶葉,ブッ壊れたな
P,マジかよ
晶葉,良かったな、好かれていて
P,良くはないかな
晶葉,そうか？
P,あぁ
幸子,プロデューサーさん、何ですか？今の音？
晶葉,プロデューサー！私はこれを直してくるぞ！
P,逃げた……
幸子,晶葉さんと一緒という事は、また何か実験ですね？目にも何か付けてたみたいですし、何かを見ていたんですよね？
P,あぁ、そうだ
幸子,一体、何を見ていたんですか？
P,あれはカワイイ度スカウターだ
幸子,何ですか、それは？
P,見た者が如何にカワイイかを、数値化して見る事が出来る機械だ
幸子,壊れてしまったみたいですけど
P,あぁ、つまり幸子はそれだけカワイイって事だ
幸子,そうですか……では、晶葉さんにしては珍しく失敗してしまったんですね
P,ん？何でだ？
幸子,ボクは本当はカワイくなんてないんですよ
P,おいおいどうした、幸子らしくない
幸子,だって本当にボクがカワイイのなら、プロデューサーさんのその目はボクだけを捕らえて離さない筈です……その手はボクだけの頭を撫でてくれる筈です……その耳はボクだけの声を聞き取ってくれる筈です……その口はボクだけに甘い言葉を囁いてくれる筈です……。なのにプロデューサーさんは、ボク以外の女性を見て、ボク以外の女性に触れ、ボク以外の女性と話しています。ですから、ボクは本当はカワイくなんかないんですよ
P,確かに、最近は忙しくて幸子の事を構ってやれなかったな……ごめんな。今度、二人の時間をちゃんと作ろうな
幸子,あ……ふ、フフーン！そうですよ！最近のプロデューサーさんは、ボクの事をほったらかし過ぎです
P,ごめんな
幸子,わかれば良いんです……それじゃ、ボクはレッスンに行ってきますね
P,おぅ、頑張れよ
晶葉,プロデューサー！直ったぞ！
P,早かったな
晶葉,さて、それでは実験を続けるか
P,そうだな、さて次は……
晶葉,おっ、あそこにあいがいるぞ
P,本当だ、どれどれ？。
晶葉,
P,ブッ壊れたんだが
晶葉,ブッ壊れたな
P,マジかよ
晶葉,良かったな、好かれていて
P,良くはないかな
晶葉,そうか？
P,あぁ
あい,Pくん、何だい今の音は？
晶葉,プロデューサー！私はこれを直してくるぞ！
P,逃げた……
あい,晶葉君と一緒という事は何かの実験かな？目に何か付けていた様だし、何かを見ていたみたいだね
P,はい、そうです
あい,何を見ていたのかな？
P,あれはイケメン度スカウターです
あい,何だい、それは？
P,見た者がどれぐらいイケメンかを、数値化して見る事が出来る機械です
あい,壊れてしまった様だけど？
P,つまりあいさんは、それだけイケメンて事です
あい,……ふむ、イケメンね……
P,あまり嬉しくなさそうですね
あい,いや、決して嬉しくない訳じゃ無いんだがね……因みに君は、格好良い女性と可愛いらしい女性では、どちらが好みなのかな？
P,どっちも違った魅力がありますからね……どっちも好きですよ
あい,どちらもなんて、曖昧な答えは聞きたくないんだけどね
P,そう言われましても……というか、何故そんな迫って……
あい,強いて言えば？
P,おっと、これが巷で有名な壁ドンてやつですか……どうしたんですか？今日は珍しくグイグイ来ますね
あい,いやね……君の周りには、死ぬまで君と一緒に居ると言ったり、君がいなければ生きていけないと言ったり、君に滅茶苦茶にされたいと言ったり、君の言う事なら何でも聞くと言ったり、自分のものになってくれと言ったり、君との思い出が全てだと言ったりと積極的で一途な可愛い女の子が多い様だからね。私もウカウカしてられないと思ってね……それで、どちらが好みなんだい？
P,俺は、こうやって壁ドンの似合う凛々しくてカッコイイあいさんも、俺の好みに合わせてくれようと思う可愛らしいあいさんも、どちらも好きですよ
あい,そうかい？ふふっ、嬉しい事を言ってくれるね
P,どういたしまして
あい,それじゃ、君から嬉しい言葉も聞けた事だし、私はレッスンに行ってくるよ
P,はい、頑張って下さい
晶葉,プロデューサー！直ったぞ！
P,おっ、早いな
晶葉,さて、それでは実験を続けるか
P,そうだな、さて次は……
晶葉,おっ、あそこにあやめがいるぞ
P,本当だ、どれどれ？。
晶葉,
P,ブッ壊れたんだが
晶葉,ブッ壊れたな
P,マジかよ
晶葉,良かったな、好かれていて
P,良くはないかな
晶葉,そうか？
P,あぁ
あやめ,P殿、なんですか？今の音は？
晶葉,プロデューサー！私はこれを直してくるぞ！
P,逃げた……
あやめ,晶葉殿と一緒にいるという事は、また何かの実験ですか？目に何か付けておりましたし、何かを見ていたのですか？
P,あぁ、そうだ
あやめ,何を見ていたのですか？
P,あれは忍者度スカウターだ
あやめ,何でしょうか、それは？
P,見た者がどれぐらい忍者か、数値化して見る事が出来る機械だ
あやめ,壊れてしまった様ですが……
P,あぁ、つまりあやめは、それだけ忍者って事だ
あやめ,む……では、それは失敗作です
P,ん？何でだ？
あやめ,忍者とは忍ぶ者の事です。忍ぶとは、耐え、堪え、我慢する事です
P,そうだな
あやめ,ですがわたくしは、P殿に対する想いを我慢する事が出来そうにありません。P殿に近付く女性を全て抹殺し、P殿をわたくしだけのものにしたいという欲望を堪える事が出来そうにありません。P殿を今ここで押し倒し、すぐにでも交わりたいという劣情に耐える事が出来そうにありません。はぁ……P殿……
P,でも実行はしてないだろ？
あやめ,え？確かにまだ実行はしていませんが……もう……はぁはぁ
P,それなら大丈夫だ。今まで出来たんだから、これからも出来るよ……最近忙しかったし、ずっと我慢してたんだな、ごめんな
あやめ,あ……
P,今はちょっと忙しくて無理だけど、今度時間が出来た時に何処か遊びに行こうな
あやめ,わたくしで良いんですか？
P,俺が、あやめの事を嫌がる訳ないだろ
あやめ,P殿……ありがとうございます
P,遊びに行くくらい、どうって事ないよ
あやめ,ふふふっ、返事も貰えましたし頭も撫でてて貰えて満足しました……P殿も忙しい様なので、今日はもう帰りますね
P,暗くなって来たし、気を付けて帰れよ
あやめ,はい、お疲れ様です！
P,おぅ、お疲れ様
晶葉,プロデューサー！直ったぞ！
P,おっ、早いな
晶葉,さて、それでは実験を続けるか
P,そうだな、さて次は……
晶葉,おっ、あそこに杏がいるぞ
P,本当だ、どれどれ？。
晶葉,
P,ブッ壊れたんだが
