――東京都、千代田区、秋葉原,電気街
ありす,最新の施設、ジェットコースター……嫌な予感がしますね
Ｐ,それじゃみんな、仕事だけど楽しんでこいよ
幸子,ひぎいいいいいいいいいいいっ！！！！！
美穂,きゃあああああああああっ！
文香,
ありす,文香さん、ジェットコースターなんですから気絶してないで反応してください！撮り直しになりますよ！文香さん！
Ｐ,ヒドイ絵だな……。まあ一周周って、これはこれでいいか……面白いし。ていうかカメラ回ってるの忘れてないだろうな……
ありす,はぁ……半分終わりましたね
文香,
ありす,文香さん、もうジェットコースターは終わったんですから、正気に戻ってください
Ｐ,お疲れ様。ガーデンブロックのレストランで使えるチケットがあるみたいだから、ちょっともらってくるよ
ありす,わかりました
幸子,当然ですよ。カワイイボクの顔であれば、どんなカットでもカワイイものに……。任せてください！
美穂,それ、可愛いっていうより面白いのを期待されてるんじゃ……
ありす,……
ゆっこ,何見てるんですか？
ありす,ああいえ、ちょっとあの２人を……って、いままでどこに行ってたんですか？
ゆっこ,いやあ、ユッコは仕事じゃないので色々遊びまわってました。で、何見てるんですか？
ありす,はい、少し考えていて……今日の撮影で、自分に足りないものがまだまだあるな、と思いまして
ゆっこ,自分に足りないもの、ですか？
ありす,はい。いまの私に、アイドルとして足りない何か……幸子さんと、美穂さんを見ていると、思うところがあって……
ゆっこ,芸人魂ですか？
ありす,いえ、それは違いますね
ゆっこ,それじゃ、身長とか？
ありす,ぶっ飛ばしますよ
ゆっこ,あいや、すみません
ありす,お２人が撮影しているときは、スタッフのみなさん、Ｐさんも可愛いと褒めているのをよく見ていて。私や文香さんの撮影も、別に褒められていないというわけではありませんが、こう……なんというか……
ゆっこ,そうですか？私は、ありすちゃんも可愛いと思いますけど
ありす,でも、この撮影の間は１度も可愛いとは言われてなくて……別に、言ってほしいというわけではありませんが
ゆっこ,はいはい
美穂,ありすちゃーん、文香さーん、チケット配られたから移動しましょうー
Ｐ,２人の分も貰ってるから、ご飯にしようか
ありす,あ、はい。文香さん、ほら、行きますよ
文香,
Ｐ,文香、大丈夫か？
ゆっこ,おっと
ありす,ジェットコースターにやられたみたいですね。まあ、大丈夫です
Ｐ,それならいいか……午後の撮影もしっかりやらないとな
ありす,……
Ｐ,ご飯も食べて……ん、どうした、ありす？
ありす,……いえ、少し気になって
Ｐ,なんだ？撮影で気になることがあるなら、早いうちに行ってくれたほうが助かるぞ
ありす,……ぃ
Ｐ,ん？
ありす,か……わ、可愛い、く、と、撮れているのかなと、私たちが
Ｐ,可愛い？ああ、可愛く撮れてると思うぞ
ありす,本当ですか？
Ｐ,ああ
ありす,……スタッフのみなさんは、幸子さんや美穂さんばかりを可愛いって褒めていると思います。少なくとも、私と文香さんは今日１日、まだ言われてませんが。幸子さんや美穂さんみたいに撮影してもらえば、可愛いと言われるのかな、と
Ｐ,うーん……それじゃあ聞くけど、例えばありすが幸子ちゃんと同じような振る舞いをしたとして、可愛いって言ってもらえると思うか？
ありす,私が、幸子さんと同じ……。ないですね、間違いなく
Ｐ,まあ、そういうことだよ
ありす,それじゃあ、私は可愛くないってことですか？
Ｐ,そんなことはないぞ。そもそも、アイドルなんだから十分可愛いだろう？
ありす,……納得できません
Ｐ,そうか……それじゃあ、そうだな、みんな可愛いポイントが違うって言えばいいかな。幸子ちゃんは多分、自分でそこに気づいているんじゃないかな。絵的な話をすると、幸子ちゃんは体当たりで色んなことに挑戦したりオチを作ったりする姿が可愛いって感じで、美穂ちゃんはもうそんな話以前に雰囲気が可愛いって言えばいいかな。ここら辺は個性というか、才能というか。今回２人が起用されたのは場所がテーマパークってこともあるし、個人の見た目で分かる可愛さが求められているって部分もある。と、ここまで話して……じゃあ俺が、ありすにこの仕事をやらせたのはどうしてだと思う？
ありす,……分かりません。可愛さを求めているなら、私や文香さん以外のアイドルでいいような気がします。施設の説明役として呼ばれたわけではないんですか？
Ｐ,それもあるけど、さっきも話した可愛いポイントだ。ありすには別の可愛さが求められているってこと。極端な話、幸子ちゃんが４人いたら可愛さを通り越してやかましい画面になりそうだろう？
ありす,それには同意します
Ｐ,ここら辺は自覚する前に教えてしまうと上手くいかなさそうだし……まあ、今回は普段通りに仕事をしてみてくれよ。多分、変なリテイクは起きないだろうから
ありす,はぁ……？
Ｐ,さてと、それじゃご飯だご飯。午後も頑張らないとな
――サウザンドリバーランド,ガーデンブロック
文香,こういった場所の……レストランの食事は……しっかりとしたものなんですね……
幸子,そりゃそうですよ！遊びにきたお客さんを舌でも満足させなきゃダメですからね。雰囲気作りからこだわるのが、テーマパークの食事処です
ありす,個人で来ると、ちょっと高いなって思いますけどね
美穂,ありすちゃんありすちゃん、ご飯の後のデザートも頼んでいいみたいだよ。何にしよっか？
ありす,えっ？ええ、そうですね……それじゃあこのいち――。この感覚！
美穂,ありすちゃん？
ありす,す、すみません、お手洗いに行ってきます
幸子,おや、走って外に出ていくなんて忙しないですねぇ。まあ、お店のトイレも混んでるみたいですし、外のトイレに行ったほうがいいでしょうけど
文香,……。……すみません、ありすちゃんが迷子になるといけませんし、追いかけてきます
――サウザンドリバーランド,ファンタジーブロック
ありす,たぶん、こっちのほうから……
ゆっこ,こう人間が多いと、移動するのも大変ですねぇ
ありす,こんな人混みの中で魔物が出たら大変ですよ……結界が張られるといいんですけど……！。えっ？。え、あ、いえ……
ゆっこ,ちょっとありすちゃん！早く行きましょうよ！
ありす,お手洗いに行ってたところです。父と母はレストランで待ってるので、いま戻ろうと思っていたところです。はい、ありがとうございます
ゆっこ,面倒くさいですねぇ
ありす,仕方がありません。子供が１人で歩いてるなら……あ、そうだ
ゆっこ,はい？
――ファンタジーブロック,トイレ内
ありす,これですよこれ、マジカルクローゼット。この前礼子さんからもらった衣装
ゆっこ,ああ、セクシーのやつ
ありす,手に入れた衣装、単品でも使えるんですか？
ゆっこ,マニュアルに書いてましたけど、ベースの属性衣装を使わなかったら出来るみたいですよ
ありす,なるほど、それじゃこれを使いましょう。スタージュエルは必要ですか？
ゆっこ,んーと、マニュアルによると……魔法少女にならないのであれば使わないみたいですね
ありす,わかりました。それでは
ゆっこ,うーん……こう、手足が伸びていく様はちょっと見慣れないですね
ありす,……ふぅ、どうですか？
ゆっこ,パーティードレスを着た大人のお姉さんって感じですね。年齢は２０代後半……３０代前半っぽく見えるような
ありす,大人の姿になれたのなら構いません。早く移動しましょう
――ファンタジーブロック,メルヘンキャッスル前
ゆっこ,このお城の前に来るまでの間、めちゃくちゃ目立ちましたね
ありす,まあ、パーティードレスを着てここに来る人なんていないでしょうし
ゆっこ,おや？あそこにいるのは……
文香,あ、ありすちゃん……どこ……どこですか……
ゆっこ,息も絶え絶えの文香さんがいますが
ありす,私を追いかけてきたんですね、文香さん
文香,は……はい、あの……どちら様でしょうか……
ゆっこ,ありすちゃんですよ
文香,えっ……あ、もしかして……その姿は……
ありす,礼子さんからもらったセクシーの衣装を着て大きくなりました。こっちのほうが警備員に捕まらないと思ったので
ゆっこ,おっと、お喋りはそこまでですよ。ペンデュラムの反応が強くなっています。このお城からです！
文香,ファンタジーブロックの目玉のメルヘンキャッスル……今度はここが爆破されてしまうのですね……
ありす,そうはさせませんよ。ここで何かあったら今日の撮影が全部無駄になります！
ゆっこ,魔力が強くなってきます……来ますよ！
ありす,空に魔法陣……！
美穂,ありすちゃーん、文香さーん！
幸子,どこですかー！携帯電話もお店に置きっぱなしで出ていかないでくださいよー！
美穂,どこにいったんだろう……あ、文香さん！
ありす,ええっ！？
文香,お２人が……！
ゆっこ,いやいや、もう来ますよ！
魔物,ぴにゃあああああああっ！！
幸子,のわああああああっ！？
美穂,きゃっ！？
幸子,あ、あれって……最近たまにニュースで見かけるブサイクなやつ……
魔物,ぴにゃあああ……
ゆっこ,おっ、今回は結界が張られますね。これなら少しは安心ですけど……
幸子,おや？周りの人たちが動かなくなりましたね？時間停止か何かのドッキリですか？
文香,お、お２人共……どうして……
美穂,文香さんもありすちゃんも中々戻ってこないから探しに来てて……ありすちゃんは？
文香,あ、ありすちゃんは……。偶然ですが、今回のありすちゃんは……大人の姿に変わっているので……気づかない、はず……
ありす,私の近くにいたから幸子さんと美穂さんまで……ユッコさん！
ゆっこ,はい！スタージュエルです！
ありす,いきます、マジカルチェーンジ！！
幸子,あ、あれはもしや！？
美穂,この前テレビで見た……
文香,報道されるようになり……よく知られるようになりましたね……
ありす,クールにいきます！マジデ・クール・マジカ・タチバナ！
ゆっこ,ダサい
文香,ダサい
幸子,思ったよりダサいですね
美穂,うーん……
ありす,がくっ……外野も、変な評価をしないでください！
文香,ク、クールタチバナ……ですね。ま、魔法少女が……本当にいたなんてー
ゆっこ,棒読みが過ぎませんかねそれは
幸子,ニュースの報道もやらせかと思ってましたよ
ありす,３人は離れてください。魔物はお城の上……魔法の杖よ！。ストロベリーショット！
魔物,ぴにゃっ！？
ゆっこ,おお、効いてますよ！
ありす,練習しましたからね……このまま弱らせて一気に……
魔物,ぴにゃああああ！！
ありす,は？
ゆっこ,魔法陣から大量のうさぎのぬいぐるみが……クールタチバナ、避けてください！多分あれ爆弾か何かですよ！
ありす,え、ちょっと、でも後ろの３人が……シールド！
美穂,きゃあああああっ！！
ありす,くっ……！
魔物,ぴにゃっ！ぴにゃっ！ぴにゃっ！
幸子,あ、あのブサイク……めちゃくちゃ暴れてますけど……！
ありす,こんなに爆弾をばら撒かれていたら近づけません。どうすれば……シールドも張り続けているわけには…！
魔物,ぴにゃっ！
文香,お城が……
ゆっこ,あわわわ……目玉の施設がバラバラに……
ありす,そんな……
幸子,ちょっとあなた、はやくあのブサイクをやっつけてくださいよ！
ありす,いや、この爆風の状況でどうしろと……
幸子,あんなブサイクにカワイイ魔法少女が負けてどうするんですか！可愛さが限界突破しているボクが魔法少女なら、あんなブサイク一発ですよ！
ありす,メチャクチャなこと言って……残念ながら、私は幸子さんみたいな可愛さを持っていないので無理な話です。というか、可愛さと魔法少女は関係ありません
幸子,はぁー……魔法少女も大したことないんですねぇ。その見た目の可愛さは飾りですか？
ありす,は？
美穂,さ、幸子ちゃん……邪魔しちゃダメだよぉ……
幸子,何を言ってるんですか！カワイイは正義、カワイイは頂点！魔法少女なんてカワイイが服を来て歩いているような方が、こんなブサイクに負けてどうするんですか！
ゆっこ,ホントめちゃくちゃですねこの人
幸子,仕方がないですねぇ……カワイイの定義そのもののボクと、美穂さんの純粋な可愛さを分けてあげられるといいんですが……
ありす,はい？
美穂,えっ、な、なに？
幸子,な、なんでボクの体が光ってるんですか！？美穂さんの体も……
美穂,えええええ……？
文香,この光は、もしや……
幸子,もしかして……ボクと美穂さんの可愛さが化学反応を起こして、不思議な現象が……！
ありす,いやそういうのいいですから。とにかくこれは……もらえるものはもらっておきます！
ゆっこ,ええええ……礼子さんのときと同じように、お２人の光がクールタチバナのマジカルクローゼットに……
ありす,この状況ではどうしようもありませんし、使わせてもらいます！。ヴァリアブルパフォーマンス！
幸子,まぶしっ！？
ありす,可愛くいきますよ！マジデ・キュート・カワイイ・タチバナ！
美穂,あれ、この前私がステージで着た衣装……？
幸子,ちょっと！ボクのカワイイを借りておきながらボクの要素がないじゃないですか！
ありす,フフーン！カワイイ私の手にかかれば、あんなブサイクもメロメロにしてあげますよ！
文香,……ありましたね
幸子,あるならいいです
美穂,いいんだ……
ありす,爆弾には爆弾で対抗ですよ！キュートカワイイボイス！
ゆっこ,ああっ！？質量と化したカワイイの弾幕が魔物に！
魔物,ぴにゃあああああっ！？
幸子,可愛さが爆発してますね！
美穂,あんなのでいいんだ……
ありす,このまま一気にいきますよ！。終わりです！ストロベリーフレグランス！
魔物,ぴにゃあああああ……
ありす,いちごの甘さで、浄化完了です
美穂,すごいすごいっ！
幸子,ま、可愛さ７０点といったところでしょうかね
文香,結界が……消えていきますね
ありす,おっと。さてと……それでは失礼します。みなさんも、早く戻らないとプロデューサーさんが心配しますよ
ゆっこ,退散退散っと
美穂,あ、ちょっと待ってください！
ありす,
幸子,そこは走って帰るんですね
美穂,魔法少女なのに空は飛ばないのかな……
――数時間後、夕方、サウザンドリバーランド,ガーデンブロック
ありす,とりあえず、収録が中止にならなくてよかったですね
Ｐ,そうだなぁ。ガーデンブロックは午前中に半分終わらせてたし、壊れたお城は修理に時間が掛かるみたいだけど
ありす,ま、今回Ｐさんは結界の外にいて魔物を見ていませんし、そこまで心配はしていないみたいですね
Ｐ,他に収録した分で上手く編集してくれるだろうから……ん、ほらありす、アレアレ
ありす,なんですか？
Ｐ,ほら、文香と美穂ちゃんが売店の横に移動してる。そろそろ入る頃じゃないか？
美穂,というわけで、パレードが始まる前に売店にお邪魔しています！
文香,パレードの前なので、空いている時間ですね……どんな品物が、あるのでしょうか……
ありす,おっと、それじゃあ行ってきます
Ｐ,しっかりな。……まったく
ありす,遊園地のお土産は買うものに悩みますね。ペンやメモ帳とかでも、買ってから日常で使うかと言われると……
文香,……では、この緑の事務員キーホルダーは、どうでしょうか。ありすちゃんの、持ってきている鞄にも合いそうな……小さいサイズです
美穂,わぁ、いいんじゃないかな？ほら、鞄の後ろのほうに合わせると丁度いいかも！
幸子,テーマパークのマスコットが事務員って……まあ、ボク程ではありませんけど、カワイイと思いますよ
文香,はい……良いと、思います
ありす,ほ、本当ですか？それじゃあ……買っちゃおうかな……
Ｐ,……ま、そのうち本人も気付くか。自分が武器にする可愛さなんだし
ゆっこ,ふーむ……この前の志乃さんのときや、幸子ちゃん、美穂ちゃんの衣装。なーんでこの３人がマジカルクローゼットに衣装を渡すことができたんでしょうか……？。王国のほうも、ライトプランの仕様は分かってるはずなのに調査中から進んでいないし……何か、条件があるんでしょうかね。ま、新しい衣装が増えるのは魔法少女のパワーアップイベントですし、たくさんあって困ることはないんすけどね。まさか……あの３人に特別な力……サイキックパワーが……！。いやいや、ないない。ユッコもそんな気配を感じてないですし、もしそうなら――。……？。……気のせいですね。何か変な気配を感じたような……それより、もう少しでありすちゃんたちの仕事も終わりみたいですし、ユッコももう少し遊んでおきませんと！
？？,いや～おかしいぞ☆こっちに寄こしたぴにゃこら太がちらほら行方不明になってると思ったケド……悪い子がいるんじゃなぁい？いるだろ？おい☆。そんな悪い子、見つけ次第デストローイしてお仕置きしてやるぞ☆覚悟しろよ？
Ｐ,今年の事務所対抗アイドル大運動会だが、実績が良いこともあってうちの事務所にも声が掛かった
ありす,事務所としては初参加ですね
文香,運動……会……
茜,さあ、一等賞目指して燃えていきましょう！ボンバー！！
志乃,この歳で全力で走るのも……キツイわね……
ありす,怪我をするのもいけませんし、ほどほどに頑張りましょうか
茜,ありすちゃん、文香さん！限界に挑み、爽やかな汗を流しましょう！そして燃え尽きましょう！！
ありす,いえ、燃え尽きるのはちょっと。明日も仕事ありますし
文香,
茜,根性です！トラーイ！！！！
ゆっこ,もしもし、王国ですか？え……ありすちゃんを？
ありす,なんだか……自分が自分じゃないような、そんな気がします
