私はこの日もあくまで、,いつもの
にこ,そこらへんちょっとバカっぽいわね・・・はっ！
ことり,この野郎！
花陽,れっつごー！
ことり,タルト１つ
花陽,こっぺぱぁん！
にこ,ショートケーキで
店員,かしこまりましたーごゆっくり
にこ,好みもちょっと違うのね
ことり,そうなのか？
にこ,ことりはチーズケーキ、花陽はご飯よ
花陽,おぉう！らいす！べりーべりーぐっど！
にこ,でもこの暮らしに慣れて来た自分にはちょっと怖いって感じるわ
ことり,・・・帰れよ
にこ,あら、冷たい
花陽,あっちにはあなたの帰る場所がありまぁす
ことり,ここにはお前の信頼できるダチはいねぇ。信頼できるうちらに任せるべきなのさ
にこ,・・・そうね
絵里,うふふ、みんなとうまくやれてそうで良かったやん！
希,そうよね。あのことりにもあんなに言われてるのに悩んでるなんて
絵里,そうやそうや！早よ帰らんとあかんで？
にこ,わかってるわよ
絵里,いーや！わかってへんやん。にこはまだギリギリ気づいてへんで
希,あなたの本当の大切な場所
にこ,私の、大切な場所？
絵里,そうや
希,この1週間で考えとき
にこ,私の大切な場所、か。μ'sは誰がかけたらμ'sじゃない。と言うことはあっちはにこが欠けた状態なのね。なんか急に寂しくなってきたわね。帰らなきゃ・・・ね
穂乃果,このメンバーで最期のライブ、全力で楽しもう！。1
ことり,2
海未,3
真姫,4
凛,5
花陽,6
にこ,7
希,8
絵里,9
にこ,はっ！。ここは？。私の部屋？
こころ,お姉様！時間が！
にこ,！！ヤバい遅刻！
こころ,私たちは食パンを食べましたのでお姉様も食べてください！
にこ,食べながら行くわ！。ごめーん少し遅れたー！
穂乃果,にこちゃんおそーい！
凛,もう柔軟始めちゃってるにゃあ！
海未,そうです！たるんでます！！
ことり,あははは
絵里,まぁまぁ。にこも次は気をつけてね
真姫,子供じゃないんだから大丈夫でしょ？
希,素直じゃないやん！
にこ,もうあんた達ったら。ただいま
