劉永漢,４５
劉,お褒めいただき、誠に恐縮です……
喪黒,中国での料理修業は、見事な形で成果を上げたようですねぇ。劉さん
劉,ええ。私の料理の腕は見違えるように上がりましたし、店を経営するためのコツも掴むことができました……
喪黒,それはよかったですなぁ
劉,何もかも喪黒さんのおかげです。喪黒さんには本当に感謝しています
喪黒,どういたしまして。ですがねぇ……。私はあなたに、どうしても言っておきたいことがあるのですよ
劉,は、はあ……
喪黒,劉さん。あなたは料理人として、すでに完成されていますから……。何も心配することはありません
劉,はい……
喪黒,劉さん、私と約束してください。中国での料理修業は、昨年行った1回のみにしておいてください
劉,わ、分かりました……。喪黒さん。自分が、若者にものを教える立場になるとはな……。俺も年を取ったものだ……
テロップ,中華人民共和国、上海――
弟子の料理人A,ここは、ミシュランに載っている有名な店ですよね
劉,ああ。それだけでなく、この店の店主は呉老師の弟子でもあるんだ
弟子の料理人B,おいしい！！
劉,こ、これは……。私が作った料理よりも質が上回っている……
テロップ,横浜中華街――
劉,呉老師は、私よりも腕のいい料理人を育てていたのか……。やられた……
弟子の料理人A,気にすることはありませんよ。劉さんは、横浜中華街ではトップクラスの料理の腕前ですから……
劉,私も料理人なら、あのような上級の品質の料理を作ってみたい。それどころか、あれを追い越した極上のものを……
弟子の料理人B,大丈夫です。劉さんなら作れますよ
劉,いや。あそこまでのレベルの料理を作るには、もう少し修行が必要かもしれない……。ううむ……
客たち,この店の料理、最高だね！
劉,俺の腕前はまだまだ、上海のあの店の水準には達していない……
数か月後。BAR,魔の巣
劉,あの、喪黒さん……。もう1度、中国で料理修業をしたいのですが……
喪黒,いいえ、なりません。あの料理修業は1度のみにしておくのが、私との約束でしたよねぇ
劉,で、ですが、喪黒さん……。私よりも優秀な料理人の存在を、上海で知りました！
喪黒,まあまあ、劉さん……。あなたは今のままでも、料理人としては超一流ですから……
劉,いえ、喪黒さん……！私はどうしても……。上海のあの店の水準に追いつき、追い越したいんですよ！
喪黒,仕方ないですねぇ……。では、今回は特別にあと1度だけ料理修業を認めましょう。ドーーーーーーーーーーーン！！！
劉,ギャアアアアアアアアア！！！
テロップ,中華人民共和国――
呉,2度目の料理修業は、1度目よりもはるかに厳しいものです。それでも耐えられますか？
劉,もちろんです。どんなに厳しい修行であっても、私はやり抜いてみようと思います。こ、ここは……。ああっ！！
呉,さあ、劉……。あなたも生身で虎と戦ってください
劉,ええっ！？さ、さすがの私も、そんなことは無理ですよ……
呉,劉……。あなたはどんなに厳しい修行であっても、やり抜くと私に言いましたね？
劉,……分かりました。こうなった以上、やるしかありません……。ウオオオオオオッ！！！
喪黒,そもそも、人間にはものを食べる機能が備わっていますが……。人間と動物は、食べることに対して決定的な違いがあります
