Ｐ,……昨日の帰り道に、レイプされたんだ
P,そっちのパターンか！。うわ、もう眠く……一応、そのなんでこんなこと
あずさ,女性にそこまで言わせますか？
P,……そうですか……。あー、また会社泊しちゃったよ……起き。も、モガモガ……！？ん！？顔に！？重！？
貴音,はて……何か椅子が動きましたね……
P,お尻ち、尻音さ……！尻！。モガモガ！顔面騎乗！しかもノーパン！？
貴音,ん……すわり心地はあまりよくありませんね……
P,んー！ってか死ぬ！呼吸とか！首とか！
貴音,……はぁ
P,ブハァッ……！
貴音,椅子失格ですね
P,死ぬわ！
貴音,はて……あなた様のような殿方はこのようなぷれいが好きだと
P,誰からっ、いや、そこは良い。大体誰かわかるから。それより、早く俺の上からどいてくれ
貴音,腹部の上でもダメでしょうか？
P,いや、そこは……
貴音,それに、女性に向かって重いなどと言った方のいうことなど聞きません
P,あれで分かったの！？
貴音,それに……苦しい思いをしたとおっしゃる割にここがどうして元気なのでしょうか
P,う……
貴音,それに、わたくしも動画でえたは持っていますので
P,……使い方分かるの？
貴音,くりっくすれば良いと聞きましたっ
P,そこクリックじゃねえよ！。お疲れ
真,あ、ありがとうございますプロデューサー
P,相変わらずダンス好きなんだな
真,ええ、体を動かすことなら何でも好きですよ
P,うんうん、良いことだ
真,ええ、ですからセックスも好きですよ
P,。女の子が、しかもアイドルが言うことじゃないな
真,やだなあ、この前、あんなことしたばっかじゃないですか
P,……お前もか？
真,お前もってことは、やっぱり雪歩達ともしたんですね
P,……
真,……僕は脅したりなんかしませんよ
P,え？
真,そういうの、正々堂々としてないじゃないですか。それに、この前のも正直なんだかなーって思ってましたし
P,でもやることはやったよな……
真,だから僕は正々堂々といきます
P,真
真,正々堂々と、プロデューサーを犯します
P,……
真,あはっ！逃げたって無駄ですよ！。はは……空手をこんなことに使っちゃ、父さんに怒られちゃうや……
P,真……や、やめ……
真,まだ抵抗するんですかぁ？この口はぁ！？
P,うぅっ！
真,はぁはぁ……
P,あ……う……
真,あ～、良いですねその目。怯えて、震えて……。壊したくなります
P,朝か……。ん？俺の家……？。……。久しぶりに雪歩パターン来たな……
伊織,ようやく起きたのね、このダメプロデューサー
P,やっぱり
伊織,やっぱりってなによやっぱりって
P,で、ここはどこだ？最低でも日本だよな？
伊織,別にいいじゃないそんなこと
P,ある意味で一番やっかいだよなー
伊織,それで、ここに住む際のルールだけど
P,異議あり！
伊織,却下します。オホン、最初にして最後のルール、伊織ちゃんの言うことは絶対♪にひひ、さあ、モニターの前のアンタ達も、せーの
P,異議あり！
伊織,は？
P,ふぇぇ……
伊織,分かればいいのよ分かれば。あら、粗末なモノ見せてくれると思ってたけど、なかなかどうして
P,自分の性欲が憎い……あと、この子は本当に14,5なの？
伊織,ま、とりあえず見ててあげるから、シナサイな
P,へ？
伊織,だから、一人でね
P,ﾓｶﾞﾓｶﾞ……！
春香,大人しくしてくださいよプロデューサーさん。誰も助けになんか来ないですから
千早,春香、やっぱりこういうことは
春香,千早ちゃんだってノリノリだったじゃん。今更、そういうのは卑怯なんじゃない？
千早,……
春香,それじゃ千早ちゃん、バシッとヤッチャって！
P,なんで俺ここで働いてるんだろう
春香,千早ちゃんね、ずっと我慢してたんですって。あの夜のこと、忘れられないのに
P,お前か！お前なのか！
春香,まあ、千早ちゃんも千早ちゃんでスイッチ入っちゃえばあっという間ですけどね。って、言ってるそばから
千早,ぷ、プロデューサー
P,
でも、まさか,春香に見てて欲しい
そうして出てくるプロデューサーさんのP太郎,響命名
だからその時、プロデューサーさんから,お前はいいのか？
亜美,よし……と。やっほ→兄ｃ！
P,おう、お前か。真美
亜美,……うんっ
P,メールで呼び出したと思ったらホテル行こうって……自分の年令考えろよ
亜美,い→じゃんい→じゃ→ん。兄ｃだってこんな美少女と出来るんだからもやしもんっしょ？
P,……もうけもん？
亜美,へうげもの？
P,ったく……ほら降りるぞ、真美
亜美,う、うんっ。真美のケ→タイ使ってエクステで真美のフリして……なにやってんだろ……。ううん、そもそも真美が亜美に内緒で大人の階段登るから悪いんだし。……亜美だって
P,ホント、女の子は風呂が長いよな
亜美,色々セントー準備ってのがあるんだよ
P,そっか。ほら、おいで
亜美,うん。あ……
P,ほら、キスするから顔あげろ
亜美,～～～
P,なんだよ
亜美,分かんないよ亜美だって！でも、でも、なんか違う！
P,はぁ……亜美なんだろ？
亜美,え
もう処女は前の兄ｃ逆レイプで,ごめんね兄ｃ
亜美も兄ｃもお互いハダカ。あの時は皆もいたからよく分かんなかったけど、改めて見ると兄ｃのP太郎,ひびきん命名
P,ふぅ……今日はこのへんにしとくか
律子,お疲れさまですプロデューサー殿。はい、コーヒー
P,お、サンキュー
律子,ちょっと書類の確認お願いしたいのですが……
P,おう、良いよ
律子,これなんですけどね
P,おぉ……って、これ……
律子,どういうことか、説明いただけますか？。うちのアイドル１１人と乱交……とてもじゃないですが正気の沙汰とは思えません
P,これが乱交に見えるか？どう見てもレイプだろ
律子,女性が男性を襲っているのでは……それにアイドルのご法度ならレイプでもなんでも構わない連中はごまんといますよ
P,……それで、何が望みだ？事務所を辞めて欲しいのか？
律子,そしたらすぐ週刊誌に垂れ込むでしょう？
P,信用ないなあ、俺も。で、どうしたいんだ？
律子,こうします
P,へ？
律子,プロデューサー殿が受け入れてくれるなら、黙ってますから……
P,お前も同じ穴の狢じゃないか
律子,どう言って頂いても構いません。私もなりふり構わないことにしただけです
P,……ホテル、行こうか
律子,はい……。シャワー、どうぞ
P,なあ、俺のどこが良いんだ？
律子,そんなこと聞かないでください。ただ、私を抱いてくれれば良いですから
P,なんで不倫みたいなムードになってんの？
俺でよかったのか？そんなことを聞くと,ほたまた
小鳥,撮りも撮ったり１００時間超……これであと二年は戦えるわね……
P,なにがですか？
小鳥,そりゃもうプロデューサーさんとアイドルたちとの……
P,……
小鳥,しゅ、しゅいませ……
P,……
小鳥,あの……ほ、本当にするんですか……
P,ええ、しますけど？
小鳥,そのぉ……私なんてあの子たちに比べたら可愛くもないですし若くもないですし……
P,この人も相変わらず自分をわかってない……
包み隠さず思ったことを伝え、また顔を真赤にする小鳥さんを優しく抱きしめる。,あ
そう言って、小さく,ごめんなさい
P,ただいま
やよい,おかえりなさい。プロデューサー
P,ん。やよい、ただいま
やよい,その、なにか大変なことありました？
P,大変なこと？
やよい,そのぉ……疲れてるみたいでしたし……
P,無いから大丈夫だよ。さ、飯にしようか
やよい,はい！
