更新は遅いです,一応三月中に完結させる予定です
未央,おっ、プロデューサーいいですなー☆その照れた初々しい表情♪しぶりんのすがるような表情と眼差しも素晴らしいですなー♪
卯月,二人ともカワイイですよ♪次は未央ちゃんの番だね。私が写真を撮るからカメラ貸してもらえる？
未央,よろしくね☆しまむー♪しぶりん交代しよっ
凛,うん。プロデューサーありがとうね、未央の言うとおりいい記念になったよ
P,そうか？まあ、なら良かったかな。未央も二人と同じような構図でいいのか？
未央,おやっ？もう抵抗はしないんだね、プロデューサー？
P,二人にはやっといて、未央は駄目だとは言わないよ
未央,さすがプロデューサー☆話がわかる♪じゃあ、せっかくだからこんな感じで...
P,おいっ、これって...
卯月,いいな～...それ
未央,いいでしょう？しまむー。これ瑞樹さんと菜々ちゃんに教えてもらったんだ～。”あすなろ抱き”
凛,プロデューサー。私も後でお願いしてもいい？
卯月,私もお願いします♪
未央,私がやってもらったんだから、二人もOKだよね？プロデューサー？さっき言ってたこともあるし
P,分かった、分かった。順番にな。幸い周りは微笑ましい目で見てくれているし...大丈夫だろ。それより...。瑞樹さんと菜々と未央で会話してて、どうして”あすなろ抱き”が話題に挙がったんだ？
卯月,何のお話をしていたの？未央ちゃん
未央,んっ？好きな異性にやってもらいたい抱きしめ方についてだよ
P・凛,
未央,そんときに二人とも”あすなろ抱き”って、言ってさ。私なんのことか分からなかったんだよね。二人に聞いてみたら”昔にドラマを見て憧れた”って、言って教えてくれたんだけど...途中で菜々ちゃんが”私は再放送で見たんですけどねっ！”って、慌てだしたんだ。何だったんだろう？あの時の菜々ちゃんの慌てっぷりは
P,気にしないでおいてあげよう。時には考えることを休むのも必要だぞ
未央,そう？
P,そうだよ
卯月,じゃあ私と凛ちゃんがやってもらっても問題ないですよねっ♪その”あすなろ抱き”を
凛,なっ！？
未央,おぉ～？いうねぇ～しまむー
P,....何もしゃべらない方が得策な気がする
凛,な、何を言ってるの卯月！？
卯月,凛ちゃんもプロデューサーさんの事大好きだよね？プロデューサーさんは私たちの事をいつも大切にしてくれる人だから
凛,あっ？...うん、そうだよね。卯月の言う通りだよね
未央,あっれ～？しぶりんは好きの意味合いが違うんじゃないかな～？
凛,未央っ！もう！！
未央,へへへっ、ごめんごめん
P,...今のは聞かなかったことにしよう。卯月ありがとう。そう言ってもらえたら今までの行いが報われるよ
卯月,そうですか？えへへっ、私プロデューサーの事が大好きですからねっ♪”パパ”よりも♪
P,ありがと...はいっ！？
未央,し、しまむー...？
凛,今...なんて...
卯月,えっ？”プロデューサーの事が大好きですからねっ”って
未央,そ、その後だよっ！？
卯月,”パパよりも”って言ったこと？
未央,そう、そこ！
卯月,”男の人の中で一番好き”っていう風に伝えたかったんだけど...何か変だった？
未央,いや...変っていうか、それもナチュラルに...はっ！？。まさかしまむー気付いてない？
凛,自分が告白みたいなことを言ったことを...そしてまた言っていることを...少し天然なところがあるとは思っていたけど
未央,ここまでとは。どうしよう...指摘してあげた方がいいのかな？でも...
卯月,三人ともどうしたの？プロデューサーさん？
P,...あ、ありがとう卯月。嬉しいよ。これからも一緒に頑張ろう
卯月,はいっ♪こちらこそ宜しくお願いします♪
凛,プロデューサーはとりあえず指摘しないみたいだね
未央,でも、今後絶対意識するよね...プロデューサーしまむーの事
凛,こんなふうに直接的な言い方をしたのって多分卯月が初めてだよね
卯月,プロデューサーさん？顔が赤いですよ？大丈夫ですか？
P,大丈夫だよ。なんともないから
未央・凛,...私もそうした方がいいのかな？
卯月,じゃあプロデューサーさんに未央ちゃん？撮るから笑ってね
未央,うん、そうだね。ほら、プロデューサーも動揺してないで笑って？
P,そう...だな。これでいいか？卯月？
卯月,いいですよー、二人ともっ♪ハイチーズ♪
凛,天然って恐ろしいな...
卯月,次は凛ちゃんの番だよ。私がまた撮るから
凛,ありがとう。じゃあ卯月の時は私が写真を撮るね
卯月,よろしくね、凛ちゃん
P,もう...好きにやってくれ
卯月,楽しかったね♪未央ちゃん、凛ちゃん
未央,ウンウン☆堪能した♪ありがとうねっ、プロデューサー
P,喜んでもらえたんなら良かったよ
凛,でもこういうことがあるなら、それっぽい服を着てくれば良かったな。そうすればもっとそれらしい写真が撮れたのに
P,流石にそれは無理だろうな。今回のは未央の急な思い付きだし
卯月,でもよくこういうことを思いついたよね、未央ちゃん？
未央,それはね、ひのっちのおかげなのさ！
P,茜の？
未央,ほら、私とひのっちと藍子ちゃんでユニットを組んでるでしょ？ひのっち緊張をほぐす時にいつもジューンブライドの時にとった写真を抱きしめてるんだ。もちろんプロデューサーと一緒に写っているのでね。それがちょっと羨ましくてねー
凛,そういえば加蓮も同じことをしているね...奈緒もウェディングドレスじゃあないけど、ドレス姿でプロデューサーと写った写真を持ってるし。奈緒も二人と同じことをしてるよ
P,そ、そうなのか
卯月,桃華ちゃんもジューンブライドに参加したんですよね。今年も同じイベントはあるんですか？
P,多分あるんじゃないかな？大きなイベントだしさ。ちひろさんが分かり易い稼ぎどころを見逃すわけはないだろうし...
卯月,あれってどういう基準で選考が行われているんですか？
P,まあ、その時のみんなのスケジュールとスポンサーの依頼を基にして決めるんだが、どうして気になるんだ？
卯月,えっと...茜ちゃん、加蓮ちゃん達が選ばれたのは何となくわかるんですけど、ありすちゃん、桃華ちゃんが選ばれたのはどうしてかなって。二人がウェディングドレスを着るのはさすがにちょっと早いんじゃないか、と思ったんですけど
凛,卯月すごいな...誰もが聞きづらいことを簡単に...
P,え～と、それはだな...
未央,プロデューサーの趣味じゃないの？
P,ち、違うぞ！断じてそうじゃない！
凛,その慌て方、怪しいね
P,理由を聞きなさいって！あの二人が選ばれたのはな、ドレスを提供してくれたスポンサーから依頼があったんだよ。小学生の高学年を二人程出せないかって
未央,なんでまたそんな依頼をしてきたの？
P,なんでも子供向けのドレスの宣伝もしたかったらしいんだ。そういうわけであの二人も参加したんだ
卯月,そうだったんですか～、なるほどー
凛,でもなんであの二人だったの？みりあちゃんや小春ちゃん、小学生じゃないけど莉嘉でも良かったんじゃないの？
P,桃華は家のパーティーとかでドレスを着慣れているって、聞いていたから選んだんだ。ありすは...
卯月,ありすちゃんは？
P,ありすは...えっと...そのなんだ...
卯月・未央,？
P,ほらっ、小学生にしては大人びている？じゃないか。それで...選んだんだよ。本当はありすが積極的に参加したがっていたからなんだけど、そのことは黙っておいてくれって、頼まれているんだよな
凛,まあ実際はありすちゃんのほうからプロデューサーにお願いしたんだろうけどね
P,えっ！？
未央,うん。私もそう思ってたんだ。それにしぶりんに言われてプロデューサーがそんな顔をしちゃ丸わかりだよ。ねぇ、しまむー？
卯月,えっ、そうなんですかプロデューサー？ありすちゃんからお願いしたんですか？
未央・凛,えっ
P,本当はね。でもありすには恥ずかしいからみんなには黙っててくれって、頼まれてたんだ
凛,ありすちゃんはプロデューサーにおねだりしたり、はしゃいだりするのを知られることを恥ずかしがるからね
卯月,ありすちゃんもまだ小さいんだから、そういうことで恥ずかしがることはないのにね
未央,でもそこがありすちゃんのセールスポイントなのですよ。ねぇ、プロデューサー？
P,そうなんだよな。あっ、俺が喋ったことはありすには内緒だぞ？
卯月,はい、わかりました。また同じような依頼がスポンサーから来たらどうするんですか？
P,うーん。さすがにその二人ではないかな？他のメンツから選ぶよ
未央,例えば？
P,そうだな...晴なんかにやらせてみたら面白いだろうな。またいい反応が見られそうだ
凛,プロデューサーったら...また晴に蹴られるよ？バニーガールの時みたいに
未央,晴ちゃんをポストみくにゃん、幸子ちゃんにするの？いじりキャラとしての
P,ポストもなにも二人とは違った趣があるんだよな、いじるときの楽しさに。一度三人を組ませてみるか
凛,まずユニットのリーダーを決めるところで揉めるだろうね
未央,ああ、なんとなくわかるよ。幸子ちゃんと晴ちゃんがリーダーを譲らなさそうだよね。そしてみくにゃんが二人にネコミミを勧めて揉める有様が
P,うん。その光景は想像し易い上に面白そうだな。今度ちひろさんに提案してみよう
卯月,晴ちゃんと言えば、今回の雛祭りの拓海さんの衣装を羨ましがってましたね
未央,”オレもああいうのがやりたいんだよっ！！”ってプロデューサーに訴えてたもんね
P,そのうちにな。まあそんなわけで今回もジューンブライドのイベントがあったとしても人選が決まるのはまだまだ先かな
凛,じゃあ私達でやりたいかな。NGの三人でやった大きなイベントはアニバーサリー以来だし。どうかなプロデューサー？
未央,それいいね☆しぶりん♪
卯月,三人でウェディングドレスを着てみたいよねっ♪
P,まあそうなったら頑張ってみるよ。俺に人選の全権があるわけじゃないからな？あまり期待はしないでくれよ
卯月,ですよね...でもジューンブライド以外でもNGの三人でのお仕事を楽しみにしていますからねっ♪
未央,しまむー...いい子だね～
卯月,もぉ～未央ちゃんてば、私が三人の中で一番年上なんだからね
凛,でも未央の気持ちもわかるかな。卯月って、なんとなくほっとけないんだよね
卯月,凛ちゃんまで！？
P,俺も凛の意見に同意しちゃうな
卯月,プロデューサーさんも！？もうっ、酷いですよ
P,すまん、すまん。でも卯月がそれだけみんなに愛されているってことだからさ
卯月,そうかもしれませんけど...え？。あの...もう一回言ってもらっていいですか？
P,んっ？”卯月がそれだけみんなに愛されているってことだからさ”って、言ったことか
卯月,はいっ♪”みんなに”って、言葉を外してもう一回言ってもらえますか？
P,卯月がそれだけ愛されているってことだからさ
卯月,最後にもう一つだけ！今の言葉の最後に”俺に”って、入れて下さい
P,え～と...”卯月がそれだけ愛されているってことだからさ、俺に”...はっ！？
卯月,えへへへっ...♪
P,しまった！？
凛,いやっ、さすがに途中で気付こうよ？プロデューサー
未央,プロデューサーも天然だよね。まあしまむーが幸せそうだし、しぶりんもここは穏便に
凛,どうして私にそう言うのかな？未央...
未央,えっ、いやぁ～それは...プロデューサー助けて！
P,おい、俺を盾にするな！凛だって冗談を言っているんだから。なあ凛...
凛,...
P,おーい凛？そろそろいいんじゃないか？
凛,.........
P,あ...れっ？。なんだか俺と初対面の時よりもクール、というより鋭いような...親愛度がマイナスに行っている感じの視線なんだが...
未央,絶対あれ本気で怒ってるよ！？
P,いや...まさか、ここまで本気になるってことは無いだろ？ほらーもういいだろ、充分だろ？俺も正直怖いんだ、その眼力は
凛,.........そうだね。どう？緊張した？プロデューサーに未央？
P,ふぅ、迫真の演技だったよ。さすがに凄いな凛
凛,これでも何回かドラマに台詞付きの役で出演させてもらってるからね。二人から見て私の演技はどうか見てもらいたかったんだ。ちょっと悪のりしすぎちゃったかな？
未央,はぁ～、本当だよ。冗談にしても悪質だよ～
凛,ごめんね未央
未央,私も冗談が過ぎたし...でも本当に迫真の演技だったね♪あれならまた主役級の登場人物役でドラマに出演できるよ
凛,ふふっ、ありがとう。そこまで褒めてくれるとは思わなかったな
未央,いやいや本当に凄かったよ。役柄でいうなら、そうだね...”彼氏がモテて嫉妬するヒロイン役”とか
P,あっ、馬鹿！!
未央,へっ？
凛,.........
未央,しぶ...りん？また表情がさっきみたいになってる...よ？
凛,...どうやら未央とはよく話合わないといけないみたいだね...今ここで
未央,さ、さっきのは冷やかしとかじゃなくて...本心からそう思って褒めたつもりだよ？
凛,なら、尚更悪いよ！！
未央,う、うわっ！？ご、ごめんなさーい！！
凛,こらっ！待ちなさい、未央！！
P,二人ともー、お店に迷惑が掛かるからあんまりはしゃぐなよー？
未央,プロデューサー！？そんなことを言ってないで助けてよ！！うわっ！？しぶりん足が速い！？
凛,待ちなさい！！どうして未央は私を嫉妬深い危険な子にしたいのよ！？
未央,それはしぶりんがクールすぎるからだって！それなのにバレンタインの時には...
凛,っ！それ以上そのことを言ったら本当に怒るからね！
未央,もう怒ってるじゃん！？弁解も許されないの！？
P,未央も凛もあんなにじゃれ合っちゃって、やっぱり二人ともまだ15才なんだよな。先に会計を済ませておくか...
卯月,ふふふふっ♪
P,さて、あのスピードならそろそろフロアを一周するだろうし、近くに来たら止めるか
未央,うわわぁぁプロデューサー！？今度こそ助けてよ！？
P,わかってるって。ほら凛？どう、どう
凛,...！？止めないでよプロデューサー。未央とはじっくり話さないといけないから...はぁ...はぁ...
未央,はぁ...ふぅー、助かった～
P,二人とも落ち着いてからな？そんなに息を切らしちゃあ話し合いなんてできないだろ？
凛,そ...それもそうだね
P,それにな...
未央,どうしたの？
凛,何？....あっ！？
一般客,.......
P,周りからの微笑ましい眼差しがな？
未央・凛,....
P,とりあえず甘いものでも食べるか？
卯月,いいですね♪ほらっ、二人とも元気を出して
凛,プロデューサー...
P,どうした？
凛,顔が赤いのを隠したいからちょっと胸を貸して？
P,それは余計に恥ずかしいと思うぞ！？
未央,あっ...私も...
P,未央までっ！？
卯月,ついでに私もお願いします♪
P,卯月は赤くなってないじゃないか？それにこれじゃあ....
一般客,.......
凛,さっきはごめんね？未央。私も考えてみたら未央に言われた役柄のような演技をしていたよ
未央,私だって言葉が悪かったよ。しぶりんごめんね
卯月,良かった♪二人とも仲直りして
P,そうだな。ところでこの後はどうする？
卯月,うーん...この後の予定は考えてなかったんですよね
未央,久しぶりに四人でカラオケにでも行かない？
卯月,いいねっ♪どうですかプロデューサー？
P,いいな。久しぶりに仕事以外でみんなの歌を聴きたいかな
凛,うっ...
卯月,どうしたの凛ちゃん？もしかして嫌だった？
凛,そんなことないよ？私も楽しみだよ。美嘉、美玲、莉嘉...本当にごめん！
未央,じゃあ食べ終わったらすぐ行こう☆。すんなり入れて良かったね♪それにしてもこの四人でカラオケに来ると昔を思い出すね～
凛,そうだね...最初の頃は仕事もなかったし、よく行ってたよね...そんなに昔の事でもないはずなのに、随分昔のことに思えるね
P,事務所も忙しくなってるからな。毎日が目まぐるしいからそう感じるんだろ
卯月,私たちが所属したばかりの事務所か～、懐かしいな～
未央,うんうん。私たちの後すぐにみくにゃんがやってきて...猫キャラだからって歓迎会でお寿司を用意したら大変なことになったよねっ♪
卯月,そうだったね～♪みくちゃん”みくはお魚はきらいにゃ～！”って、騒いじゃって。まさか見るのも苦手だなんて思いもしなかったよね
凛,プロデューサーも”そうなのか！？”って、顔をしててね。ふふっ、あの時のプロデューサーの顔は今思い出しても笑えるね
P,ちひろさんに怒られたんだよな。”スカウトしたアイドルの好みも把握していないんですか！？”って
凛,結局宅配ピザを取ったんだよね。お寿司は私たちで食べて
未央,そうだった、そうだった。みくにゃんが来て少したってからだったかな？私たちにも仕事が来るようになったのは
卯月,そうそう♪それからも事務所に新しい人が次々やってきて...きらりちゃんが来たときは驚いたな～
凛,あの大きさは規格外だよね。プロデューサーよりも身長が高いし...初対面で抱きしめられたときは吃驚したよ
未央,”おにゃーしゃー☆”って、言いながらいきなりだったもんね。...結構ダメージもあったし
卯月,あ、ははは...それからもどんどん事務所が賑やかになって、でもプロデューサーさんは一人だけのままだったんですよね
P,ここに来る前にも言ったと思うが、大人のアイドルには事務所の業務も兼任してもらってるからな
凛,留美さんと瑞樹さんなんか良く事務の仕事をしているよね。時々美優さんも
未央,真奈美さんや瞳子さんは私たちのスケジュールの管理もしてくれてるよね
P,ああ...他の人達にも助けてもらってるよ。アイドルの活動をしながら俺やちひろさんの仕事もやってもらってるんだからな。正直頭が上がらないよ
卯月,でもみなさんとても充実しているみたいですよ？瞳子さんは”一度挫折した夢に、もう一度挑戦させてくれたPさんには感謝しきれない”って。ほかのみなさんだって同じですよ？みんなプロデューサーさんに感謝してます
P,だと、いいんだけどな
凛,卯月の言うとおりだよ。プロデューサーはもっと自信をもってもいいよ
未央,そうだよ☆同じ様にプロデューサーに感謝している私達が言っているんだから間違いないよ
P,そうか...ありがとうな？三人とも
卯月,どういたしまして♪
凛,こちらこそ、プロデューサーいつもありがとうね
未央,これからも宜しくねっ☆トップアイドルになるにはまだまだなんだから
P,そうだな...ははっ、なんか湿っぽくしちゃったかな
未央,久しぶりに四人で来たんだから楽しまないとねっ♪じゃあトップバッターは私、いっきまーす。プロデューサー、成長しているのはしぶりんだけじゃないからね？
P,ここしばらく未央のレッスンを見れてないからな...よしッ、聞かせてもらおうじゃないか！
未央,フフーン☆あまりの成長ぶりに驚くなよっ☆
卯月,未央ちゃんファイトっ♪
未央,まかせなさい！しまむー♪しぶりんにだって負けないんだから
凛,それはどうかな？私だって演技だけが上手くなっているわけじゃないよ
P,もうすぐ終了時間だな。楽しい時間ってのは早く過ぎていくよな
卯月,そうなんですよね、不思議ですよね。ふふっ、未央ちゃんと凛ちゃんも楽しそう
P,さっきの仲直りの印にデュエットしようなんて、凛から言い出すとは意外だったな
卯月,そうですか？私はそんなに不思議じゃありませんでしたよ？だって二人ともお互いのことが大好きですから、もちろん私もですよ♪
P,やっぱり三人でユニットを組んで正解だったな。最高だなNGは
卯月,はいっ♪
凛,卯月、そろそろ時間だから最後はみんなで歌わない？
未央,プロデューサーも一緒に歌おうよ☆
P,ありがとう。でも今日は三人の歌を最後に聞きたいかな
未央,そう？じゃあまた今度ね
P,ああ
凛,ごめん卯月、未央。私ちょっとお手洗いに行ってくるね
未央,あっ私も行くよ。しまむーは？
卯月,私は大丈夫だよ
凛,そう、じゃあ行ってくるね
卯月,...プロデューサーさん、本当にいつもありがとうございます。私...私達はプロデューサーさんのおかげで毎日が輝いています
P,急に改まってどうしたんだ？
卯月,えへへっ、二人っきりになったんで、話したくなったんです。続けてもいいですか？
P,もちろん
卯月,私...夢だったアイドルになれて、いっぱいステージに立って、歌って...本当に毎日が嬉しくて楽しいです。でも未央ちゃんが言っていたみたいに、トップアイドルになるためにはまだまだ大変な道が続いています。だからこれからも宜しくお願いします。プロデューサーさんと一緒だったら、私達きっとなってみせます...トップアイドルに。まだまだ私たちのことを見守り続けて下さいね、プロデューサーさん？
P,約束するよ。それにトップアイドルになったって見守るからな？なんたって俺はお前達のプロデューサーなんだからな
卯月,...はいっ♪...それと...
未央,お待たせしまむー！...あれっ？なんかいい雰囲気？
卯月,うん♪今プロデューサーさんと約束したんだ
未央,何を？
卯月,私達三人でトップアイドルになるって♪
凛,ふふっ、なるほどね...最後に何を歌う？今日は卯月が主役だから曲を決めてもらっていい？
卯月,実は何を歌うか決めてたんだ。最後に歌うのはプロデューサーさんとの約束を守る意味を込めて...。”輝く世界の魔法”を
