モバＰ(以下Ｐ),飛鳥、七海、朝早くからおつかれ。いいロケだったぞ
七海,元気一杯でお客さんも大漁れすね～！
飛鳥,如何にも漁港の食堂といった具合だろう。こんな喧噪に身を投げるのもたまには悪くない
Ｐ,お客さんも親子連れからお年寄りまで、まさに大衆食堂って感じだな
七海,プロデューサー、そこのテーブルに若い男の人たちもいますよ～
飛鳥,何故だろう、あの集団の雰囲気や服装に既視感があるが……？
Ｐ,そういえば、この地域はあるアイドルグループのファンがよく訪れると聞いたことがある
飛鳥,へぇ、つまり同業者の御膝元というわけかい
七海,どんなグループなんれすか？
Ｐ,メンバーが地元の女学園に通うスクールアイドル、だったかな
飛鳥,この先、合同ライブで出逢う未来も、あるいはあるのかも知れないね
Ｐ,アイドル群雄割拠だなぁ……お、料理来たみたいだぞ
店員,お待たせしました。丸天丼ご飯大盛りと、太刀魚塩焼きの定食です
Ｐ,はーい
七海,定食はこっちれす～
店員,続いてフルテールシチューです。あとこちらがセットのあら汁になります
Ｐ,定食には元からお盆に乗ってるから、俺の分か
飛鳥,丸天の丼ものにはあら汁がセットになってるからね
店員,かき揚げと煮付も順にお渡ししますねー！
Ｐ,さて、いよいよ食べてみますか！
七海,どれも美味しそうれすね～
飛鳥,一品ものも食べていればそのうち来るだろうしね
Ｐ,まずはあら汁から……あぁ、魚介の旨味がこの一杯に凝縮されて……こんなん美味いに決まっとるわ
七海,体がぽかぽかしてきます～
飛鳥,確かに、肌寒いこの時期はまた格別だね
Ｐ,これだけでご飯いくらでも進みそうだ
飛鳥,ちなみに定食のご飯は何杯でも、あら汁は1杯無料でおかわりが可能だよ
七海,こんなに美味しいのにおかわりできるなんて！とってもお得れす！
Ｐ,丸天丼はマグロ、トロ、サーモン、イカ、エビ、しらす。色とりどりで見た目も良いな
七海,海鮮丼って綺麗れすよね～
Ｐ,ん、見た目に違わずどれも美味い！生しらす初めて食べたが釜茹でより好きかも
七海,太刀魚も脂が乗ってて美味しいれす～♪
Ｐ,そして気になるテールシチュー
飛鳥,テールシチューはぶつ切りにしたマグロのテール部分を煮込んだものさ。良かったら食べてみるかい？
七海,やった～！いただきます～
Ｐ,俺もひとくち……お、肉厚なのに箸で簡単にほぐせる柔らかさ
七海,デミグラスシチューの甘みがテールと合いますね～♪
Ｐ,マグロステーキとか火を通すとどうしてもパサつきがあるが、こうしてシチューと絡めると上手く解消されてるな
飛鳥,ここでは異色を放つ洋風メニューだが、中々のものだろう？
Ｐ,あぁ、見事に驚かされた。もうひとくちもらっていい？
飛鳥,かなりボリュームがあるから、ひとくちと言わず好きなだけ取ってくれ
店員,お待たせしましたー！続いて海鮮かき揚げと金目煮付です！
七海,うわぁ！やっぱりおっきいれすね～！
Ｐ,写真より実際に見ると余計大きく見えるな……かき揚げがビールジョッキくらいはあるぞ
店員,あとこちらがかき揚げ用の天つゆです！ごゆっくりどうぞー！
飛鳥,さぁ、食べようじゃないか
Ｐ,いただきまー……って、これどうやって食べればいいんだ？
七海,マグロテールみたいに崩せないし～、丸かじりれすかね？
飛鳥,ふっ、丸天初心者にありがちな発言だね
七海,むぅ～飛鳥ちゃん、どうすればいいんれすか～！
飛鳥,本能の赴くままに丸かじりなんてのも間違いじゃないが、セオリーがあるとすれば……こうさ！
Ｐ,天つゆを上からかける、だと！？
七海,お汁を吸って柔らかくなるんれすね～！
飛鳥,こうして柔くなった上から順に削っていけばいい。かき氷と同じ要領さ
Ｐ,かき揚げをかき氷のように食べる日がくるとは
七海,あ、上手くはがせました～！あむっ……普通のかき揚げの味れす！
Ｐ,とにかく見た目のインパクトがデカいな。しかしかき揚げでこの量となると結構油が……
飛鳥,金目鯛の煮付、ほろほろで美味しい
Ｐ,あ、ズルい俺も！
七海,この金目鯛もおっきいれす～
Ｐ,あー食った、しばらく魚はいいな……
飛鳥,まったく、ボリュームがあると忠告しておいたのにキミは頼みすぎだ
七海,でも全部食べちゃいましたね～
Ｐ,かなり頑張ったぞ。飛鳥のテールシチューも半分近く俺が食べることになったし
飛鳥,あの量は流石にボクひとりじゃ到底かなわないさ
Ｐ,初めから残りを俺に食べさせるつもりだったからあんな忠告したのか
飛鳥,ふっ、想像に任せるよ
店員,はーい、お皿さげるわねぇ。あとこれお茶のおかわりね
七海,ありがとうございます～
店員,お嬢ちゃんたち可愛いねぇ、どこから来たの？
飛鳥,東京からです
店員,あら、まさかお嬢ちゃんたち朝来てたテレビの人！？
Ｐ,はい。あの、お店にご迷惑になるので、あまり大きな声では……
店員,じゃあお嬢ちゃんアイドルなんだね！どうりで可愛いと思ったよ！あ、そうだサインお願いしてもいい？色紙とマジック持ってくるから！
Ｐ,このおばちゃんパワー……大衆食堂らしい接客……なのか？
飛鳥,これもまたひとつの雰囲気として、そうとも云えるかもね
七海,――ということがあったんれす。最後まで面白かったれすよ～
葵,それで、サインは書いたん？
七海,一緒に写真も撮って、お店に飾ってくれました～♪
葵,魚料理は気になるけど、行ったら雰囲気に呑まれそうっちゃ……
七海,あんなに元気なのは魚市場にある店舗だからで、他のところはもう少しゆったり入れるみたいれすよ～
葵,そうなん？だったらうちも行きたいなー！
七海,プロデューサーにお願いしてみましょ～♪
飛鳥,なんて言ってるが、スケジュールはどうだい？
Ｐ,仮に行けてもあのかき揚げをこの短いスパンで食べに行くのは勘弁願いたい
飛鳥,そびえ立つかき揚げは、さながらバベルの塔か……
