～闇の間,蘭子の部屋
桃華,お待ちなさ～い！
麗奈,これでも食らいなさい！
ありす,え、煙幕！？けほっ・・・
桃華,またこのパターンですの！？
ありす,・・・・・・見失ってしまいましたか
桃華,このまま取り逃がしてしまっては櫻井家の娘としての沽券に関わります！。ありすさん、追いましょう！
ありす,もちろんです！私もこのままでは文香さんに顔向け出来ません！。とりあえず目撃者がいないか聞き込みをしましょうか
桃華,賛成ですわ
池袋晶葉,よし、ようやく試作品が出来たぞ！
晶葉,これぞウサギ型メカローバー・・・。アベンジャー7号だ！！。さっそく試運転だ！行くぞ！
麗奈,あ～ら晶葉、いい乗り物ね
晶葉,ああ、麗奈か。フフッ、これはアベンジャー7号といってな。見た目の通りウサギのようなすばしっこさと跳躍力を備えた1人乗りのビークルだ。跳躍の原理は強力なスプリングを油圧で圧縮し・・・
麗奈,ちょうどいいわ！試運転はアタシがやっといてあげる
晶葉,あっ！？コラッ！勝手に動かすんじゃない！！
麗奈,お宝がアタシを呼んでるの！立ち止まってなんかいられないわ！
晶葉,待つんだ！それはまだ試作品だからフレーム剛性が・・・
麗奈,アーーッハッハッハッ！！アディオス！！
晶葉,待てと言っているだろう！？。・・・・・・はぁ、はぁ・・・。・・・。フフッ・・・フッフッフッ・・・。さすがは私の発明だな。人の足では追い付けん！。やれやれ、麗奈のイタズラ好きにも困ったものだ
ありす,あっ！晶葉さん！麗奈さんを見ませんでしたか！？
桃華,目撃情報によるとこちらに来たはずなのですが
晶葉,麗奈ならたった今、私が作った乗り物を奪って走り・・・いや、跳び去ったところだ
ありす,実は、かくかくしかじかで麗奈さんを追いかけていまして・・・
晶葉,なるほど、お宝がどうとか叫んでいたのはそういうことか
桃華,乗り物を手に入れたとなると厄介ですわね
晶葉,ああ、なにせ私の発明だからな。人の足で追い付くのは困難だろう
ありす,となると、目撃情報を追うよりは、行き先を特定したほうがいいかもしれませんね
晶葉,まあ、当然お宝の隠し場所に向かったんだろうな
桃華,でしたらあの本の暗号のような文章を解読する必要がありますわね・・・
晶葉,どんな文章だったんだ？
ありす,えっと、まずは・・・
桃華,一言目から城ですからね・・・ここから最寄りの城というと・・・
晶葉,いや待て、それは蘭子が作った物なのだろう？
ありす,確実ではありませんが、そうだと思います
晶葉,ふむ、蘭子は大袈裟で難解な言葉を使うが、助手の翻訳によると内容は案外普通だ。城というのも何かの比喩で、実は身近なものを指しているのではないか？
ありす,言われてみれば・・・
桃華,その可能性が高そうですわね
ありす,美しき城・・・身近な・・・美城？。あっ！私たちのプロダクション！？
桃華,それですわ！
晶葉,続いて仮宿、だったか？
桃華,仮、ということは本来の自分の家ではない・・・？さらにプロダクションに並び建つ、ということは・・・。女子寮、でしょうか？
晶葉,ふむ、そんな感じだな
ありす,目と鼻の先の場所でしたね・・・。後は・・・
晶葉,この調子で行くと、寮の裏庭とかそんなところだろうな
桃華,こう言ってはなんですが、拍子抜けするほど普通でしたわね・・・
ありす,で、最後の一文が・・・
桃華,金剛石はダイヤモンドの和名ですわ
晶葉,つまり女子寮の裏庭にあるダイヤモンドに関係する何かがお宝の目印か
ありす,そこまで分かれば十分です。さっそく向かいましょう
桃華,ええ！麗奈さんも暗号を解読したならそこにいるはずですわ！
麗奈,さ～て、暗号を解読して裏庭まで来たはいいけど・・・。ダイヤモンドに関係するものなんて見当たらないじゃない！。あるのは花壇の花・・・色は赤、白、青、ピンク。背の高い木、それから・・・園芸用品がいくつか。そもそも、よく考えたらこんなところにお宝なんてあるの？。あったとしても大したものじゃなさそうね・・・帰ろうかしら
ありす,見つけましたよ！麗奈さん！！
麗奈,来たわね！！
桃華,大人しく本を返しなさいな！
晶葉,アベンジャー7号もな！！
麗奈,返せと言われたら余計に返したくなくなるのが悪ってモノよ！！
ありす,まったく、天の邪鬼なんですから！
麗奈,それはアンタには言われたくないわよ
ありす,なっ・・・！？
麗奈,ま、返してほしかったら力ずくで奪うことね
桃華,乱暴な手段は本意ではありませんが、ここまで明確に宣戦布告されては致し方ありませんわね
ありす,もうこうなったら無理矢理にでも取り押さえるしかありませんか
麗奈,へぇ・・・この二人がここまでしつこく食い下がるってことは・・・。お宝は多少は期待できそうね！
晶葉,アベンジャー7号はすばしっこいからな、二人とも気を付けるんだ
ありす,では、行きます！！
桃華,降参するなら今のうちでしてよ！
晶葉,これ以上、私の発明を悪用するんじゃない！
麗奈,無駄無駄！
桃華,はぁ、はぁ・・・三人がかりでも駄目ですか・・・
ありす,はぁ、はぁ・・・さすが晶葉さんの発明と言いたいところですが、今回ばかりはその才能を恨みます
晶葉,ふぅ・・・すまない、今度から敵に奪われた場合を想定して遠隔自爆装置でも付けておこう
麗奈,もう終わり？口ほどにもないわね！
桃華,このような手は使いたくありませんでしたが、こうなったら最後の手段です・・・。麗奈さん！その本、私が百万円で買い取ります！！！
晶葉,な、なにぃっ！！？
ありす,ひゃっ、百万円！！？
麗奈,はぁ？アンタ、このアタシをナメてるの？。たった百万円ぽっちでどうにかできると思ったら大間違いよ！！。このレイナサマを買収したければ最低でも日本まるごと献上するくらいじゃなきゃね！！
桃華,まぁっ！なんて強欲な方なんでしょう！！
晶葉,はぁ・・・こいつは筋金入りだな
ありす,ここまで強情だとは・・・。百万円でも止まらない・・・でしたら、やっぱり・・・。行くしか、ないようですね。ですがこのままでは埒があきません。晶葉さん、あの乗り物はあとどれくらい動けますか？
晶葉,バッテリーの残量からすると・・・フル稼働させても一時間以上は保つな
ありす,ただ追いかけるだけではこちらの体力が尽きるのが先ですね。何か作戦を考えましょう
桃華,わかりました！
晶葉,それが懸命だな
ありす,裏庭に何か使えるものはあるでしょうか？。花壇の花・・・赤いバラ、青、白のチューリップ、彼岸花に似たピンク色の花・・・。背の高い木、ドタバタしている間に折れた木の枝、植物のツル、使っていない空の植木鉢が多数。水道、ホース、ホースを巻いておくリール、スコップ、バケツ。晶葉さん、あの乗り物に弱点などはありますか？
晶葉,あぁ、それなら・・・・・・という欠陥があってな
ありす,なるほど、わかりました。まずアレをこうして・・・次はあっちを・・・それから・・・。・・・。桃華さん。コレ、使えますよね？
桃華,ええ！即席の物ですと少々不安ですが、やってみせますわ！
ありす,ではこれから作戦を説明します。よく聞いてください
麗奈,アイツらも大人しくなったことだし、のんびりお宝を探しますか！
ありす,そうはさせません！！
麗奈,ハッ！何度来ても結果は同じよ！跳びなさい、アベンジャー7号！！
ありす,逃がしません！。まずは私が追いかけて罠のある場所へ誘導する！。作戦その1！高く積み上げた植木鉢！
麗奈,なっ！？こんなところに植木鉢が！？。・・・な～んて言うと思った？これくらい簡単に飛び越えられるわ！
晶葉,アベンジャー7号は強力なスプリングを機械の力で圧縮、解放することでジャンプする。だが、あまり高く跳びすぎるとスプリングを着地の衝撃を吸収するのに使わなければならない。つまり、次のジャンプまでのタイムラグが通常よりも長くなる。それが弱点のひとつ。木の上に登った私が麗奈の動きを観察、タイムラグの発生タイミングを桃華に伝える！。桃華！今だ！！
桃華,お任せ下さい！。・・・はぁっ！！。作戦その2！動きが止まったチャンスに私が木の枝と植物のツルで作った即席の弓矢で本を持つ手を狙い撃つ！
麗奈,なっ！？本が！？
ありす,もらいました！！。落とした本を私がキャッチ！そして木の上にいる晶葉さんにパス！。パスを確実なものとするため、ホースの先にバケツをくくりつけておいて木の上から垂らし、その中に本を入れる！
晶葉,あと私がリールを巻き取れば・・・！。作戦その3！本を麗奈の手の届かない場所へ！
桃華,ここまでは上手く行きましたわ。ですが・・・
晶葉,麗奈はすでに暗号を知っている・・・別に本がなくとも宝探しの続行は可能だ
桃華,そのことに意識を向けさせず・・・
ありす,そして本に固執するよう仕向けるため・・・作戦その4！
ありす・桃華・晶葉,煽る！！！
晶葉,アーーッハッハッハッ！！口ほどにもないのはどちらだったかな？
ありす,アーーッハッハッハッ！！天の邪鬼さん、本を取り返さなくてもいいんですか～？
桃華,アーーッハッハッハッ！！悪とは言っても所詮は噛ませ犬程度の器のようですわね！
麗奈,キィィィ～～～！！
ありす,奪われたものを取り返せないなんて、悪党の名が泣きますよ！！。麗奈さんの性格からして、挑発に簡単に乗ってくれるはず・・・
麗奈,上等じゃない！晶葉、そこで待ってなさい！！。アタシにこの乗り物を奪われたことを後悔させてあげるわ！！
ありす・桃華・晶葉,釣れた！！
麗奈,跳べ！！アベンジャー7号！！！
晶葉,おっと残念、それでは届かないな！
麗奈,あ～～もう少しなのに！！
晶葉,まあ当然の結果だ。私は跳躍力の限界以上の高さにいるからな。そしてアベンジャー7号のもうひとつの弱点・・・。スプリングの力に対して足の付け根のフレーム剛性が足りていない
麗奈,次こそ！！ジャンプ力最大よ！！
晶葉,はぁ・・・8号はもっと強く作ってやるからな・・・
麗奈,また届かない！！次こそ！次こそぉ！！！
晶葉,残念だが次はない。フレーム剛性の不足・・・すなわち、無茶なジャンプを繰り返すと・・・。作戦その5・・・腰が死ぬ
麗奈,なっ！？壊れた！！？なんて軟弱なマシンなの！！
ありす,さて、乗り物を失ったならば対等ですね
桃華,降参しなかったことを後悔させてあげますわ
晶葉,7号の弔い合戦だな
麗奈,い、池袋博士・・・事情を説明してもらおうかしら？
晶葉,事情もなにも君が説明を聞かずに無茶な運用をするからだぞ？。まあ今少し時間と予算があればもっと完璧なものが作れたんだが・・・
麗奈,弁解は罪悪と知りなさい！。アンタたち～！！これで終わったと思うなよ～～～～！！！
晶葉,あっ！待て！！壊れた7号の片付けを誰がやるというんだ！！。はぁ・・・まったく・・・
ありす,一件落着、とは言い難いですがなんとかなりましたね
晶葉,ああ、見事な作戦とチームワークだった。7号は逝ってしまったがな・・・
桃華,7号さんの尊い犠牲は忘れませんわ・・・
ありす,すみません、こんな作戦しか思い付かなくて・・・
晶葉,気にしなくていい。これを教訓に8号はもっと完璧なものに仕上げて見せるさ
ありす,そうですか・・・では片付けましょうか・・・
桃華,私も手伝います・・・麗奈さん、この埋め合わせはいつかしていただきますわよ
蘭子,あぁ～～！！その本は！！
ありす,あっ、やっぱりこれ蘭子さんのものでしたか
蘭子,なぜ苺の姫君が我が魔導書を！？
ありす,かくかくしかじか・・・
桃華,これこれうまうまで、先ほどようやく取り返したところですわ
蘭子,なるほど・・・大義であった！
晶葉,蘭子よ、結局その本はなんだ？本当に宝の隠し場所を示したものなのか？
蘭子,貴公らの武勲への褒章である！真実の一端を垣間見よ！
ありす,え～っと・・・取り返してくれたお礼に少しだけ本当のことを教えてくれる・・・という意味でしょうか？
桃華,そう・・・だと思いますが・・・
蘭子,えっと・・・このあいだ、とっても大きなライブに出演させてもらったんですけど・・・
ありす,えっ、普通に喋るんですか・・・
桃華,そう言えば、普段のしゃべり方は照れ隠しも多分に含まれていると聞いたことがありますわね
晶葉,これは・・・蘭子なりの誠意の表し方か？
蘭子,共演者の人たちがすっごく盛り上げてくれて、自分でもビックリするくらいすごいライブができたんです！。それで私、思ったんです・・・いつか・・・また同じメンバーでライブが出来たらいいなって。共演者の皆さんも、同じことを考えてたみたいで・・・十年後に、絶対また一緒に歌おうって、約束したんです。その約束の証として、皆でタイムカプセルを作ってここに埋めたの。十年後のライブの時に皆で開けようって
晶葉,ああ、時駆ける方舟ってタイムカプセルのことか
蘭子,それで、万が一埋めた場所を忘れちゃったときのために作ったのが・・・。この魔王の書である！！
ありす,戻った・・・
桃華,あぁ！タイトルのErlkonig！どこかで聞いたことがあると思ってましたがシューベルトの魔王の原題でしたわ！
晶葉,なるほど・・・そういうことか
ありす,素敵な約束ですね！
桃華,えぇ、本当に！羨ましいくらいですわ！
晶葉,ああ、私もタイムカプセルを作りたくなってきたぞ！
蘭子,ふふふ・・・そうであろう！そうであろう！
晶葉,そうだ、その魔王の書だが、結局最後の一文だけがわからないままだな。蘭子よ、金剛石の輝きとはいった何のことなんだ？
蘭子,それは・・・・・・
ありす・桃華・晶葉,それは・・・？
蘭子,神秘の彼方に！！！
鷺沢文香,そうですか・・・そんなことがあったのですか
ありす,本当に・・・麗奈さんには困ったものです！
桃華,まったくですわ！
文香,すみません、私が間違えてしまったばかりに大変なことに・・・
ありす,いえ、文香さんのせいじゃありません！ややこしくしたのは麗奈さんです！
桃華,そうですわ！
ありす,それはそうと、タイムカプセルの在処が未だわからないままなのが少しモヤモヤしますね
桃華,金剛石の輝き・・・私も気になりますわね
ありす,裏庭には植物しかありませんでしたし・・・
桃華,ええ、木と、赤いバラ、青と白のチューリップ、それと・・・名前はわかりませんがピンク色の花。どれもダイヤモンドとは関係なさそうですわ・・・
文香,ピンク色の花・・・？。そのピンク色の花は、どのような形でしたか？
ありす,たしか、彼岸花に近い形でした
文香,・・・。ピンク色の彼岸花・・・恐らくネリネの花のことでしょう。ネリネは花弁が独特の光沢を放つことから、別名ダイヤモンド・リリィ。そして花言葉は・・・。再会の時を楽しみに。タイムカプセルはネリネの近くに・・・
ありす,文香さん、なにかわかったんですか？
文香,・・・・・・いいえ、私にもわかりません。・・・隠されているからこそロマンを感じる、そう考えることはできませんか？
ありす,それもそうですね・・・こういうのは当事者たちだけの秘密だからこそ、意味があるのかもしれません
桃華,私もそう考えることにいたします。必要以上の詮索は、レディのすることではありませんものね
ありす,あっ！もうひとつ気になることが！。文香さん、あの爆発する手紙はどんな仕掛けだったんですか？
桃華,そうですわ！文香さんがそんなお茶目なイタズラをするとは思っていませんでしたので、とても驚きましたわ！
文香,ば、爆発っ！？わ、私は普通にお手紙を書いただけなのですが・・・
ありす,じ、じゃあアレは超常現象！？
桃華,そ、そんなまさか・・・！？
文香,あ・・・そういえば・・・。紙とインクは、偶然近くにいた志希さんにいただいた物を使用しましたが・・・。ご親切にありすちゃんに届ける役目まで買って出てくださって・・・
ありす,・・・
桃華,・・・
ありもも,あの人の仕業ですか！！！
